,제목,가수,가사
10,이해해,Yun,"['모두 다 이해해', '니가 날 떠나야 했던', '사소한 이유까지도', '나는 모두 다 너무 잘 알아', '나는 다 이해해', '모질게 날 밀쳐냈던', '차갑던 모습까지', '인사도 없이 가버린 뒷모습도', '그럴 수밖에 없었겠지', '뒤돌아볼 맘조차 없었겠지', '너의 마지막 표정과', '행동이 아직도 잊히지 않아', '나는 모든 날에 진심이었어', '한 번도 널 사랑하지 않은 적 없었어', '너의 마음이 떠난 순간에도', '나의 마음은 똑같았어', '모두 다 이해해', '니가 날 떠나야 했던', '사소한 이유까지도', '나는 모두 다 잘 알아', '나는 다 이해해 모질게 날 밀쳐냈던', '손길까지 모두 다 이해해', '너는 날 이해 못해도', '널 미워하지 않을게', '우리 사이가 멀어져도', '내 마음은 변함없어', '너는 날 보지 않아도', '나는 너를 사랑할게', '마음이 변했다고 말하지만 말아줘', '이젠 돌아와줘 다시', '나를 보러 와줘', '우리 첨 만난 곳에서', '나는 아직 널 기다려', '널 사랑하는 마음은', '아직 변하지 않았어', '우리 다시 시작하자', '나는 다 이해해 나의 손을 뿌리쳤던', '너의 냉정한 모습도', '나에겐 모두 다 괜찮아', '모두 괜찮으니 다시 내게 돌아와줘', '우리가 함께 있었던', '아름다운 추억으로 돌아와줘']"
11,기다릴수 있겠는걸,권두철,"['할만큼 했는데도', '내 맘 같지 않아', '얼마나 더 난', '견뎌야 하는걸까', '솔직히 모르겠어', '어떻게 해야하는지', '정말로 모든게', '나아지기는 할까', '정말로 난', '조금도 믿을수가 없어', '달라질거라고 나는 믿을수 없어', '그럴 이유가 없으니까', '그래도 난', '받아들이려고 해야해', '원래 이런거 라는걸 알아야만해', '그럴 때에만', '기다릴수 있겠는걸', '왜 나만 이런걸까', '도대체 왜 나에게만', '자꾸 자책하게되', '내 잘못같아서', '하지만 그마저도 난', '확신 할수 없어', '내 생각에 나는', '잘못이 없는걸', '정말로 난', '조금도 믿을수가 없어', '달라질거라고 나는 믿을수 없어', '그럴 이유가 없으니까', '그래도 난', '받아들이려고 해야해', '원래 이런거 라는걸 알아야만해', '그럴 때에만', '기다릴수 있겠는걸']"
12,그 땐 (with 코듀로이),빌리지팝스,"['언제쯤 이었을까', '지나간 시간들 위에', '새겨진 그날의 기억', '어디쯤 이었던가', '아득한 공간들 속에', '남겨진 우리의 흔적', '이 모든 순간이 처음이자 마지막이야', '익숙하기에 놓쳐버린 것들', '돌아올 수 없는 시간속의', '나를 기억해줄래', '그 땐 그 땐', '다시 만날 수 없는 그 날의 널', '내가 기억 해줄게', '그땐 그땐', '사랑이었을까', '우리 언제나 그 자리에', '늘 함께 있었던 것처럼', '서로 약속한 것처럼', '잊지 않게', '돌아올 수 없는 시간속의', '나를 기억해줄래', '그 땐 그 땐 (행복 했던 걸까)', '다시 만날 수 없는 그 날의 널', '내가 기억 해줄게', '그땐 그땐', '사랑이었을까', '그 땐 그 땐', 'in my life', 'in our life']"
13,It’s time,김진호 (SG워너비),"['뭐 하는 건지 모를 때', '허전함만 알아갈 때', '친구도 짐이고 가족마저 짐이고', '세상도 짐이 돼갈 때', '하필 그럴 때 널 만나', '함께하는 내가 미워', '너를 더 웃게 할 사람이고 싶은데', '되려 너를 보며 웃지', '수많은 행복이 내 것 같지 않을 때', '너는 내게 말했지 이제 우릴 생각해', 'It’s time it’s time it’s time', 'It’s time it’s time it’s time', '꾸미는 사진 지겨워', '꾸미는 웃음 지겨워', '있는 그대로를 사랑하고 예뻐할', '너 하나면 난 행복해', '수많은 행복이 내 것 같지 않을 때', '너는 내게 말했지 이제 우릴 생각해', 'It’s time it’s time it’s time', 'It’s time it’s time it’s time', '멈춰버리고 싶었던', '유난히 길던 거리에서', '어느샌가 내 등 뒤에', '손을 올려준 너는 말했지', '쏟아내도 된다고 체한 것 같은 날들', '약해져도 좋다고 안아줄 수가 있어서', '내게 안기라고 여기 널 사랑해']"
14,피아노,안다은,"['사랑이 이젠 잊으라네요', '붙잡아도 소용없대요', '시간이 지나가면 편해진다고', '잊으래요 내맘 가져놓고', '살아갈 날은 아직 길다고', '자기땜에 울지말래요', '그렇게 모진 모습 처음이기에', '가지말란 말도 못하네요', '내 사랑 지켜만봐도 안될까요', '아파져도 난 그대를 사랑해요', '이렇게 나 영원히 삶이 다해도', '나 그댈 위해 늘 기도할께요', '그대를 미워해도 되겠죠', '아픈만큼 사랑한만큼', '가끔은 불행하라 빌지 몰라요', '생각나서 애써 지우려고', '내 사랑 지켜만봐도 안될까요', '아파져도 난 그대를 사랑해요', '이렇게 나 영원히 삶이 다해도', '나 그댈위해 늘 기도할꺼에요', '내 사랑 잊기엔 멀리왔나봐요', '안될것같아 잊으라 말아요', '저 하늘이 정해준 사랑을 따라', '그대는 떠나가지만 바라볼래요', '세상앞에 남보다도', '더 못한 사람으로 남아도', '누구보다 더 그댈 사랑해요']"
15,투명한 눈물 (2022),정동원,"['눈물이 투명한 이유는', '마음이 녹아 그런 거래', '죽을 만큼 차가워진 가슴이', '녹아내려 그런 거래', '내 눈물이 다한 이유는', '네게 다 줘서 그런 거래', '소리 내어 울고 싶어', '찾아보고 또 찾아도', '날 위해 울 눈물은 없어', '미쳐버린 내 두 눈이', '네 모습만 기억한데', '너무 아파서 너무 슬퍼서', '죽을 것만 같아서', '아니 아니 아니 안돼', '제발 날 떠나지 마', '너만 바라고 너만 사랑한', '네 마음이 날 울려', '내 가슴을 뜯어내어서', '네게 보여줄 수 있을까', '기워도 기울 수 없는', '내 마음의 조각들을', '움켜잡고 울고 있잖아', '미쳐버린 내 두 눈이', '네 모습만 기억한데', '너무 아파서 너무 슬퍼서', '죽을 것만 같아서', '아니 아니 아니 안돼', '제발 날 떠나지 마', '너만 바라고 너만 사랑한', '네 마음이 날', '혹시 네가 돌아올까 봐', '울고 있는 날 안아 줄까 봐', '난 이렇게 널 찾고 있어', '네가 다시 돌아오면', '다시 나를 사랑하면', '울어주려고 참아왔는데', '내 마지막 눈물을', '아니 아니 아니 안돼', '제발 날 떠나지 마', '너만 바라고 너만 사랑한', '네 마음이 날 울려']"
16,링크,멜로망스,"['너의 마음과 너의 생각들이', '흘러들어와 나에게', '나의 시간과 나의 하루', '모든 순간들이', '다 너를 위해서 너를 향해서', '가까워지고 있다는 걸 느껴', '언제나 기다려왔던 시간처럼', '이미 알고 있던 인연처럼', '자연스럽게 널 생각하고', '어느새 너의 눈을 마주하고서', '서 있는 나', '알아채지 못할 작은 떨림', '꺼내기 어려운', '네 슬픔까지도 그 행복까지도', '모두 내 시간처럼 느끼고 있어', '언제나 기다려왔던 시간처럼', '이미 알고 있던 인연처럼', '자연스럽게 널 생각하고', '어느새 너의 눈을 마주하고서', '누구도 모르는', '너의 비밀을 나누고 있어', '아무 말 없이도 내게 전해질 뿐야', '언제나 너를 위했던 사람처럼', '잠시 내게 기댈 수 있게', '보이기 힘든 너의 진심에', '단 하나의 기적으로 남아있게', '언제나 기다려왔던 순간처럼', '나누고 있었던 사랑처럼', '자연스럽게 널 생각하고', '어느새 우린 서롤 마주 본 채로', '이어져있어']"
17,오늘 밤 안녕,육서인,"['잠에서 깨면 멍하니 누워', '그렇게 생각 나나 봐', '참 구차하게 새벽만 되면', '별게 다 떠오르잖아', '혼자 하는 이야기니까', '내일은 더 가볍게 털고', '아주 가끔씩 꺼내 보겠지', '너를 그리면서 나는 아직도', 'Lonely Now', '나 여기 있어', '밤새워 뒤척이며 나는 아직도', 'Lonely Now', '나 기다릴게', '또 유지하게 너의 추억을', '오늘도 가득 채웠어', '우리는 참 많이 싸웠어', '서로에게 늘 서툴렀어', '좋은 감정은 없었던 건지', '너를 그리면서 나는 아직도', 'Lonely Now', '나 여기 있어', '밤새워 뒤척이며 나는 아직도', 'Lonely Now', '나 기다릴게', '이 감성에 취해 전화하지 않을게', '오늘 네가 생각나서', '그냥 그랬던 거 뿐이야', '밤에 자다 깨서 널 추억하는 것도', '전부 나만 아플 뿐 적어도 오늘은', '잠에서 깨어나 나는 아직도', '너를 그리면서 나는 아직도', 'Lonely Now', '나 여기 있어', '밤새워 뒤척이며 나는 아직도', 'Lonely Now', '나 기다릴게']"
18,내눈이 빨개,꼬마견,"['눈이 빨개지도록', '아무생각 없이', '바라보는 스마트폰', '쓸데 없는 기사 읽다가도', '귀가 심심해 노래 틀다가', '껌껌한 주위에 비쳐지는', '빛만 보며 생각에 또 잠겨', '문뜩 떠오르는 니 생각에', '잠깐 까톡 검색해보다가', '인스타 보다 너와 있었던 추억', '생각나 그만 너를 찾아보다가', '다시 아무렇지 않은 척', '메일을 읽다', '유튜브를 보다', '요리 영상 보다', '너가 좋아했던 음식 나올때면', '그때를 떠올리며 움직이는 화면에', '멍때려', '휴대폰을 놓으면 더 떠오를거 같아', '놓지못해 눈을 뜨며', '강렬한 빛 속에', '하루종일 눈은 빨개지네', '내 눈이 빨개', '내눈이 빨개', '귀가 심심해 노래 틀다가', '껌껌한 주위에 비쳐지는', '빛만 보며 생각에 또 잠겨', '문뜩 떠오르는 니 생각에', '잠깐 까톡 검색해보다가', '인스타 보다 너와 있었던 추억', '생각나 그만 너를 찾아보다가', '다시 아무렇지 않은 척', '메일을 읽다']"
19,오랜 시간 지친 우리,한달(Handal),"['너무 멀리 와버린 우리', '비워버린 마음 혼자인 기분', '다시 돌아가려해봐도', '어려운걸 서로 알잖아', '네 눈을 바라봐도', '네 손을 잡아봐도', '벅차오른 감정들이', '흐려지고 있어', '너도 알고 있잖아', '서로 변했다는 걸', '애를 써도 멀어지는', '서로의 시간', '오랜시간 지쳐간 우리', '너무 힘들어 멀어져간 우리 믿음', '끝이 다가올 수록 점점 피어나는', '서로의 아픔과 옅어지는 기억들', '많은 날을 지냈던 우리', '긴 시간 속 너도 힘들었잖아', '너와 걷고 있어도', '너를 안고 있어도', '아무 감정 못느끼는', '내가 보여', '너도 알고 있잖아', '끝이 다가오는 걸', '그날에 나와 그날에 너를', '찾을 수 없어', '오랜시간 지쳐간 우리', '너무 힘들어 멀어져간 우리 믿음', '끝이 다가올 수록 점점 피어나는', '서로의 아픔과 옅어지는 기억들', '되돌리고 싶었어', '더는 너무 힘들어', '긴 터널 속 인연의 끝에', '빛이 들어올 때 쯤', '우린 어떤 모습일까', '오랜시간 지쳐간 우리', '너무 힘들어 다가오는 우리 이별', '처음만났던 그때 기억할 수록', '망설여진 시간속 우리의 흔적들']"
