,가수,제목,가사
0,선우정아,섬,혼자 있는 시간이 익숙해 가만히 앉아 나와 얘기해 힘겨운 하루 잘 견뎌냈다고 내일은 더 행복하자고 덩그러니 떠다니는 섬처럼 여기저기 휩쓸리다 마음을 잃어 꺼내려던 말들도 다시 삼켜버리고 나 혼자 다른 기분인가봐 여기서는 내 편이 없나봐 조용히 구겨진 마음을 주워 아무렇게나 괜히 던져본다 멀리도 못 가네 덩그러니 떠다니는 섬처럼 여기저기 휩쓸리다 마음을 잃어 모든 게 당연한 일처럼 가라앉고 있는 내 섬에서 누군가의 손길 기다려야만 하나 아무도 없는 것 같아 나 혼자만 다른 기분인가봐 나만 다르게 여기서는 내 편이 없나봐 여기에 혼자 조용히 구겨진 마음을 주워 아무렇게나 괜히 던져본다 멀리도 못 가네 여기에 난 속하지 않나봐 조용히 구겨진 마음을 주워 아무렇게나 괜히 던져본다 멀리도 못 가네 혼자 있는 시간이 익숙해 가만히 앉아 나와 얘기해 힘겨운 하루 잘 견뎌냈다고 내일은 더 행복하자고
1,엠씨더맥스 (M.C the MAX),사랑합니다 (Feat. 부활),그댈 첨 만난 그 순간 부터죠  사랑한다고 말하지 못했죠  그 말을 해야 했었던 용기가  나에겐 늘 필요했죠  사랑해요 사랑해요 영원히  그 말밖엔 난 모르지요  항상 가슴속으로 수없이 말을 해서  입술은 떼지 못한 거죠  단 하루만 더 오늘 하루만 더  난 기다리고 또 다짐하죠  시간이 흐르고 다 변해가도  여기 서 있겠죠  가슴 아픈 건 한숨이 깊은 건  다 주지 못한 사랑이죠  말로 다 못해서  더 가슴깊이 그대를 사랑합니다    사랑해요 사랑해요 영원히  그 말밖에 난 모르지요  항상 가슴속으로 수없이 말을 해서  입술은 떼지 못한 거죠  단 하루만 더 오늘 하루만 더  난 기다리고 또 다짐하죠  시간이 흐르고 다 변해가도  여기 서 있겠죠  가슴 아픈 건 한숨이 깊은 건  다 주지 못한 사랑이죠  말로 다 못해서  더 가슴깊이 그대를 사랑합니다  난 그댈 보고 있어요  그대 먼 곳을 보죠  기억해 줘요 꼭 기억해 줘요  누군가의 전부인걸  기다리는 지금  행복 할 만큼 그대를 사랑합니다
2,가비엔제이,그러고도 남자야 (Feat. 쇼리 Of 마이티마우스),너를 사랑한단 말야 바보야 내맘 몰라주는 너는 바보야 누가 봐도 이건 정말 아니야 you don't want me no more 우리 사랑하긴 하니 바보야 그러고도 남자야 미운데 사랑해서 미운데 담배만 피워대니 할말도 없는거니 바라만 봐도 좋던 둘이라 좋던 시절은 끝난거니 내몸 내맘 너에게 전부 다줬어 너가 원하는대로 내 모든 것을 다 바꿨어 너의 차가운 바람에 난 떨어지는 낙엽 갈곳을 잃은 초라한 내 모습만을 남겨 밤마다 내 그리움에 니 배게를 적실거야 어디를 가든 내 모습이 눈앞에 겹칠거야 결국 너가 그리운건 내 곁일거야 눈물 후회 슬픔 전부 다 너의 몫일꺼야 너를 사랑한단 말야 바보야 내맘 몰라주는 너는 바보야 누가 봐도 이건 정말 아니야 you don't want me no more 우리 사랑하긴 하니 바보야 그러고도 남자야 미운데 사랑해서 미운데 친구가 말하더라 자존심도 없냐고 내가 미련한거니 힘들게했니 뭐라고 말좀 해봐 너가 날 떠나다니 상상조차 못했어 내 옆에서 나란히 언제나 걸을줄만 알았어 너가 날 떠날 때 차라리 뺨이라도 때릴 걸 내 약한 모습 감추고 자존심이라도 챙길 걸 밤마다 그리움에 니 배게를 적실거야 어디를 가든 내 모습이 눈앞에 겹칠거야 결국 너가 그리운건 내 곁일거야 눈물 후회 슬픔 전부 다 너의 몫일꺼야 너를 사랑한단 말야 바보야 내맘 몰라주는 너는 바보야 누가 봐도 이건 정말 아니야 you don't want me no more 우리 사랑하긴 하니 바보야 그러고도 남자야 미운데 사랑해서 미운데 제발좀 떨어져버려 너란놈 없어져 버려 매일밤 기도해 하나도 난 낫질 않는데 사랑만 받다 보니 익숙해져 내가 지겹니 너가 보기에 널 끝까지 믿는 내가 미쳤니 이런 나에게 지쳤니 도대체 넌 왜 현실만을 집착하고 미래를 못봐 저 하늘은 너와 나 누구의 맘에 귀를 기울일까 이젠 돌아와도 내가 안볼래 니가 애원해도 내맘 안줄래 어떻게든 너없이 살아볼래 I don't want you no more 우리사랑은 끝났어 바보야 다른 사랑 찾을래 괜찮아 이젠 너를 보낼게
3,아미,매일하는 이별,이름을 부르면 눈물이 날 것 같아서 안녕이란 뻔한 인사하고 아무렇지 않은 척 뒤돌아 자꾸만 자꾸만 보고픈 너의 모습을 어떡하면 좋을까 아픈 추억 들에 가시 같은 맘에 나쁜 말을 할 것 같아 참아내고 괜찮다며 웃어 매일 불안했던 감정은 커져 혼자만의 사랑도 미워 알 수 없는 감정은 더는 버리고 싶은데 왜 난 놓을 수가 없는 지 왜 난 하루하루 매일 니가 보고 싶어 이름을 부르면 니가 날 볼 것 같아서 잘가라는 뻔한 인사하고 뒤돌아서 입술을 깨물어 억지로 참아도 안되는 너의 그리움 어떡하면 좋을까 시간이 흐르고 계절이 바뀌어도 내 가슴에 박혀버린 니 모습을 지울 수가 없어 매일 불안했던 감정은 커져 혼자만의 사랑도 미워 알 수 없는 감정은 더는 버리고 싶은데 왜 난 놓을 수가 없는 지 왜 난 하루하루 매일 니가 보고 싶어 이젠 정말 거짓말도 못해 더 이상 숨기지도 못해 자꾸만 커져 가는데 이렇게 매일 사랑해 이젠 혼자만의 사랑을 지워 끝나버린 사랑이 미워 너를 향한 감정을 모두 버리고 싶은데 왜 난 놓을 수가 없는 지 왜 난 내 맘대로 안돼 멈추지 못해 하루하루 매일 니가 보고 싶어
4,린,뒤에서 안아줘,싸우러 온 거 아니야 입 다물어 줄게 네 말 들어주러 온 거야 내가 너에게 좋은 여자가 못 되는 것 같아 미안해서 온 거야 맛있는 거 싸왔어 먹고 있어 나 할 일 하고 갈게 자꾸 집에 가란 말 하지 마 자꾸 울리려고 하지 마 등을 돌린 채로 울고만 있는 나 보이니 네가 남긴 음식을 치워주는 날 볼 수는 없니 티비에 고정된 네 눈은 날 못 보지만 난 기다려 뒤에서 한 번만 안아주길 살포시 뒤에서 안아줘 참아달라는 것도 아냐 소리 지르던 물건을 던지던 다 받아 줄 거야 가만히 있을 거야 네 화가 풀릴 때까지 맛있는 거 싸왔어 먹고 있어 나 할 일 하고 갈게 자꾸 집에 가란 말 하지 마 끝내잔 말처럼 들리잖아 등을 돌린 채로 울고만 있는 나 보이니 네가 남긴 음식을 치워주는 날 볼 수는 없니 티비에 고정된 네 눈은 날 못 보지만 난 기다려 뒤에서 한 번만 안아주길 살포시 뒤에서 안아줘 그저 지나치는 사람이기에 네가 날 너무 지나치게 예뻐했기에 그게 널 떠날 수 없게 만들어 네 목소리 하나하나다 노래 같아서 그래서 울고 있어 지금 네 말이 슬픈 노래 같아서 등을 돌린 채로 울고만 있는 나 보이니 네가 남긴 음식을 치워주는 날 볼 수는 없니 티비에 고정된 네 눈은 날 못 보지만 난 기다려 뒤에서 한 번만 안아주길 살포시 뒤에서 안아줘 등을 돌린 채로 울고만 있는 나 보이니 네가 남긴 음식을 치워주는 날 볼 수는 없니 티비에 고정된 네 눈은 날 못 보지만 난 기다려 뒤에서 한 번만 안아주길 살포시 뒤에서 안아줘
5,정키,너를 만나 (Feat. 백지웅),바래진 기억 그 모습에는 항상 같은 곳 같은 맘인 우린데 언제부턴지 익숙한 서로에는 서툰 외로움뿐인 걸 너를 만나 단 한번이라도 행복했던 그 순간들을 느낄 수 있을지 이제 나는 니가 바래오던 그 날에 내가 아닌 걸 자신이 없는 걸 너를 만나 사랑을 하고 너를 만나 아파도 하고 이제 우리 그래 멀어진 우리 돌아갈 순 없는 걸까 첨엔 너라서 나도 이토록 힘든 줄 알았어 널 너무 사랑했으니까 우리란 말로 함께던 때 때론 그립기도 해 가끔 니가 보고 싶대도 예전처럼은 아냐 이젠 너를 만나 사랑을 하고 너를 만나 아파도 하고 이제 우리 그래 멀어진 우리 돌아갈 순 없는 걸까 너무 좋았는데 그 날 그때의 우리 이렇게 아파할 거면 좀 더 늦게 만날 걸 너무 힘들어 돌아갈 자신도 없어 처음 만났을 때 우리가 너무 그리워 너를 만나 사랑을 하고 너를 만나 아파도 하고 이제 우리 그래 멀어진 우리 그리워도 더는 돌아갈 수 없겠지
6,김정은,널 사랑해,말 없이 널 바라보다 돌아서며 흐느끼던 내 작은 어깰 힘겨워 하는 내 모습에 어떤 말도 넌 얘기하지 못한 채 돌아섰지만 널 사랑해 말하고 싶은데 오늘 같은 밤이면 내 눈물로도 널 그릴 수가 있어 우 지금 이대로 난 변하지 않을 거야 이별마저 아프지 않다고 말했던 나니까 널 사랑해 왜 그렇게 니가 변했는지 때 늦은 질문들을 이젠 묻지 않진 않아 어떤 얘기라도 말해 줘 니가 혼자 보낸 밤들은 어떤 걸 네게 가져 주는지 널 사랑해 말하고 싶은데 오늘 같은 밤이면 내 눈물로도 널 그릴수가 있어 우 지금 이대로 난 변하지 않을 거야 이별마저 아프지 않다고 말했던 나니까 널 사랑해 널 사랑해 말하고 싶은데 오늘 같은 밤이면 내 눈물로도 널 그릴 수가 있어 우 지금 이대로 난 변하지 않을 거야 이별마저 아프지 않다고 말했던 나니까 널 사랑해 이젠 모든 걸 다시 시작할 거야
7,찰리빈웍스,그때도 나,우리는 정말 참 모난대도 서로를 여전히 아끼곤 해 불안은 아직도 맴돌지만 다시 이겨낼거야 장난치다 짜증을 낸대도 마음은 똑같이 뜨거워서 죽을것 같이 싸움을 해도 다시 품어줄거야 널 모르던 그 때로 돌아가면 다시 하나하나 똑같은 길을 밟으며 천천히 걸어가서 너를 만났던 그 곳 그 자리에 다시 똑같이 행동을 하나하나 곱씹으며 서로를 알아가다 스치던 행복 그 길을 걸어 다시 이 자리 돌아온다면 그때도 나 사랑한다 할래 이제는 볼 수 없는 그 자리 우리는 앞을 향해 다가가 그리운 날들은 맘에 묻고 다시 걸어갈거야 투명했던 것들은 애초에 있었던 적이 없는 걸 알아 살다가 괴로운 날이 와도 다시 보듬을 거야 널 모르던 그 때로 돌아가면 다시 하나하나 똑같은 길을 밟으며 천천히 걸어가서 너를 만났던 그 곳 그 자리에 다시 똑같이 행동을 하나하나 곱씹으며 서로를 알아가다 스치던 행복 그 길을 걸어 다시 이 자리 돌아온다면 그때도 나 사랑한다 할래
8,신승훈,나비효과,내일 일을 지금 알 수 있다면 후회 없는 내가 될 수 있을까 내가 지금 알고 있는 모든 것 널 보낸 그 때도 알았었더라면 리모콘을 들고 티비를 보다 드라마가 슬퍼 끄고 말았어 아무것도 없는 화면을 보다 사랑도 이렇게 꺼진 걸 알았어 난 살아있고 싶어서 너와 함께 있고 싶어서 너무 많은 나를 버리고 왔다 난 이제 내가 없다고 니가 다 가졌다고 화를 내고 싶지만 니가 없다 바보 같은 사랑을 했지 하지만 사랑은 바보 같은 것 전부를 주고도 항상 미안해하고 매일 아쉬워하며 마지막엔 결국 혼자 남는 일 내가 지금 알고 있는 것 너를 보낸 후에 알게 됐던 것 널 보내기 전에 모두 알았더라면 미리 알았더라면 우린 지금 혹시 차 한 잔을 같이했을까  난 사랑하고 싶어서 정말 함께 있고 싶어서 너무 많은 나를 버리고 왔다 난 이제 내가 없다고 니가 다 가졌다고 화를 내고 싶지만 니가 없다 바보 같은 사랑을 했지 하지만 사랑은 바보 같은 것 전부를 주고도 항상 미안해하고 매일 아쉬워하며 마지막엔 결국 혼자 남는 일 내가 지금 알고 있는 것 너를 보낸 후에 알게 됐던 것 널 보내기 전에 모두 알았더라면 미리 알았더라면 우린 지금 혹시 차 한 잔을 같이했을까
9,김나영,가끔 내가,무슨 말이라도 좀 해봐 잘못 나온 말이였다고 헤어지잔 너의 그 말에 털썩 주저 앉은 날 그냥 바라보고 있는 너 그런거니 내 손조차 잡을 수도 없을 만큼 내가 싫어졌니 날 사랑했던 니가 니가 멀어져가 늘 나만 알던 니맘 니맘 남겨둔 채 나 혼자 갖긴 너무 힘든 다 지워 내긴 너무 많은 우리 사랑을 혼자 하기엔 너무 아파 난 좀 다를 것만 같았어 이별을 한 뒤에도 쉽게 잊을 거라 믿었어 근데 가끔 숨도 쉬지 못할 만큼 너무 아파 그냥 울고 있어 날 사랑했던 니가 니가 멀어져가 늘 나만 알던 니맘 니맘 남겨둔 채 나 혼자 갖긴 너무 힘든 다 지워 내긴 너무 많은 우리 사랑을 혼자 하기엔 너무 아파 더 얼마나 아파야 내가 떠난 너를 그래 너를 잊을 수가 잊을까 아무리 널 지워봐도 매일 넌 그 자리에 널 사랑하는 내가 내가 여기 있어 수많았던 추억 모두 간직한 채 혹시라도 가끔 니가 힘들어서 가끔 내가 그리울 때면 미안해 말고 내게 와줘 그래 가끔 내가 생각날 땐
