,artist_name,song_name,lyric
0,SG 워너비,나를 떠나요,"길었던 우리의 만남도
이렇게 끝나는가 봐요
되돌아볼 시간도 없던 우리
서로의 눈을 피하고만 있네요
차가운 그대의 숨소리
난 이미 알고 있었다고
아닌 척 고개를 돌려도
괜한 옛 추억이 아른거려
눈물짓게 하죠
나를 떠나요
아무 말 없이 지켜볼게요
행복했다는 말도
아직 사랑한단 말도
끝내 하지 못한 바보인 날 떠나요
가네요 희미해지네요
그토록 사랑했던 우린데
아무리 시간을 돌려도
괜한 옛 추억이 아른거려
눈물짓게 하죠
나를 떠나요
아무 말 없이 지켜볼게요
행복했다는 말도
아직 사랑한단 말도
끝내 하지 못한 바보인 날
그대는 아나요
헝클어진 내 마음을
말 못할 아픔의 시작이죠
아무 일 없는 듯
지우고 지워보려 할수록
더 깊이 파고든
그댄 내 곁에 없는데
나를 잊어요
나를 잊어요
이젠 더 이상 아프지 마요
행복했다는 말도
아직 사랑한단 말도
끝나서야 하는 바보인 날
잊어요"
1,하은,나에게로의 초대,[가사 준비중]
2,윤종신,Wi-Fi (Clean Ver.),"끝을 봤어
혹시나는 없었어
흔들리는 니 마음일까 봐
거리의 와이파이처럼
어쩌다 떠올라서 멈춰버린 시간들
비굴했어 가끔 떠오른다고
니 소식 찾아보기도 했어
단호한 이별은
내가 보인 마지막 겉멋일 뿐
널 끊겠어
뚝 끊어 버리겠어 마치 금연처럼 난
서서히 줄여 갈 수는 없는 거란 걸
봐 각자의 인생을 봐
걸리적 거릴 거야
벗어나야 풀리는
거리의 와이파이처럼
집중했어 처량하지 않으려
니 소식 흔한 친구 안부쯤
단호한 이별은
내가 결국 지켜낸 약속 하나
널 끊겠어
뚝 끊어 버리겠어 마치 금연처럼 난
서서히 줄여 갈 수는 없는 거란 걸
봐 각자의 인생을 봐
걸리적 거릴 거야
벗어나야 풀리는
거리의 와이파이처럼
여기저기 마구 떠도는
낯선 주파수 속 들린
추억 소리도 난 흔들리지 않아
난 살겠어
잘 살아 버리겠어 마치 단세포처럼
죽도록 내 행복 하나만 바라보며
가 각자의 인생을 가
아무 일 없던 거야
길을 걷다 잡혔던
거리의 와이파이처럼
잘 살게 될 거야"
3,황치열,같이 가자 (With You),"좋은 곳에 갈 때면
좋은 것을 볼 때면
네 손 잡고 꼭 다시 와야지
같이 가자 그래야지
좋은 집이 없어도
좋은 차에 못 태워줘도
더 좋은 날 가진 너라고
말해주던 넌 어디에
돌아와줘
나 이제 사람답게 사는데
조금은 근사해 보일 텐데
늦었지만 내가 늘 잘할 테니까
언제든 어디든 같이 가자
내가 누굴 사랑해
내가 누굴 행복하게 해
불안한 나를 안아주던
품 따뜻한 너였는데
돌아와줘
나 이제 사람답게 사는데
조금은 근사해 보일 텐데
늦었지만 내가 늘 잘할 테니까
언제든 어디든 같이 가자
잘못했어
내가 더 무슨 할 말 있겠어
어떻게 네게 고개 들겠어
하지만 나 그 때보다
잘해줄 테니까 남은 시간
같이 가자
같이 가자"
4,모노그램,안녕,"안녕
너의 그 한마디가 나를 흔들었다
안녕
너의 말 한마디가 내 시작이었다
사소한 인사에 웃기만 하다
사랑에 빠져버린
두 사람이 쓴 이야기들은
변해가고 변해가다
한 사람만 남아버린
이 소설의 그 모든 것들은
안녕
그 한마디에 무너져 그렇게 우린
다시 돌아갈 수도 없는 시간에
이별을 고해
안녕
이제 우리의 인사는 달라졌지만
고마웠었어 미안했어
안녕 너를 사랑했었어
안녕
이제는 그 한 마디를
너에게 하지 못한다
안녕
그 짧은 한마디가 갑자기 그립다
혼자 웃다가 울었다가
홀로 남겨져 버린
두 사람이 쓴 이야기들은
길을 잃어버린 아이처럼
어디로 갈지 모른 채
방황하는 우리의 모습은
안녕
그 한마디에 무너져 그렇게 우린
다시 돌아갈 수도 없는 시간에
이별을 고해
안녕
이제 우리의 인사는 달라졌지만
고마웠었어 미안했어
안녕 너를 사랑했었어
너를 사랑했었어 너를 사랑했었어
너를 사랑했었어
계속 흘러가는 시간 속에 너를
이젠 떠나 보낼게
안녕 너에게 다시 묻고 싶어
그렇게 나는 다시
돌아갈 수도 없는 시간을
붙잡고 싶지만
안녕
이제 우리의 인사는 달라졌지만
고마웠었어 미안했어
안녕 너를 사랑했었어"
5,샤넌,이런 밤이면,"난 아직도 널 생각하다 잠들어
이런 밤이면
우울해지는 마음에 괜히
너에게 전화를 걸어
끊어버리겠지만
워어어 말해줘
너도 분명 날 사랑했었다고
어쩌면 전부였다고
오늘밤
내 꿈속이라도 찾아와 줘
너 다시 날 안아줘
그리워요 너와 헤어진 뒤로는
난 변한 게 없죠
늘 항상 곁에 살았던 너를
더 이상 못 본다는 게
그게 너무 아픈데
워어어 말해줘
너도 분명 날 사랑했었다고
어쩌면 전부였다고
오늘밤
내 꿈속이라도 찾아와 줘
너 다시 날 안아줘
다신 볼 수 없어도
난 기다릴 수 있는데
안녕이라는 말은 하지 말아요
잊지 말아줘
널 보낸다는 게 난 힘들어 제발
제발 떠나지 말아요 나를
너 같은 사랑 두 번 다시는
절대로 못 할거야
우 nonono
나는 너뿐이야"
6,승희 (오마이걸),You Are,"사랑을 해도 될까요
살며시 안아도 될까요
불이 꺼진 캄캄한 내 맘
별처럼 수 놓아진 그대를
매일 걷던 슬픈 눈물길도
걱정뿐인 나의 긴 하루도
빈틈없이 그대로 채워지고
하얀 빛으로 물들죠
행복해서 꿈인 것만 같아서
왈칵 참았던 눈물을 쏟았어
봄의 온길 그리던 겨울의 기다림
내 맘 같았을까
한순간 피고 질 사랑이라 해도
그치지 않는 슬픈 비가 된대도
바보처럼 나 뒷걸음치지 않을래요
Cause you're my everything
눈 감아도 희미하지 않아
돌아서도 멀어지지 않아
얼어붙은 내 맘만 비켜 가던
사랑 그대가 온 거죠
행복해서 꿈인 것만 같아서
왈칵 참았던 눈물을 쏟았어
봄의 온길 그리던 겨울의 기다림
내 맘 같았을까
잠시 머문 바람처럼 날 떠나도
안녕 그 말이 아픈 인사가 돼도
바보처럼 그댈 후회하지 않을게요
Cause you're my destiny
나 그대를 바라보고 있죠
나 그대를 사랑하고 있죠
그대 없인 내가 될 수 없다는 걸
그댄 알까요
It's you I love
It's you I love
It's you I love
It's you I love"
7,"015B, 먼데이 키즈 (Monday Kiz)",텅 빈 거리에서 (1990),"내 곁에 머물러줘요 말을 했지만
수많은 아픔만을 남긴 채
떠나간 그대를
잊을 수는 없어요
기나긴 세월이 흘러도
싸늘한 밤 바람 속에
그대 그리워 수화기를 들어보지만
또다시 끊어버리는 여린 가슴을
그댄 이젠 알 수 있나요
유리창 사이로 비치는
초라한 모습은
오늘도 변함없지만
오늘은 꼭 듣고만 싶어
그대의 목소리 나에게 다짐을 하며
떨리는 수화기를 들고 너를 사랑해
눈물을 흘리며 말해도
아무도 대답하지 않고
야윈 두 손에 외로운 동전 두 개뿐
난 수화기를 들고 너를 사랑해
눈물을 흘리며 말해도
아무도 대답하지 않고
야윈 두 손에 외로운 동전 두 개뿐
떨리는 수화기를 들고
너를 사랑해
눈물을 흘리며 말해도
아무도 대답하지 않고
야윈 두 손에 외로운 동전 두 개뿐"
8,6 to 8,여전히 여전해,"여전히 여전해 잠이 부족할 만큼
일 속에 묻혀 살곤 해
잠시 끊었던 운동도 미뤘던 여행도
다시 또 시작했어
여전히 여전해 친구들의 걱정에
여자도 소개받곤 해
모두 너 같진 않지만 괜찮은 여자와
잘 해보기도 했어
다들 그러잖아 괜찮아지더라
잘 지내는 내가 어색해지더라
이래도 돼 벌써 잊어도 되니
서운하겠지만
너무 잘 지내서 미안해 정말
여전히 여전해 니가 싫어했었던
옷들을 꺼내 입곤 해
듣기 싫던 니 잔소리 화내던 얼굴이
이젠 그립지 않아
다들 그러잖아 괜찮아지더라
잘 지내는 내가 어색해지더라
이래도 돼 벌써 잊어도 되니
서운하겠지만
너무 잘 지내서 미안해 정말
너도 누군가를 만나고 있겠지
나보다 더 내가 준 것보다
더 많은 걸 줄 사람
사랑하고 있겠지
그리움이 지나 오늘이 오더라
많이 울던 내가 창피해지더라
멀쩡해도 이러다 니가
가끔 따끔대긴 해도
그냥 그래 이젠 걱정하지 마"
9,먼데이 키즈 (Monday Kiz),One Day,"어둑해져 가는 이 길 끝에 서면
원치 않게 번져가던 기억들이 밀려와
어느새 비는 또 내 옷을 적시고
더욱 닫혀져만 가는
내 마음에 들어와
얼마나 더 이 시간을 견뎌야
예전처럼 또 웃을 수 있을까
잊어버릴까 봐요 독하게 잊을까 봐요
지워도 지워도 번지는 기억에
자꾸 눈물이 나
더 나아질게 없어요
하루가 너무 길어요
지우고 지워도 아직도
숨조차 쉴 수 없네요 안되네요
한두 번 상처엔 아무 느낌 없죠
숨을 참고 또 내쉬어도
모든 게 제자리죠
그때는 몰랐죠 행복했었는데
오랜 시간 그 끝에서
이제야 깨달았죠
얼마나 더 이 시간을 견뎌야
예전처럼 또 웃을 수 있을까
잊어버릴까 봐요 독하게 잊을까 봐요
지워도 지워도 번지는 기억에
자꾸 눈물이 나
더 나아질 게 없어요
하루가 너무 길어요
지우고 지워도 아직도
숨조차 쉴 수 없네요 안되네요
내 마음이 연기처럼 흩어져
달아나도 자꾸만 제자리인걸
까맣게 타버렸는데
버리지도 못하는 내가 미워
잊어버릴까 봐요 독하게 잊을까 봐요
지워도 지워도 번지는 기억에
자꾸 눈물이 나
더 나아질게 없어요
하루가 너무 길어요
지우고 지워도 아직도
숨조차 쉴 수 없네요 안되네요"
10,Various Artists,님의 기도 ('81 제5회 MBC대학가요제 은상),[가사 준비중]
