,가수,제목,가사
10,유리상자,사랑해도 될까요,문이 열리네요 그대가 들어오죠 첫 눈에 난 내 사람인걸 알았죠 내 앞에 다가와 고개 숙이며 비친 얼굴 정말 눈이 부시게 아름답죠  웬일인지 낯설지가 않아요 설레고 있죠 내 맘을 모두 가져간 그대  조심스럽게 얘기할래요 용기내볼래요 나 오늘부터 그대를 사랑해도 될까요 처음인걸요 분명한 느낌 놓치고 싶지 않죠 사랑이 오려나봐요 그대에게 늘 좋은것만 줄께요  웬일인지 낯설지가 않아요 설레고 있죠 내 맘을 모두 가져간 그대 참 많은 이별 참 많은 눈물 잘 견뎌냈기에 좀 늦었지만 그대를 만나게 됐나봐요  지금 내 앞에 앉은 사람을 사랑해도 될까요 두근거리는 맘으로 그대에 고백 할께요  조심스럽게 얘기할래요 용기내볼래요 나 오늘 부터 그대를 사랑해도 될까요 처음인걸요 이 느낌 놓치고 싶지 않죠 사랑이 오려나봐요 그대에게 늘 좋은것만 줄께요  내가 그대를 사랑해도 될까요 -
11,심은경,빗물 (Raindrop),조용히 비가 내리네 추억을 말해주듯이 이렇게 비가 내리면 그날이 생각이 나네 옷깃을 세워주면서 우산을 받쳐준 사람 오늘도 잊지못하고 빗속을 혼자서 가네 어디에선가 나를 부르며 다가오고 있는 것 같아 돌아보면은 아무도 없고 쓸쓸하게 내리는 빗물 빗물 조용히 비가 내리네 추억을 말해주듯이 이렇게 비가 내리면 그 사람 생각이 나네 어디에선가 나를 부르며 다가오고 있는 것 같아 돌아보면은 아무도 없고 쓸쓸하게 내리는 빗물 빗물 조용히 비가 내리네 추억을 말해주듯이 이렇게 비가 내리면 그 사람 생각이 나네 우 우
12,Crush,잠 못드는 밤 (Feat. 펀치),널 사랑하고 있어요 혹시 내 맘 안보이나요 부디 멀어지지 말아요 내 눈물이 떨어지려하니까 나는 너를 기다리고 있어 같은 자리 같은곳에 있어 겨울지나 봄이 오는것처럼 with you 파도처럼 밀려드는 마음 별빛처럼 쏟아지는 눈물 내 가슴에 부서져내린다 왜 날 사랑하지 않을까 왜 아닐까 왜 머릿속을 돌아다닐까 love you 아무말도 난 할 수 없었겠지만 I don`t wanna cry 우리집앞에 녹색지붕에 그집에 니가 혹시 살고 있을까 밤새도록 그 집만 쳐다보는걸 널 사랑하고 있는데 혹시 내 맘 안보이니 부디 멀어지지 말아줘 내 눈물이 떨어지려하니까 자주입던 외투 낡은 갈색의자 집에 가는 버스 자주가던 식당 이 모든것이 다 너에 대한 기억 I remember you 너의 단골술집 인디들의 노래 오래된 스웨터 빨간색 목도리 이 모든 것이 다 너에 대한 기억 you know 비가 오면 피할곳을 찾듯 힘이 들면 잠시 쉬어가듯 너의 뒤를 나 항상 지켜줄 텐데 with you 시간은 벌써 저녁을 지나 고요하게 세상은 눈 감아 나 혼자만 널 향한 불면증 나 혼자 외딴섬인가 아니면 내 마음에 감옥을 또 지었나 사랑한 죄로 받는 벌이기엔 너무 가혹해 내 맘을 증오해 I know it love is pain 파란색 외투속에 구겨놓은 편지 끝내는 못전할 내 마음의 진실 외로운 내 빈방 혼자서 고백하는 슬픈 오늘밤 널 사랑해 널 사랑하고 있는데 혹시 내 맘 안보이니 보이지 않니 부디 멀어지지 말아줘 내 눈물이 떨어지려하니까 tonight I wanna cry oh lady tell me why 나 잠 못드는 외로운 이 밤 tonight I wanna cry oh lady tell me why 널 생각하면 쓸쓸한 이 밤
13,"이소라, 유희열",나를 사랑하지 않는 그대에게 (리버풀 버스킹 Ver.),난 너에게 편지를 써 모든 걸 말하겠어 변함없는 마음을 적어주겠어 난 저 별에게 다짐했어 내 모든 걸 다 걸겠어 끝도 없는 사랑을 보여주겠어 더 외로워 너를 이렇게 안으면 너를 내 꿈에 안으면 깨워줘 이렇게 그리운 걸 울고 싶은 걸 난 괴로워 네가 나 아니라 다른 사람에게만 웃고 사랑을 말하고 오 그렇게 싫어해 날 난 욕심이 너무 깊어 더 많은 걸 갖고 싶어 너의 마음을 가질 수 없는 난 슬퍼 더 외로워 너를 이렇게 안으면 너를 내 꿈에 안으면 깨워줘 이렇게 그리운 걸 울고 싶은 걸 난 괴로워 네가 나 아니라 다른 사람에게만 웃고 사랑을 말하고 오 그렇게 날 싫어해 날 너에게 편지를 써 내 모든 걸 말하겠어
14,태연 (TAEYEON),Do You Love Me?,여길 봐요 나 홀로 그대만 본 지 오래 아무도 내 맘 몰라요 말한 적도 없죠 이런 날 오늘만을 위해 몰래 숨겨왔어 이 노래 요즘 어때요 자꾸 또 다른 얘기만 하게 돼요 내 맘속 사실 Do you love me 바랬던 단 하나 You love me 알아요 너무 흔한 그 말 세상 뻔한 그래도 듣게 되면 나 녹아버릴 그 말 날 녹여버릴 그 말 Do you 들어봐요 가만히 그댈 향한 이 노래 혹시 나 어때요 자꾸 또 입안에서만 맴도네요 내 맘속 사실 Do you love me 바랬던 단 하나 You love me 알아요 너무 흔한 그 말 세상 뻔한 그래도 듣게 되면 나 녹아버릴 내게 묻은 그대 향기 누가 눈치채기 전에 I wanna know if you love me 말해봐요 Do you love me 길었던 기다림 You love me 가슴속 소원 하나 Love me 아나요 가장 아름답고 황홀한 말 오늘 밤 듣게 되면 다 녹아내릴 그 말
15,"김제훈, ODD-CAT (오드캣)",니 맘 내 맘(EYE TO EYE),지난번에 말이야 내가 얘기한 Cafe 기억나 이따가 둘이 함께 어때 맞아 그 거리에 꽃들이 예쁘게 피어있대 오늘 별일 없어 시간 괜찮아 좋은 날일 거야 날 믿어도 돼 자꾸 웃게 되는 건 뭐 때문일까 니 맘 내 맘 같은 맘 같아 눈빛만 봐도 I know 너뿐인 걸 니 맘 내 맘 말하지 않아도 우리 둘이 텔레파시 니 맘이 내 맘이야 내 맘이 니 맘이야 니 맘이 내 맘 내 맘이 니 맘 Eye To Eye 오랜만에 느껴지는 설렘이 마음속 가득해 끊이지 않는 대화 참 좋아 너와 보내는 이 시간이 내겐 꼭 타임머신 같아 조금만 더 둘이 함께 So Where We go 환한 미소의 널 폰에 담을래 자꾸 웃게 되는 건 뭐 때문일까 니 맘 내 맘 같은 맘 같아 눈빛만 봐도 I know 너 뿐인 걸 니 맘 내 맘 말하지 않아도 우리 둘이 텔레파시 처음이야 내겐 하루 끝이 이렇게 아쉬운 적은 지금껏 정말 몰랐었어 끝이 아니라 이게 시작이라고 너에게 말하고 싶은 나야 니 맘 내 맘 같은 걸 알아 숨길 수 없는 이 맘 너뿐이니까 니 맘 내 맘 이어진 것 같아 Yeah 우리 둘이 텔레파시 눈을 맞춰 니 맘 내 맘 같은 맘 같아 눈빛만 봐도 I know 너뿐인 걸 니 맘 내 맘 말하지 않아도 우리 둘이 텔레파시 니 맘이 내 맘이야 내 맘이 니 맘이야 니 맘이 내 맘 내 맘이 니 맘 Eye To Eye
16,선우정아,타이밍,또 놓친 것 같아 네 마음을 또 멀어지나봐 우리 시간이 되짚어봐도 이미 비틀어진 거리 꼬여버린 우리 이야기 섣불리 손 댈 수 없어 웃어주고 싶은데 더 눈 맞추고 싶은데 오늘 하루 널 얼마나 보고 싶었는지 작게 얘기하면서 위로하고 싶은데 더 멀어지기 전에 내 베개 위로 우리의 예쁜 시간들이 자꾸 떨어지고 있어 또 놓친 것 같아 우리의 타이밍 넌 어디쯤이야 먼저 가지마 상처줄까봐 벌린 그 틈을 비집고 끼어드는 서운함에 솔직히 이젠 모르겠어 웃어줬음 좋겠어 먼저 눈 맞춰줬으면 오늘 하루 날 얼마나 보고 싶었는지 어색한 고백같은 위로를 받고 싶어 언제쯤 네게 가면 되는 걸까 웃어주고 싶은데 더 눈 맞추고 싶은데 오늘도 한참 너의 맘을 기다리다가 결국 되돌아왔어 난 붙잡고 싶은데 더 멀어지기 전에 내 베개 위로 우리의 예쁜 시간들이 자꾸 떨어지고 있어
17,모던 쥬스,버스정류장,왜 늘 이별은 피할 수 없는지 왜 늘 사랑은 그때야 오는지 오늘도 눈치없는 햇살은 힘겨운 하룰 시작하라고 창문을 두드리죠 밤새 지나쳐간 소나기처럼 금새 마를 아픔이라면 이별도 견딜만할텐데 밤새도록 흐른 내 눈물도 마를 수 있을텐데 지친 그리움에서 달아날 수 있게 아마 사랑이란 건 끝이 없는건가봐 다 주고 다 버려도 다시 자라나 내 안에 담아두기에는 너무나도 커져버려서 이젠 숨쉬는 것조차 힘겨워 - 간 주 중 - 그때 마지막 버스를 보내고 밤새도록 아침이 오기를 기다리던 그 버스정류장 손을 놓지 못했던 우리의 따스했던 기억이 아직 그대로인데 그 곳에 있는데 이제 혼자라는 건 너무 두렵기만 해 이별을 처음 겪는 일도 아닌데... 얼마나 시간이 흘러야 담담하게 살아갈 수 있을까 모든 걸 잊을 수 있을까 시간이 지워줄꺼란 그 말을 믿고 싶었어 시간은 어리석음을 애써 비웃듯 멈춰 있나봐 아마 사랑이란 건 끝이 없는건가봐 다 주고 다 버려도 다시 자라나 내 안에 담아두기에는 너무나도 커져버려서 이젠 숨쉬는 것조차 힘겨워
18,유재하,우리들의 사랑,따르릉 소리 전화를 들면 들려오는 그대 목소리 보고픈 마음 가눌 수 없어 큰맘 먹고 전화했대요 햇님이 방실 달님이 빙글 우리들의 사랑을 지켜봐주는 것 같아요 가슴으로 느껴 보세요 난 얼마만큼 그대 안에 있는지 그 입술로 말해 보세요 오래 전부터 나를 사랑해왔다고 말이에요 만나면 때론 조그만 일에 화를 내고 토라지지만 그래 그 담엔 화해해놓고 돌아서서 나 혼자 웃네 새들이 소곤 꽃들이 수근 우리들의 사랑에 질투라도 하는가 봐요 가슴으로 느껴 보세요 난 얼마만큼 그대 안에 있는지 그 입술로 말해 보세요 오래 전부터 나를 사랑해왔다고 말이에요 햇님이 방실 달님이 빙글 우리들의 사랑을 지켜봐주는 것 같아요 가슴으로 느껴 보세요 난 얼마만큼 그대 안에 있는지 그 입술로 말해 보세요 오래 전부터 나를 사랑해왔다고 가슴으로 느껴 보세요 난 얼마만큼 그대 안에 있는지 그 입술로 말해 보세요 오래 전부터 나를 사랑해왔다고 가슴으로 느껴 보세요 난 얼마만큼 그대 안에 있는지 그 입술로 말해 보세요
19,허각,헤어질걸 알기에 (Duet With 정은지),우리가 헤어질 걸 알기에 너무나 멀어질 걸 알기에 자꾸만 자꾸만 차가운 눈물만 흐른다 이제 곧 돌아설걸 알기에 너무나 멀어질 걸 알기에 한번만 딱 한번만 니 이름을 불러본다 잘가 잘가 잘가 잘가 내가 보고싶어도 울지마 돌아선 그 발걸음 절대 절대 멈추지 마 안녕 안녕 안녕 안녕 나 하나밖에 모르던 사람 돌아서 걷는 걸음 너무 너무 아프지만 이제 곧 돌아설걸 알기에 너무나 멀어질 걸 알기에 한번만 딱 한번만 니 이름을 불러본다 잘가 잘가 잘가 잘가 내가 보고싶어도 울지마 돌아선 그 발걸음 절대 절대 멈추지 마 안녕 안녕 나 하나밖엔 모르던 사람 돌아서 걷는 걸음 너무 너무 아프지만 안녕
20,포맨 (4MEN),넌 나의 집,힘든 날 쉬게 하고 지친 어깨를 안아 주는 단 하나 모두가 나를 떠나가도 늘 제자리에 있어 줄 변함 없이 지켜줄 단 하나 바람 시원한 창문 포근한 침대 이불 어두운 밤 내 자장가 꿈 속보다도 천국 가장 편한 곳 떠나기 싫은 넌 나의 집 내 하루 온 종일을 같이 있어도 안 질리는 단 하나 어디에 다녀와도 다시 돌아갈 수 있는 곳 변함 없이 기다려 줄 단 하나 바람 시원한 창문 포근한 침대 이불 어두운 밤 내 자장가 꿈 속보다도 천국 가장 편한 곳 떠나기 싫은 넌 나의 집 내게 찾아와 집이 돼 준 너 항상 옆에 있어 줄게 불빛이 꺼지지 않게 지켜 줄게 아주 멀리 있어도 아주 멀리 있어도 언젠간 돌아갈 나의 집 너의 품 안에 전부 내가 있을게 꿈 속 보다도 천국 가장 편한 곳 떠나기 싫은 넌 나의 집
21,피아노맨,다시 너,잘 지냈지 몇 년 만에 우리가 첨으로 나눈 인사 여전히 너의 눈과 표정 변한 게 없구나 태연한 척 서로 안불 묻지만 너와 눈이 맞닿는 순간에 나도 몰래 자꾸 심장이 아려와 너는 그땐 참 어설펐었다며 여자 맘을 몰라준 바보같은 사람 이었다고 아무렇지 않은 듯 내게 얘기하는 널 앞에 두고 다시 생각해도 난 다시 돌아가고 싶어 참 어렵겠지만 널 사랑했던 그땐 차마 하지 못 했었던 그 말 이제서야 미안해 어쩌면 다시 한다는 게 처음 만난 시절보다 어색할 수도 있어 하나 내가 약속할게 이젠 다시는 널 혼자 외롭게 두진 않을게 혜화동 거릴 거닐곤 할 때면 참 어렸던 그때가 가끔 너는 그립곤 했다고 아무렇지 않은 듯 내게 얘기하는 널 앞에 두고 다시 생각해도 난 다시 돌아가고 싶어 참 어렵겠지만 널 사랑했던 그땐 차마 하지 못 했었던 그 말 이제서야 미안해 어쩌면 다시 한다는 게 처음 만난 시절보다 어색할 수도 있어 하나 내가 약속할게 이젠 다시는 널 혼자 외롭게 두진 않을게 꽤 많은 시간 흘러 이렇게 우리가 다시 만나도 어제 만난 것처럼 자연스럽게 웃는 넌 참 아름다워 다시 시작하면 난 많이 잘해주고 싶어 사소한 것부터 참 어설펐던 그땐 차마 하지 못했었던 그 말 이젠 할게 사랑해 어쩌면 다시 하는 우리 처음 만난 시절보다 사랑할 것만 같아 멀리 돌아와서 미안 이젠 다시는 절대로 헤어지지 않기로 해
22,레오(LEO),남아있어,길을 걷다 나조차 모르게 너와 걷고 있는 내가 보여 누군가와 만나 얘기해도 마주 앉아있는 네가 보여 참 우습지 넌 없는데 수많은 흔적이 날 흔들고 무너트려 Everytime everyday everywhere 내가 숨 쉬는 모든 곳에 네가 있어 셀 수 없이 남아있어 끝도 없이 내일이면 널 잊을까 아무리 널 지워보려 해도 남아있어 너는 어때 잘 웃고 있는지 걱정은 안 할게 쓸데없이 너의 하루 모든 시간 속에 아주 작은 흔적이라도 남아있는 내가 있는지 궁금해 참 우습지 넌 없는데 수많은 흔적이 날 흔들고 무너트려 Everytime everyday everywhere 내가 숨 쉬는 모든 곳에 네가 있어 셀 수 없이 남아있어 끝도 없이 내일이면 널 잊을까 아무리 널 지워보려 해도 남아있어 얼마나 더 멀어져야 네게서 벗어날 수 있을까 멀어진 점 하나 여전히 넌 아름답게 빛나
23,이규석,기차와 소나무,기차가 서지않은 간이역에 키작은 소나무 하나 기차가 지날 때마다 가만히 눈을 감는다 남겨진 이야기만 뒹구는 역에 키작은 소나무 하나 낮은 귀를 열고서 살며시 턱을 고인다 사람들에게 잊혀진 이야기는 산이되고 우리들에게 버려진 추억들은 나무되어 기적 소리없는 아침이면 마주하고 노랠 부르네 마주보고 노랠 부르네
24,지아,사랑은창밖의빗물같아요,이밤 왠지 그대가 내곁에 올것만 같아 그대 떠나버린걸 난 지금 후회 안해요 그저 지난 세월이 내리는 빗물 같아요  그렇지만 문득 그대 떠오를 때면 이 마음은 아파올거야 그 누구나 세월가면 잊혀지지만 사랑은 창밖에 빗물 같아요  이밤 그대 모습이 내맘에 올것만 같아 그대 말은 안해도 난 지금 알수 있어요 그저 지난 세월이 내리는 빗물같아요  그렇지만 문득 그대 떠오를 때면 이마음은 아파올거야 그 누구나 세월가면 잊혀지지만 사랑은 창밖에 빗물 같아요 사랑은 창밖에 빗물 같아요 사랑은 창밖에 빗물 같아요
25,구윤회,Starry Night (With Soul Summit),무심코 옮긴 내 발걸음 익숙한 계절의 냄새가 너를 담아 우연히라도 마주칠까 거리를 둘러봐 잘지내는지 널 추억 하는 밤 혹시 너도 날 생각하지 않는지 우리함께 듣고 부르던 이 노랠 기억하는지 우연히라도 듣게 되면 날 떠올리는지 우리 함께 걷고 거닐던 그때로 Starry night Starry night 우리 함께 걷던 그 밤을 난 기억해요 기억하죠 한참을 서성이다 먼저 날 찾지 않을까 그때도 우릴 비추던 별이 빛나는 밤에 왠지 널 볼 것만 같아 오늘은 우리함께 웃고 떠들던 집앞 카페야 달콤한 미소 지어주던 내 앞에 널 그리다 오늘도 날은 저물어 널 떠올리는 밤 Starry night Starry night 우리 함께 걷던 그 밤을 난 기억해요 기억하죠 한참을 서성이다 먼저 날 찾지 않을까 그때도 우릴 비추던 별이 빛나는 밤에 또 하루를 살아요 잊혀지지 않는 널 안고 Starry night Starry night 우리 함께 걷던 그 밤을 난 기억해 기억해 한참을 서성이다 먼저 날 찾지 않을까 그때도 우릴 비추던 별이 빛나는 밤에
26,써니힐,교복을 벗고,오늘따라 출근길은 정말 많이 춥네 앞만 보고 달려왔던 시간들 이번 여름에는 휴가도 못 갔죠 내가 원한 삶이 아닌데 그 때마다 생각나죠 교복 입은 그 때 뭘 입을지 고민하지 않았지 명찰 잊지 않고 머릴 빗던 꿈꾸던 소녀 행복한 그 때로 그 때로 돌아가고 싶어 가고파 화장 안 하고도 깨끗했었던 철부지 소녀야 하루 하루 매일 변해가네 난 다시 돌아가고 싶어 꺄르르 웃던 행복했던 그 시간들이 그리워 엄마 품에 안겨 잠들었지 그 땐 좁았어도 아늑했던 우리 집 사실 우리 집이 아닌 전세지만 오늘따라 그 동네가 그리워 아빤 매일 빨간 코가 돼서 들어와 그 시간이 되기만을 기다려 기분이다 용돈 주던 아빠 너무 그리워 행복한 그 때로 그 때로 돌아가고 싶어 가고파 화장 안 하고도 깨끗했었던 철부지 소녀야 하루 하루 매일 변해가네 난 다시 돌아가고 싶어 꺄르르 웃던 행복했던 그 시간들이 그리워 시간 여행자라면 좋겠어 단 하루만이라도 그 때 그 마음 기억하며 웃음 지을래 난 어른이 되면 행복할 줄 알았어 흔한 드라마 속 주인공처럼 될 것만 같았어 가슴 뛰던 날 생각나 유난히도 좋던 첫사랑도 교복을 입고 같이 걷던 그 때 우리가 그리워
