,가수,노래 제목,노래 가사
10,한동근,나를 기다렸나요,나를 기다렸나요 내가 보고 싶었나요 나는 아무것도 아는 게 없군요 당신의 마음 한구석도 그대와 걸음 맞추며 더 멀어지지 말자며 함께 보냈던 날들을 기억하나요 그댄 그때 참 좋았죠 그동안 어떻게 지냈나요 아픈 덴 혹시 없었나요 난 그댈 보니 조금 아파요 시간이 지나도 변한 게 없는 듯 웃어주어 고마워요 우리 이렇게 오래간만이네요 그대와 손가락 걸고 첫눈 오는 날 보자며 우리 약속했는데 참 오래도 걸렸네요 그때 참 좋았죠 그동안 어떻게 지냈나요 아픈 덴 혹시 없었나요 난 그댈 보니 조금 아파요 시간이 지나도 변한 게 없는 듯 웃어주어 고마워요 우리 이렇게 오래간만이네요 나는 기다렸어요 너무 보고 싶었어 네가 다시 만나기만 꿈꿔왔죠 그렇게 내가 기도했어요 우린 우연이 아니길 시간이 걸려 다시 만나진 만큼 이대로 다신 떨어지지 말고 그래 참 오래간만이죠
11,아이비,사랑아 어떻게,"떠밀듯이 나를 밀어 낸 니가 떠난 거리에서면 숨을 쉴 수 없어 일년 이란 시간 흘러도 아직도 여전히 걸을 때 마다 아파 그만 지칠 때도 됐는데, 놀라 잠을 깨는 내 눈물 마르지가 않아 내방 가득히 젖어있는 그 말 ""I love you"" 내 가슴 지금도 터질 듯 한말  * 사랑아 어떻게 사랑아 어떻게 니가 너만 전부였던 날 혼자 두고 간 거니 눈물은 나를 닦으며 오늘도 너를 잊으래 내가 어떻게 그래 이별은 알 수 없는 일. 주고가  아직도 나 갖고 있는 니가 사준 선물을 보면 그 기억에 멈춰 우리 온종일 늘 함께했던 말 ""I love you"" 내게 했던 말 다신하면 안돼  *  살 수 있게 돌아 와 줄래 제발 어떻게든 다시 내가 잡을 수 있게 날 도와줘  눈물아 부탁해 눈물아 말 전해줄래 못나게도 아직 난 사랑하고 있다고 또 다른 사랑을 찾아 눈물은 너를 보내래 내가 어떻게 그래 같은 시간이 와도 너 일텐데"
12,벤,잘해준 것 밖에 없는데,잘해준 것 밖엔 없는데 잘해준 것 밖엔 없는데 시간이 지나면 지날수록 점점 넌 차가워지고 잘해준 것 밖엔 없는데 잘해준 것 밖엔 없는데 시간이 지나면 지날수록 점점 넌 변해만 가고 넌 나랑 왜 만나니 그렇게 내가 쉬워 보였니 주긴 싫고 갖긴 싫은 그런 사람이 나였니 사랑한 적 없다고 말해도 싫다고 말해도 왜 네가 좋은 건지 내가 더 잘할게 잘해준 것 밖엔 없는데 잘해준 것 밖엔 없는데 시간이 지나면 지날수록 점점 넌 변해만 가고 넌 나랑 왜 만나니 그렇게 내가 쉬워 보였니 주긴 싫고 갖긴 싫은 그런 사람이 나였니 사랑한 적 없다고 말해도 싫다고 말해도 왜 네가 좋은 건지 내가 더 잘할게 넌 나랑 왜 만나니 그렇게 내가 쉬워 보였니 주긴 싫고 갖긴 싫은 그런 사람이 나였니 사랑한 적 없다고 말해도 싫다고 말해도 왜 네가 좋은 건지 내가 더 잘할게 잘해준 것 밖엔 없는데 잘해준 것 밖엔 없는데
13,가비엔제이,I'm Fine,새벽 늦게 다녀도 연락 없이 술을 마셔도 편해 눈치 안 봐도 돼 낯선 남잘 만나도 허락 없이 전활 꺼놔도 편해 맘대로 해도 돼 비가 오는 날엔 멍하니 집에 있어도 좋은데 다 좋은데 괜찮은 걸까 행복해도 되니 잘 지내도 되니 어색해 이상해 나 이래도 돼 니가 빠진 하루 아프지 않단 게 익숙해질 내가 두려워 가기 싫은 약속도 혼자 쉬고 싶던 주말도 이젠 맘대로 해도 돼 잠이 안 올만큼 내가 널 걱정 안 해서 좋은데 다 좋은데 괜찮은 걸까 행복해도 되니 잘 지내도 되니 어색해 이상해 나 이래도 돼 니가 빠진 하루 아프지 않단 게 익숙해질 내가 두려워 우리 얼마나 소란했는데 많이 미워했는데 그렇게 떠나보면 편할 줄 알았나봐 난 아직 제자린가 봐 매일 사랑한단 너의 거짓말로 다시 한 번 나를 울려줘 소리쳐도 좋아 화를 내도 좋아 그립다 그립다 니 목소리가 니가 빠진 하루 어느새 아프다 니가 없는 내가 두려워
14,비투비,"미안해 (Song by 서은광, 이민혁, 이창섭)",보고 싶다고 정말 보고 싶다고 갑자기 울면서 전화한 너 너무 혼란스러워 대답을 하지 못했어 어떻게 해야 할지 몰라 끝까지 난 나 끝까지 못됐지 참 많이 이기적이겠지 그치만 알잖아 어쩔 수 없단 거 이해하잖아 솔직히 너무도 겁나서 도망쳤어 그래 내가 다 망친 거야 우리 관계를 몇 번이고 반복했지만 불 보듯 뻔한데 이기심에 다시 널 외롭게 만들 순 없어 미안 정말 어쩔 수가 없어 미안해 이 말뿐이어서 정말 미안해 미안하다 해서 우는 너에게 해줄 말이 없어 난 그냥 미안해서 전부 미안해서 아니야 그게 아니야 그만 울어 날 잊고 웃어야 해 행복해야 해 안녕 사랑한다고 정말 사랑한다고 서럽게 울던 네가 마음에 걸려 문득 원망스러워 모진 말을 했던 게 이렇게 후회될 줄 알았다면 그 말 원망도 많이 했겠지 싫은 티 하나 없이 내 탓이라 여겼던 나 실은 알았던 거지 전 같지 않다는 걸 서로 원하는 맘보다 이미 돌이킬 수 없이 흘러 버린 시간이란 걸 내가 모르는 너와 날 모르는 너 허물 수가 없어 시간 속 높게 세워진 벽 이기심에 다시 널 외롭게 만들 순 없어 미안 나도 이젠 모르겠어 미안해 이 말뿐이어서 정말 미안해 미안하다 해서 우는 너에게 해줄 말이 없어 난 그냥 미안해서 전부 미안해서 단 한순간이라도 그립지 않았다면 전부 지워지기를 모두 꿈이기를 할 수 없잖아 할 수 없잖아 너도 알 수 없잖아 너도 알 수 없잖아 우리 둘 그뿐이란 걸 미안해 이 말뿐이어서 정말 미안해 미안하다 해서 한순간도 잊은 적 없어 난 너무 아팠다고 너무 그리웠다고 아니야 그게 아니야 모르겠어 다시 널 안고 싶어 붙잡고 싶어 정말
15,"김재환, 스텔라장 (Stella Jang)",9월의 바캉스,왠지 잠은 안 오고 사는 걱정에 뒤척이다 괜시리 핸드폰만 만지작대다 뭐가 그렇게 바쁘다고 휴가 한 번도 못 떠나고 이 여름 그냥 이렇게 보내도 될까 뭐가 그리 걱정야 내가 바로 여기 있는데 지금이라도 우리 같이 떠나 볼까 꼭 바다가 아니어도 꼭 멀리 떠나지 않아도 그대와 함께하는 지각 바캉스 운동화 신고서 모두가 잠든 이 밤 골목길을 그대와 함께 손 마주 잡고 걷기만 해도 난 너무 좋은 걸 9월의 바캉스 솔직히 많이 미안했었어 하루하루 바빠서 남들 다 가는 휴가조차 제대로 가지 못해서 그래도 지금 내 곁에 웃고 있는 널 보면 함께 하는 게 얼마나 고마운지 넌 내게 바다보다도 더 햇살보다도 더 달콤한 휴식을 주었으니까 내가 약속할게 자그만 이 침대가 작은 섬처럼 느껴지게 Girl let me love you 반복되는 일상과 하나 마나 한 걱정들 지겨운 사람들의 잔소리까지도 다 벗어던지고서 조금 더 가벼운 맘으로 우리 더 늦기 전에 지각 바캉스 머리만 묶고서 편한 티셔츠 슬리퍼 신고서 그대와 함께 손깍지 끼고 걷기만 해도 난 너무 좋은 걸 9월의 바캉스 바다가 아녀도 모두가 잠든 이 밤 골목길을 그대와 함께 팔짱을 끼고 걷기만 해도 난 너무 행복해 9월의 바캉스
16,P1Harmony,Different Song For Me,Let it out Let it out 누가 뭐라든 간에 I'm gonna sing it out My sound 더는 고민하지 않아  아직 내겐 다 낯설기만 해가 떴지만 아직 난 비가 와 분위기와 난 물과 기름 같아 바탕 물감과 그림은 유화  So we should think and feel that Feel it 나 품고 있던 걸 So you should go and feel that Feel it 다르다 해도  가끔씩은 내게 들려주고픈 노래 밝은 날 내겐 조금 다른 노래 Okay 바로 지금 내게 가장 필요한 노래 I'll find myself even if they fight it Bright day moody song  Woo woo woo woo woo woo woo woo woo woo woo woo Woo woo woo woo woo woo woo woo woo woo woo woo  세상은 내게 차갑기도 해 Uh 다른 곳을 바라볼 땐 Woo 아파 필요해 난 다른 노래에 춤을 춰도 웃음 지며 같이 놀 사람  So we should think and feel that Feel it 나 품고 있던 걸 So you should go and feel that Feel it 다르다 해도  가끔씩은 내게 들려주고픈 노래 밝은 날 내겐 조금 다른 노래 Okay 바로 지금 내게 가장 필요한 노래 I'll find myself even if they fight it Bright day moody song  틀린 게 아냐 다른 거야 난 누가 뭐래도 날 위한 노랠 틀어 밝은 날에 다른 색깔로 녹아들어 낯설지 않아 난 달라 비가 그쳐 가  지금 이 순간 내겐 마지막이 될지도 모르잖아 Another song the moody song  가끔씩은 내게 들려주고픈 노래 밝은 날 내겐 조금 다른 노래 Okay 바로 지금 내게 가장 필요한 노래 I'll find myself even if they fight it Bright day moody song  Woo woo woo woo woo woo woo woo woo woo woo woo
17,오왠 (O.WHEN),Fall In Love,매일 널 생각하며 바라던 그림이야 매일 널 떠올리며 두 눈을 감을 거야 지금 넌 이 시간에 혼자 많은 생각을 하겠지 하나만 알아줘 Maybe I fall in love 별이 아주 많이 쏟아지던 밤 Maybe I fall in love 오늘 밤은 내 맘 전해지기를 제일 밝게 빛나는 그 별이 바로 너야 제일 밝게 맴도는 그 곳에 닿을 거야 지금 난 이 시간에 너와 같은 밤하늘을 올려다 보고 있을 거야 난 Fall in love with you Maybe I fall in love 별이 아주 많이 쏟아지던 밤 Maybe I fall in love 오늘 밤은 내 맘 전해지기를 가끔 흐린 날일 때 별이 하나 없을 때 난 너를 바라볼게 무슨 말이 필요해 내 하늘이야 내 모든 거야 Maybe I fall in love 별이 아주 많이 쏟아지는 날 Maybe I fall in love 오늘 밤은 내 맘 전해지기를 꿈같은 오늘 금방 잠에 들 거야
18,이상순,네가 종일 내려 (with 선우정아),문득 내다본 창문 바깥이 온갖 색깔로 물들어 아득하네 왜 몰랐을까 오래 찾아 헤매던 꽃밭이 다른 어디도 아니고 바로 우리집 앞에 있었네 말했던가요 그대예요 나의 정원을 가꾸고 지켜낸 이 나도 몰랐던 향기 환하게 피어난 꽃들 다른 누구도 아니고 바로 그대였었네 있어 줄래요 내 모든 찰나에 자꾸 목마르기만 해 메마른 맘 여기 내리어 적셔 주오 혼자였던 지난날마저 온통 물들어 버리길 그대의 흔적으로 있어 줄래요 내 모든 찰나에 자꾸 목마르기만 해 메마른 맘 여기 내리어 적셔 주오 혼자였던 지난날마저 온통 물들어 버리길 그대의 흔적으로 네가 종일 내려 내게 와 흐르고 촉촉해진 시간은 멈춰 있네 네가 종일 내려 내게 와 흐르고 촉촉해진 시간은 멈춰 있네 네가 종일 내려 내게 와 흐르고 촉촉해진 시간은 멈춰 있네 네가 종일 내려 내게 와 흐르고 촉촉해진 시간은 멈춰 있네
19,BehindtheMoon,너만의나 (Feat. Bene),매일 널 생각해 너의 그 표정은 어떤 마음을 숨기고 있어 나와 같을 거라 생각을 해봐도 손길조차 내게 오질 않아 솔직히 말해 내 온 길 느껴도 어떤 꽃도 마음에 넌 피어나지가 않아 네가 날 볼 때 내 눈을 느껴줘 내 두 손을 이끌어 당겨줘 보여줘 네 마음이 궁금해 내가 너 있는 곳에 돌아가도 너와 함께면 고민하지 않아 보여줘 네 마음에 내가 들어갈 수 있도록 기억해줘 시간이 지나도 너만의 나를 그날에 널 보고 내가 뭘 느꼈는지 말해줘도 넌 알 수 없어 떠올리는 모든 곳에 네가 있어 한 시도 떼어 놓을 수 없어 솔직히 말해 내 온 길 느껴도 어떤 꽃도 마음에 넌 피어나지가 않아 네가 날 볼 때 내 눈을 느껴줘 내 두 손을 이끌어 당겨줘 보여줘 네 마음이 궁금해 내가 너 있는 곳에 돌아가도 너와 함께면 고민하지 않아 보여줘 네 마음에 내가 들어갈 수 있도록 기억해줘 시간이 지나도 너만의 나를 들려줘 나와 같은 마음을 네 품에 꼭 안겨서 기다릴게 우리 둘이 하나 될 수 있다면 기다려 네 목소리 매일 나만 들을 수 있길 사랑해줘 시간이 지나면 너만의 나를
20,심규선 (Lucia),밤의 정원,한밤중에 악몽의 틈에서 그대를 데려와서 고요하고 너르른 풀밭에 눕히고 재우리라 풀벌레 소리 시냇물이 흐르는 곳에 내일은 아직 오지 못하리 그대가 잠들기 전엔 연거푸 짚고 일어서려는 손 긁히며 달려 멍들고 지친 발 여기 넘어진 채로 우리 함께 엉겨 쉬면 어떠리 깊은 밤 깊은 잠 깊은 밤 젖은 이끼에 벌거벗은 등을 뉘여 보면 어떠리 숨 쉰다 마신다 뱉는다 부드러운 파도를 그대의 턱 끝까지 덮어주고 창밖에는 눈꽃과 안개가 밤새 춤추게 하리라 어린 날의 결핍 무엇으로 채우리야 어제는 다신 오지 못하리 그대 이제 안심하오 연거푸 흘러내리는 붉은 땀 흉진 곳에서 새 잎이 돋는다 여기 넘어진 채로 우리 함께 엉겨 쉬면 어떠리 깊은 밤 깊은 잠 깊은 밤 그래 언제고 일어서서 다시 가야 할 때 오겠지 하지만 지금은 아닐 뿐 나를 잠들게 해줘 눈꺼풀 위로 깊은 잠이 마치 범람하듯 넘친다 잊는다 잊힌다 잊는다 잠든다 꿈조차 없는 잠
21,이병찬,열애중,아직 이별 중인 나에겐 끝이 아닌 것만 같아서 다른 사랑 중인 너지만 나는 아직 너와 열애중 나도 너만큼만 헤어지고 싶어 아니 너보다 더 행복하고 싶어 너는 어떻게 날 잊었는지 가르쳐줘 아직 이별 중인 나에게 난 아직 열애중 누구보다 뜨겁게 사랑해 열애중 헤어져도 헤어진 적 없어 언젠가 내가 너와 이별할 수 있을까 너만 모르게 나는 아직 너와 열애중 매일 이별하고 있지만 아직 너를 기다리는 중 나도 너만큼만 못돼지고 싶어 아니 너보다 더 나빠지고 싶어 너는 어떻게 날 잊었는지 가르쳐줘 아직 이별 중인 나에게 난 아직 열애중 누구보다 뜨겁게 사랑해 열애중 헤어져도 헤어진 적 없어 언젠가 내가 너와 이별할 수 있을까 아무도 모르게 여기서 널 멈추면 정말 이별이 될까 봐 그게 마지막이 될까 봐 널 후회하는 중 누구보다 너를 많이 원망하는 중 미워해도 미워한 적 없어 언젠가 내가 너를 잊고 살 수 있을까 너만 모르게 나는 아직 너와 열애중
22,정가이 (와인루프),그대의 오늘은 어떤 맘인가요,지쳐버린 하루 끝에서 그대의 오늘은 어떤 맘인가요 또 다가오는 내일을 위해서 오랜 이 밤을 보내주겠죠 외롭고 힘든 날들도 다 지나간다던 의미 없는 위로가 그댈 슬프게 하면 숨을 곳조차 없던 그댈 위해 조심스레 말을 건네볼게요 그대의 눈물이 외로이 떨어지지 않게 내 어깨를 빌려 편히 쉴 수 있도록 내가 그댈 안아줄게요 언제든 내 품에서 그 눈물이 마를 수 있게 아무리 노력해 봐도 나아지지 않는 슬퍼하는 감정을 자꾸 꿰매려 하던 그대를 내가 꼭 안아줄게요 이제 더 이상은 울지 말아요 그대의 눈물이 외로이 떨어지지 않게 내 어깨를 빌려 편히 쉴 수 있도록 내가 그댈 안아줄게요 언제든 내 품에서 그 눈물이 마를 수 있게 세상이 그댈 외면한다 해도 그대의 맘을 나는 다 알아요 어떤 말도 그댈 위로할 수 없으니까 오늘의 지친 하루에 띄워서 흘려보내봐요 애써 그 눈물을 참지는 말아요 그대의 눈물이 외로이 떨어지지 않게 내 어깨를 빌려 편히 쉴 수 있도록 내가 그댈 안아줄게요 언제든 내 품에서 그 눈물이 마를 수 있게
23,이예준,서쪽 하늘,서쪽 하늘로 노을은 지고 이젠 슬픔이 돼버린 그대를 다시 부를 수 없을 것 같아 또 한번 불러보네 소리쳐 불러도 늘 허공에 부서져 돌아오는 너의 이름 이젠 더 견딜 힘조차 없게 날 버려두고 가지 사랑하는 날 떠나가는 날 하늘도 슬퍼서 울어준 날 빗속에 떠날 나였음을 넌 알고 있는 듯이 비가 오는 날엔 난 항상 널 그리워해 언젠간 널 다시 만나는 그 날을 기다리며 비내린 하늘은 왜 그리 날 슬프게 해 흩어진 내 눈물로 널 잊고 싶은데 비가 오는 날엔 난 항상 널 그리워해 언젠간 널 다시 만나는 그 날을 기다리며 비내린 하늘은 왜 그리 날 슬프게 해 흩어진 내 눈물로 널 잊고 싶은데 가고 싶어 널 보고 싶어 꼭 찾고 싶었어 하지만 너의 모습은 아직도 그 자리에 비가 오는 날엔 난 항상 널 그리워해 언젠간 널 다시 만나는 그 날을 기다리며 비내린 하늘은 왜 그리 날 슬프게 해 흩어진 내 눈물로 널 잊고 싶은데 하지만 난 널 사랑해
