,가수,노래 제목,노래 가사
0,스카이,24시간의 신화,오늘쯤 올거라 믿으며 매일 밤 기다렸어 다음을 기약도 못한 채 널 보낸 그 날부터 늦어도 올까봐 행여 꿈에라도 올까봐 입은 옷 그대로 매일 잠이 드는 날 아니 널 사랑하면 안 되니 아무것도 바라지 않았잖아 그저 보고싶은 날에 너를 보게 허락해줘 자꾸만 멀리 가지마 일생동안 나 혼자 사랑할게 너 때문에 외로워도 사랑해서 행복해  내 삶에 또 한번 살고픈 순간이 있었다면 흩날린 너의 그 옷자락 손끝에 닿던 그 때 하늘도 모르게 스쳤던 짧은 그 동안이 너와 나 추억의 전부일지라도 감사해 널 사랑하면 안 되니 아무것도 바라지 않았잖아 그저 보고싶은 날에 너를 보게 허락해줘 자꾸만 멀리 가지마 일생동안 나 혼자 사랑할게 너 때문에 외로워도 사랑해서 행복해  사랑한다는 한마디 그 어디에 남기면 네가 아니 들어야 할 넌 없는데 혼잣말은 슬프잖아 너 없는 하루하루가 일생보다 더 길게 느껴져도 기다릴 그 누군가가 내게 있어 행복해
1,김범수,피우든 마시든,술은 입에도 못 댄다며 무알콜로만 주문을 하던 너 얼마 가지 않아 들켰지 정말 대단한 주당이라는 걸 속일 순 없지 내 예민한 청각 전화기 사이로 새어나오는 술잔의 부딪힘 소리 자꾸만 어제일 기억 못 하면 새로 시작 할 거야 술 안 마시는 여자와 마실까 끊을까 고민 고민 하지마 몇 병을 마시든 상관없어 속일까 말할까 나도 고민 안할래 인사해 새로운 내 여자야  담배 연기가 너무 싫다며 금연석만을 고집한 너였지 처음부터 난 다 알았어 니가 얼마나 지독한 골초인지 속일 순 없지 내 타고난 후각 찌들은 냄새가 가글 좀 했다고 사라지지는 않아 자꾸만 나 몰래 숨어서 피면 나도 바람 필꺼야 담배 안 피는 여자와 피울까 끊을까 고민 고민 하지마 몇 갑을 피우든 상관없어 속일까 말할까 나도 고민 안할래 인사해 새로운 내 여자야 시간이 지나면 나아질꺼라 생각 했던 내가 바보였어 기회는 끝났어 더는 참을 수가 없어 우린 너무도 달라 이제 그만 헤어져 마실까 끊을까 고민 고민 하지마 몇 병을 마시든 상관없어 속일까 말할까 나도 고민 안할래 인사해 새로운 내 여자야 피울까 끊을까 고민 고민 하지마 몇 갑을 피우든 상관없어 속일까 말할까 나도 고민 안 할래 인사해 새로운 내 여자야
2,디에이드 (The Ade),닮은거래요,그대를 첨 만났던 봄날이 왔죠 내 맘도 봄을 맞죠 바람이 불어오는 그 창가에 앉아 서로를 마주하죠 스르르 내리는 꽃비처럼 내겐 그대가 봄인가봐요 사랑은 손잡고서 걸어가는 봄 봄을 닮은 거래요 따듯한 햇살 가벼운 공기 다른 연인들의 모습이 보이지 않아요 내 손 꼭 잡아주는 그대만 보여요 사랑은 눈 감으면 느껴지는 봄 봄을 닮은 거래요 스쳐간 입술 짜릿한 떨림 믿겨지지 않아요 이 순간들이 우릴 처음 설레게 한 날 이 봄날을 가끔씩 혼자라고 느껴질 때엔 사랑이 필요한 거래요 그대의 두근두근 입맞춤에 맘이 내 맘이 떨려오네요 사랑은 언제나 가슴 떨리는 봄 봄을 닮은 거래요 따듯한 햇살 가벼운 공기 꽃잎 흩날리는 이 길을 함께 걸어요 내 손 꼭 잡아주는 그대와 걸어요 사랑은 눈 감으면 느껴지는 봄 봄을 닮은 거래요 스쳐간 입술 짜릿한 떨림 믿겨지지 않아요 이 순간들이 우릴 처음 설레게 한 날 봄날을 우린 또 이 계절과 함께 걸어나가요 그댄 나에게 항상 봄이 되어줄 수 있다 해줘요 내 하루는 온통 그대로 설레이니까 사랑은 손잡고서 걸어가는 봄 봄을 닮은 거래요 따듯한 햇살 가벼운 공기 다른 연인들의 모습이 보이지 않아요 내 손 꼭 잡아주는 그대만 보여요 사랑은 눈 감으면 느껴지는 봄 봄을 닮은 거래요 스쳐간 입술 짜릿한 떨림 믿겨지지 않아요 이 순간들이 우릴 처음 설레게 한 날 이 봄날을 그대를 첨 만났던 봄날이 왔죠
3,숙희,솔직히 말해서 아직도 사랑하고 있어,홀로 남은 별빛이 왜이리도 쓸쓸해 텅빈 가슴으로 들어오네요 나를 채워주었던 그대의 그 온기는 식어가네요 im so Lonely 외로움에 잠이 들고 솔직히 말해서 솔직히 말해서 나는 아직 처음마음 처음믿음 그대로 지키고 있는데 왜 불안한가요 돌아와요 처음의 그대로 im so Lonely 외로움에 잠이 들고 솔직히 말해서 솔직히 말해서 나는 아직 처음마음 처음믿음 그대로 지키고 있는데 왜 불안한가요 돌아와요 처음의 그대로 여기에 있어요 수많은 생각속에서 흔들리지않아 솔직히 말해서 솔직히 말해서 나는 아직 사랑이라 믿고싶어 이대로 놓을수없는데 왜 멀어지나요 돌아와요 처음의 그대로 처음의 그대로
4,성시경,그대네요 (Duet With 아이유) (Bonus Track),그대네요 정말 그대네요 그 따뜻한 눈빛은 늘 여전하네요 이제야 날 봤나요 한참을 보고 있었는데 햇살이 어루만지는 그대 얼굴 꿈일지도 몰라 안녕이란 말도 나오질 않아 하고픈 말 얼마나 많았는데 꿈에서도 너만 찾았는데 너무 늦었단 그런 말은 듣기 싫은데 내 눈을 피하는 그대 내 맘이 보이나요 그대 눈빛을 난 알 수가 없어 소리 없이 나 혼자 안녕 알고 있죠 지나간 일에는 너무 힘들었죠 만약이란 없는 것 그래도 한번쯤 달려가 잡았다면 그대가 한번만 안아줬더라면 그렇게 돌아서진 않았을텐데 꿈일지도 몰라 안녕이란 말도 나오질 않아 하고픈 말 얼마나 많았는데 꿈에서도 너만 찾았는데 혹시 그대도 하루마다 힘들었다면 나를 그리워했다면 주저하지 말아요 다시 망설이다 놓칠 순 없어 떨리는 목소리로 안녕 언젠가는 꼭 만나게 될 거라고 마음을 다해 바란다면 난 믿어왔었죠 이젠 슬픔은 없을 거야 우리 다시 만나면 감사해 우연이 선물한 이 순간을 그대도 지금 입술까지 떨려온다면 눈물이 날 것 같다면 내 손을 잡아줘요 그댈 다시 안아 봐도 될까요 숨결처럼 가까이 안녕 우리의 처음처럼 안녕
5,"신용재 (2F), 벤",서로의 서로,첫인사를 나눈 그날이 둘만의 첫 소절이 되어 세상 하나뿐인 소설처럼 오늘도 쓰여지고 있죠 우연이 인연으로 수많은 날이 지나고 인연이 영원으로 늘 함께할게요 잊지 말아요 그대에겐 내가 있어요 내가 그댈 알아보고 그대가 날 알아본 건 세상이 내게 준 선물인 거죠 우리 나이가 들어도 서로의 서로가 되기로 해요 상처도 추억으로 내가 늘 있어 줄게요 눈물도 사랑으로 다 안아줄게요 잊지 말아요 그대에겐 내가 있어요 내가 그댈 알아보고 그대가 날 알아본 건 세상이 내게 준 선물인 거죠 우리 나이가 들어도 서로의 서로가 되기로 해요 여기 많은 사람 앞에 같은 하늘 아래 약속하기로 해 이제 하나 된 그림자 영원히 이 손을 놓지 말아요 우리 나이가 들어도 서로의 서로가 되기로 해요 그대의 그대가 되기로 해요
6,김제훈,너만 생각하면,오늘도 어김없이 빗나가는 말투들에 긴 싸움 끝에 결국 널 울리고 말았어 처음에 약속했던 너의 행복을 위해 나를 다 주겠단 그 약속 왜 이리 힘든 걸까 이 모든 게 내 탓인 걸 난 너만 생각하면 설레임이란 세 글자를 느껴 난 너만 생각하면 미래를 생각하며 더 일을 해 믿지 못하겠지만 변명처럼 들리지만 너만 생각하면 세상을 다 주고 싶은 진심을 믿어줘 자주 일어나는 사소한 다른 입장 속에서 이해라는 두 글자가 오해로 변했어 억지로 참아 봐도 마주 보는 얼굴 속에서 어둡게 피어난 미움들 왜 이리 힘든 걸까 이 모든 게 내 탓인 걸 난 너만 생각하면 설레임이란 세 글자를 느껴 난 너만 생각하면 미래를 생각하며 더 일을 해 믿지 못하겠지만 변명처럼 들리지만 너만 생각하면 세상을 다 주고 싶은 진심을 믿어줘 익숙함에 빠져 너를 힘들게 했지만 오직 내가 기댈 사람 너뿐이니까 난 너만 생각하면 매일 새로운 설레임을 느껴 난 너만 생각하면 미래를 생각하며 더 일을 해 믿지 못하겠지만 변명처럼 들리지만 너만 생각하면 세상을 다 주고 싶은 진심을 믿어줘 믿어줘
7,김동률,여름의 끝자락 (Feat. 김정원),더운 여름의 끝자락 매미들은 울어대고 느릿느릿 읽던 책 한 권 베고서 스르르 잠든다 내가 찾아간 그곳은 꿈에서만 볼 수 있는 아침이면 까마득히 다 잊혀질 아득히 먼 그곳 가물가물 일렁이는 누구일까 애타게 떠올려 봐도 무엇을 찾고 있는지 코끝이 시리다 홀로 걷고 있는 이 길 어제처럼 선명한데 이 길 끝에 나를 기다릴 누군가 마음이 급하다 라라라라 읊조리면 어느샌가 겹쳐진 낯익은 노래 그 순간 눈은 떠지고 바람만 흐른다 또 꿈이었나 멍하니 기지개를 켜다가 젖어 있는 내 두 눈을 비빈다
8,안예은,KAKOTOPIA,우 에이 우에이야 우 에이 우에이야 나 분명히 잠에서 깨어 눈을 떴을 때 또 다른 나쁜 꿈속에 갇혀버린 채 무거운 몸을 겨우 일으켜 세우고서 정신을 차려보니 달려야 해 우 에이 우에이야 우에이야 우 에이 우에이야 우에이야 뜻대로 되지를 않지 어떻게 해야 하는지 도망쳐야 해 hey 담을 넘어서 더 너머로 가자 돌아보지 마 hey 한순간도 낭비하지 마 우 에이 우에이야 우에이야 우 에이 우에이야 우에이야 깨진 무릎에 맺힌 피 마구 흐르는 거친 숨 도망쳐야 해 hey 담을 넘어서 더 너머로 가자 돌아보지 마 hey 한순간도 낭비하지 마 우 에이 우에이야 우에이야 우 에이 우에이야 우에이야 도망치지 마 hey 벽을 부수고 그 위에 올라서 마주 봐야 해 hey 아무것도 널 막을 수 없어 앞만 보고 달려 낭떠러지라도 난 날아올라 우 에이 우에이야 우에이야 우 에이 우에이야 우에이야 우 에이 우에이야 우에이야 우 에이 우에이야 우에이야
9,로이킴,스쳐간다,그대 참지말아요 옆에 없음 보고픈 거예요 그대 막지 말아요 지금 만나자고 말해줘요 딱딱해져버린 우리의 말투는 되돌리기엔 너무 늦었나요 언제 우리 사이가 이렇게 된 걸 까요 어떻게 해야 할지 어떻게 해야 할지 어떻게 해야 할지 그대 내게 말해줘요 느껴지지 않나요 안절부절 하는 내 마음이 왜 내가 들고 있나요 내가 준 그대의 목걸이를 제발 고개 들고 내게 웃어줘요 아직도 떨리는 내 마음은 어떡하죠 언제 우리 사이가 이렇게 된 걸까요 어떻게 해야할지 어떻게 해야할지 어떻게 해야할지 그대 내게 말해줘요 언제 우리 사이가 이렇게 된 걸까요 어떻게 해야할지 어떻게 해야할지 어떻게 해야할지 그대 내게 말해줘요 오 하지만 난 꿋꿋이 참고 견뎌낼 거에요 그대 그냥 스쳐 지나가는 인연이라 되새김질 하며 내가 그대 생각하는 것보다 그대가 날 더 그리워할 때까지
