,가수,노래 제목,노래 가사
76,라디오 월드,놓쳐버린 기회,나의 머리위로 스쳐지나가는 이름 문득 떠올려도 희미해지는 얼굴 불러보아도 대답 없는 그 아이 같아 마지막 까지 간절함에 애가 타는데 내가 불러봐도 메아리만 돌아올뿐 내가 기다려도 스쳐 지나 갈 뿐 불러보아도 대답 없는 그 아이 같아 마지막 까지 간절함에 애가 타는데 내가 불러봐도 메아리만 돌아올뿐 내가 기다려도 스쳐 지나 갈 뿐 스쳐 지나 갈 뿐
77,김재성,거짓말처럼,괜찮아 내게 미안해 할 것 없어 이해해 너도 많이 힘들었겠지 부족한 내 곁에서 많은 시련을 견뎌 왔잖니 모든 건 내가 부족했던 탓이야 조금 더 잘해 주지못한 바보 같은 나 울지 마 니 눈물 앞에서 어떤 말도 못하는 내가 너무 싫어 거짓말처럼 이 모든 일이 꿈 같아 나의 품에 안겨 사랑한다 말 해주던 네가 내 앞에서 고개 숙인 이 모든 현실 이렇게 우리 끝낼 순 없어 부탁할게 아무일 없던 것 처럼 너의 고운 미소 나 다시 보고 싶어 제발 한번만 더 내게 기횔 주지 않을래 이대로 희미 해져 가지마 이렇게 내가 후회할 줄 몰랐어 내 속에 네가 가득한줄 몰랐었나봐 널 위해 나 돌아 서야만 너의 예쁜 미소가 다시 돌아 올까 거짓말 처럼 이 모든 일이 꿈 같아 나의 품에 안겨 사랑한다 말해주던 네가 내 앞에서 고개 숙인 이 모든 현실 이렇게 우리 끝낼 순 없어 부탁할게 아무일 없던 것 처럼 너의 고운 미소 나 다시 보고 싶어 제발 한번만 더 내게 기횔 주지 않을래 이대로 희미 해져 가지마 우리 함께했던 아름답던 시 간들 제발 나를 두고 떠나 가지마 다 되돌릴 순 없겠니 함께 했던 시간 버릴 자신이 없어 고개 숙인 채로 떨어지는 나의 이 절망 닦아 줄 수 있는 유일한 사람 널 사랑해 함께 써내려 왔던 우리 둘의 책을 이 곳에서 덮지 마 아직 함께 적고 싶은 이야기가 참 많아 한번만 내게 기회를 줄래 가지마 나를 두고 가지마
78,Mood.,Her.,서서히 물들어가는 저 하늘은 날 향한 따뜻한 위로인가요 천천히 미어오는 이런 내 마음은 노을진 하늘이 그런건가요 스쳐가는 바람속에 앉아 보고싶은 그녀를 그리곤 해요 인연이란 끈의 끝에 이어진 그녀도 기다리고 있나요 서서히 물들어가는 저 하늘은 날 향한 따뜻한 위로인가요 오늘도 나는 바보같이 그녀를 기다리고만 있네요 Tangled bodies Tangled minds Tangled bodies Tangled minds 서서히 물들어가는 저 하늘은 tangled 날 향한 따뜻한 위로인가요 bodies 오늘도 나는 바보같이 그녀를 tangled 기다리고만 있네요
79,B-SOUND,Friday afternoon(newmix),기억하니 그때 둘이 걷던 노을 진 바닷가 풍경들을 모래 위에 새긴 너의 이름 네게 전해주고 싶은 내 진심을 바람에 실려 온 너의 향기 코끝을 스치며 나의 곁으로 이제는 말해줄게 반짝이는 은빛 파도에 비춰진 투명한 그대의 모습 위로 노을 붉어진 하늘빛 아롱져 오는 그때 내 모든 날 들을 주고 싶어 그리움에 새긴 너의 이름 내게 전해주고 싶은 내 진심을 바람에 실려온 너의 향기 코 끝을 스치며 나의 곁으로 이제는 말해줄게 그대 홀로 서 있을 때 내가 곁에 있어줄게 반짝인 은빛 파도에 비춰진 투명한 그대의 모습 위로 노을 붉어진 하늘빛 아롱져오는 그때 내 모든 날 들을 주고 싶어 반짝인 은빛 파도에 비춰진 투명한 그대의 모습 위로 노을 붉어진 하늘빛 아롱져오는 그때 내 모든 날 들을 주고 날 들을 주고 싶어
80,박정환,최고의 선물,아름다운 그대가 가지고 있는 순수함이 나에게 모든 행복과 함께 조화로운 세상을 열어준 오늘을 축복합니다 나의 마음속에 그대를 향한 가득한 빛은 가슴 속에 영원히 뜨거운 정열로 가득합니다 그대와의 사랑의 결실로 얻은 열매를 따뜻한 맘으로 보살펴 주어 너무 감사합니다 그대는 강하고 섬세한 어머니지만 나에게는 항상 아름답고 여린 여자입니다 그대는 우리가 함께하는 인생의 긴 여정 속에 헌신적인 사랑을 주어 감사합니다 함께하는 인생의 희노애락 속에 나를 철들게 한 당신은 진정한 동반자입니다 오늘 난 그대의 생일을 진심으로 축하하며 영원히 사랑합니다 영원히 사랑합니다
81,감성돔 (feeling makers),봄이라는 계절이,길었던 겨울 끝에 아직 네 향기가 있어 흩날리는 벚꽃 덩그러니 남겨진 앙상한 우리의 기억 찾아와 봄 속의 널 그리게해 네가 떠나간 그날의 봄 이젠 너 없는 오늘의 봄엔 나는 널 잊을 수 있을까 봄이라는 계절이 사라지기를 너 떠났던 이 계절이 다시 나를 울게 만들잖아 봄이라는 계절엔 네가 찾아와 널 보냈던 그 시간이 나를 아프게 하잖아 이렇게 함께 걸었던 그날의 봄 이젠 나 홀로 걷는 이 봄엔 나는 널 지울 수 있을까 봄이라는 계절이 사라지기를 너 떠났던 이 계절이 다시 나를 울게 만들잖아 봄이라는 계절엔 네가 찾아와 널 보냈던 그 시간이 나를 아프게 하잖아 초라한 봄의 끝에 짙어진 기억 끝에 지웠던 네 모습 그대로잖아 봄이라는 계절엔 네가 없기를 네가 있던 그 봄이 잊혀지기를 너 떠났던 그 계절이 다시 널 떠오르게 만들잖아 네가 없는 그 봄이 다시 찾아와 널 보냈던 날 떠났던 시간속에 되돌아가 이렇게
82,봄철 (BomChul),어디선가 들어본 듯한,가사준비중
83,ChiVee,거짓말,매 순간을 함께 있어도 함께한 추억이 없어 눈동자를 바라 봐도 그 속엔 서로가 없어 네 눈 네 말투 네 습관 행동 하나까지 닮아가고는 있지만 이젠 네가 곁에 없어 날 사랑한단 말 그건 거짓말 oh oh oh oh oh 내가 사랑했단 말 그 말도 거짓말 oh oh oh oh oh 근데 왜 눈물이 이렇게 멈추질 않는지 내가 정말 널 사랑하기는 했는지 방안을 정리해봐도 네 손길이 남아있어 머릴 자르고 향수를 바꿔도 거울 속엔 네가 서있어 내 눈 내 말투 내 습관 행동 하나까지 널 지우려 애를 써도 거울 속엔 네가 서있어 날 사랑한단 말 그건 거짓말 oh oh oh oh oh 내가 사랑했단 말 그 말도 거짓말 oh oh oh oh oh 근데 왜 눈물이 이렇게 멈추질 않는지 내가 정말 널 사랑하기는 했는지 사랑했었다던 말 내 곁을 지키겠다던 말 어느 것 하나 지키지 못해 날 사랑했단 말 그건 거짓말 oh oh oh oh oh 내가 사랑했단 말 그 말도 거짓말 oh oh oh oh oh 떠나지 말아줘 너 없인 살수가 없는데 이렇게 끝내긴 우린 너무 사랑했는데
84,오두식,Enlighten (with 김영흠),아름다운 우주속에 꺼져가는 별이 있어 아무도 모르게 부끄러워 감춰두려 하지마 모든걸 감싸안은채 그런 내가 누구인지 모른채 널 생각한 누군가부른 이 노래가 모두에게 닿는다면 너와 나 이곳에 밝혀질 운명인걸 모두다 진심인걸 내 아픔은 여기인데 가득히 쌓여있는데내 안에 니가 있어 너와 내가 다르지 않은데 내가 너의 일부라서 oh you're in me oh i am you 아름다운 너의안에 빛나는 별들이 있어 빛을 잃은채 너도 모르게 감춰두지마 모든걸 알지 못해도 너만은 누군지 알고 있어 널 생각한 누군가 부른 이 노래가 모두에게 닿는다면 너와 나 이곳에 밝혀질 운명인걸 모두다 진심인걸 내 아픔은 여기 인데 가득히 쌓여있는데 내 안에 니가 있어 너와 내가 다르지 않은데 내가 너의 일부라서 oh you're in me oh i am you 지킬게 함께 걸을게 내 손 끝에 놓지 않을게 이 세상 우주보다 아름다운 너를 지킬게함께 걸을게 내 손 끝에 놓지 않을게 oh you're in me oh i am you
85,김동기,연애의 순간,설렘이 주었던 긴장은 너와 나의 사랑을 알려주고 수줍게 보았던 우리는 허전해하듯 서로를 감싼다 사랑은 나에게 꿈이라 내 맘을 전한다면 너의 말이 어떻게 되돌아올까 다 알면 서 늘 고마워 오늘도 의미에 사는 나야 언제나 머물면 좋지만 혹시 우리 마지막에 가까워지면 그때 말없이 바라볼 테니 그땐 너도 봐주 길 언제나 머물면 좋지만 혹시 우리 마지막에 가까워지면 그때 말없이 바라볼 테니 그땐 너도 봐주 길
86,WABLE (와블),Always with you,나 눈을 떳을때 늘 불안하기 만한 내 현실에 눈물을 닦고 하루를 시작했던 늘 반복되던 날들 모두 Good bye Good bye 더 멋진날만 기다릴거야 이젠 앞만 바라봐 항상 너의 곁엔 내가 있잖아 I'm always with you 이제 난 지쳐쓰러졌을때 내 옆에 있는 네가 있어 난 힘을내 힘을내 I believe in my dream I Feel Good 내 안에 숨겨왔었던 내 꿈의 날개를 달아 Higher fly 더 멋진 미래를 향해 가끔은 뒤돌아 주저앉아 슬프기만한날이 내 발목을 붙잡고 힘겨워했던 힘겹게 버텨온 날 모두 Good bye good bye 더 멋진날이 다가올거야 이젠 앞만 바라봐 항상 너의 곁엔 내가 있잖아 I'm always with you 이제 난 지쳐쓰러졌을때 내 옆에 있는 네가 있어 난 힘을내 힘을내 I believe in my dream I Feel Good 내 안에 숨겨왔었던 내 꿈의 날개를 달아 Higher fly 더 멋진 미래를 향해 지치고 힘들어 넘어져버릴땐 내 손을 잡아 you're my dream 언제나 우리 서로 함께 할께 이제 난 지쳐쓰러졌을때 내 옆에 있는 네가 있어 난 힘을내 힘을내 I believe in my dream I Feel Good 내 안에 숨겨왔었던 내 꿈의 날개를 달아 Higher fly 더 멋진 미래를 향해 이제 난 지쳐쓰러졌을때 내 옆에 있는 네가 있어 난 힘을내 힘을내 I believe in my dream I Feel Good 내 안에 숨겨왔었던 내 꿈의 날개를 달아 Higher fly 더 멋진 미래를 향해
87,도민,짧은안부(Feat.무성),이맘때쯤 이였던 것 같아 니가 날 떠나던 그때 그날이 모든 맘을 정리하고 망설임 없었던 니 모습 이제야 생각하니 니가 했던 말들이 전부 맞아 나는 그랬어 그래 니가 말 한데로 네게서 멀어졌어 가끔 들리는 네 소식을 못 듣는 척 하며 귀를 기울여 마지막까지 나는 내 상처만 생각했는데 담밴 몸에 안 좋으니 끊었음 좋겠어 아무리 바쁜 일이 있어도 밥은 챙겨 먹어야지 혹시 그 사람 만나며 내 생각 떠오를 때는 가끔 연락해 주겠니 짧은 안부라도 나누게 1년이 가고 3년이 가도 아직도 난 니가 궁금해 이 노랠 듣는다면 전혀 너와 닮지 않은 사람도 너로 보이고 지운 줄로 알았는데 깊숙이 다시 생각나 혹시 내 생각이 나도 기억해줄래 내 마지막 모습을 잔인했던 내 맘을
88,밴드온,고래사냥,가사준비중
89,밴드온,너에게 난 나에게 넌,가사준비중
90,서정,자장가,무슨 최면을 걸어놨어 자꾸만 좋아지게 나만의 든든한 지구 내 곁을 지켜주네 어둡고 무서운 밤 나쁜 꿈 꾸지 않도록 두렵지 않게 내가 환하게 그대 밤을 지킬게 잠이 오지 않거나 이유 없이 기분 안 좋을 때 가만히 이 노랠 들으며 편한 밤이 되었으면 해 스르르 사랑해 사랑해 잠이 오지 않거나 이유 없이 기분 안 좋을 때 가만히 이 노랠 들으며 편한 밤이 되었으면 해 자장 자장 자장 자장 자장 자장
91,조이람,Fly 2 U,나를 봐 너를 꿈꾸는 나를 너 없이 항상 혼자인 나를 언제쯤 날 알아 볼 거니 달콤한 너의 향기에 취해 세상이 빙글 돌아도 좋아 너도 같은 맘인걸 알아 후 가로등이 켜지면 후 달에게 말해 here I say 나의 맘을 달빛에 담아 너의 창문을 열게 해줘 눈부신 달빛에 내 마음 전하게 새벽빛에 바래기 전에 I wanna fly to you baby baby 이젠 날 바라봐줘요 사랑스런 나의 맘 껴안아줘요 언제쯤 날 알아 볼 거니 잡힐 듯 거기 서있는 너를 자꾸만 눈에 담기는 너를 너도 잡고 싶은걸 알아 후 사람들이 잠들면 후 별에게 속삭여 here I sing 내 노래를 별빛에 담아 너의 맘에 은하수 놔줘 반짝이는 별빛에 내 노래 전하게 새벽빛에 멈추기 전에 I wanna fly to you my heart is beating fast I don’t know what it is see me touch me please say that I‘m yours love is not so easy to me for a real If you let me I want to be yours 내 노래를 별빛에 담아 너의 맘에 은하수 놔줘 반짝이는 별빛에 내 노래 전하게 새벽빛에 멈추기 전에 I wanna fly to you
92,"바이런 킴, 세언",차던 밤,마치 어제인 것만 같던 바람이 차던 밤 헤어지자던 그대 뒷모습 가끔 생각이 날 것 같아 천장을 보다가 미친 듯 웃기도 해요 그대 함께라는 게 더는 눈물이 아닐 때 다시 마주해요 아무렇지 않은 듯 태연히 그때 그 벤치에 앉아 맥주를 한 캔 마시며 그댄 그대로인지 안부를 물어요 시간이 흐르면 괜찮아지겠죠 함께라 아팠던 우리 이별에도 웃을 수 있겠죠 우리가 잘못된 게 아니라 달랐던 거라며 그대가 건넨 말처럼 우리 언젠가 더는 아픔이 아닐 때 다시 마주해요 아무렇지 않듯이 태연히 그때 그 벤치에 앉아 맥주를 한 캔 마시며 그댄 그대로인지 안부를 물어요 시간이 흐르면 괜찮아지겠죠 함께라 아팠던 우리 다시 만난 날 웃을 수 있게 차갑게 얼었던 시간이 녹는 대도 우리 마주하는 그날은 더 멀겠죠 지키고만 싶었던 그 약속도 건네고 싶던 멋없는 인사도 태연히 그때 그 벤치에 앉아 우리를 떠올리는 게 나 혼자라고 해도 괜찮아요 시간이 흐르면 다 잊는다 했죠 아직은 생각나네요 그대가 뒤섞이는 이 밤은 참 길죠
93,손석민,In My Lucid Dream,평소에 그녀 앞에만 서면 나는 blizzard 맞은 눈사람 같아지네 그대는 나에게 눈빛을 주지만 피하기 바쁜 내모습 Yeah 언젠가는 내마음을 전할수 있을까 이러다가 영영 고백 못하지 않을까 용기내고 싶어 나의 그녀 온통 그녀 생각인데 꿈에서도 그녀를 보네 In My Lucid Dream 이건 내 자각몽 그대는 여기서 내말 들어요 나를 좋아해 나를 사랑해 In My Dream I Wanna make You Love Me 꿈이지만 난 너무 행복해 다시 현실로 돌아와 생각해봐 그녀를 내여자로 만들수 있어 꿈속에서처럼 멋있게 말이야 사랑을 고백해보라고 다른남자들도 그녈 호시탐탐 노려 이러다간 닭쫓던 개 되는건 순식간 그녀도 날 좋아할지 몰라 고민만하다가 매일 잠이드니 꿈만 꾸잖아 In My Lucid Dream 이건 내 자각몽 그대는 여기서 내말 들어요 나를 좋아해 나를 사랑해 In My Dream I Wanna make You Love Me 꿈이지만 난 너무 행복해 Lucid Dream 안에서는 나 하고싶은걸 하지 현실에서는 매일 고민만 하네 Loser 언젠가는 내마음을 전할수 있을까 이러다가 영영 고백 못하지 않을까 용기내고 싶어 나의 그녀 온통 그녀 생각인데 꿈에서도 그녀를 보네 In My Lucid Dream 이건 내 자각몽 그대는 여기서 내말 들어요 나를 좋아해 나를 사랑해 In My Dream I Wanna make You Love Me 꿈이지만 난 너무 행복해
94,박지윤,그날의 봄,어디에선가 불어오는 소리 그건 그건 아주 오래전에 꿈속에서 들었던 우리 어지럽게 흩날리는 저 들판에 들꽃처럼 알 수 없는 길을 같이 가요 아주 먼 곳 일 것만 같지만 시간이 멈춰서 변하지 않게 하겠죠 우리 처음 서로를 안았던 그날처럼 기억해요 어디에선가 불어오는 바람 그건 그건 아주 오랫동안 꿈꿔왔던 우리의 바람 돌아보면 멀어지는 저 봄날의 기억처럼 알 수 없는 길을 같이 가요 아주 먼 곳 일 것만 같지만 시간이 멈춰서 변하지 않게 하겠죠 우리 처음 서로를 안았던 그날처럼 기억해요 영원한 건 없다고 하지만 오늘을 이렇게 함께 할 수 있잖아요 우리 처음 서로에게 해주었던 그 말 사랑해요 영원히
95,HYNN (박혜원),"아무렇지 않게, 안녕",시간이 유난히 좀 느리게 흐르고 너와 나 그 사이에 고요함이 번질 때 기다리던 너에게 이별을 건넨다면 아무렇지 않게 안녕 말할 수 있길 피우다 시들고 다시 그리워하다 이렇게 이렇게 또 흐려진 너와 나 끝이 없을 것 같던 우리의 일기장에 아무렇지 않게 안녕 말할 수 있길 시린 마음 틈으로 손을 내밀어 준 너 좋은 기억들만 다 맘에 새겨둘 거야 한 걸음 또 한 걸음 멀어지는 뒷모습 정말로 안녕 보랏빛 구름이 머리 위를 채우고 다시 또 밝아진 불빛 우릴 감싸면 그때 눈을 맞추고 이별을 건넨다면 아무렇지 않게 안녕 말할 수 있길 시린 마음 틈으로 손을 내밀어 준 너 좋은 기억들만 다 맘에 새겨둘 거야 한 걸음 또 한 걸음 멀어지는 뒷모습 정말로 안녕 머뭇대는 나는 아직 너의 눈을 마주 바라보지 못해 조금만 더 여기 서있을게 시끄러운 나의 맘도 새어 나올 것만 같은 눈물까지 뒤로할게 웃으며 보낼게 그래 이젠 안녕 시린 마음 틈으로 손을 내밀어준 너 좋은 기억들만 다 맘에 새겨둘 거야 한 걸음 또 한 걸음 멀어지는 뒷모습 정말로 안녕
96,별,내가 정말 사랑하는 사람이 있죠,눈코 뜰새 없이 그새 하루가 갔죠 시간은 참 거짓없이 잘만 가네요 주체할 수 없던 오늘 하루의 끝에 날 다독였죠 잘 견뎠어요 감당할 수 없었던 커지는 내 맘은 숨길 수 없어 용기 내서 좀 더 가까이 다가갔죠 내가 정말 사랑하는 사람이 있죠 익숙함에 항상 잘해주지 못하고 아플 때는 대신 아파 줄 수 없음에 참 슬펐지만 참아야 했죠 서툴러요 아직 궁금한게 참 많죠 이해해요 모든 쉬울 수는 없잖아요 말하지 못한 말들 너무나 많지만 그대가 날 보며 웃을 땐 가슴이 자꾸 설레어요 내가 정말 사랑하는 사람이 있죠 익숙함에 항상 잘해주지 못하고 아플 때는 대신 아파 줄 수 없음에 참 슬펐지만 참아야 했죠 이젠 좋은 일만 있을 거에요 무슨 일이 있어도 우린 다 이겨 낼 거에요 혼자 모든 걸 하지 마요 내가 정말 사랑하는 사람이 있죠 익숙함에 항상 잘해주지 못하고 아플 때는 대신 아파 줄 수 없음에 참 슬펐지만 참아야 했죠 이젠 내가 그댈 지켜 줄 거에요 오래도록 행복할 수 있도록 나
97,세이지 (Say'Z),Into my life,그때로 돌아간다면 지금 우린 조금 달라졌을까 엎질러진 시간 속에 허우적대며 내일을 향해 지금 아는 것들을 그때도 알았더라면 후회하지 않았을 텐데 모래시계처럼 삶을 뒤집을 순 없을까 몇 번이든 돌리고 싶어 Wherever you want 네가 원하는 대로 가 시간마저 거슬러 뛰어가 Whenever you want 기억의 태엽을 감아 엉켜버린 삶에 뛰어 올라 날 데려가 줘 그때로 돌아간다면 내 선택은 달라질 수 있을까 엎질러진 운명일까 주워 담지 못한 어제처럼 지금 아는 것들을 그때도 알았더라면 오늘이 좀 달라졌을까 모래시계처럼 후회가 점점 쌓여만 가 몇 번이든 돌리고 싶어 Wherever you want 네가 원하는 대로 가 시간마저 거슬러 뛰어가 Whenever you want 기억의 태엽을 감아 엉켜버린 삶에 뛰어 올라 날 데려가 줘 내 하루가 뫼비우스의 띠처럼 반복돼 시든 꽃 같은 어제의 바램도 그때처럼 활짝 피기를 Wherever you want 네가 원하는 대로 가 시간마저 거슬러 뛰어가 Whenever you want 기억의 태엽을 감아 엉켜버린 삶에 뛰어 올라 날 데려가 줘 날 데려가 줘
98,하현상,Slowly Fall,Hi I saw you as you go It's flashing light It's flashing light Is all with you Accelerate through the light It's slowing down in your eye Ha ah ah ah Ha ah ah Nothing anew Went through the night It’s gonna be a day the night is on our way And it is so far It's slowy falling off I'm holding it now Before it's going Away And it is so hard It's slowly falling off Until the day of our life I won't let go I won't let go Of you Accelerate through the night And rising up to the sky Ha ah ah ah Ha ah ah Nothing anew When we’re in light It’s gonna be the silent night when your away And it is so far I'm slowy falling off I'm holding it now Before it's going Away And it is so hard It's slowly falling off Until the day of our life I won't let go I won't let go Of you Oh oh oh oh Oh oh oh Oh oh oh ohoh Oh oh Oh oh Oh oh oh Oh oh oh Oh oh oh
99,양정승,All For Love (with. 비오는오후),하늘을 보면 나 알 수 있어요 그대 어떻게 지내시는지 아무 말 하지 않아도 느낄 수가 있어요 나 이렇게 숨쉬고 있으니 비에 가려져 볼 수 없다 해도 이젠 두렵지 않아요 항상 같은 맘으로 존재 할 수 있으니 희망을 갖고 이겨내요 Forever love Forever with you 내 생명이 다하는 그날까지도 나 영원히 별을 보며 따라 갈 거예요 내 안에 그댈 느끼며 어디에서든 눈이 마주쳐도 그대 낯설지 않도록 내가 힘이 될게요 I feel you inside me 그대도 날 보고 있다면 Forever love Forever with you 내 생명이 다하는 그날까지도 나 영원히 별을 보며 따라 갈 거예요 내 안에 그댈 느끼며 홀로 외로웠겠죠 나를 비춰 주면서 Until I leave this world I'll love you 언제라도 날 부르면 대답할 수 있게 그대를 기억 할게요 나의 생명이 다하는 날까지
100,도민,짧은안부(Feat.무성),이맘때쯤 이였던 것 같아 니가 날 떠나던 그때 그날이 모든 맘을 정리하고 망설임 없었던 니 모습 이제야 생각하니 니가 했던 말들이 전부 맞아 나는 그랬어 그래 니가 말 한데로 네게서 멀어졌어 가끔 들리는 네 소식을 못 듣는 척 하며 귀를 기울여 마지막까지 나는 내 상처만 생각했는데 담밴 몸에 안 좋으니 끊었음 좋겠어 아무리 바쁜 일이 있어도 밥은 챙겨 먹어야지 혹시 그 사람 만나며 내 생각 떠오를 때는 가끔 연락해 주겠니 짧은 안부라도 나누게 1년이 가고 3년이 가도 아직도 난 니가 궁금해 이 노랠 듣는다면 전혀 너와 닮지 않은 사람도 너로 보이고 지운 줄로 알았는데 깊숙이 다시 생각나 혹시 내 생각이 나도 기억해줄래 내 마지막 모습을 잔인했던 내 맘을
101,밴드온,고래사냥,가사준비중
102,밴드온,너에게 난 나에게 넌,가사준비중
103,서정,자장가,무슨 최면을 걸어놨어 자꾸만 좋아지게 나만의 든든한 지구 내 곁을 지켜주네 어둡고 무서운 밤 나쁜 꿈 꾸지 않도록 두렵지 않게 내가 환하게 그대 밤을 지킬게 잠이 오지 않거나 이유 없이 기분 안 좋을 때 가만히 이 노랠 들으며 편한 밤이 되었으면 해 스르르 사랑해 사랑해 잠이 오지 않거나 이유 없이 기분 안 좋을 때 가만히 이 노랠 들으며 편한 밤이 되었으면 해 자장 자장 자장 자장 자장 자장
104,조이람,Fly 2 U,나를 봐 너를 꿈꾸는 나를 너 없이 항상 혼자인 나를 언제쯤 날 알아 볼 거니 달콤한 너의 향기에 취해 세상이 빙글 돌아도 좋아 너도 같은 맘인걸 알아 후 가로등이 켜지면 후 달에게 말해 here I say 나의 맘을 달빛에 담아 너의 창문을 열게 해줘 눈부신 달빛에 내 마음 전하게 새벽빛에 바래기 전에 I wanna fly to you baby baby 이젠 날 바라봐줘요 사랑스런 나의 맘 껴안아줘요 언제쯤 날 알아 볼 거니 잡힐 듯 거기 서있는 너를 자꾸만 눈에 담기는 너를 너도 잡고 싶은걸 알아 후 사람들이 잠들면 후 별에게 속삭여 here I sing 내 노래를 별빛에 담아 너의 맘에 은하수 놔줘 반짝이는 별빛에 내 노래 전하게 새벽빛에 멈추기 전에 I wanna fly to you my heart is beating fast I don’t know what it is see me touch me please say that I‘m yours love is not so easy to me for a real If you let me I want to be yours 내 노래를 별빛에 담아 너의 맘에 은하수 놔줘 반짝이는 별빛에 내 노래 전하게 새벽빛에 멈추기 전에 I wanna fly to you
105,"바이런 킴, 세언",차던 밤,마치 어제인 것만 같던 바람이 차던 밤 헤어지자던 그대 뒷모습 가끔 생각이 날 것 같아 천장을 보다가 미친 듯 웃기도 해요 그대 함께라는 게 더는 눈물이 아닐 때 다시 마주해요 아무렇지 않은 듯 태연히 그때 그 벤치에 앉아 맥주를 한 캔 마시며 그댄 그대로인지 안부를 물어요 시간이 흐르면 괜찮아지겠죠 함께라 아팠던 우리 이별에도 웃을 수 있겠죠 우리가 잘못된 게 아니라 달랐던 거라며 그대가 건넨 말처럼 우리 언젠가 더는 아픔이 아닐 때 다시 마주해요 아무렇지 않듯이 태연히 그때 그 벤치에 앉아 맥주를 한 캔 마시며 그댄 그대로인지 안부를 물어요 시간이 흐르면 괜찮아지겠죠 함께라 아팠던 우리 다시 만난 날 웃을 수 있게 차갑게 얼었던 시간이 녹는 대도 우리 마주하는 그날은 더 멀겠죠 지키고만 싶었던 그 약속도 건네고 싶던 멋없는 인사도 태연히 그때 그 벤치에 앉아 우리를 떠올리는 게 나 혼자라고 해도 괜찮아요 시간이 흐르면 다 잊는다 했죠 아직은 생각나네요 그대가 뒤섞이는 이 밤은 참 길죠
106,손석민,In My Lucid Dream,평소에 그녀 앞에만 서면 나는 blizzard 맞은 눈사람 같아지네 그대는 나에게 눈빛을 주지만 피하기 바쁜 내모습 Yeah 언젠가는 내마음을 전할수 있을까 이러다가 영영 고백 못하지 않을까 용기내고 싶어 나의 그녀 온통 그녀 생각인데 꿈에서도 그녀를 보네 In My Lucid Dream 이건 내 자각몽 그대는 여기서 내말 들어요 나를 좋아해 나를 사랑해 In My Dream I Wanna make You Love Me 꿈이지만 난 너무 행복해 다시 현실로 돌아와 생각해봐 그녀를 내여자로 만들수 있어 꿈속에서처럼 멋있게 말이야 사랑을 고백해보라고 다른남자들도 그녈 호시탐탐 노려 이러다간 닭쫓던 개 되는건 순식간 그녀도 날 좋아할지 몰라 고민만하다가 매일 잠이드니 꿈만 꾸잖아 In My Lucid Dream 이건 내 자각몽 그대는 여기서 내말 들어요 나를 좋아해 나를 사랑해 In My Dream I Wanna make You Love Me 꿈이지만 난 너무 행복해 Lucid Dream 안에서는 나 하고싶은걸 하지 현실에서는 매일 고민만 하네 Loser 언젠가는 내마음을 전할수 있을까 이러다가 영영 고백 못하지 않을까 용기내고 싶어 나의 그녀 온통 그녀 생각인데 꿈에서도 그녀를 보네 In My Lucid Dream 이건 내 자각몽 그대는 여기서 내말 들어요 나를 좋아해 나를 사랑해 In My Dream I Wanna make You Love Me 꿈이지만 난 너무 행복해
107,박지윤,그날의 봄,어디에선가 불어오는 소리 그건 그건 아주 오래전에 꿈속에서 들었던 우리 어지럽게 흩날리는 저 들판에 들꽃처럼 알 수 없는 길을 같이 가요 아주 먼 곳 일 것만 같지만 시간이 멈춰서 변하지 않게 하겠죠 우리 처음 서로를 안았던 그날처럼 기억해요 어디에선가 불어오는 바람 그건 그건 아주 오랫동안 꿈꿔왔던 우리의 바람 돌아보면 멀어지는 저 봄날의 기억처럼 알 수 없는 길을 같이 가요 아주 먼 곳 일 것만 같지만 시간이 멈춰서 변하지 않게 하겠죠 우리 처음 서로를 안았던 그날처럼 기억해요 영원한 건 없다고 하지만 오늘을 이렇게 함께 할 수 있잖아요 우리 처음 서로에게 해주었던 그 말 사랑해요 영원히
108,HYNN (박혜원),"아무렇지 않게, 안녕",시간이 유난히 좀 느리게 흐르고 너와 나 그 사이에 고요함이 번질 때 기다리던 너에게 이별을 건넨다면 아무렇지 않게 안녕 말할 수 있길 피우다 시들고 다시 그리워하다 이렇게 이렇게 또 흐려진 너와 나 끝이 없을 것 같던 우리의 일기장에 아무렇지 않게 안녕 말할 수 있길 시린 마음 틈으로 손을 내밀어 준 너 좋은 기억들만 다 맘에 새겨둘 거야 한 걸음 또 한 걸음 멀어지는 뒷모습 정말로 안녕 보랏빛 구름이 머리 위를 채우고 다시 또 밝아진 불빛 우릴 감싸면 그때 눈을 맞추고 이별을 건넨다면 아무렇지 않게 안녕 말할 수 있길 시린 마음 틈으로 손을 내밀어 준 너 좋은 기억들만 다 맘에 새겨둘 거야 한 걸음 또 한 걸음 멀어지는 뒷모습 정말로 안녕 머뭇대는 나는 아직 너의 눈을 마주 바라보지 못해 조금만 더 여기 서있을게 시끄러운 나의 맘도 새어 나올 것만 같은 눈물까지 뒤로할게 웃으며 보낼게 그래 이젠 안녕 시린 마음 틈으로 손을 내밀어준 너 좋은 기억들만 다 맘에 새겨둘 거야 한 걸음 또 한 걸음 멀어지는 뒷모습 정말로 안녕
