,가수,노래 제목,노래 가사
10,찬우,민들레 핀 날,좋았던 기억만 가지고 있던 민들레가 안 좋은 추억이 될 날에도 활 짝 폈네 아직 꽃 피긴 이른데도 너는 예쁘게 피었구나 어느 날에도 꽃은 피듯이 또 이렇게 니가 온다 바람이 많이 부는 이른 봄에 민들레가 햇볕이 잘 드는 어느 곳에 활 짝 폈네 그 바람 봄바람이라며 네 자릴 찾아 피었구나 어느 날에도 꽃은 피듯이 또 이렇게 네가 온다 봄의 설레임에 모르고 그냥 지나칠 뻔했어 봄이 기다려지는 건 널 보기 때문인데 피지 못한 꽃 한 송이가 이곳에 뿌리내리고 싶어 하는데 내 마음에 봄바람이 언제쯤 피어 오르게 될까 봄의 설레임에 모르고 그냥 지나칠 뻔했어 봄이 기다려지는 건 널 보기 때문인데 바람이 많이 부는 이른 봄에 민들레가 햇볕이 잘 드는 어느 곳에 활 짝 폈네 그 바람 봄바람이라며 네 자릴 찾아 피었구나 어느 날에도 꽃은 피듯이 또 이렇게 네가 온다
11,하시안,"그땐 (Prod. 고재경, 앤드그루브)",나뭇잎은 떨어져 제 옷을 다 벗어 맨살 드러낸 나무는 스산할 따름이죠 입을 옷이 없지만 춥지는 않아요 오늘 지나면 내일이 또 오면 소생하죠 피고 지고 또다시 피고 그게 자연의 순리에요 사랑도 전부 마찬가지 아닐까요 이별을 걷는다 해도 다음 만남을 기약할 수 있겠죠 떠난 사랑 다 잊어요 이젠 놓아 줘요 바보처럼 미련 두면 미련한 일이죠 커져가는 집착을 치우고 지우고 버리면 그땐 사랑을 되찾아 외롭지 않아요 입을 옷이 없지만 춥지는 않아요 오늘 지나면 내일이 또 오면 사랑 정말 그런 건가요 만남 이별은 돌고 돌죠 낙엽이 다시 잎사귀로 태어나듯 먼저 날 비울 때만이 가득 채우고 사랑할 수 있어요 사랑이 한걸음 멀어져도 끝이 아니죠 한걸음 다가가면 그때부터 다시 시작이죠 그땐 사랑을 되찾아 외롭지 않아요 떠난 사랑 다 잊어요 이젠 놓아 줘요 바보처럼 미련 두면 미련한 일이죠 커져가는 집착을 치우고 지우고 버리면 그땐 사랑을 되찾아 외롭지 않아요 입을 옷이 없지만 춥지는 않아요 오늘 지나면 내일이 또 오면
12,류진,길 (Feat. 정수권),새벽 한 시 반 집으로 가는 길 너를 바래다 주고 돌아가는 길 평소 보다 짧은 것 같아 너에게서 멀어지는 길 지그재그로 걸었어 일부러 네게 한 고백의 답 내 발자국이 집에 도착 하기 전에는 어떻게든 받고 싶어서 어차피 차도 안 오는 조용한 길 터벅대는 소리만 요란한 그런 길 머리 위 가로등만 밝지 왜 사방은 온통 어둠인데도 사람 하나 보이지 않는 어두컴컴하고 고요한 길 그리 천천히 빙 돌아 늦게 늦게 왔는데도 휴대폰은 새벽의 침묵인지 오늘만큼은 길고양이 마저 어디로 다 숨었나 보이지 않아 이제 거의 다와가는데 침묵이 말하는 것 같아 어차피 답은 알고 있었는지도 여태 조용한 게 참 뻔한 것 같은데 머리 위 가로등만 밝지 왜 사방은 온통 어둠인데도 사람 하나 보이지 않는 어두 컴컴하고 고요한 길 그리 천천히 빙 돌아 늦게 늦게 왔는데도 휴대폰은 새벽의 침묵 너 모르게 나 혼자 쌓은 추억 이제 그만 무너지라고 일부러 크게 노래를 틀고 흥얼거렸어 집에 오는 길을 홀로라고 사랑이란 보이지 않는 어두컴컴하고 고요한 길 나의 마음 한 송이가 그 위에서 꽃 피웠네 볕이 전혀 들지 않는 길 위에
13,PM,city blossom (With. 세희),blossom in your mind perfume that falls on city 너에게로 갈게 blow blow your mind blossom in your mind everytime is gonna be around You 또 봄 분위기에 취해있는 것 같애 기지개를 펴고 한강공원으로 하나 둘씩 모였네 봄 노래 보다 더 취하기로 했는데 우리 만날때도 됐거든 Would you 사계절의 한 순간 영원히 반짝일 것 같은 그대 blossom in your mind perfume that falls on city 너에게로 갈게 blow blow your mind blossom in your mind every time is gonna be around You 사월의 밤 눈이 부시던 하늘은 따듯한 온기와 분홍이 가득한 걸 지워지지 않는 향기가 나의 온몸에 베어있어 그리워 또 다시 찾아헤메 느껴져 i feel you 이 도시속에 가득한 설레임 천천히 다가와 지금 여기 backstage처럼 분주한 도심 속을 걸어 가볼래 blossom in your mind perfume that falls on city 너에게로 갈게 blow blow your mind blossom in your mind every time is gonna be around You blossom in your mind blossom in your mind
14,Ashmute (애쉬뮤트),I See,I see why my life is stained with sheer absurdity so sick of deep sighs without a single break heading to the top You see how my night traps the light in eternity No reason to be fine Collision is ahead of us A thousand rocks started rolling down A lonely fight just started over You must be fed up with damn things But keep your head up Move your feet I see why I might endure life without certainty No reason to be sad Collision is ahead of us Let me tell you about him who dumped us into this treadmill life The only way to jerk him off is to laugh at the sky No one knows how much you've tried hard to get on your feet Come and look up the trail where you will lose by yourself It's worse to stop or step back Now here we are stepping the clouds It's time to tie up my shoelaces and yours too I see shining light over the darkest dawn Let's whistle cheerfully
15,권민제,한사람,너는 내게 삶의 이유 된 사람 아무 것도 바란게 없어 널 만난 후로 항상 내게 힘이 되준 한 사람 삶에 휘청일 때 내 손을 꼭 잡아준 사람 이제 내가 기댈 곳이 되줄게 힘들땐 울어도 돼 몇 번이고 닦아줄게 사랑해 말로 못 다할 만큼 맘에 못 담을 만큼 이름만 불러도 넘치는 내 맘 사랑해 어제보다 사랑해 이 순간도 자라나 숨쉬면 네가 차올라 너로 살아가는 나 이제 내가 기댈 곳이 되줄게 힘들땐 울어도 돼 몇 번이고 닦아줄게 사랑해 말로 못 다할 만큼 맘에 못 담을만큼 이름만 불러도 넘치는 내 맘 사랑해 어제보다 사랑해 이 순간도 자라나 숨쉬면 네가 차올라 너로 살아가는 나 늘 받기만 해서 주고도 모자라 이게 사랑일까 이제 나처럼 웃게 해줄게 사랑해 말로 못 다할만큼 맘에 못 담을만큼 이름만 불러도 넘치는 내 맘 사랑해 어제보다 사랑해 이 순간도 자라나 숨쉬면 네가 차올라 너로 살아가는 나
16,헤이데이 (HEYDAY),위로,밤새 잠들지 못한 너의 곁에 언제나 있을게 조용히 너의 마음에 손대어 깊은 곳 잠들지 못하는 수 많은 날을 함께 할게 긴 긴 밤이 외롭더라도 나를 떠올리며 있어줘 그 시간 속에 잠겨진 너의 맘 다독일게 혼자 있지 않게 기대도 괜찮아 너의 맘속에 시끄러운 작은 걱정 초라함도 그 어떤 것도 다 말해도 괜찮아 널 떠나지 않아 네가 있는 곳 내가 볼 수 있게 머물러 있어줘 기대도 괜찮아 너의 맘속에 끝이 없는 어둔 밤도 혼자라고 느껴진다 해도 말해도 괜찮아 널 떠나지 않아 조용히 눈을 감고 잠시 들어봐
17,"그루비 (Gru:vi), HyeG",이제서야,아마 넌 그때부터였던것만 같아 너의 줄어든 전화 아마도 그래 왜 이제서야 그 모든게 이해가 될까 너의 달라진 그 눈빛과 그때의 그 공기 이젠 다 알면서도 나 받아들이지 못하고 너를 찾고 있는지 바보 같은 나는 여전히 행복했던 기억 속에서 멈춰있는데 왜 왜 이제서야 나를 떠나야 하나요 그대 마음 옛날부터 변한거면서 나는 왜 아무것도 몰랐었을까요 왜 왜 이제서야 나를 아프게하나요 나는 아무것도 준비못한채 그저 덩그러니 우리 사랑했던 기억도 뜨거웠던 시간마저도 모두 거짓말이니 어쩌면 나도 알면서도 널 기다렸던건지도 몰라 우리 그 자리에서 왜 왜 이제서야 나를 떠나야하나요 그대 마음 옛날부터 변한거면서 나는 왜 아무것도 몰랐었을까요 왜 왜 이제서야 나를 아프게 하나요 나는 아무것도 준비못한채 그저 멀어져가는 너의 기억에 이제 우리의 끝임을 느껴 안되나봐요 이별앞에 우리 나 나 이제서야 그대를 보내려 해요 나의 맘은 그대와 같지가 못해서 조금 늦어서 내가 많이 미안해요 나 나 이제서야 그대를 잊어볼게요 나도 떠난 그 자리엔 우리의 좋은 추억들만
18,김건표,"운명인것같아,사랑(With 성영주)",너와 함께 아침을 맞을 때면 행복이 뭔질 느껴 너도 나와 같은 생각일까 궁금해 자다 깨 헝클어진 머리도 눈썹이 지워져 반쯤 없어도 그런 네가 더 좋아서 사랑을 하고 싶다 너를 보면 아무 이유 없이 웃음이나 우연처럼 널 알게 돼 닮아가고 함께란 게 당연하게 느껴져 너를 보면 아무 이유 없이 웃음이나 운명인 것 같아 사랑이야 지금처럼 내 옆에 있어줘 항상 널 만나면 하루가 너무 짧아 널 데려다주는 길은 또 왜 이리 짧은 건지 이대로 널 보내기 싫은데 너를 보면 아무 이유 없이 웃음이나 우연처럼 널 알게 돼 닮아가고 함께란 게 당연하게 느껴져 너를 보면 아무 이유 없이 웃음이나 운명인 것 같아 사랑이야 지금처럼 내 옆에 있어줘 힘든 시간이 찾아오면 넌 내게 기대면 돼 네가 쉴 수 있는 나무가 될게 너를 보면 아무 이유 없이 웃음이나 우연처럼 널 알게 돼 닮아가고 함께란 게 당연하게 느껴져 너를 보면 아무 이유 없이 웃음이나 운명인 것 같아 사랑이야 매일이 내겐 최고의 순간이야
19,한승우 (빅톤),내일부터 우리가 못본다면,보이지가 않아 니가 없는 세상은 생각만해도 어둡기만해 그려지지 않아 니가 없는 내모습 길을잃은 아이처럼 겁이났어 너의 눈빛만 봐도 숨소리만 들어도 너의 모든걸 알것 같은데 모르겠니 널 사랑한단 말이야 더 얼마나 아파해야 내마음 알겠니 내일부터 우리가 못본다면 넌 어떨것같아 난 안돼 안돼 안돼 단 하루도 바뀌지가 않아 니가 없는 계절은 널처음만난 그겨울에 멈춰있어 이젠 눈을 감고도 걸음 소릴 듣고도 니가 오는걸 알수 있는데 모르겠니 널 사랑한단 말이야 더 얼마나 아파해야 내마음 알겠니 내일부터 우리가 못본다면 넌 어떨것같아 난 안돼 안돼 안돼 단 하루도 널 사랑하게 된 이유를 나도 알고있다면 지금이라도 너에게 달려갈텐데 안보이니 널 향한 나의 진심이 여기서 기다리면 언젠가 네게 닿을까봐 그런 너를 힘겹게 바라보는 나를 잊지는마 조금 늦더라도 내게 와주면돼
