,artist_name,song_name,lyric
0,미교,이 사랑,"언제쯤 무뎌질까요
이 사랑이 아프다네요
하루 또 하루
가시밭길 위를 걷죠
얼마큼 기다릴까요
조금은 지쳤나 봐요
내 맘이 뜻대로 안돼요
툭하면 무너질 것 같아
첨부터 그대 아닌 나는 안되나 봐요
사랑 그게 뭔데
울고 웃게 만들죠 이렇게
제멋대로 왔다 멈춘 그대로인 채
소리쳐 부르지 못했던 사랑
이 사랑 가져가줘요
그대 기억도
그댄 알 수 없겠죠
까맣게 애만 타네요
다시는 이 사랑 안 할래
수천 번 되뇌이는 말
가슴에 맴돌다 눈물이 흘러
첨부터 그대 아닌 나는 안되나 봐요
사랑 점점 밉게 날 만들죠 이렇게
제멋대로 왔다 멈춘 그대로인 채
소리쳐 부르지 못했던 사랑
이 사랑 가져가줘요
내 슬픔도
내가 아닌 그댄 행복한가요
사랑 날 더 미치게 만들죠
깊은 그리움을
삼켜 멍든 그대로인 채
감히 말 꺼내지 못했던
마지막 내 사랑 잊게 해줘요
그대 이름도"
1,정이한 (더 넛츠),이런 사랑 이별 다시,"이렇게 조금씩
멀어지려나 봐요
다신 없을 사랑처럼
너만을 바라봤는데
이렇게 똑같은
상황 반복되는 건
아직도 사랑이라는 걸
나는 잘 모르나 봐요
흘러가는 사랑에 아파하고
시간이 흐르면 무뎌지겠죠
이런 사랑 이별 다시 돌아오는 건
계절처럼 당연한 거라 생각했는데
이런 내게도 그대는 다른가 봐요
추억에 빠져
사랑한다는 그 말이 듣고 싶네
저물어가는 마음 잡아두는 건
널 위한 선택이 아닌 것 같아서
이런 사랑 이별 다시 돌아오는 건
널 위한 거라 생각하면서 참아왔는데
이런 내 맘과 그대는 다른가 봐요
진심으로 날 사랑했었냐고
널 위한 거란 혼자만의 착각
다시 돌아간다면 널 붙잡을 수 있을까
이런 이별이 다시 돌아온다면
나를 위해 이기적으로 생각한 거야
그런 내 맘을 지금까지 이해해준 너
너 돌아온다면
이런 사랑 이별은 안 할 텐데"
2,알리 (ALi),자꾸 눈물이 납니다 (Acoustic Ver.),"바람같아서 잡을 수가 없어서
멀리서 바라만 보는
내가 바보같아서
잊으려하면 더 보고싶은 사람
생각만해도 눈물이 납니다
얼마나 아프고
얼마나 울어야 그대
나의 이사람 바라봐 줄까
긴 하루 지나고
내일이 다시 지나도
같은 자리 같은 맘으로 음
그댈 기다리는 한 사람
공기같아서 보이지가 않아서
깊은 나에 이사랑을
보여줄수 없어서
그림자처럼 그대 뒤에 서있죠
오늘도 나는 혼자서 웁니다
얼마나 아프고
얼마나 울어야 그대
나의 이사람 바라봐 줄까
긴 하루 지나고
내일이 다시 지나도
같은 자리 같은 맘으로 음
그댈 기다리는 한 사람
아파도 나는 웃어봅니다
그래도 그대 곁에 있으니까 항상
이 사랑하나로
이마음 하나로 그댈
나도 그토록 기다렸기에
사랑에 아파도
눈물이 자꾸 흘러도
그대라서 행복합니다
죽을만큼 사랑 합니다"
3,김민울,그대 아나요,"어쩜 이렇게도 맘이 아플 수 있죠
그대 아나요 그댄 괜찮나요
따듯했던 온기가 다정한 그 목소리가
이젠 아무것도 느껴지지 않죠
내맘 그대와 같진 않아서
아직도 그대를 기다리고 있다고
아직도 내맘 여기 그대로인데
혼자서 그대 이름을 불러봅니다
시간 지나가면 그땐 괜찮을까요
나의 하루가 다시 돌아올까
서로만을 바라본 우리가 왜 이러나요
내가 사랑했던 그댄 어디있죠
내맘 그대와 같진 않아서
아직도 그대를 기다리고 있다고
아직도 내맘 여기 그대로인데
혼자서 그대 이름을 불러봅니다
시간을 되돌릴 수 있다면
그땐 이렇게 그대를 보내지 않을텐데
서로 바라만 보던 그때가 아직도
내눈에 선명하게 남아서
그대를 그리워해 돌아오기만
기다리고있는 나란걸 알고있나요"
4,박효신,애화{哀花},"아침에 눈을 떠봐도 그댄 역시
한 동안 힘들던 잠에서 깨어나
또 집을 나서도 어딜가야 할지를 몰라
난 어제 그대가 내 던진 곳에
하루종일 부서진 채 아파했던걸
모질게 맘먹고 창밖에 버린
그곳에 난 잠들어 있어
I know I'll, I wanna take you in my life
내 영혼을 지우려 했다면 (oh-yeah)
난 숨이 막혀 와도 괜찮아
더는 고민하지마 내겐
지금 아무 고통조차 느낄 수 없어
그리움에 목말라도 눈물 흘리지마(oh-yeah)
나 생기 없이 메말라가도
고통스레 아파할 그대보단 나을테니까(I know)
I wanna take you in my life

오늘 하루도 그대는 멍하니 앉아
내 곁에서 한참동안 망설이다가
모질게 맘먹고 창밖에 버린
그곳에 난 잠들어 있어
I know I'll, I wanna take you in my life
내 영혼을 지우려 했다면 (oh-yeah)
난 숨이 막혀 와도 괜찮아
더는 고민하지마 내겐
지금 아무 고통조차 느낄 수 없어
그리움에 목말라도 눈물 흘리지마(oh-yeah)
나 생기 없이 메말라가도
고통스레 아파할 그대보단 나을테니까 (I know)

I wanna take you in my life
Yeah ∼ I know,
I'll, I wanna take you in my life
길가에 흩어진 내모습을
아무소리도 없이 그저 바라보다
흘러내린 눈물 때문에
바보처럼 그댄 하늘 바라만보내 (oh yeah)
나 이젠 그댈 외면할꺼야
그대 사는 창밖에 고인
눈물 마를수 있게 (I will) yeah"
5,방주연,기다리게 해놓고,"기다리게 해놓고

오지않는 사람아
이 시간은 너를 위하여
기다리는 것인데
기다리게 해놓고

오지않는 사람아
나는 기다림에 지쳐서
이제 그만 가노라
약속했던 시간을 허공에 두고
만나지도 못한채
엇갈린 순간속에
떠나는 모습 미워지는 모습
나 혼자서 달랜다
기다리게 해놓고

오지않는 사람아
나는 기다림에 지쳐서
이제 그만 가노라

약속했던 시간을 허공에 두고
만나지도 못한채
엇갈린 순간속에
떠나는 모습 미워지는 모습
나 혼자서 달랜다
기다리게 해놓고

오지않는 사람아
나는 기다림에 지쳐서
이젠 그만 가노라
이젠 그만 가노라
이젠 그만 가노라"
6,신효범,널 닮은 세상에서,"조금만 더 기다려줘
아직 늦지 않았다면
멍들어 시린 내 삶의 아픔
다 얘기하고 싶어
너의 한 숨 뒤로한 채
시간에 쫓긴 세월들
아무것도 묻지 말고
그냥 나의 손을 꼭 잡아줘
그래 난 항상 높은 곳을 향해
뭔가를 찾아 헤매곤 했지
세상이란 커다란 그림들 속에
숨겨진 보석을
그게 너 였음을 모른채

때로는 살아있음이
더 큰 비극일지라도
날 어루고 달래주는 사람
너밖에 없으니까

그래 난 항상 높은 곳을 향해
뭔가를 찾아 헤매곤 했지
세상이란 커다란 그림들 속에
숨겨진 보석을
그게 너였음을 모른채

조금만 더 기다려줘
지금 달려가고 있어
다시 아름다운 시선으로
살아가고픈 거야
널 닮은 이 땅의 끝에서"
7,A.R.T,Love Story,"행복했던 지난 추억 모두
어딘가에 나를 부르면서
미소 짓는 너를 생각하면
눈물이 나
이제는 모든 것이
한순간이 되어 버렸지만
이밤을 또 너를 생각하면
슬픈 마음을 달래고 있어
사랑했던 너에 모습을
어떡해야 지울 수 있나
우리 행복했던 순간들
또 다시 되돌릴 순 없을까
나 사는 세상에서
너를 다신 볼 수 없겠지만
너를 다시 만날 수 있다면
어떤 것이라도 할 수가 있어
너무나도 니가 생각나
아름다웠던 니 모습이
우리 행복했던 순간들
또 다시 되돌릴 순 없을까
눈이 오면 더욱 생각나
아름다웠던 니 모습이
우리 행복했던 순간들
또 다시 되돌릴 순 없을까"
8,god,나는 알아,"미안해
요즘 너무 바빠서
라고 말하는 너의 눈빛이 흔들려
너의 불안한 마음
애써 가려보려
너의 달콤한 말로 또
나를 속여보려 하지만
너의 한없이 어색한 미소가
그게 사실이 아니라고
내게 말해주고 있어
나 이미 알고 있어
그러니 더 이상 애써 변명하지마
괜히 그럴 필요 없어
우연히 너를 봤어
지난 토요일 밤
멀리서 봤는데 왠지
넌 것 같단 예감에
따라가보니 너의
집 앞에서 서더라고
문을 열고 내리는데
니가 맞더라고
그 뒤에 내리는 남자 흠 멋있었어
키도 크고 옷도 근사했어
정말 오랜만에 봤어
니가 활짝 웃는 모습 참 예뻤어
웃고 있지만
겉으론 다 모른 척 하지만
오 나는 알아
믿고 싶지만 너의 말을
나도 믿고 싶지만
난 이미 다 알고 있는 걸
그 모습을 보는데 이상하게
화가 나는 게 아니라
난 내 자신에게
그래 보내야 할 때가 된 것 같애
라고 말하게 되는 걸 보니
이미 마음 속에
이렇게 될 것 같다고
생각하고 있었나 봐
그래서 아는 체도 못하고
이젠 나와 여기까진가 봐
그러고 말았나 봐
못본 체하며
돌아서는 게 편했나 봐
따지고 싶은 마음도
붙잡고 싶은 마음도
들지 않더라고
그저 니가 지금도 말을 하지 못해
계속 다른 말만 하고
왜 연락이 안됐는지
설명하려 하고
왜 내게 이렇게 거짓말을 하는지
나는 준비가 됐는데
왜 계속 이러는지 안타까울 뿐야
어서 먼저 말해 그래야 니가 편해
웃고 있지만
겉으론 다 모른 척 하지만
하지만 나는 알아
믿고 싶지만 너의 말을
나도 믿고 싶지만
난 이미 다 알고 있는걸
항상 헤어지자는
말을 하려고 하는
사람들은 공통적인
특징이 있지 그것들은
첫째 눈을 절대로
마주치지 못해
둘째 쓸데없는 얘길
굉장히 오래해
셋째 뭔가 말을 하려고 하다 못해
넷째 그러다 처음 하는 말 미안해
첫째 둘째 셋째 넷째
모두 맞네 행복해
우우
난 모른 척 하지만 나는 알아
난 믿고 싶지만 난 믿고 싶지만
사실이 아닌 걸 알아 우
난 이미 다 알아
난 믿고 싶지만
너의 말이 사실이 아닌 걸 알아"
9,애즈원,Last Christmas,"Last Christmas
I gave you my heart
But the very next day you gave it away
This year to save me from tears
I'll give it to someone special

Once bitten and twice shy
I keep my distance
but you still catch my eye
Tell me baby, do you recognize me
Well it's been a year
it doesn't surprise me

I wrapped it up and sent it
With a note saying
""I love you"" I meant it
Now I know what a fool I've been
But if you kissed me now
I know you'd fool me again

Last Christmas
I gave you my heart
But the very next day you gave it away
This year to save me from tears
I'll give it to someone special

Last Christmas
I gave you my heart
But the very next day you gave it away
This year to save me from tears
I'll give it to someone special

A crowded room, friends with tired eyes
I'm hiding from you and your soul of ice

My god I thought you were
someone to rely on Me
I guess I was a shoulder to cry on
A face on a lover with a fire in his heart
A man undercover but you tore me apart
Now I found a real love you'll never fool me again

Last Christmas I gave you my heart
But the very next day you gave it away
This year to save me from tears
I'll give it to someone special

Last Christmas I gave you my heart
But the very next day you gave it away
This year to save me from tears
I'll give it to someone special -"
