,가수,노래 제목,노래 가사
10,안녕하신가영,beautiful inside,내 눈 가득 담긴 너 맘이 따스해 마치 봄처럼 날 보며 건네는 네 미소 너무 포근해 사랑인 것처럼 매일이 꿈만 같아 깨지 않았으면 해 시간이 부족해 할 얘기가 많은데 이런 나 안심할 수 있게 말해줘 내게 I love you your love 부드럽게 날 부르는 입술에 머리칼을 넘겨준 네 손 끝에 어디에도 묻어있어 네 맘이 love Yeah It is love 'Cause I love you this is love 네 눈 가득 담긴 날 네 맘에 담아줘 매일 널 느끼게 yeah 귓가에 맴도는 목소리 자꾸 불러줘 매일 설레이게 매일이 꿈만 같아 깨지 않았으면 해 시간이 부족해 할 얘기가 많은데 이런 나 안심할 수 있게 말해줘 내게 I love you your love 부드럽게 날 부르는 입술에 머리칼을 넘겨준 네 손 끝에 어디에도 묻어있어 네 맘이 love Yeah It is love 시간이 흘러 다 변한대도 내 맘 그대로야 지금처럼 너만 곁에 있어준다면 your love 부드럽게 날 부르는 입술에 머리칼을 넘겨준 네 손 끝에 어디에도 묻어있어 네 맘이 love Yeah It is love 'Cause I love you this is love
11,젝스키스,너를 보내며,만날 수 없다는 슬픔보다 힘든건 니가 내 곁에 항상 있어도 외롭다고 느끼는 가슴이야 내가 아닌 사람과 함께 있는 널 봤어 모든걸 이젠 단념해야겠지 너의 지나친 무관심 속에서 내가 감춰야 했던 슬픔들 너를 바라보다 쓰러져 잠들어 버린 내 사랑이라고 해도 그걸 무너뜨릴 자신이 없어 또다시 혼자 돌아서고 있어 내가 원한 너의 사랑도 항상 바램으로 끝이 났지만 이젠 사랑했던 널 위해 먼저 떠날게 너에게 주었던 모든 것들은 널 위해서 잊기로 했지만 어느 누굴만나 사랑한다 해도 언제나 행복할꺼라 생각할께 그래 내가 잊지 못할 단 한가지는 너 하날 지키지 못했던 사랑이란거야 그런 너를 이해해 내가 부족하다면 괜찮은 사람 만나기를 바래 너의 지나친 무관심 속에서 내가 감춰야 했던 슬픔들 너를 바라보다 쓰러져 잠들어 버린 내 사랑이라고 해도 그걸 무너뜨릴 자신이 없어 또다시 혼자 돌아서고 있어 내가 원한 너의 사랑도 항상 바램으로 끝이 났지만 이젠 사랑했던 널 위해 먼저 떠날게
12,켄(KEN),늦은 후회,얼마나 한참을 서있었는지 멀리 너의 모습 보면서 그 모습 사라질 때까지 나의 발걸음은 움직일 수 조차 없었지 내가 어떤 사랑 받았었는지 내가 어떤 아픔 줬는지 이제야 널 보낸 후에야 돌아선 후에야 다시 후회하고 있잖아 떠나간 다른 사람때문에 비틀거리던 나를 힘들게 지켜주던 널 바라보지 않았지 그렇게 사랑이 온지 몰랐어 기대어 울기만 했잖아 그런 내 눈물이 너의 가슴으로 흘러 아파하는 널 나는 밀어냈었지 내가 어떤 사랑 받았었는지 내가 어떤 아픔 줬는지 이제야 널 보낸 후에야 돌아선 후에야 다시 후회하고 있잖아 떠나간 다른 사람때문에 비틀거리던 나를 힘들게 지켜주던 널 바라보지 않았지 사랑은 떠난 후에야 아는지 곁에 두고서 헤맨 건지 이제야 알겠어 너에게 기대어 울던 그 순간들이 가장 행복 했었던 나를 그렇게 사랑이 온지 몰랐어 기대어 울기만 했잖아 그런 내 눈물이 너의 가슴으로 흘러 아파하는 널 나는 밀어냈었지 사랑은 떠난 후에야 아는지 곁에 두고서 헤맨 건지 이제야 알겠어 너에게 기대어 울던 그 순간들이 가장 행복 했었던 나를
13,Janet Suhh (자넷서),집,지쳤던 내 마음 다 한켠에 모아 돌이켜봐 여긴 oh my home 괜찮아 견뎌온 날 그때의 나 하고 싶던 말 내뱉진 않아도 다 알던 그 마음은 was my home 그렇게 수많은 시간이 지나 또 다른 기억 You were my home 기댈 줄만 알던 내가 뭘 말해 어리숙한 내 마음을 이렇게 전해 난 그렇게 당신 곁에 남을 수만 있다면 우린 집에 돌아온걸 당신의 생각 그 속에서 난 저편에 어떤 존재인 걸까 더 따뜻한 그 마음속 깊게 새겨진 순간의 기억 그게 내겐 집이었어 나는 언제나 그 자리에 늘 당신을 이렇게 기다리고 있는 I’ll be your home 그렇게 수많은 시간이 지나 또 다른 기억 You were my home 기댈 줄만 알던 내가 뭘 말해 어리숙한 내 마음을 이렇게 전해 난 그렇게 당신 곁에 남을 수만 있다면 우린 집에 돌아온걸 당신의 생각 그 속에서 난 저편에 어떤 존재인 걸까 더 따뜻한 그 마음속 깊게 새겨진 순간의 기억 애써 모른척한 눈물들과 내일로 미루던 고백들을 내게 와 내려놔 기대어 잠시 쉬어 여기 언제나 I’ll be your home
14,이문세,이별 이야기,이렇게 우린 헤어져야 하는 걸 서로가 말을 못하고 마지막 찻잔 속에 서로의 향기가 되어 진한 추억을 남기고 파 우리는 서로 눈물 흘리지 마요 서로가 말은 같아도 후회는 않을거야 하지만 그대 모습은 나의 마음을 아프게 해 그대 내게 말로는 못하고 탁자 위에 물로 쓰신 마지막 그 한마디 서러워 이렇게 눈물만 그대여 이젠 안녕  우리는 서로 눈물 흘리지 마오 서로가 말은 같아도 후회는 않을거야 하지만 그대 모습은 나의 마음을 아프게 해 그대 내게 말로는 못하고 탁자 위에 물로 쓰신 마지막 그 한마디 서러워 이렇게 눈물만 그대여 이젠 안녕 그대여 이젠 안녕  그대여 이젠 안녕
15,임창정,버틸만해,오늘도 문을 나서며 지친 몸 내 마음 기댈 곳 찾아 하늘은 너무 맑은데 모두가 가리워진 세상을 걷고 있어 불쑥 겪게 됐던 이 시련은 금세 지나갈 줄 알았지만 이젠 일부가 돼버려 오늘도 견뎌야 하겠지 버틸만해 긴 시간보다 우린 강해서 습관처럼 모든 걸 이겨내고 있잖아 쓰라린 기억을 기회로 만들어 훗날 너와 나 웃으며 기억할 수 있게 웃으며 지금을 말할 수 있게 한때는 늘 지금처럼 지친 몸과 마음 쉬고 싶었지 이젠 돌아가려 해도 갈 곳이 없어진 내 모습에 한숨도 나 불쑥 겪게 됐던 이 아픔은 금세 지나갈 줄 알았지만 달아날 수조차 없이 오늘도 견뎌야 하는 걸 버틸만해 긴 시간보다 우린 강해서 습관처럼 모든 걸 이겨내고 있잖아 쓰라린 기억을 기회로 만들어 훗날 너와 나 웃으며 기억할 수 있게 내 인생에 있어 올까 말까 한 그 날이 지금 온 거야 울어도 누가 뭐라 안 해 쉼이 필요한 거야 우리가 마음을 다해 버틸만해 긴 시간보다 우린 강해서 습관처럼 모든 걸 이겨내고 있잖아 쓰라린 기억을 기회로 만들어 훗날 너와 나 웃으며 기억할 수 있게 버틸만해 긴 시간들은 훗날 너와 나 웃으며 지금을 말할 수 있게 웃으며 지금을 말할 수 있게
16,김건모,"사랑, 그 쓸쓸함에 대하여",다시 또 누군가를 만나서 사랑을 하게 될 수 있을까 그럴수는 없을것 같아 도무지 알 수 없는 한 가지 사람을 사랑하게 되는 일 참 쓸쓸한 일인 것 같아 사랑이 끝나고 난 뒤에는 이 세상도 끝나고 날 위해 빛나던 모든 것도 그 빛을 잃어버려 누구나 사는 동안에 한 번 잊지못할 사람을 만나고 잊지못할 이별도 하지 도무지 알 수 없는 한 가지 사람을 사랑한다는 그 일 참 쓸쓸한 일인 것 같아  사랑이 끝나고 난 뒤에는 이 세상도 끝나고 날 위해 빛나던 모든 것도 그 빛을 잃어버려 누구나 사는 동안에 한 번 잊지못할 사람을 만나고 잊지못할 이별도 하지 도무지 알 수 없는 한 가지 사람을 사랑한다는 그 일 참 쓸쓸한 일인 것 같아
17,오곤,no filter,I know you Every single day I know you Everywhere 너 빼곤 I don‘t care 너도 알고 있잖아 우린 Everyday 365일 Anywhere Let’s capture our days 우릴 저장할 거야 아예 키가 작은 우리는 오순도순 어울려 박자 맞춰 걸으면 오곤조곤 설레어 함께 살이 오른 집사와 주인님 물론 주인은 너니깐 always all day 하늘 위로 올라가자 구름 타고서 비지니스로 끊어놨어 함께 Let’s ride 지루하면 말해 영화 준비해놨어 유치한 우리를 담은 로맨틱한 영화야 내가 이상한 게 아니야 아이아이아이아이아 나의 꿈은 순수한 걸 Let’s keep our unique color I know you Every single day I know you Everywhere 너 빼곤 I don‘t care 너도 알고 있잖아 우린 Everyday 365일 Anywhere Let’s capture our days 우릴 저장할 거야 아예 그냥 필터 없는 사진들을 찍자 꾸밈없는 지금의 우리를 기록해 소중한 우리는 영원할 거야 알잖아 우린 그렇게 태어났어 둘만의 작은 섬에 갇힌 소녀 소년 춤을 추고 함께 노래도 부르며 붙어 있자 자석처럼 붙어 있자 결국 둘은 행복하게 살았대요 나는 이미 정상이 아니야 아이아이아이아이아 나의 꿈이 돼버린 너 We don’t need any filters I know you Every single day I know you Everywhere 너 빼곤 I don‘t care 너도 알고 있잖아 우린 Everyday 365일 Anywhere Let’s capture our days 우릴 저장할 거야 아예
18,유연석,너에게,나의 하늘을 본 적이 있을까 조각 구름과 빛나는 별들이 끝없이 펼쳐 있는 구석진 그 하늘 어디선가 내 노래는 널 부르고 있음을 넌 알고 있는지 나의 정원을 본 적이 있을까 국화와 장미 예쁜 사루비아가 끝없이 피어 있는 언제든 그 문은 열려 있고 그 향기는 널 부르고 있음을 넌 알고 있는지 나의 어릴 적 내 꿈만큼이나 아름다운 겨울 하늘이랑 네가 그것들과 손잡고 고요한 달빛으로 내게 오면 내 여린 마음으로 피워낸 나의 사랑을 너에게 꺾어줄게 나의 정원을 본 적이 있을까 국화와 장미 예쁜 사루비아가 끝없이 피어 있는 언제든 그 문은 열려 있고 그 향기는 널 부르고 있음을 넌 알고 있는지 나의 어릴 적 내 꿈만큼이나 아름다운 겨울 하늘이랑 네가 그것들과 손잡고 고요한 달빛으로 내게 오면 내 여린 마음으로 피워낸 나의 사랑을 너에게 꺾어줄게
19,양다일,I'm Here,여기에 서 있을게 언제나 늘 이곳에 추워도 아파도 너를 지킬 수 있게 이 노래가 들릴 때 니가 알 수 있기를 이게 내 마지막 바램이어도 돼 길을 잃은 듯 헤매야 했어 어쩌면 꿈일지도 나도 알 수는 없지만 내 주어진 운명은 너를 향해 여기에 서 있을게 언제나 늘 이곳에 추워도 아파도 너를 지킬 수 있게 이 노래가 들릴 때 니가 알 수 있기를 이게 내 마지막 바램이어도 돼 I’m here 햇살이 비치는 따스한 아침이네 널 보던 기억은 늘 그랬어 어둡던 낮 하얗던 밤으로 가득했던 내게 꼭 기적처럼 다가와 빛이 되어준 너 여기에 서 있을게 언제나 늘 이곳에 추워도 아파도 너를 지킬 수 있게 이 노래가 들릴 때 니가 알 수 있기를 이게 내 마지막 바램이어도 돼 이 이야기의 끝에 마법처럼 니가 있기를 나의 곁에 너여야만 하니까 난 그래야만 하니까 그 어떤 무엇도 내가 두렵지 않게 바라고 또 바랄게 너에게로 닿기를 이게 내 마지막 바램이어도 돼 I’m here
