,가수,노래 제목,노래 가사
72,아이유,나만 몰랐던 이야기 (With Pianist 김광민),정말 넌 다 잊었더라  반갑게 날 보는 너의 얼굴 보니  그제야 어렴풋이 아파오더라  새 살 차오르지 못한 상처가  눈물은 흐르질 않더라  이별이라 하는 게 대단치도 못해서  이렇게 보잘것없어서  좋은 이별이란 거  결국 세상엔 없는 일이라는 걸  알았다면 그때 차라리 다 울어둘 걸  그때 이미 나라는 건  네겐 끝이었다는 건  나만 몰랐었던 이야기    사랑은 아니었더라  내 곁에 머물던 시간이었을 뿐  이제야 어렴풋이 알 것만 같아  왜 넌 미안했어야만 했는지  내가 너무 들떴었나 봐  떠나는 순간마저 기대를 했었다니  얼마나 우스웠던 거니  좋은 이별이란 거  결국 세상엔 없는 일이라는 걸  알았다면 그때 차라리 다 울어둘 걸  그때 이미 나라는 건  네겐 끝이었다는 건  나만 몰랐었던 이야기
73,케이윌,선물 (Feat. 은지원),내 생애 가장 아름다운 순간은 널 만나 눈부시게 사랑했던 순간들 이제 나 알아 너라는 사람 내 생애 가장 큰 선물 Baby Girl 넌 나만의 천사 아름다운 네 모습은 날 반하게 하니까 어두웠던 나의 삶에 한줄기 빛처럼 다가와 내 손을 꼭 잡아준 그대여 힘들어도 아파도 웃게 돼 너 때문에 넘어져 쓰러져도 힘을 내 너 때문에 U the only one in my life 변하지 않아 널 향한 내 사랑은 영원하기 때문에 하고 싶은 말이 있나 봐 늦었지만 아직까지 하지 못한 말 내 생애 가장 아름다운 순간은 널 만나 눈부시게 사랑했던 순간들 이제 나 알아 너라는 사람 내 생애 가장 큰 선물 우리 둘이 얘기하고 우리 둘이 걸어가고 언제나 둘이라서 행복한 이 시간들 서로 다른 사람인데 우린 서로 많이 닮아 남매냐는 얘기도 가끔 듣곤 했었지 우린 같은 길을 걸어가 또 같은 곳을 바라봐 누구보다 소중한 널 지켜줄게 믿어봐 내 인생 모든 의미 언제나 둘이 함께라면 행복만이 가득해 영원히 내 생애 가장 아름다운 순간은 널 만나 눈부시게 사랑했던 순간들 이제 나 알아 너라는 사람 내 생애 가장 큰 선물 지금 잡은 네 손을 놓지 않을게 남자답게 약속 지킬게 세월이 지나도 세상이 모두 변해도 항상 난 네 곁에 내 맘에는 오직 너밖에 누구 보다 사랑하니까 그 어떤 말로도 널 표현하긴 부족해 이 세상 가장 아름다운 사람은 너라고 수천 번을 말을 해도 부족해 얼마나 너를 사랑 하는지 영원히 가르쳐 줄게 널 향한 내 사랑은 영원하기 때문에
74,더 크로스,세상의 중심에서 사랑을 외치다,다시 시간을 돌릴 수 있어도 내게 선택은 언제나 단 하나 너야 음 눈물이 흘러도 나를 향한 비난에도 용서받지 못 함에도 나는 행복할 수 있을테니 서로 지우는 날까지 그 날까지 너 하나 만으로 l've got everything 우리가 죽는 날까지 그 날까지 서롤 가진 것으로 그걸로 행복할 테니 길이 있다면 단 하나뿐이며 그게 너라서 그 길로 걷고 있을 뿐 음 여기 올 때까지 너의 길이 짧았지만 나 가진 내 전불 걸어서 너의 짧은 길을 채우면 돼 서로 지우는 날까지 그 날까지 너 하나만으로 l've got everything 우리가 죽는 날까지 그 날까지 서롤 가진 것으로 그걸로 행복해 난 세상과 등을 돌려도 돌아갈 수 없어도 이 길이 내 길이니까 이게 사랑이니까 울지마 너의 몫까지 울려고 내가 있잖아 여기  단 한 번이기에 사는 동안 내게 사랑이란건 오직 너 하나 나의 마지막 날까지 그 날까지 나의 전불 걸어서 너를 사랑해
75,젝스키스,커플 (2016),예전보다 지금 네가 더욱 괜찮을 거야 허전했던 모습 맘속의 빈 곳 다 채워 줬으니 아름다운 세상에서 많이 외로워하며 너란 반쪽을 찾아 헤맨 건 다 옛날 얘긴 걸 내 생애 남은 날들을 너와 함께 하고 싶어 마치 꿈만 같은 걸 이젠 나 혼자가 아닌 너와 함께 하는 거야 Oh love 왜 이제서야 많이 외롭던 나를 찾아온 거야 Oh love 너를 사랑해 이제 모든 시간들을 나와 함께해 하나가 둘이 돼 여지껏 내 가슴 깊게 자리했던 슬픔이 개고 이젠 내 인생의 끝까지 무지개 난 너만 있으면 돼 기억해줄래 이 순간에 내가 하는 약속 사랑하는 너에게 나를 다 줄게 이제 너의 집은 내 맘속 얼마나 수많은 날을 기다려 왔는 줄 아니 이젠 모두 앞에서 너의 손을 꼭 붙잡고 우리 함께 하는 거야 Oh love 왜 이제서야 많이 외롭던 나를 찾아온 거야 Oh love 너를 사랑해 이제 모든 시간들을 나와 함께해 과거 따윈 모두 잊고 나와 함께 할 많은 시간을 추억으로 만들어 Oh love 왜 이제서야 많이 외롭던 나를 찾아온 거야 Oh love 너를 사랑해 이제 모든 시간들을 나와 함께해
76,마마무 (Mamamoo),Double Trouble Couple,고요한 마음속에 Trouble 흔들리고 있는 건 True 생각지도 못한 너의 존재로 인해 일이 복잡해졌어 피할 수 없는 Sweet Trouble 기분이 나쁘진 않군 낯선 느낌이야 평온할 때 보다 왠지 더 끌리는 걸 Oh I need you I don't understand me 점점 빠져드는 걸까 어느 샌가 나도 몰래 Double Trouble Couple 아직 문제가 너무 많은 우리 둘 Bubble Bubble Couple 이상하게 내 마음이 녹아 드네 Sweet Trouble You feel me now Time is over 뭘 고민해 네 생각도 나와 같은데 걱정이 늘어나네 Double 감출 수 없다는 건 True 자꾸 생각이나 너에 대한 스토리가 끝도 없이 그려져 유난히 내 취향은 확고해 어려운 듯 멀쩡해 보이는 모습관 다른 반전에 매력을 느끼네 뭘 그리 놀래 생각도 못했어 눈감아도 다 보이는 걸 I just call to say I don't understand me 점점 빠져드는 걸까 어느 샌가 나도 몰래 Double Trouble Couple 아직 문제가 너무 많은 우리 둘 Bubble Bubble Couple 이상하게 내 마음이 녹아 드네 Ordinary day 네 생각은 매일 난 아무렇지 않은 듯 표정을 숨기려 해도 I can't fool you 점점 드러나는 내 마음 모르겠다 말해볼까 Double Trouble Couple 아직 문제가 너무 많은 우리 둘 Bubble Bubble Couple 이상하게 내 마음이 녹아 드네 Sweet Trouble You feel me now Time is over 뭘 고민해 네 생각도 나와 같은데
77,다비치,립스틱 짙게 바르고,네가 그랬잖아 헤어지지 말자고 두 번 다시 울리지 않겠다고 지금껏 널 위해 살아왔던 나였었는데 이제와서 네가 나를 버린다는 말이되 난나나 난나나 난 변할꺼야 촌스럽던 옷도 버리고 난나나 난나나 화장을 하고 아무도 날 못 알아보게 사랑같은거 하지 않을래 다시는 바보같은 짓 절대 안할꺼야 립스틱을 짙게 바르고 긴머리를 자르고 네가 준 상처를 지우고 날 울린 만큼 아프게 한만큼 너도 너 같은 사람 사랑해보면 알아 나는 변했어 널 다 잊었어 다시는 사랑 안할래  눈빛만 보아도 좋았었는데 얼마나 널 사랑했는데 난나나 난나나 내가 가여워 결국 사랑때문에 울어 사랑같은거 하지 않을래 다시는 바보같은 짓 절대 안할꺼야 립스틱을 짙게 바르고 긴머리를 자르고 네가 준 상처를 지우고 날 울린 만큼 아프게 한만큼 너도 너 같은 사람 사랑해보면 알아 나는 변했어 널 다 잊었어 다시는 사랑 안할래  차가워질게 더 강해질게 사랑 따위에 울지 않게 사랑 때문에 미련 때문에 밤새도록 너 때매 우는 일 없을꺼야 널 다 버리고 널 다 지우고 너 없이도 행복할꺼야 나를 잊어줘 너를 지워줘 언젠가 우연이라도 널 만나게 되면 모른척 해줘 날 스쳐가도 나는 널 모를테니까
78,김연우,그대라서,그대를 비운 자리에 하얀 달빛이 쓸쓸히 비추고 별빛에 가슴이 시릴 만큼 아무 것도 남지 않았죠 그대를 비운 자리에 헝클어져버린 추억들 사이로 차마 못 견디고 내 눈물 떨어지죠 그대라서 그대라서 그대라서 이 사랑이 아파도 그대라서 그래서 놓을 수 없죠 두 번 다신 없을 사람 이라서 그대를 비운 자리에 그대가 아닌 다른 그 무엇도 아무리 애를 써도 채워지지 않네요 그대라서 그대라서 그대라서 이 사랑이 아파도 그대라서 그래서 놓을 수 없죠 두 번 다신 없을 사람 이라서 그대를 사랑했던 이유가 돌아갈 수 없는 길이 된 거죠 그대라서 그대라서 그대라서 이 사랑이 아파도 그대라서 그래서 놓을 수 없죠 두 번 다신 없을 사람 이라서 두 번 다신 없을 사람 이라서
79,케이시 (Kassy),우리 사랑이 저무는 이 밤 (Feat. 제이문 (Jay Moon)),달빛 아래 모두 잠든 이 밤 홀로 앉아 별을 보면 어느새 내게 다가와 마지막 인사를 건네 I love you 우리 사랑이 저무는 이 밤 너란 세상이 숨어버린 밤 한순간에 빛을 잃어버린 날 아슬하게 붙잡고 있던 내 손을 차갑게 뿌리쳐 초라하게 만들어 불필요한 단어는 대체 왜 꺼낼까 무심하게 등 돌리고 나면 끝이지 이변은 없어 무색하게도 영원히 하나일 줄 알았던 어린아이의 꿈에서 깨어난 뒤지 서로에게 내키지 않을 정도의 자리마저 내어주던 마음은 먼지 묻어나는 빈집이 된 지 오래고 이별은 세련됐네 적당한 인사 외엔 내팽개치면 돼 떨어지는 저 별처럼 우리 사랑도 저물고 밤이 지고 해가 떠도 여전히 슬프겠죠 I love you 우리 사랑이 저무는 이 밤 나의 심장이 멈춰버린 밤 빛을 잃어버린 체 길을 헤매고 있는 불쌍한 아이일 뿐 간절히 붙잡고 있던 내 손을 차갑게 뿌리쳐 초라하게 만들어 만약 점수를 매긴다면 손에 꼽지 않을까 과연 너 같은 사람은 이제 다신 원해도 별수 없지 못된 버릇 자기 과신 인연을 그럼 너는 진심 책임질 수 있어 문제를 끌어안고 이걸 내 이길 수 있어 나도 알아 이건 회피일 수 있어 하지만 달리 방법이 없으니까 떨어지는 저 별처럼 우리 사랑도 저물고 밤이 지고 해가 떠도 여전히 슬프겠죠 I love you 끝이 보였던 우리 둘 떠넘기기 바빴던 이별 잘 가 우리 사랑이 저무는 이 밤 네게서 나의 심장이 멈춰져 버린 밤 아파도 그대로 받아들이면 돼 눈 감아도 네 생각이 날 땐 우리 허무했던 마지막을 떠올리면 되니까 잔인했던 운명처럼 미칠 듯 사랑했던 순간들이 지나가고 무의미한 시간을 거쳐 끝을 마주하는 밤 I love you But I hurt you no more I don’t want you no more like the past days I don’t love you no more
80,윤하 (YOUNHA),첫눈에,첫눈에 난 알았죠 사랑하게 될 줄을 심장이 터질듯한 떨림이었죠 그대 맘에 들도록 뭐든 하자는 대로 웃는 그댈 보는 게 행복이었죠 날 아끼는 듯 그 한 마디가 좋아서 그대 가는 곳 늘 함께하고 싶어 매일을 사랑한다고 천 밤을 기다린다고 불러보다 잠 못 든 나를 그댄 알까요 가슴이 미쳤나 봐요 그렇게 아팠으면서 떠올리다 또 바보처럼 웃고 있죠 단 하루만 그대와 나 하루만 바꿔 살 순 없을까요 미워지지 않아요 지치지도 않네요 뭐 하나 내 뜻대로 할 수가 없죠 첫눈에 이미 내 맘 다 가져간 그대니 그댈 맴도는 하루 당연한 거죠 좀 더 열심히 날 가꾸면 돌아볼까 그대 좋아할 나로 변하고 싶어 매일을 사랑한다고 천 밤을 기다린다고 불러보다 잠 못 든 나를 그댄 알까요 가슴이 미쳤나 봐요 그렇게 아팠으면서 떠올리다 또 바보처럼 웃고 있죠 단 하루만 그대와 나 하루만 바꿔 살 순 없을까요 나 없는 그대가 혹시 외롭지 않을까 또 착한 걱정만 늘죠 그대 곁에서 나 웃었던 눈부셨던 좋았던 만큼 그대도 같길 바래 추억이 너무 많아요 그댄 다 잊고 사나요 세어보다 오늘도 나는 잠 못들 텐데 세상이 미쳤나 봐요 이렇게 긴 날 지나도 내 눈엔 다 그대처럼만 또 보여요 하루라도 단 하루를 살더라도 그대 사람이고 싶죠 사랑해 말하고 싶어요
81,강민경 (다비치),1994년 어느 늦은 밤 (마실나온 솜사탕),오늘밤 그대에게 말로 할 수가 없어서 이런 마음을 종이 위에 글로 쓴걸 용서해 한참을 그대에게 겁이 날만큼 미쳤었지 그런 내 모습 이제는 후회할지 몰라 하지만 그대여 다른 건 다 잊어도 이것만은 기억했으면 좋겠어 내가 그대를 얼만큼 사랑하고 있는 지를 사랑 하는지를 하지만 그대여 다른 건 다 잊어도 이것만은 기억했으면 좋겠어 내가 그대를 얼만큼 사랑하고 있는지를 사랑 하는지를 그대 이제는 안녕
82,"백지영, 옹성우",아무런 말들도,아무 말들도 아무 대답도 아무 약속도 듣지 못 했는데 안돼 안돼 안돼 안돼 안돼 안돼 떠나지마 아무런 말들도 아무런 대답도 아무런 약속도 듣지 못 했는데 안돼 안돼 안돼 안돼 안돼 안돼 떠나지마 마음이 다쳐서 너무 다쳐서 죽을 것 같아서 숨도 못 쉬는데 안돼 안돼 안돼 안돼 안돼 안돼 버리지마 아무런 말들도 아무런 대답도 아무런 약속도 듣지 못 했는데 안돼 안돼 안돼 안돼 안돼 안돼 떠나지마 죽는 것조차 힘들어 난 너가 없으면 이렇게 혼자 두고서 날 떠나가면 일분 일초도 견딜 수가 없어 제발 아니라고 해줘 아무런 말들도 아무런 대답도 아무런 말들도 아무런 대답도 아무런 약속도 듣지 못 했는데 안돼 안돼 안돼 안돼 안돼 안돼 떠나지마 날 사랑한다고 나 밖에 없다고 곁에 있겠다고 말해줬었는데 안돼 안돼 안돼 안돼 안돼 안돼 버리지마 아무 말들도 아무 대답도
83,혜령,우리 사랑 여기까지죠,그래요 내가 바보였죠 그대에겐 나 너무도 부족한 걸 알면서 사랑한게 잘못였죠  알아요 내가 나빴었죠 그대에겐 다른 사람이 있는데 그댈 놓지 못했었죠  고마워요 처음으로 난 이 세상에 태어난 걸 감사했죠 그대라는 이유 하나만으로 난 축복받은 사람인걸요  나 같은 사람은 잊어요 처음부터 그대 난 아닌걸요 사랑해요 마지막이죠 두번 다신 할 수 없는거죠  But you're my everything 시간이 흘러서 우연히 마주친다해도 힘들지만 모른척 지나쳐가요 우리 사랑 여기까지죠  미안해요 내가 없이는 그대도 힘들거라는걸 알면서도 이렇게 그댈 보낼 수 밖에는 없는 나 어떻게 살아가죠  나 같은 사람은 잊어요 처음부터 그대 난 아닌걸요 사랑해요 마지막이죠 두번 다신 할 수 없는거죠  But you're my everything 시간이 흘러서 우연히 마주친다 해도 힘들지만 모른척 지나쳐가요 우리 사랑 여기까지죠  그대 없이도 혼자서 살아갈 수도 있겠죠 하지만 그대 없는 나란건 살아도 죽은거죠  나 같은 사람은 잊어요 처음부터 그대 난 아닌걸요 사랑해요 마지막이죠 두번 다신 할 수 없는거죠  But you're my everything 시간이 흘러서 우연히 마주친다 해도 힘들지만 모른척 지나쳐가요 우리 사랑 여기까지죠
84,조장혁,아직은 사랑할때,그리워 하겠죠 아마 나처럼 밤새 뒤척이며 울고 있겠죠 성급한 이별로 떠나간게 걸려서 그대 더 아플지도 몰라  받으면 말 없이 끊는 전화가 가끔 젖은 꿈에 오는 그대가 어쩌면 나 없이 많이 힘들다는 걸 알리고 싶은 지도 몰라  태우려 모아둔 내 사진 보다가 울컥 또 눈물이나 가슴을 치는건 아닌지  그런 그대 일까봐 난 기다려야해 그대가 내게 준 작은 기억마저도 잊혀지지 않는 건 죽어도 나 않되는 건 아직 사랑하기에  함께 한 그곳을 찾아갈 때마다 그대 다녀간 뒤라 향기가 나는건 아닌지  그런 그대 일까봐 난 기다려야해 그대가 내게 준 작은 기억마저도 잊혀지지 않는건 죽어도 나 않되는건 아직 사랑하기에  아직 사랑하기에-
85,박정현,나 가거든 (If I Leave) (조수미),쓸쓸한 달빛 아래 내 그림자 하나 생기거든 그땐 말해볼까요 이 마음 들어나 주라고 문득 새벽을 알리는 그 바람 하나가 지나거든 그저 한숨 쉬듯 물어 볼까요 나는 왜 살고 있는지 나 슬퍼도 살아야 하네 나 슬퍼서 살아야 하네 이 삶이 다 하고 나야 알 텐데 내가 이 세상을 다녀간 그 이유 나가고 기억하는 이 나 슬픔까지도 사랑했다 말해주길 흩어진 노을처럼 내 아픈 기억도 바래지면 그땐 웃어질까요 이 마음 그리운 옛일로 저기 홀로 선 별 하나 나의 외로움을 아는 건지 차마 날 두고는 떠나지 못해 밤새 그 자리에만 나 슬퍼도 살아야 하네 나 슬퍼서 살아야 하네 이 삶이 다 하고 나야 알 텐데 내가 이 세상을 다녀간 그 이유 나가고 기억하는 이 내 슬픔까지도 사랑하길 이 삶이 다하고 나야 알텐데 우 부디 먼 훗날 나 가고 슬퍼하는 이 나 슬픔 속에도 행복했다 믿게 해
86,"스테파니 (STEPHANIE), 이명숙",바람이 분다,가사준비중
87,성시경,그대 내 맘에 들어오면은,다가가면 뒤돌아 뛰어가고 쳐다보면 하늘만 바라보고 내 맘을 모르는지 알면서 그러는지 시간만 자꾸자꾸 흘러가네  스쳐가듯 내 곁을 지나가고 돌아서서 모른척하려 해요 내 마음의 강물처럼 흘러가는 그대는 무지갠가  뛰어갈텐데 훨훨 날아갈텐데 그대 내 맘에 들어오면은  아이처럼 뛰어가지 않아도 나비따라 떠나가지 않아도 그렇게 오래오래 그대 곁에 남아서 강물처럼 그대 곁에 흐르리  뛰어갈텐데 날아갈텐데 그대 내 맘에 들어오면은  스쳐가듯 내 곁을 지나가고 돌아서서 모른척하려 해요 내 마음의 강물처럼 흘러가는 그대는 무지갠가  뛰어갈텐데 훨훨 날아갈텐데 그대 내 맘에 들어오면은  아이처럼 뛰어가지 않아도 나비따라 떠나가지 않아도 그렇게 오래오래 그대 곁에 남아서 강물처럼 그대 곁에 흐르리  뛰어갈텐데 날아갈텐데 그대 내 맘에 들어오면은  뛰어갈텐데 날아갈텐데 그대 내 맘에 들어오면은
88,하하,술병 (With 타이거JK),잊을수가없는데 떠날수가없는데 난 아무말도 못하고 자꾸 숨이막히네 술에 취한 이밤에 겁이나 니가 없는게 술때문에 내속이 더 아픈데 왜 왜 쓸때없는 생각만 자꾸 드네 너를 두고 너를 두고 i'm cry 널 잃은 아픔에 내속이 아픈데 또다른 슬픔에 끝에 널 잃은 아픔에 내속이 아픈데 다른 슬픔에 끝에 너를 두고 너를 두고 i'm cry  이젠수가 없는데 다른수가 없는데 술때문에 내속이 더 아픈데 쓸때없는 생각만 자꾸 드네 너를 두고 너를 두고 i'm cry 널 잃은 아픔에 내속이 아픈데 또다른 슬픔에 끝에 널 잃은 아픔에 내속이 아픈데 다른 슬픔에 끝에 너를 두고 너를 두고 i'm cry 사랑이 서툰게 사랑을 내친게 내속이 아닌데 끝내 사랑이 서툰게 사랑을 내친게 내가 아닌데 끝내 너없는 내마음은 어두움뿐 빛이없지 빛이없지 너없는 내마음은 어두움뿐 빛이없지 빛이없지 잊을수도있는데 떠날수도있는데
89,김현철,Drive (feat. 죠지),문득 돌아보면 이제까지 어거지로 대충 살아온 것 같아 지내다보면 다 괜찮아지겠지 뭐 그럴지도 몰라 오 모든게 멀어질 때 그럴땐 It’s all right 하나둘씩 들어오는 색색깔의 불빛 street lights 이럴때면 어딘론가 마냥 떠나고파 sunset 그리워진 너를 따라서 오 지는 노을 사이로 드리워진 우리함께 하던 곳으로 오 drive 멀리 너의 소식 온 종일 또 기다리다가 하루가 지나가고 괜찮아 그럭저럭 잘 지내고 있어 그러니 내 걱정마 그러니 내 걱정마 못 견디게 보고싶고 그럴땐 It’s all right 하나둘씩 들어오는 색색깔의 불빛 street lights 이럴때면 어딘론가 마냥 떠나고파 sunset 그리워진 너를 따라서 오 지는 노을 사이로 드리워진 우리함께 하던 곳으로 오 drive 못 견디게 보고싶고 그럴땐 It’s all right 하나둘씩 들어오는 색색깔의 불빛 street lights 이럴때면 어딘론가 마냥 떠나고파 sunset 그리워진 너를 따라서 오 지는 노을 사이로 드리워진 우리함께 하던 곳으로 오 drive It’s all right 하나둘씩 들어오는 색색깔의 불빛 street lights 이럴때면 어딘론가 마냥 떠나고파 sunset 그리워진 너를 따라서 오 지는 노을 사이로 드리워진 우리함께 하던 곳으로 오 drive
90,제이세라,한 사람을 위한 마음,힘들게 보낸 나의 하루에 짧은 입맞춤을 해주던 사람 언젠간 서로가 더 먼곳을 보며 결국엔 헤어질것을 알았지만 너의 안부를 묻는 사람들 나를 어렵게 만드는 얘기들 왜 슬픈 예감은 틀린적이 없나 너를 잊겠다는 거짓말을 두고 돌아오긴 했지만 언제 오더라도 너만을 기다리고 싶어 다시 처음으로 모든걸 되돌리고 싶어 이제는 어디로 나는 어디로 아직 너의 그 고백들은 선한데 너를 닮아 좋았던 장미꽃도 한 사람을 위한 마음도 모두 잊겠다는 거짓말을 두고 돌아오긴 했지만 너의 안부를 묻는 사람들 나를 어렵게 만드는 얘기들 왜 슬픈 예감은 틀린적이 없나 너를 잊겠다는 거짓말을 두고 돌아오긴 했지만 언제 오더라도 너만을 기다리고 싶어 다시 처음으로 모든걸 되돌리고 싶어 이제는 어디로 나는 어디로 아직 너의 그 고백들은 선한데 너를 닮아 좋았던 장미꽃도 한 사람을 위한 마음도 모두 잊겠다는 거짓말을 두고 돌아오긴 했지만 모두 잊겠다는 거짓말을 두고 돌아오긴 했지만
91,시하,우리가 듣던 노래,그 말 들어본 적 있나요 눈을 감고서 예전 향기가 나면 그때가 느껴진다는 걸요 길을 걸을 때마다 한 번쯤 그대 기억의 향기가 난 느껴지길 바랐었죠 나의 기억 모두 그 시간 속으로 되돌리고 싶어 돌아갈래 아무것도 기억이 안 나 그곳으로 가요 우리가 듣던 노래가 흘러나와요 지금 너와 나눴던 또 울기도 했던 그 노래가 나와요 우리가 듣던 그 노래를 듣거든 다시 돌아와요 그곳에서 난 오늘도 기다려요 한해 두해 지나갔어도 그대와 듣던 노래가 난 지금처럼 느껴져요 우리 기억 모두 그 시간 속으로 되돌리고 싶어 그리워요 오늘만은 보고 싶어요 그곳으로 와요 우리가 듣던 노래가 흘러나와요 지금 너와 나눴던 또 울기도 했던 그 노래가 나와요 우리가 듣던 그 노래를 듣거든 다시 돌아와요 그곳에서 난 언제나 기다려요 기억해요 하나였던 그 노래에요 그대 마음까지 닿길 바라요 우리가 듣던 노래가 흘러나와요 지금 너와 나눴던 또 울기도 했던 그 노래가 나와요 우리가 듣던 그 노래를 듣거든 다시 돌아와요 그곳에서 난 언제나 기다려요
92,H2가인,사랑해 또 행복해,그대만 사랑을 했었어 아픈줄도 모르고 잊지마 시간이 흘러도 내겐 너 하나일테니까 추억이 날 찾아와 하나 둘 버리고 네가 또 그리워 견딜 수 없어 말해줘 아니라 이별은 아닐거라 가슴은 너만 찾아 사랑해 널 사랑해 널 아직 잊지 못해 지워도 지울 수가 없는 내가 싫어 다시 한번만 내게 올 수 없니 나에게로 돌아와줘  흐르는 눈물에 지워져 모든걸 잃어가고 한번 더 한번만 부를게 다시 날 사랑할 순 없니 기억이 널 지워가 붙잡고 싶은데 네가 더 그리워 견딜 수 없어 말해줘 아니라 이별은 아닐거라 이렇게 너만 찾아 사랑해 널 사랑해 널 아직 잊지 못해 지워도 지울 수가 없는 내가 싫어 다시 한번만 내게 올 수 없니 나에게로 돌아와줘 내 가슴 깊이 베인 네가 남긴 그 사랑에 아프고 또 아파도 난 후회하진 않을테니 사랑해 널 사랑해 널 아직 잊지 못해 지워도 지울 수가 없는 내가 싫어 다시 한번만 내게 올 수 없니 나에게로 우 사랑해 널 사랑해 널 아직 잊지 못해 지워도 지울 수가 없는 내가 싫어 두번 다시는 사랑할 수 없어 나에게는 너뿐인데 사랑해 널 사랑해 널 아직 잊지 못해 지워도 지울 수가 없는 내가 싫어 다시 한번만 내게 올 수 없니 나에게로 우 돌아와줘
93,최진혁,잘 있나요 (Acoustic Ver.),눈물이 난다 또 하늘을 본다 바라봐도 추억이 흐른다 니가 없는 하루가 너무 아프다 차 오르는 그리움도 사랑이 운다 바람에 날린다 구름 되어 그 길을 따라가 나 이렇게 먼 곳에서 바라 본다 잊지 말라던 그대 내 눈물아 슬픈 추억아 보고 싶은 그런 사랑아 언제나 같은 하늘 아래 그려 본다 그래 나 이렇게 아픔에 살아 하루가 지나가도 하루가 다시 오는 슬픔 죽을 만큼 힘들잖아 나의 사랑 내 눈물아 슬픈 추억아 보고 싶은 그런 사랑아 언제나 같은 하늘아래 그려 본다 그래 나 이렇게 아픔에 살아 니가 없이 가끔 울것 같은데 아파도 슬퍼도 너를 생각해 잘 있나요 나의 사랑아 보고 싶은 나의 사랑아 언제나 같은 하늘 아래 그려 본다 그래 나 이렇게 아픔에 살아 오늘도 그렇게 아픔에 산다
94,이승기,나를 슬프게 하는 사람들,아무 때고 내게 전활해 나야하며 말을 꺼내도 누군지 한 번에 알아낼 너의 단 한 사람 쇼윈도에 걸린 셔츠를 보면 제일 먼저 네가 떠올릴 사람 너의 지갑 속에 항상 간직될 사람 네게 그런 사람이 나일 순 없는지 네 곁에 있는 내 친구가 아니라 언젠가 그가 너를 맘 아프게 해 너 혼자 울고 있는 걸 봤어 달려가 그에게 나 이말 해줬으면 그대가 울리는 그 한 여자가 내겐 삶의 전부라고  혼자서는 힘든 슬픔이 오면 제일 먼저 네가 찾아 줄 사람 너의 생일마다 꽃을 안겨줄 사람 네게 그런 사람이 나일 순 없는지 네 곁에 있는 내 친구가 아니라 언젠가 그가 너를 맘 아프게 해 너 혼자 울고 있는 걸 봤어 달려가 그에게 나 이말 해줬으면 나의 일생을 모두 주어도 난 얻지 못하는 그녈 가진 그대라고  그녈 곁에 둔 이유만으로 다른 이 세상 누구보다 그댄 행복한 거라고
95,바닐라 어쿠스틱,울컥해,겨울이 오나 봐 밤은 더 길었고 차가워진 바람 옷을 껴 입어도 여전히 시리고 허전해진 내 맘 네가 없는 나는 내가 없는 너는 밥을 먹으려다 물을 마시려다 그리워해 울컥해 울고 그래 잘 마시지도 않는 커피를 시켜 놓고 너의 온기 그리워 한없이 손에 품고만 있어 사랑이 아니란 말은 더 아팠고 차가웠던 그때 모든 게 끝이나 기대는 없었고 냉정했던 그때 집을 나서려다 옷을 고쳐 입다 그리워해 울컥해 울고 그래 치울 것도 없는 집안을 정리하다 너의 흔적 나오면 한없이 바라 보고만 있어 변하지 않는 건 없다는 거 알아 눈물이 나는 건 순간인걸 알아 네가 없는 나만큼 내가 없는 너 또한 시간에 무뎌질 거 알아 잊은 듯 하다가 괜찮은 듯 하다가 예고 없이 울컥해 울고 그래 잘 마시지도 않던 술에 취한 밤이면 너의 품이 그리워 한없이 뒤척이다 밤을 새
96,하성운,I Fall In Love,기적 같은 사랑이 내게 온 거죠 기다려왔던 이 사랑에 잠 못 드네요 햇살이 나를 비추는 아침에 눈을 뜨면 그대 생각나네요 떨리는 입술을 떼고 네게 전활 걸어 또 나도 몰래 가슴 뛰죠 천천히 다가갈게 매일 보고 싶지만 혹 부담이 될까 처음 본 순간부터 난 꿈꾸죠 사랑할 내일을 기적 같은 사랑이 내게 온 거죠 기다려왔던 이 사랑에 잠 못 드네요 하루하루에 모든 시간이 내 중심은 바로 너야 I fall in love you 어느새 나의 하루는 온종일 널 생각해 늘 너의 곁에 있고 싶어 너에게 한발 다가가 바라만 보아도 또 나도 몰래 가슴 뛰죠 우산이 되어줄게 지켜주고 싶지만 혹 부담이 될까 처음 본 순간부터 난 꿈꾸죠 함께할 매일을 기적 같은 사랑이 내게 온 거죠 기다려왔던 이 사랑에 잠 못 드네요 하루하루에 모든 시간이 내 중심은 바로 너야 I fall in love you 오늘은 꼭 네게 고백할게요 세상 단 하나 나의 사랑아 기적 같은 사랑이 내게 온 거죠 기다려왔던 이 사랑에 잠 못 드네요 하루하루에 모든 시간이 내 중심은 바로 너야 I fall in love you
