,가수,제목,가사
10,박보람,두 번 다시 우리,"생각보다 잘 지내서 놀란 건가요
내 미소에 조금 서운했나요
어떻게 지내냐며 웃는 내 모습
그댈 서운하게 한건가요
어쩌다 마주치게 될까봐
우리 헤어진 날부터 웃는 연습해왔죠
두 번 다시 우리
마주칠 일 없을 거예요
우연히 만나도 이젠 모른 척해요
나 이렇게 웃으며 잘 살고 있어요
내 걱정은 하지 마요
사실은 마주치고 싶어서
우리 같이 걷던 그길 매일 서성거렸죠
두 번 다시 우리
마주칠 일 없을 거예요
우연히 만나도 이젠 모른척해요
나 이제는 웃으며 그댈 볼 수 없죠
더 이상 그럴 수 없죠
참아왔던 눈물이 결국 터져버려
뒤돌아서 뛰어버렸죠
두 번 다시 우리
두 번 다시 우리
마주칠 일 없단 사실이
우연히 만나도 아무 일도 아닌게
나 더 이상 그대의 사랑이 아닌게
견딜 수 없이 아프죠
어쩌다 이렇게 됐죠"
11,박준용 (오선지),있을 때 잘할걸 (Vocal. 공지연),"얼마 전까진 안 그랬는데
그땐 어떤 말도 아름답게 들렸었는데
언젠가 서로 상처되는 그런 말들을
서슴지 않고 막 뱉어낸 걸까
그렇게 헤어질 줄은 몰랐어
헤어지잔 니 말도 난 믿지 않았어
있을 때 잘할 걸 그랬어
니 맘 변하기 전에
너 역시 나에게
많은 노력을 했을 텐데
그 맘 몰라줘서 미안해
너무 내 생각만 했었나 봐
그 시간이 영원할 줄 알았어
너의 호의가 계속되니까
그걸 권리라고 생각했어 미쳤었나 봐
가끔은 유치하게 네게 지기 싫어서
마음에 없는 말도 하곤 했어
그렇다고 진짜 헤어질 줄 몰랐어
헤어지잔 그 말도 난 믿지 않았어
있을 때 잘할 걸 그랬어
니 맘 변하기 전에
너 역시 나에게
많은 노력을 했을 텐데
그 맘 몰라줘서 미안해
너무 내 생각만 했었나 봐
그 시간이 영원할 줄 알았어
장난이라도 왜 그런 말을 했을까
니 기분 모르고
이젠 담을 수 없는
엎질러진 물이 됐어
있을 때 잘할 걸 그랬어
우리 틀어지기 전에
너 역시 나에게
많은 노력을 했을 텐데
그 맘 몰라줘서 미안해
너무 내 생각만 했었나 봐
그 시간이 영원할 줄 알았어"
12,뉴이스트,여보세요 (Re-mastering),"여보세요 밥은 먹었니
어디서 뭐 하는지 걱정되니까
Tell me baby where you at
여보세요
Call me baby I be there
Wherever you are I be there
여보세요
Pick up the phone girl
Cuz I gotta be there

차가 막히는지 늦을 건가 봐 (급한 맘에)
배터리는 또 깜빡하셨나 봐 (나는 또)
왠지 비가 올 것 같아
고민을 하다가 (너를 좀 더)
빨리 보고 싶은 맘에
일찍 데리러 나가

깜짝 놀라겠지 날 보면 (좋아하겠지)
길이 엇갈리지 않게 더 (달려야겠지)
저 멀리 네 모습 보이는데 왜 난
전활 걸어 한다는 말이 결국엔

여보세요 밥은 먹었니
어디서 뭘 하는지 걱정되니까
여보세요 왜 아무 말 못 하니
여보세요 여보세요

널 데리러 왔어 비가 올까 봐
혼자 쓸쓸히 빗속을 걸을까 봐
집 앞이야 니가 보여 누구랑 있나 봐
솔직히 말 못 했어 그럼 널 잃을까 봐

나도 알아 내 행동 비겁해
비겁하다 놀려도 난 절대 못 가 더는
이런 내 맘 알까 너는
네게 가는 길이 내게 왜 지옥행
같이 느껴져야 되는 건지
이건 말이 안 돼 네 외로움 달래 준 건 난데
어서 말해 제발 아무 사이 아니라고
왜 난 안돼 한 번 해봐 아무 말이라도

지금 너 거기서 뭐 하니
지금 널 멀리서 멍하니
바라보는 내가 느껴지지 않니
하고픈 말은 다 내일 해
미안하단 말도 내일 해
자꾸 어딜 봐 바로 여기가
네가 있어야 할 자린데

여보세요 밥은 먹었니
어디서 뭘 하는지 걱정되니까
여보세요 왜 아무 말 못 하니
여보세요 여보세요

널 보고 싶었어 비가 오니까 (비가 내리니까)
너와 걷던 거리를 걷다 보니까 (죽겠으니까)
집 앞이야 보고 싶어 너는 아닌가 봐
솔직히 미치겠어 너 아님 안 되나 봐

Baby I can’t let you go
밥은 먹었니
I only think about you girl
What would I be without you girl
어디서 뭐 하는지
Don’t tell me lies
Don’t say goodbye
I just wanna let you know
왜 아무 말 못 하니

I only think about you girl
What would I be without you girl
What would I be without you girl
여보세요"
13,시온,사랑했으니.. 됐어,"그러려니 끄덕거릴
그런 일일뿐이야
모두 내 맘 같진
않은 거니까 Uh uh
이별 앞에 무너지는
내가 되지 않도록
너로 인해 잠시 멈춰 있었던
내 길을 다시 걸으면 돼
어디에나 있을 수 있는 일
이 순간도 누군가는 겪는 일
온 힘을 다해
사랑했으니 됐어
다만 쉽게 믿기가 힘든 일
잠시 많은 눈물이 필요한 일
꼭 쥐고 있었던
우리의 행복과 아픔들을
내려놓는 일
헤어짐은 언제든지
있을 수 있는 일인 걸
너의 미안함을 미워하는 건
바보짓이야 난 괜찮아
어디에나 있을 수 있는 일
이 순간도 누군가는 겪는 일
온 힘을 다해
사랑했으니 됐어
다만 쉽게 믿기가 힘든 일
잠시 많은 눈물이 필요한 일
꼭 쥐고 있었던
우리의 행복과 아픔들을
내려놓는 일
좋은 기억만 잘 떼어내어서
간직할 거야
모든 걸 잊긴 싫어
이별도 사랑의 하나로
생각하면서 널 보낼게
어디에나 있을 수 있는 일
그럴 수 있는 일
이 순간도 누군가는 겪는 일
온 힘을 다해
사랑했으니 됐어
서로를 모조리 들이마시고
참지 못해 안녕을 내뱉었던
긴 호흡과 같은
우리의 행복과 아픔들을
내려놓을 뿐
내려놓을 뿐"
14,김범수,나 없이 행복할 널 위해,"잘봐 나의 모습을 세상은 날 그리
반기지 않아 아직 순수한 니가
세상을 몰라서 그러는거야
무엇하나 나눠줄 것 없는 사랑을
너는 전부라 믿지만
가르쳐줄게 네게 어울리는 사람은
너를 웃게 만드는 좋은 사람일거야
함께 있어도 살아가는게 힘겨울 때
아무것도 못해준 나같은 사람은 아니야

잘가 이제 다시는
눈물 흘리는 일 없기를 바래
너무 많은 나의 욕심때문에
너를 울리곤 했잖아
가르쳐줄게 네게 어울리는 사람은
너를 웃게 만드는 좋은 사람일거야
함께 있어도 살아가는게 힘겨울 때
아무것도 못해준 나같은 사람은 아니야
이번만큼은 부족한 나를 믿어주길
너에게 줄 선물은 이별하나 뿐인데
함께 있기를 누구보다 더 바라지만
이젠 돌아서야 해
나없이 행복할 널 위해..."
15,Wanna One (워너원),약속해요 (고백 Ver.),"벚꽃이 떨어지던 날
그댈 처음 만났죠
낯설은 떨림과
두려운 설렘들이 뒤섞이던 날
이제서야 말해요
나 많이 겁이 났었죠
어쩌면 그때가 마지막이라고
생각했었기에
서툰 날 가슴에 품어주고
날 위해 울어준 그대 눈빛을 기억해
심장에 새길게요
약속해요 잊지 않겠다고
날 다시 태어나게 해준 널
내 사람이란 게
자랑스러울 수 있도록 잘 할게요
약속해요 놓지 않겠다고
내게 빛이 되어준 그대와
봄날의 우리를 잊지 않을게요
약속해요
나조차 믿지 못했던
꿈을 이룰 수 있다고
날 일으켜 주던 그대가 있어서
이 노랠 부르고 있어
사랑한다는 말도 고맙다는 인사도
내 맘을 조금도 대신하지 못해
이제부터 그냥 내 맘 보여줄게요
가끔씩 상상을 해 난
너 없는 나와 이 세상
얼마나 차갑고 어두울지 두렵기만 해
You're my sunshine and moonlight
어느 것과도 비교불가
그냥
Thank you and I just thank you
And I love you
약속해요 잊지 않겠다고
날 다시 태어나게 해준 널
내 사람이란 게
자랑스러울 수 있도록 잘 할게요
약속해요 놓지 않겠다고
내게 빛이 되어준 그대와
처음의 우리를 잊지 않을게요
약속해요
외로운 세상에 더는
혼자 두지 않을게요
우리의 영원은 이제 시작일 테니까
몇 번의 계절이 스치고
시간이 우리를 지나가도
서로를 잊지 말기로 해요
I promise you baby
기억해요
나조차도 몰랐던 나를 알아봐 줬던
그대로 인해 지금의 내가 있어
별빛보다 빛날 태양에 안긴 달로
영원을 약속해요
I promise you
약속해요 더는 그대를
눈물짓게 하지 않을게요
내 사람이란 게
자랑스러울 수 있도록 잘 할게요
약속해요 변치 않겠다고
지금 이대로 삶의 끝까지
처음의 우리를 잊지 않을게요
약속해요"
16,지동국,돌아가는 길,"지금 너에게 돌아가는 길
널 향한 설레고 떨리는 한 걸음
다시 날 보면 넌 어떤 눈빛
표정을 지을까
어서 와 하며 꼭 안아줄까
늘 거기 있어줘서 널 볼 수 있게 돼서
생각만으로도 행복해
빈자릴 채워줘서 너란 사람 알게 돼서
고마워 이 모든 게
because of you
너에게로 나 돌아가
내가 있던 제 자리로
너에게로 나 돌아가
봄 햇살 같던 네 곁으로
눈부시게 빛났던 그 순간
걸음마다 기억해
내 안에 늘 함께 숨 쉬듯
always with you
지금 너에게 달려가는 길
널 위해 쉼 없이 뛰어온 시간들
오랜만이라 날 어색하게
보는 건 아닐까
잘 왔어 하며 넌 웃어줄까
늘 거기 있어줘서 네 곁을 내어줘서
그것만으로도 과분해 내겐
늘 내 편이 돼줘서
사랑만 준 나의 너라서
힘들지 않았어 난
only for you
너에게로 나 돌아가
내가 있던 제 자리로
너에게로 나 돌아가
첫 눈꽃처럼 네 곁으로
눈부시게 빛났던 그 순간
걸음마다 기억해
내 안에 늘 함께 숨 쉬듯 너와
캄캄한 밤 속에 새겼던 꿈들
넌 여전히 반짝여
환한 별처럼
너에게로 가고 있어 이렇게
점점 더 가까이 점점 더 가까이
난 너에게로
따스하게 내린 비처럼
나를 감싸 안은 너에게로
심장이 터질 듯 숨 차올라도
널 위해 난 가고 있어
my love"
17,스무살,우리 만난다면,"Someday somewhere
별처럼 빛나는 널 만나면
Oh my oh god
너의 곁에 무지개를 띄울게
잠들기 전 봤던 영화에
이런 대사가 있었어
누구나 한 번쯤 살면서
무지개처럼 찬란한 사람을 만난대
너의 방안에 너의 하늘에
그 장면을 띄워줄게
너에게 꼭 보여주고 싶어
하루를 살아도
너에게 가고 싶어 어디라도
나 언젠가 너를 꼭 만날 테니까
Someday somewhere
별처럼 빛나는 널 만나면
Oh my oh god
너의 곁에 무지개를 띄울게
Moonlight daylight
빛처럼 찬란한 너의 날에
여행같이 영화같이
운명처럼 꼭 널 찾아갈게
너의 오늘엔 너의 하루엔
어떤 맘이 떠 있을까
어둡지 않게 빛났으면 좋겠어
하루의 끝에
네가 있다면 어떤 맘일까
난 너에게 내일이 되어주고 싶어
Someday somewhere
별처럼 빛나는 널 만나면
Oh my oh god
너의 곁에 무지개를 띄울게
Moonlight daylight
빛처럼 찬란한 너의 날에
여행같이 영화같이
운명처럼 꼭 널 찾아갈게
언젠가 우리 만난다면
별들이 눈처럼 내릴 거야
그 어떤 날보다 찬란하게
Someday somewhere
별처럼 빛나는 널 만나면
Oh my oh god
너의 곁에 무지개를 띄울게
Moonlight daylight
빛처럼 찬란한 너의 날에
여행같이 영화같이
운명처럼 꼭 널 찾아갈게"
18,벤,Whenever Wherever Whatever,"시간이 조금씩 끝나가도
어지러운 이 삶을 지나 간대도
정해진 끝이 안 보일 땐
너의 모든 순간들을 믿을게
처음부터 내가 택한 운명을 따라가
내일도 어제가 되는 오늘
Whenever Wherever
Whatever with you
그 어느 날에 어딘가에 곁에 있을게
Whenever Wherever
Whatever Stay with you
아무리 우리 멀어진대도
다시 만날 거야
한없이 아꼈던 마음을 담아서
네가 어디 있어도 지켜볼게
차가운 한숨에 짙은 밤이 가려져도
아득한 곳 멀지 않으니
Whenever Wherever
Whatever with you
그 어느 날에 어딘가에 곁에 있을게
Whenever Wherever
Whatever Stay with you
아무리 우리 멀어진대도
다시 만날 거야
또 또 약속해 시간을 걸어서
옅은 미소로 내가 여기 있을게
Remember Forever 잊어버리지 마
네가 없으면 의미 없는 순간이니까
Whenever Wherever
Whatever Stay with you
오늘 그리고 내일까지도
네 곁에 있을게"
19,미미 (오마이걸),좋은걸 어떡해,"딴생각을 해보려 해도
내 머리가 있잖아 말을 안 들어
너의 아주 작은 것 사소한 모든 게
다 좋은 걸 어떡해
매일의 니 웃음들이 조금씩 달라서
하루하루 좋아
어쩌다 너의 곁을 스쳐갈 때면
두근두근 뛰는 나
자꾸 좋아지는 맘을 어떡해
숨길 수도 없을 텐데 어떡해
뭐 다들 그렇게 시작한대
어떡하나 망설이다가
니 생각을 하다가 보면
혼자 자꾸만 웃어 너무 신기해
니 옆모습을 보다가 가끔씩 멍해져
뭘 이렇게 좋아한담
매일에 니 표정들이 조금씩 달라서
심심하지 않아
하루도 쉬지 않고 다가가잖아
내마음이 너에게
자꾸 좋아지는 맘을 어떡해
숨길 수도 없을 텐데 어떡해
뭐 다들 그렇게 시작한대
어떡하나 망설이다가
자꾸 설레는 내 맘을 어떡해
너도 벌써 다 알텐데 어떡해
뭐 다들 이런 게 사랑이래
어쩌지도 못하는 마음
좋은 걸 어떡해"
