,artist_name,song_name,lyric
0,카진,이별시즌,"따뜻한 바람이 부는 계절에
차가운 이별이 기다린 걸까
끝내 너는 나를 떠나가잖아
간절한 마음이 너에게 닿길
그렇게 매일을 기도했지만
안 되는 걸 아닌걸 알았죠
나는 왜 안돼니
나는 아닌 거니
꽃은 시들어도
나는 시들지 않아
죽도록 보고파
모두 주고 싶어
너를 갖고 싶어
멋진 행복을
주고 싶은데
그럴 수 없어
따뜻한 바람이 부는 계절에
차가운 이별이 기다린 걸까
날 버리고 그렇게 떠나가잖아
나는 왜 안돼니
나는 아닌 거니
꽃은 시들어도
나는 시들지 않아
죽도록 보고파
모두 주고 싶어
너를 갖고 싶어
멋진 행복을
주고 싶은데
그럴 수 없어
다시 돌아와줘
나는 왜 안돼니
나는 아닌 거니
꽃은 시들어도
나는 시들지 않아
죽도록 보고파
보고파
작은 기적처럼
계절이 바뀌면
다시 내게로
돌아 올 까봐
다시 올까 봐
떠나지 못해 널"
1,앨리스 (ALICE),짝이별 (Feat. 김상균 a.k.a A-Tom),"괜찮다 생각했어 어느새 좋아지고
매일 밤을 너로 앓게 됐어
처음 짝사랑을 알게 됐어
네가 날 좋아하지 않는 것보다
네가 밀어낸 내가 되기 싫어
Oh 넌 내 맘 속을 비췄지만
적시진 못했어
빛이 내 방을 밝혀주지만
창문에 부서지는 비처럼
나에게 착한 너지만 사랑은 아닌 걸
짝사랑에 몰래 설렜던 내가 이젠
너와 걸으며 짝 이별을 해
혼자서 짝 이별을 해 고마웠어
네가 모르게 마지막 인사를 해
아마 넌 아직도 모르고 있겠지
네가 모르게 내가 다녀간 걸
Oh 난 사랑이 뭔 줄 알아도
할 줄은 몰랐어
그저 너에게 온 맘을 다해
따듯한 웃음만을 건넬 뿐
나에게 착한 너지만 사랑은 아닌 걸
짝사랑에 몰래 설렜던 내가 이젠
너와 걸으며 짝 이별을 해
혼자서 짝 이별을 해 고마웠어
네가 모르게 마지막 인사를 해
시간이 지난 후에
돌아보면 웃음 짓게 될 거라는 말이
난 이해가 잘 안돼 아픈 건 아픈 건데
하지만 어쩔 수 없나 봐
Nobody knows 아무도 모를 걸
너를 떠나버려 내 폰 안에도 넌 없어
다 그런 거잖아 원래 나 같은 애는 뻔해
너만의 기억을 전부 꺼내서
다시 나 혼자서 Burning yeah
오히려 이런 결말이 나아
내 생각엔 그래
나에게 착한 너지만 사랑은 아닌 걸
짝사랑에 몰래 설렜던 내가 이젠
너와 걸으며 짝 이별을 해
혼자서 짝 이별을 해 고마웠어
네가 모르게 마지막 인사를 해
Good bye"
2,지세희,LOVE IS,"사랑은 그런 것 모든 걸 주어도
아직 다 주지 못한 맘에
잠 못 드는 것
이 세상 누구도 알 수 없는 내일
그 누가 뭐라 해도
너 하나만 사랑할 거야
오늘은 슬프지만
내일은 다를 거야
이 세상을 산다는 게 다
그런 거잖아
언젠가는 내 마음
알아줄 날 있겠지
아파했던 만큼 커다란
사랑 안겨 줄 거야
때로는 모두
잊어보려 달아나지만
어느새 길들여진
나의 지친 가슴은
그리움 너머 너에게로
달려가고 있는 걸
이런 게 바로 사랑인 걸까
사랑은 그런 것
모든 걸 주어도
아직 다 주지 못한 맘에
잠 못 드는 것
이 세상 누구도
알 수 없는 내일
그 누가 뭐라 해도
너 하나만 사랑할 거야
너만 바라보다가
잠이 들 수 있다면
정말 내 모든 걸 버려도
행복할 텐데
끌리는 내 마음은
운명이라 하지만
어긋난 저 길을 따라서
멀어져만 가는 너
때로는 모두 잊어보려
달아나지만
어느새 길들여진
나의 지친 가슴은
그리움 너머 너에게로
달려가고 있는 걸
이런 게 바로 사랑인 걸까
사랑은 그런 것
모든 걸 주어도
아직 다 주지 못한 맘에
잠 못 드는 것
이 세상 누구도
알 수 없는 내일
그 누가 뭐라 해도
너 하나만 사랑할 거야
항상 널 사랑한다 말하면서도
아픈 니 마음 하나 이해 못 했어
다시 한 번만 나를 믿어주겠니
너를 위해 내 모든 삶을 바칠게
라라라라라라 라라라라라라
라라라라라 라라라라라
라라라라라
이 세상 누구도
알 수 없는 내일
그 누가 뭐라해도
너 하나만 사랑할거야
뭐라 해도 너 하나만 사랑할 거야"
3,CNBLUE (씨엔블루),없다 (In Time),"어느덧
계절은 또 흐르고
그때처럼 이곳에 있어
기억 속의 시간을 걸어
발걸음을 옮기다
천천히 온기를 느껴
차마 불러볼 수는 없지만
안을 수도 없지만
단 한 번 닿을 수 있다면
넌 어디쯤 있니
어디에 서 있니
어디쯤 어디쯤 어디쯤 있는 거니
아프지는 않니
나 없이 넌 괜찮니
너 없이 너 없이 너 없이 아직도 난
너의 안에 살고 있는데
아무리 찾아 봐도
너는 없다
그리워
모두 꿈만 같아서
흐릿한 기억에 누워
마주 보고 웃던 너의 숨
나를 보던 눈동자
스스로 바래진 장면
차마 돌이킬 수 없지만
끝났다는 걸 알지만
단 한 번 닿을 수 있다면
넌 어디쯤 있니
어디에 서 있니
어디쯤 어디쯤 어디쯤 있는 거니
아프지는 않니
나 없이 넌 괜찮니
너 없이 너 없이 너 없이 아직도 난
너의 안에 살고 있는데
아무리 찾아 봐도
너는 없다
같은 공간 속
다른 공기 속으로 걸어가
내 속에 퍼져가
넌 어디쯤 왔니
넌 어디쯤 있니
어디에 서 있니
눈물로 눈물로 눈물로 부르잖아
아프지는 않니
정말 넌 괜찮은 거니
너 없이 너 없이 너 없이 오늘도 난
너의 안에 살고 있는데
네 흔적에 숨 쉬는데 넌
없다"
4,김동률,Melody (2021 Remastered),"Melody 한마디 말보다
진실한 맘을 전하는 메시지
아련한 기억의 조각들
어제처럼 되살리는
마치 마술 같은 힘
Melody 언제 어디든
가슴을 맘껏 울리는 종소리
메마른 거리의 풍경 하나하나에도
생명을 불어넣고
이야길 만들어 준
나를 살아가게 해줬고
세상을 사는 동안에
한 번쯤 이루고픈
부푼 꿈을 꾸게 했고
서투른 마음
감히 전해볼 수 있도록
또 다른 내가 되어 준 그 Melody
언제나 믿을 수 있는
든든한 친구로 용길 북돋아주는
결코 변하지 않을
나를 사랑하게 해주고
세상을 사는 동안에
지나칠 고마움과
소중함을 알게 했고
모자란 생각도
감히 끄적일 수 있도록
또 다른 내가 되어 준 그 Melody
이 세상 어느 곳 누군가가
삶의 무게로 숨 가빠할 때
작은 힘이라도 돼줄 수 있다면
이 노래가 그럴 수 있다면
Melody 세상 가득히
찬연한 꿈을 수놓는 무지개
눈물로 얼룩진 맘을
다독여 주었고
두 팔로 보듬어 준 자장가
Melody 매일 아침을
새롭게 열게 해주는 에너지
아득히 멀기만 한
내 미래를 비춰 줄
끝없이 이끌어 줄 빛줄기"
5,소낙별,그 어떤 흔한,"우린 서로를 끌어안고
날아오르길 바랐어
그리 멀지 않은 곳으로
떨어지긴 했지만
너의 식어가는 몸 위로
난 숨을 불어 넣었어
나의 시든 영혼을 보고
넌 눈을 돌렸지만
널 잡으려던 내 손은
닿을 수조차 없었지만
날 흘겨보던 네 눈은
차가웠어 차가웠어
그 어떤 흔한 말도
어떤 흔한 날도 아름다웠던 그때
그 어떤 흔한 말도
어떤 맘으로도 되돌릴 수 없는데
그 어떤 사랑과도
어떤 사람과도 다를 줄 알던 그때
그랬던 날들은 뭐가 돼
그 어떤 흔한 이별이 돼
비틀거리던 너의 한쪽 어깨 위로
난 반쪽의 날개가 되고 싶어서
눈물을 뱉고 깃털을 잔뜩 삼켜봐도
난 더 이상 내가 아니었어
전부 다 욕심이라고
전부 내 바람일 뿐이라고
어긋난 마음들을 모른 척 끼울수록
난 쉽게 무너지고 부서졌어
그 어떤 흔한 말도
어떤 흔한 날도 아름다웠던 그때
그 어떤 흔한 말도
어떤 맘으로도 되돌릴 수 없는데
그 어떤 사랑과도
어떤 사람과도 다를 줄 알던 그때
그랬던 날들은 뭐가 돼
그 어떤 흔한 이별이 돼
그 어떤 사랑도 완벽할 수는 없는데
그 어떤 사람도
나와 같을 수는 없는데
뭘 어떻게 해도
네게 맞출 수 없단 걸 아는데
그 어떤 흔한 사랑으로
그렇게 이야긴 끝났네"
6,다누(Da Nu),노력,"하루하루 살기가 너무도 힘들어
내가 닿는 모든 곳에 네가 있어서
움직일 수가 없어
마주치게 될까 봐
네가 또 떠오를까 봐
겁이 나
나의 하루는 별다를 것도 없나 봐
한 순간에 우린 남이 됐는데
난 아직도 네가
곁에 있는 것 같아
변한 게 하나도 없는 것 같아
아무리 노력해도 안되나 봐
잊으려 할수록 네가 떠올라
오래 전에 써준 편지마저
못 버리겠어
남은 미련 때문에
혹시 너 돌아오고 있을까 봐
내 맘이 아직 너라는 게 안 믿겨져
얼마나 잊으려 노력했는데
펑펑 울기도 했어
조금 나아질까 봐
그런데 왜 더욱 널 잊지 못할까
아무리 노력해도 안되나 봐
잊으려 할수록 네가 떠올라
웃고 있는 우리 사진도
아직 그대로인데
담긴 너의 그 표정
행여 다시 볼 수 있게 될까 봐
넌 괜찮아 보여
나만 힘든가 봐
나만 사랑했나 봐
억지로 너를 버려도
아무런 의미 없는 걸
놓쳐버린 후회만 잡히기만 해
혹시 우리가 다시 만나면
그땐 꼭 네게 전하고 싶어
누구보다 너를 사랑할 자신이 있다고
많이 보고 싶었어
하며 안아주고 싶은데
아무리 노력해도 안되나 봐
난 너에게
잠시 쉬어갔던 사람인가 봐
너는 행복해 보여
날 보며 웃던 모습이 보여"
7,"영지, 김영범",여러분,[가사 준비중]
8,신인수,장미의 미소,"한 두번도 아닌데 그대를 만날 때면

자꾸만 말문이 막혀서 담배만 피워댔죠

이제야 그대에게 사랑한단 말대신

한 송이 새빨간 장미를 두손모아 드려요



새빨간 장미만큼 그대를 사랑해

가슴이 터질 듯한 이 맘을 아는지

오늘은 그대 모습이 아주 즐거워 보여요

그대의 두 손에 담겨진

빨간 장미가 함께 웃네요



우리 둘이 만난지 일년도 넘었는데

사랑한단 말도 못하고 마음만 졸였었죠

이제야 그대에게 사랑한단 말대신

한송이 새빨간 장미를 두손모아 드려요



그대의 두 손에 담겨진

빨간 장미가 함께 웃네요"
9,류시원,Always,"이 외로운 세상에서
널 만나 사랑한 그 하나만으로

내가 살아갈 이유가 되는데
지금은 니 곁을 떠나지만
날 웃으며 보내려고
얼마나 눈물을 흘려야 했는지

내가 못다한 그 사랑까지도
누군가가 대신할 수 있게
부디 날 도와줘
나 편히 떠날 수 있게
이제는 더 이상 울지마
제발 날 잊어줘
나없는 이 하늘 아래
너만 행복하면 괜찮은거야
남은사랑 다 주고 떠날게
너를 영원히 잊을수 있게
세상에 나만 날 위해 기도할
오직 단 한 사람은 너인데

부디 날 도와줘
나 편히 떠날 수 있게
이제는 더이상 울지마
제발 날 잊어줘
나없는 이 하늘 아래
너만 행복하면 괜찮은거야
남은 사랑 다 주고 떠날게
너를 영원히 잊을 수 있게
세상에 나만 날 위해 기도할
오직 단 한 사람은 너인데

오직 단 한 사람은 너인데"
