,artist_name,song_name,lyric
0,뉴이스트 W,"나, 너에게 (REN SOLO)","어느새 해가 지는 노을
내 맘은 여린 속도로 어른이 되어
어느새 외로움에 나는
내 자신이 아닌 누군가 되어 있어
날 잃은 맘이 헤매다
슬픔에 잠들었을 때
그때 그때
이 노래 속에 우리를 찾아
숨을 쉴 수 있는 이유
너야 너야 너야
목이 메어 와도
기쁨은 너라 불행하지 않네
한참 붙잡고 있던
슬픔도 벗어나 보니 얕더라
Oh Oh
미련하게 놓지 못해
현실에 베이고 있던 상처도 놔둬
나는 너로 행복하다
말해준다면 아프지 않을 것 같아
날 잃은 맘이 헤매다
슬픔에 잠들었을 때
그때 오 그때
이 노래 속에 우리를 찾아
숨을 쉴 수 있는 이유
너야 너야 너야
목이 메어 와도
기쁨은 너라 불행하지 않네
한참 붙잡고 있던
슬픔도 벗어나 보니 얕더라
Oh Oh
이 세상에서 나에게는
늘 너로부터 행복이라
불행하지 않다 말해줘 Wuh
이 세상에서 나에게는
늘 너로부터 행복이라
불행하지 않다 말해줘 Wuh"
1,Apink (에이핑크),안아줘요,"보러 와요 보러 와요 날
들어줘요 들어줘요
안아줘요 안아줘요
날 감싸 안아줘
어제보다 길어진 밤이
차가워진 내 맘을 깨워요
한참을 헤매이던 아이처럼
방황하는 내 마음을
더 이상 감출 수는 없어요
기다릴게요 너무 오래 걸리진 말아줘
서둘러줘요 어둠 속에
한 줄기 빛처럼
내게 나타나 줘 Baby 다가와 줘 이젠
더 이상 날 혼자 있게 하지 마요
그대 오늘이 지나기 전에
위태로운 내 맘을 안아줘요
I need you I want to your love
날 감싸 안아줘
이제는 조금 더 가까이 가서
그대 품에 안기고 싶어
I need you I want to your love
오늘이 가기 전에
보러 와요 보러 와요 날
들어줘요 들어줘요
안아줘요 안아줘요
날 감싸 안아줘
오늘따라 밤이 어두워요
더 길고 긴 밤이 될 것 같아요
한참을 헤매이던 아이처럼
방황하는 내 마음을
더 이상 감출 수는 없어요
기다릴게요 너무 오래 걸리진 말아줘
서둘러줘요 어둠 속에
한 줄기 빛처럼
내게 나타나 줘 Baby 다가와 줘 이젠
더 이상 날 혼자 있게 하지 마요 Uh
그대 오늘이 지나기 전에
위태로운 내 맘을 안아줘요
I need you I want to your love
날 감싸 안아줘
이제는 조금 더 가까이 가서
그대 품에 안기고 싶어
I need you I want to your love
오늘이 가기 전에
어둠이 또다시 찾아오면
그대 내 맘에 안아줄게요
수없이 많은 날을 기다려 온걸요
이제는 조금 더 가까이 가서
그대 숨결 느끼고 싶어
I need you I want to your love
오늘이 가기 전에
보러 와요 보러 와요 날
들어줘요 들어줘요
안아줘요 안아줘요
날 감싸 안아줘"
2,윤종신,기댈게,"쉬고 싶었어 기대고 싶었어
고달픈 내 하루에
덩그러니 놓인 빈 의자 위에
그냥 잠깐 앉아 쉬고 싶었어
잠깐 니 생각에 숨 좀 고르면
한참은 더 갈 수 있을 것 같았어
니가 있어서 기댈 수 있어서
도착하면 반기는
너의 얼굴 떠올릴 수 있어서
돌아보면 꽤나 멀리 잘 왔어
어디까지 가야 할지 모르지만
가는 게 맞대 다 그런 거래
변해가는 나를 봐주겠니
나도 널 지켜볼게 혹시 지쳐가는지
어떻게 항상 행복해
미울 때 지겨울 때도
저 깊은 곳에 하나쯤 믿는 구석에
웅크린 채로 견뎌
등을 맞대 보면 알 수 있어
우린 서롤 기댄 채 살아가고 있음을
그 편안함이 소중해
살짝만 뒤돌아보면
입 맞출 수 있는 거리
그렇게 지탱해줘 우리 날들에
고민 가득해 지새운 밤들에
안쓰러운 목소리
너의 눈빛 바라보기 미안해
괜찮은 척 아무렇지 않은 척
앓던 마음 보이기가 싫었던
미련한 자존심 지켜주던 너
변해가는 나를 봐주겠니
나도 널 지켜볼게 혹시 지쳐가는지
어떻게 항상 행복해
미울 때 지겨울 때도
저 깊은 곳에 하나쯤 믿는 구석에
웅크린 채로 견뎌
등을 맞대 보면 알 수 있어
우린 서롤 기댄 채 살아가고 있음을
그 편안함이 소중해
살짝만 뒤돌아보면
입 맞출 수 있는 거리
그렇게 지탱해줘 우리 날들에"
3,잔나비,처음 만날때처럼 (Inst.),"졸린 눈을 비비며
꼬깃해진 너의 편지를 읽었어
마냥 즐거웠던 내 맘은
한 순간 무거워졌어
안녕이란 글자 위에
떨어진 눈물 자국 보았어
마냥 웃음 짓던 네 얼굴은
한 순간 어두워졌어
왜 그리 갑자기 떠난다 했어
왜 그리 쉽게 안녕이라 했어
제발 꿈이었으면
그냥 너의 장난이었으면 좋아
이제까지 만남도 너무나 아쉬워
안녕은 그리 쉬운 게 아냐
우리가 처음 만날 때처럼 말야
왜 그리 갑자기 떠난다 했어
왜 그리 쉽게 안녕이라 했어
제발 꿈이었으면
그냥 너의 장난이었으면 좋아
이제까지 만남도 너무나 아쉬워
안녕은 그리 쉬운 게 아냐
우리가 처음 만날 때처럼 말야
안녕은 그리 쉬운 게 아냐
우리가 처음 만날 때처럼 말야"
4,참솜 (Chamsom),love is wonderful thing,"눈을 감고 하늘을 보면
네 품처럼 따듯해져 웃음이 나와
나 조금은 들뜬 듯 해
너로 인해 모든게 달라보여
사랑이란 기적에
거울을 볼 때 마다 낯선 내 표정
뭐가 그리 좋아 자꾸 웃는지
혹시 꿈은 아닐까
자꾸 볼을 꼬집게 돼
cause you 너를 만난 후로 난
love is a wonderful thing
you're my girl
내 하루는 너로만 가득해
love is a wonderful thing
you're my love
이제 너도 나처럼 웃게 해줄게
사랑이란 기적에
거울을 볼 때 마다 낯선 내 표정
뭐가 그리 좋아 자꾸 웃는지
혹시 꿈은 아닐까
자꾸 볼을 꼬집게 돼
cause you 너를 만난 후로 난
love is a wonderful thing
you're my girl
내 하루는 너로만 가득해
love is a wonderful thing
you're my love
이제 너도 나처럼 웃게 해줄게
너란 바람이 불어온 뒤
내 맘은 흩날려 다시 또 널 향해
좀처럼 멎지를 않아
love is a wonderful thing
you're my girl
내 하루는 너로만 가득해
love is a wonderful thing
you're my love
이제 너도 나처럼 웃게 해줄게"
5,오직 (O.zic),반사신경 (Feat. Martian),"우린 언제부턴가
너무 수동적이야
우리 지금은 다 과거야
너무 뜨겁게 사랑했었나 봐
우린 언제부턴가
의미 없는 말들로 가득 차서
서로 등 돌리고 있잖아
내가 미안해 진심은 적지만
내가 미안해 진심은 적지만
우린 조용한 정적에 누워서
우린 공허한 여백에 누워
우린 서로를 방관하고 있어
그래 미안해 진심은 적지만
내가 미안해 진심은 적지만
우린 조용한 정적에 누워서
우린 공허한 여백에 누워
우린 서로를 방관하고 있어
그래 미안해 진심은 적지만
그래 미안해 진심은 적지만"
6,소향,Starlight,"When I fell in love with the star
나만을 비추던 starlight
잡을 수 없이 사라져가
희미한 꿈처럼
When I fell in love with the star
나를 감싸주던 starlight
지금 처럼 만 후
조금만 더 그저 그대 곁에서
날 머물게 해줘요 줘요
운명이라면 비켜가요
슬픔의 꿈에서 날 깨워줘요
for you 후
heart longs for you always
떠나야 하는 이 시간
그대의 눈물을
한번만 닦게 해줘요
When I fell in love with the star
나만을 비추던 Starlight
다시 내게는 없을 사람
영원히 간직 할 수 있을까
그대"
7,우혜미,꽃도 썩는다,"가로등이 흔들리는 이유는
니가 그리워서 일 거야
해가 뜨지 않는 이유는
니가 날 그리워하지
않기 때문 일 거야
꿈에서 마저 갈 곳 잃은
나는 좀 위태로워
내 피부가 유리라면
볼 수도 있었을 텐데
꽃은 피질 않고 지기만 하는 구나
꽃은 피질 않고 지기만 하는 구나
거미줄에 얹힌 이슬처럼
내겐 니가 맺혀있어
해가 지면 내 혀끝에선
슬픈 맛이나네
꽃은 피질 않고 지기만 하는 구나
꽃은 피질 않고 지기만 하는 구나
꽃도 썩는다
꽃도 썩는다
꽃도 썩는다
꽃도 썩는다
꽃도 썩는다
꽃도 썩는다"
8,거미,기억해줘요 내 모든 날과 그때를 (Inst.),"듣고있나요 나의 이 모든 얘기를
그댈 향한 내 깊은 진심을
매일 그리움 속에 그대를 불러보지만
닿을 수 없는 마음을
나도 이젠 알 것 같아요
내 안의 그대를 놓을 수 없네요
애써도 그게 잘 안돼요
마음과 반대로 밀어내려 할수록
이토록 더 아파지네요
기억하나요 나의 이 모든 얘기를
그댈 향한 내 깊은 진심을
매일 그리움 속에 그대를 불러보지만
닿을 수 없는 마음을
나도 이젠 알 것 같아요
스쳐가는 이 계절을 지나
언젠가는 멀어질 걸 아니까
더 모질게 그댈 밀어냈어요 너무
가슴이 미칠 듯 아파도
듣고 있나요 나의 이 모든 얘기를
그댈 향한 내 깊은 진심을
매일 그리움 속에 그대를 불러보지만
닿을 수 없는 마음을
나도 이젠 알 것 같아요
아무 이유 없이 눈물 나는 날에는
그댈 찾아가고 있네요 이렇게
기억해줘요 내 모든 날과 그때를
지울수록 선명해지니까
가슴 아프겠지만 그대를 보내야 해요
나를 기억해주세요 나 그대만
사랑했음을"
9,권여름,청춘,"문득 하늘에 비행기가 지나가면
꿈꾸는 기분으로 한참을 바라봐
푸른 바다를 사랑하는 우리는
날아가는 새 날갯짓에도 웃을 수 있어
보고 있어도 벌써 그립고
바다보다 깊고 빛나는 젊은 우리
작게 이는 바람에도 괴로워하겠지
작게 이는 바람에도 비틀거리겠지
작지만 반짝였던 추억 때문에 살아가고
우리여서 빛났고 우리여서 아름다웠어
세상엔 바다를 사랑하는 사람 중에
나쁜 사람은 없다는 걸 우린 알잖아
어떤 말이어도 나는 괜찮아
판단하지 않아
작게 이는 바람에도 괴로워하겠지
작게 이는 바람에도 비틀거리겠지
작지만 반짝였던 추억 때문에 살아가고
우리여서 빛났고 우리여서 아름다웠어
손에 들고 있는 불꽃은 빛나고
그 불꽃보다도 벅찬 우리
내가 너한테 말한 적이 있었던가
우리가 나에게 어떤 의미인지
우리는 나의 청춘이고
나의 소중한 여름이야"
