,artist_name,song_name,lyric
0,CS Numbers,"가슴으로 운다 (Ver.II DK, 윤혁)","내사랑 그대여 거기 멈춰서요
나지금 그대에게 가고 있어요
그대없이 난 이제
단 하루도 살지 못해서
가슴으로 운다
내가 정말 사랑했던 사람이
내겐 무엇보다 소중했던 사람이
언제나 내곁에 영원할것만 같았던
그사람이 날 두고가네요
내가슴이 죽을만큼 너무 아픈데
난 아직도 그대의 걱정뿐인데
나에게는 세상의 오직 한사람
그사람이 날 떠나네요
내사랑 그대여 거기 멈춰서요
나지금 그대에게 가고 있어요
그대없이 난 이제
단 하루도 살지 못해서
가슴으로 운다
내가 정말 사랑했던 모습도
나를 누구보다 아껴주던 마음도
뒤를 돌아보면 서있을것만 같은데
돌아보면 그대가 없네요
바보같이 이런 내 속도 모르고
그사람이 날 떠나네요
내사랑 그대여 내말 들리나요
나지금 미치도록 울고 있어요
미안해요 난 그대 모습하나
잊지못해서 그댈불러본다
내가 잊지못할 나의 사람아
듣지못할 내 사람아 아
어디에있나요 내게 돌아와요
나지금 그대에게 가고있어요
지금아니면 너를 후회하며
살것 같아서
니가 마지막 사랑 같아서
나 제발 멈추지마
제발 거기 멈춰서요
사랑해요 내 말 들리나요"
1,길구봉구,너를 노래한다,"니가 참 보고싶어 너의 집앞에
와있어 나와줄래
꼭 들려줄게 있는데
잠깐 귀 귀울여줄래
딱 4분만 들어줄래
꼭 너만 오직 너만을 위한
나의 진심으로 만든 이노래
너를 노래하고 싶은 내 마음을
너에게 속삭이고 싶던 그 말들을
내게 항상 힘이 되준 미소를
널 위해 이 모든걸 담아
음악을 만들고
너를 노래하겠어 이 설레임으로
네게 노래하겠어 사랑한다고
니가 잡은 두손에 전해져오는
너의 심장소리에
아직 네게 못다한 말들이
남아 있는걸
이 노래로 들려줄께
꼭 너만 오직 너만을 위한
나의 진심으로 만든 이노래
너를 노래하고 싶은 내 마음을
너에게 속삭이고 싶던 그 말들을
내게 항상 힘이 되준 미소를
널위해 이 모든걸 담아
너를 노래한다
오직 너를 위해서 너만을 위해서
하루를 또 하루를 널위해 노래할께
너를 노래하고 싶은 내 마음을
너에게 속삭이고 싶던 그 말들을
내게 항상 힘이 되준 미소를
널 위해 이 모든걸 담아
음악을 만들고
너를 노래하겠어 이 설레임으로
네게 노래하겠어 사랑한다고
지금처럼 영원히 너와 함께라고
난 너를 노래한다"
2,심규선 (Lucia),I CAN'T FLY,"우리는 아직 깨어있죠
잠들지 않고
새벽이 오기만을 기다리며
꿈꾸던 날은 아직까지
오지 않았고
더 오래 기다릴 수도 없겠죠
I CAN'T FLY I CAN'T FLY
BUT I BELIEVE ME NOW,
YOU KNOW
NOW I BELIEVE ME,
NOW YOU KNOW
I CAN'T FLY I CAN'T FLY
BUT I CAN, SINGING NOW,
YOU WANT
YES I CAN, SINGING NOW,
THIS SONG
OH, SING A LING
우리는 아직 깨어있죠
잠들지 않고
새벽이 오기만을 기다리며
꿈꾸던 날은 아직까지
오지 않았고
더 오래 기다릴 수도 없는 걸
불꽃처럼 널 타오르게 하는
가슴 속 깊이 간직했던 너의
꿈을 잊지 말아, 잊어버리지마
파도처럼 널 몰아치게 하는
가슴 속 깊이 숨겨뒀던 너의
꿈을 놓지 말아, 그대여 지지마
I CAN'T FLY I CAN'T FLY
BUT I BELIEVE ME NOW,
YOU KNOW
NOW I BELIEVE ME,
NOW YOU KNOW
I CAN'T FLY I CAN'T FLY
BUT I CAN, SINGING NOW,
YOU WANT
YES I CAN, SINGING NOW,
THIS SONG-
SHA LA LA LA LA LA LA LA LA LA LA
WO-O WO-O WO-O WO-O WO
SHA LA LA LA LA LA LA LA LA LA
STILL SHINE, STILL SHINE
SHA LA LA LA LA LA LA LA LA LA LA
WO-O WO-O WO-O WO-O WO
SHA LA LA LA LA LA LA LA LA LA
STILL SHINE
I CAN'T FLY I CAN'T FLY
BUT I BELIEVE ME NOW,
YOU KNOW
NOW I BELIEVE ME,
NOW YOU KNOW
I CAN'T FLY I CAN'T FLY
BUT I CAN, SINGING NOW,
YOU WANT
YES I CAN, SINGING NOW,
THIS SONG-
OH, SING A LING,
OH, SING A LING
SHA LA LA LA LA LA LA LA LA LA"
3,보아 (BoA),천국과 지옥 사이 (Between Heaven And Hell),"차라리 미워하자
너를 안을수록 난 아파
아침이면 전부 잊고
또 너를 찾겠지만
차라리 미뤄두자
못쓰게 돼 버린 사랑
어떻게든 시간이란
또 우릴 흐를 테니
미안해 아직
너를 생각해서 사랑해서
널 결국엔 완전히
놓지도 못할 나라서
단 하루만 더 사랑하자
또 거짓말만
너를 또 보면
다 잊고서 또 웃으면서
사랑해 버리는 나를
단 하루라도 잊어보자
못 지킬 말만 너를 못 보면
아프면서 또 울면서
다짐만 하는 나
너를 두고 오가는
천국과 지옥 사이
잊으려 해볼수록
다가온 니가 참 밉다
닿을 수도 안 볼 수도
없을 그 거리라서
웃을게
니가 다만 모르도록 내 마음을
나 결국엔 이 마음
주지도 못 할 거라서
단 하루만 더 사랑하자
또 거짓말만
너를 또 보면
다 잊고서 또 웃으면서
사랑해 버리는 나를
단 하루라도 잊어보자
못 지킬 말만 너를 못 보면
아프면서 또 울면서
다짐만 하는 나
너를 두고 오가는
천국과 지옥 사이"
4,"김연지, 예미니",좋은 사람,"준비 없이 비를 만난 것처럼
아무 말 못한 채 너를 보낸 뒤에
한 동안 취한 새벽에 잠을 청하며
너를 그렇게 잊어보려 했어
시간이 가도 잊혀지지 않는 널
생각하면서 깨달은 게 있어
좋은 사람 사랑했었다면
헤어져도 슬픈 게 아니야
이별이 내게 준 것은
곁에 있을 때보다
너를 더욱 사랑하는 마음
셀 수 없이 많은 날을 울면서
힘든 가슴을 보이지 않았던 널
끝내 날 나쁜 여자로 만들었던 널
어떻게든 미워하려 했어
어떤 말로도 미워할 수 없는 널
생각하면서 깨달은 게 있어
좋은 사람 사랑했었다면
헤어져도 슬픈 게 아니야
이별이 내게 준 것은
조금 멀리 떨어져
너를 헤아릴 수 있는 마음
늦었겠지만 너의 맘 아프게 했던
바보 같은 날 용서해줘
단 한 번만 허락해준다면
나를 믿고 돌아와 준다면
언제나 말하곤 했던
그런 사람이 되어
너를 지켜주고 싶은데
다시 돌아올 순 없겠니"
5,"유재환, 손동운",첫 이별,"추우니까 들어가 나 괜찮아
신경 쓰지 말고 들어가
사실은 너 없는 하루가 처음이라
무서워져 점점
옆에 있느라 고생했어
힘들었지 너 그동안
모자란 나 너의 맘에
들었을지 모르겠어 잘
너와 함께한 많은 날들이
내게는 가장 귀한 순간들이
눈을 감아도 수채화처럼 번져
웃어주는 너
너와 함께 처음 하는 이별이
처음이라 방법을 잘 모르겠어
내 앞에서 늘 웃음 짓던 너처럼
웃어주는 나
눈을 떴을 때 있던 네가
이젠 눈을 감아야지
보이는 게 마음 아파도
보고 싶어 눈 감았어
내게 미안해하던 표정도
조금씩 멀어지는 뒷모습도
오래 담으려 해도 눈물에 가려
사라지는 너
너와 함께 만들어간 세상도
마지막 인사와 함께 무너져가
함께 꾸던 그 언젠가의 꿈처럼
사라지는 나"
6,장재인,괜찮다고 말해줘,"계절의 향기가 바람에 묻어
함께 듣던 노래를 흥얼이게 하네요
아무 걱정 없던 노래에 묻어
함께 걷던 골목길 소복 스며있네요
오늘의 이 거리에
혼자인 나는 약해서
자꾸 무너져요
괜찮다고 말해줄래요
혼자 견딘 하루를 보낸 두 눈이
더 펑펑 울어 더 붉어진대도
괜찮다고 말해줘요
아무 일도 없을 거야
그저 내 편인 그대가 있기를
만나지 않아도 돼
멀리 있어도 돼요
그대 생각만으로 웃을 거야
계절의 향기가 바람에 묻어
설익은 살구 같던 어린 내가 웃네요
오늘의 이 거리가
작아진 나는 오히려
점점 무서워져요
하루 일에 어두워 더듬거리는
나의 오늘에도
괜찮다고 말해줄래요
혼자 견딘 하루를 보낸 두 눈이
더 펑펑 울어 더 붉어진대도
괜찮다고 말해줘요
아무 일도 없을 거야
그저 내 편인 그대가 있기를
만나지 않아도 돼
멀리 있어도 돼요
그대 생각만으로 웃을 거야
오늘을 버틴 그대의 하루 위
내가 떠오르길
오늘을 버티는 나의 어깨가
아스라져도
울지 말아요
울지 말아요
울지 말아요
울지 말아요
울지 말아요
울지 말아요
그저 내 편이 어딘가 있기를
만나지 않아도 돼
멀리 있어도 돼요
그대 생각만으로 안심할 걸
그런 그대가 있어 견딜 텐데
그런 내 편이 없어 저문 하루"
7,안예은,바람이 불어와도,"내 앞에 다가오는 저 빛은 뭘까
피하려 해보지만 이내 날 감싸네
어느새 익숙해져 마치 피부처럼
내 속에 감기네 가득히 안기네
차디찬 얼음 위를 걸어 가는 것처럼
어쩌면 위태로워 보일 지 몰라도
소중한 한 사람이 내게 파고들어
또 다른 날 꺼내 새롭게 만드네
바람이 불어와도
그 어떤 고난이 다가와도
절대 한 걸음도 물러 서지 않아
폭풍이 내리쳐도
그 누가 날 흔들려 한대도
넘어지지 않아 나에겐 니가 있으니까
볼 수는 있지만 날 만질 순 없어
그 무얼 준다 해도 가질 수는 없어
내 주위의 모든 것이 모두 거짓 같아
또 다른 날 꺼내 새롭게 만들래
바람이 불어와도
그 어떤 고난이 다가와도
절대 한 걸음도 물러 서지 않아
폭풍이 내리쳐도
그 누가 날 흔들려 한대도
넘어지지 않아 나에겐 니가 있으니까"
8,예성 (YESUNG),No More Love,"아득해진
시간이 지나 편안해진 우리
I don’t feel anymore
I don’t feel anymore
새벽 두 시
잠든 널 그리며 여기까지 우린
We don’t need anymore
We don’t need anymore
I can’t stop
아마 넌 여기쯤 생각한
듯이 날 마주 보네
알아 아주
오래전부터 넌
너의 색을 잃어버렸지
Ah We don’t have love anymore
Ah
아 뜨겁게 타오른 만큼
재가 되어 버린 채로 우리는
차갑게 변해
소리 없이
다가온 밤이 끝내 마주칠 때
We don’t need anymore
We don’t need anymore
I can’t stop
아마 넌 여기쯤 생각한
듯이 날 마주 보네
알아 아주
오래전부터 넌
너의 색을 잃어버렸지
Ah We don’t have love anymore
Ah
이 밤이 지나면
흔적만 남은 채로
넌 어느 날 밤의
기억이 돼"
9,블리처스 (BLITZERS),Gradation,"믿을 수가 없어요
예전처럼
돌아갈 순 없겠죠
계절 지나
바람이 차가워
나만 혼자
숨 막히듯이 그럴 때가 있죠
오늘이 지나도
I'll drown for you,
drown for you
say hello
소리 없이 울려 퍼져 메아리만
say hello
수많은 시간이 지나가도
난 널
드리워 드리워 이내 져가
쓰러져가는 꽃처럼
희미하게 넌 점점 사라지겠지
그리워 그리워 언제라도
널 마주할 수 있다면
손 내밀어 꼭 약속할 수 있으니
얼마나 더 되뇌어 떠올려야만
수백 번 아니 수없이 기억해야만
어느새 빛을 잃어가는 반딧불처럼
손을 놓기 전에 어서 나를 잡아줘
사무친다는 말이 그리움에 이리 어울릴 줄은
같은 하늘 아래 간절히 뛰는 심장이 널 느낄 줄은
고갤 들어 저 하늘을 봐 이맘 알아준 건
소중했던
너와 내가 수놓은 별들뿐이야
say hello
소리 없이 울려 퍼져 메아리만
say hello
수많은 시간이 지나가도
난 널
드리워 드리워 이내 져가
쓰러져가는 꽃처럼
희미하게 넌 점점 사라지겠지
그리워 그리워 언제라도
널 마주할 수 있다면
손 내밀어 꼭 약속할 수 있으니
사계절 넘어 마침내 찾아와
멈췄던 시곗바늘은
다시 돌아 언제 그랬냔 듯
yeah 널 그리며 또 난 눈을 감아
멀리 있어도 feel so 하나
everyday 난 네 옆에
매일 숨 쉴 수 있다는 것만 알아
get on the loop 소리쳐 whoop
원래 모든 건 우릴 위해선 가봐
추운 겨울 지나 지금 난 또
노래 속 널 불러
그리워 그리워 언제라도
널 마주할 수 있다면
아무래도 난 좋아
그리워 그리워
언제라도
널 마주할 수 있다면
손 내밀어 꼭 약속할 수 있으니"
