,가수,제목,가사
0,김보령,그럼에도 시간이 흘러,"그럼에도 시간은 흘러
화창했던 나의 그 시절들이
스쳐지나가 흔적들만 남았네
돌아보면 아름답지않던
시간들은 없었다는것
가슴 가득 담고서
힘들 필요도 없단것
붙잡아도 잡히지 않고
보내려할땐 보내지지 않더니
어느 순간 모든것이 지나가있네
붙잡아도 잡히지 않고
보내려할땐 보내지지 않더니
어느 순간 모든것이 지나가있네
그럼에도 시간이 흘러
보고싶지 않은 날이온데도
스쳐지나간다 그 또한 아름답기를"
1,임동근,흔적,"오늘 같이 좋은 날
너와의 기억이 떠올라
왜 그러냐며 내게 되묻곤 해
오늘 같이 좋은 날
네가 그리워져
너의 빈자리가
채워지지가 않아
네가 좋아하던 카페
아무 생각 없이
문을 열고 들어가
나도 모르게
네가 좋아하던 커피
내 앞에 놓여
식어만 가고
돌아오지 않을
너의 빈자릴 멍하니 바라보다
눈앞이 흐려져
너 없는 여기
너의 흔적만이
오늘 같이 좋은 날
네가 그리워져
너의 빈자리가
채워지지가 않아
네가 좋아하던 카페
문을 열고 들어가 습관처럼
네가 좋아하던 창가
그 자리에 앉아
너를 그린다
다신 오지 않을
너의 빈자릴 멍하니 바라보다
눈앞이 흐려져
너 없는 여기
너의 흔적만이"
2,박규상,영원하길 바라요,"이 세상 예쁜 말은 모두 담아
이 노랠 만들고 싶었어
피어난 꽃 저무는
달 눈부신 햇살과 바다
날 보는 너의 눈빛까지
널 닮은 그 많은 시간들이
이렇게나 가득히 쌓여있어
니가 사랑하는 것은 모두 모아
어느 날 무뚝뚝이 건네줄게
어떤 설렘과 어떤 향기도
한순간도 놓치고 싶지 않죠
그대라는 기적이 함께라는 기억이
지금 우리 영원하길 바라요
아름다운 날들은 모두 담아
이 노랠 만들고 싶었어
지나온 계절 소중한 기억
솔직한 가사와 멜로디
내겐 단 하나뿐인 너의 이름도
널 닮은 그 많은 추억들이
이렇게나 가득히 쌓여있어
특별할 것 없을 오늘도 내일도
빈틈없이 온종일 안고 싶어
어떤 설렘과 어떤 향기도
한순간도 놓치고 싶지 않죠
그대라는 기적이
함께라는 기억이
지금 우리 영원하길 바라요
꿈에도 몰랐던 우리가
꿈처럼 만나
꾸밈없는 마음으로 서로를 보네
영원을 믿은 적이 없지만
영원히 영원할 것처럼
그대를 사랑할게
지금까지의 모든 아픔이
그대에게 닿기 위함이라면
나 이제 망설이지 않을게요
그댄 그곳 그대로 있어줘요
우리 사랑이 어떻게 될지
그 누구도 알 수 없지만
후회 없는 사랑을
다시 없을 그대와
부디 우린 영원하길 바라요"
3,Rabo (라보),잘못했어,"널 사랑하는 게 맞는 거니
널 미워하는 게 맞는 거니
순간 나 앞이 보이질 않아
아무것도
몇 달이면 될 거야
일 년이면 될 까 봐
너를 사랑한 시간들 내가 잊으면돼
그거 면 된거야
우리 금방 사라지니깐
내 잘못인 게 맞잖아
내가 너를 사랑하지
않는단 말야 알잖아
미안해 그만하자
절대 이 말은 먼저 안 하려고 했는데
안되는걸 내가 너를 사랑하지 않아
제발 아프지말고
다치지 좀 말고
좋은 사람만나라고 말은 못 하겠어
내시랑은 너가 마지막
추억이 돼버리겠지
내 잘못인 게 맞잖아
내가 너를 사랑하지
않는단 말야 알잖아
미안해 그만하자
절대 이 말은 먼저 안 하려고 했는데
안되는걸 우리 끝났어
우리 여기까지 하자
우리 다시 마음 졸일 일 없을 걸
행복한 척 웃으며 날 잊고 지내면 돼
그래 솔직히 자신 없었어
너무 고마웠고 잘 지내길 바랄게
내 잘못인 게 맞잖아
내가 너를 사랑하지 않는 단 말야
부탁해 나를 도와줘 미안해
사실 어떤 말로도
위로가 안돼서 미안하고
사랑했고 좋은 추억으로 남기자"
4,오오 (OHOH),If I get old (with 예빛),"When I was young
지금보다 더 한참 전으로
내 기억의 끄트머리쯤 겨우 있는
작았던 나의 모습을
난 떠올리지 못해
If I get old
내가 상상할 수 있는 만큼만
바뀌지 않는 것들에
한숨 쉬지 않고
멀리 볼 수 있는 사람
난 될 수 있을까
아직 멀게만 느껴져
우리의 Hope Dream 사랑
비틀거려도 단단할 수 있게
버티는 힘을 길러야지 우린
내 맘을 흐려지게 만들어
희미하게만 느껴야지
그리 깊게 패이지 않게
결국 아이 같아 난
누가 알아줄 때까지 기다릴래
기다릴래
When I was young
지금보다 더 한참 전으로
내 기억의 끄트머리쯤 겨우 있는
작았던 나의 모습을
난 떠올리질 못해
If I get old
내가 상상할 수 있는 만큼만
바뀌지 않을 것들에
마음 아프지 말고
웃어 볼 수 있는 사람
난 될 수 있을까
아직 멀게만 느껴져
우리의 Hope Dream 사랑
비틀거려도 단단할 수 있게
버티는 힘을 길러야지 우린
내 맘을 흐려지게 만들어
희미하게만 느껴야지
그리 깊게 패이지 않게
결국 아이 같아 난
누가 알아줄 때까지
기다릴래
기다릴래"
5,오오 (OHOH),흘러가도록,"세상 모든 기준에
작은 마음을 주면
하나하나 신경 쓰는
그런 삶이 고단해
기분 좋은 것들이
가끔 부담이 될 때
무리하는 내 자신에
숨이 막혀오겠지
이제 더 이상의
생각은 그만할게
흘러가는 시간에
그만 주저앉고 싶어
내가 느끼는 감정 하나 모른 채
하고 싶지 않아
사실 모든 건 중요하지 않아
절대로 난 변하지 않아
나대로 살아감이
그대로 넘어짐이
이대로 흘러가도록
사실 모든 건 좋은 거야 그냥
싫어도 난 변하지 않아
나대로 살아감이
그대로 넘어짐이
이대로 흘러가도록
내가 하는 것들이
가끔 미워질 때엔
걱정하는 내 자신이
숨이 막혀 오겠지
이제 더 이상의
생각은 그만할게
흘러가는 시간에
그만 주저앉고 싶어
내가 느끼는 감정 하나 모른 채
살고 싶지 않아
사실 모든 건 중요하지 않아
절대로 난 변하지 않아
나대로 살아감이
그대로 넘어짐이
이대로 흘러가도록
사실 모든 건 좋은 거야 그냥
싫어도 난 변하지 않아
나대로 살아감이
그대로 넘어짐이
이대로 흘러가도록
이대로 흘러가도록
이대로 머물 수 있도록
이대로 흘러가도록
이대로 머물 수 있도록
이대로 흘러가도록
이대로 흘러 머물 수 있도록"
6,오현민,사계,"사계 봄 향기 가득 산방산 아래
유채꽃 피어나고
용머리 해안으로 밀려드는
지난겨울 그토록 기다렸던 봄
사계 포구 등대 사이로 멀어지는
배 저기 보이는 형제섬 너머로
따뜻한 햇살아래 잔잔한
파도소리에 잠시 눈을 감고
바람을 느끼네
사계 음 봄바람이 불어오는 곳
노오란 유채꽃 피어나면
나는 봄 길을 걸어간다
사계 무더웠던 날에
스쳐 지나가는 소나기의
향교 처마 끝에서 비를 피하다
무지개를 보았었던 기억
노을 지면 사계포구 해안길에서
송악산 까지 같이 걸었던
친구들의 얼굴이 생각나
나는 다시 추억을 걷는다
사계 음 우리들의 이야기가
모래 위의 그림처럼 그려졌다
지워졌다 보고싶다
사계 가을이 찾아오면
올레길을 자전거 타고
돌담사이 불어오는 시원한 바람
코스모스 향기를 나에게
초등학교 운동장에 자전거 세워
높은 가을하늘 바라보다가
멀어지는 철새들의 날개짓 보다
나도 모르게 안녕이라고
사계 음 가로수 길을 따라
하나둘씩 떨어지는 낙엽 보며
나는 꿈길을 달려간다
사계 온 세상이 하얀 산방산
용머리 형제섬
저 멀리 보이는 교회 지붕에도
거리마다 날리는 함박눈 눈사람
걸어왔던 내 발자국 하얀 눈으로
어느새 사라져버리고
가로등 불빛이 하나둘 켜질 때면
길가에는 캐롤송 노래가
사계 음 크리스마스 성탄절에
사람들의 가슴속에 종이 울리네
메리 메리 메리 크리스마스
나는 다시 봄을 기다린다"
7,동협,장미인가봐,"다가오는 아침햇살 위로
젖어드는 너의 향기
보이지 않아도 내게 온 듯
따스히 내 마음을 반기네
그대 미소 내게 풍길 때
느껴지는 봄냄새
반갑다고 인사하며
사랑인 듯 속삭이며
다가오는 그대 모습이
사랑일까 두근대는 내마음 설레게해
달콤한 향기가 내 마음을
조금씩 유혹하고 있어
한순간 빠져들고 있어
그대의 눈빛 하나로 난
어쩔 수 없어 내게
너는 아름다운 장미인가봐
그대 미소 내게 비출때
불어오는 햇살이
설레이며 속삭일 때
아름다운 그대의 눈빛이
사랑한다 말할 때
숨겨왔던 내 마음이
하나 둘 걸어오면
달콤한 향기가 내 마음을
조금씩 유혹하고 있어
한순간 빠져들고 있어
그대의 눈빛 하나로 난
어쩔 수 없어 내게
너는 사랑스런 장미인가봐
보이지 않아도 내게 온 듯
따스히 내 마음을 안기네"
8,세모샘,선생님으로 산다는 건,"아이들의 웃음 소리로
시작하는 나의 아침
너흴 위해 준비한
오늘 행복했음 좋겠어
기억하니 처음 만난날
긴장했던 너희들
사실 비밀인데
선생님도 많이 떨렸어
유난히도 축 쳐진 어느 날
선생님 걱정해주던 너희들
나보다 날 더 아껴주는 너흴
사랑하지 않을 수 없어
선생님으로 산다는 건
나보단 너흴 빛나게 하는 일
선생님으로 산다는 건
눈을 맞추며 성장하는 일
선생님으로 산다는 건
쉽진 않지만 아름다운 길
너를 위해서 더 좋은
사람 되고 싶은 길
사랑하고 사랑하자 다짐했지만
때론 짝사랑인가
싶어서 외로운 마음
혼을 내고 돌아선 날엔
참 무거운 마음
몰래 두고 간 편지보면
맘이 사르르 풀려
꼬물꼬물 귀여운 손길따라
예쁘게 그려준 선생님 모습
나보다 날 사랑해주는
너흴 사랑하지 않을 수 없어
선생님으로 산다는 건
나보단 너흴 빛나게 하는 일
선생님으로 산다는 건
눈을 맞추며 성장하는 일
선생님으로 산다는 건
쉽진 않지만 아름다운 길
너를 위해서 더 좋은 사람
되고 싶은 길
많고 많은 사람중에
우리 인연되어 만난 걸 감사해
매일 매시간 매분매초
너흴 사랑해 많이 사랑해
때론 지치고 힘들어도
너희 미소에 오늘도 힘내
선생님으로 산다는 건
평생 사랑을 나누며 사는 일
선생님으로 산다는 건 아름다운 일"
9,최문석,함께했던 것만으로도(with 최정욱),"누군가와 얘기하다가
문득 떠오른 우리의 기억
특별하고 소중하다고
자랑하듯 말하지
지금은 어떻게 사는지
모르고 지낼 때도 있지만
잘 지내길 바라는 마음
그곳까지 닿기를
언제나 멋쩍어 꺼내진 못하지만
세월 속에 덤덤히 묻기도 하지만
그 시절을 함께했던 것만으로
그 기억만으로 살아가다
언젠가 예전처럼 널 만나게 되면
금세 찾게 될 어린 시절의 미소
그때처럼 함께 있는 것만으로
그것만으로도 하나 될 우리
제멋대로 흘러간 시간
되돌릴 수 없단 걸 알지만
마치 없었던 일처럼
느껴질까 두려워
그럴 땐 너에게 전화해
이런저런 얘기를 나누며
내게 가장 필요한 걸
새삼 깨닫게 되네
언제나 멋쩍어 꺼내진 못하지만
세월 속에 덤덤히 묻기도 하지만
그 시절을 함께했던 것만으로
그 기억만으로 살아가다
언젠가 예전처럼 널 만나게 되면
금세 찾게 될 어린 시절의 미소
그때처럼 함께 있는 것만으로
그것만으로도 하나 될 우리
어쩌면 더 많은 세월이 지나가고
끝내 모른 채 삶이 끝난다 해도
기억할게 내가 나일 수 있도록
만들어주었던 그때의 우리
우리 우리
언제나 우리 언젠가 우리
우리 우리
어쩌면 우리 언젠가 우리
우리 우리
그때의 우리 그때의 우리
기억해"
