,artist_name,song_name,lyric
0,네이브로,어쩌면,"그대는 내 맘 모르죠
멀리서 항상 그대
아름다운 그댈 지켜왔다는 걸
부쩍 말이 늘었죠
하지만 좋아한다 사랑한단 말은
한 번도 할 수 없었죠
다가설수록 멀어지는 게 사랑이기에
언젠가는 다른 사람이 네 곁에서
널 지켜줄 걸 알기에 이렇게
나 혼자서
어쩌면 난 널 좋아하는지도 몰라
어쩌면 난 널 사랑하는지도 몰라
바보처럼 혼자서 하는
사랑이어도 괜찮아
지금 이대로 가 좋은지도 몰라 어쩌면
멀어질수록 더 커져가는 사랑이지만
아직 나는 선뜻 너에게로
다가갈 용기가 나질 않기에 이렇게
나 혼자서
어쩌면 난 널 좋아하는지도 몰라
어쩌면 난 널 사랑하는지도 몰라
바보처럼 혼자서 하는
사랑이어도 괜찮아
지금 이대로 가 좋은지도 몰라 어쩌면
넌 나를 알까 이런 마음을 알까
하루하루 시간이 흘러
내 이맘을 알게 됐을 때
넌 오히려 돌아설지도 몰라
어쩌면 난 널 좋아하는지도 몰라
어쩌면 난 널 사랑하는지도 몰라
바보처럼 혼자서 하는
사랑이어도 괜찮아
지금 이대로 가 좋은지도 몰라 어쩌면"
1,김범수,슬픔보다 더 슬픈이야기,[가사 준비중]
2,짙은,Blue Spring,"푸름
화내보지도 못했고
부끄러워 숨어서
어디론가 사라지지도 못했어
봄
화려하지도 않았고
부끄러움 버리고
세상으로 나아가지도 못했어
푸르름은 내겐
초록과 파랑도 아니야
나무도 바다도 아냐
아직은 추운 이른 봄에
떨리던 파란 입술
계절은 무심하게 제 갈 길을 가는데
붙잡지도 않을 걸 보내지도 못했는지
길어지던 그 봄밤 휘청이던 불빛들
희푸르게 밝아오면
잠시 잠들 수 있던 푸른 새벽
숲엔 봄이 오는 소리가 들려
얼어붙은 땅과 딱딱한 망울들
부수고 터져나오는
울음 소리들이
내 안에 껍질을 깨트려
멀리 날아가는 게
세상 모두가 아무렇지 않게
해내고 있는 건데
시절은 무심하게 끝 장을 넘기는데
머물지도 않을 걸 떠나지도 못했는지
길어지는 이 봄밤 휘청이는 사람들
희푸르게 번져오는
살아남은 그들의 어색한 미소"
3,비비 (BIBI),내 곁에 있어줘요,"아득히 지는 노을이
그대를 닮아 아름다워
반짝이는 저 별빛도
그대를 닮아 아름다워
사랑하는 그대여
내 곁에 있어줘요
오래 오래도록
내가 기억할게요
어떤 모습이라도
내가 지켜줄게요
다시 한번 내게 와줘요
사랑하는 그대여
내 곁에 있어줘요
오래 오래도록
내가 기억할게요
어떤 모습이라도
내가 지켜줄게요
다시 한번 내게 와줘요
세상을 선물해준 그대
난 알게됐죠
그대가 얼만큼 날 사랑했는지
내가 기억할게요
어떤 모습이라도
내가 지켜줄게요
다시 한번 내게 와줘요"
4,이현,깊은 슬픔,"수많은 이별 그중에
그대라는 아픔이 번져
한없이 깊은 슬픔 짐작조차 할 수 없어
긴 이별의 끝에
난 아직 너의 주위를 맴돌아
내 곁에 돌아오길 나 간절히 또 기도하네
널 향한 내 진심 너의 품에 닿기를
좋았던 기억들 가슴에 묻어 두네
너의 숨결까지
차갑게 불어오는 바람
내 두 뺨을 스쳐 지나면
나 한없이 흐르는 눈물만이 날 위로해
널 향한 간절함이 제발 너에게 다가가길
늘 온통 네 생각에 나 애타게 널 불러 보네
널 향한 내 진심 너의 품에 닿기를
좋았던 기억들 가슴에 묻어 두네
너의 숨결까지
난 아무렇지 않은 척
가슴이 미어질듯한 고통도
이젠 견딜래
꼭 한번 다시 널 만날 수만 있다면
이 아픈 상처들 다 잊혀지기를
나 기도하네"
5,강동영,사진,"내게 조금 더
조금 더 가까이
보이지 않는 네 모습들도
내 맘을 조금 더
알아봐 줘 너만을 위해서
그런 건 아니야 여길 바라봐 줘
어디에서든 너와 함께 있는
어제의 널 바라보며
잠에 들어
나만 알던 네 놀란 모습들도
네 눈에 비쳐진 내 모습까지
천천히 바라봐 줘
너의 눈빛 니 표정
난 담아두고 싶어 모두
넌 맘에 들지 않아도
내일이면
남은 건 사진이니까
내겐 아직도 선명한 네 모습
시간이 지나 멀어져 가도
사진 속의 넌
변한 것 하나도 없겠지
아마 난 너와 같은 표정을 짓고 있지
어디에서든 너와 함께 있는
어제의 널 바라보며
잠에 들어
나만 알던 네 놀란 모습들도
네 눈에 비쳐진 내 모습까지
천천히 바라봐줘 너의 눈빛 네 표정
난 담아두고 싶어 모두
넌 맘에 들지 않아도
내일이면
남은 건 사진이니까
이 순간들조차도
잊혀질까 두려워
하나도 빠짐없이 모두
함께하고 싶은걸
오래도록
우리의 사진이니까"
6,하성운,겨우살이,"말도 없이 늘 그렇게 날 떠나갔지만
사랑이라 기억해 줘요
이런저런 말들을 더한다고
무슨 소용일까요
음악을 멈추지 말아 줘 Oh 그대로
홀로인 내 마음이 외로울까 그래
이젠 괜찮단 한마디가 지겨워
그냥 웃어 보네요
끝내 왜 날 떠나가려 해
끝내 혼자 남아 이렇게
고갤 숙여 눈을 떨어뜨려요
겨우 난 살아보려 애써
Yeah
I’m living for you
Don’t leave me alone
묻고 싶어 머릿속엔 너무나도 많은데
마음 한편에 묻어둘게요 Yeah
그대도 나처럼 누군가를 사랑했다면
말하지 않아도 알 거예요
잠 못 드는 밤의 곁에서 날 안아줘
홀로인 내 마음이 추울까 봐 그래
이젠 괜찮단 한마디가 그리워
그냥 웃어 보네요
끝내 왜 날 떠나가려 해
끝내 혼자 남아 이렇게
고갤 숙여 눈을 떨어뜨려요
겨우 난 살아보려 애써
나와 같은 마음인가요
그댄 나를 닮지 말아요
저 내리는 빗물처럼
모든 걸 잊어버린 채
그대는 꼭 웃어줘요
Goodbye
끝내 왜 날 떠나가려 해
끝내 혼자 남아 이렇게
고갤 숙여 눈을 떨어뜨려요
겨우 난 살아보려 애써"
7,클랑 (KLANG),U Hoo Hoo,"The moment I saw
You walk in my life
I was happy to have
You here
The scent of you near beside me
And every smile you shared
I was happy just to be with
U hoo hoo
U hoo hoo
Yeah U hoo hoo
Anything just to be with you
U hoo hoo
U hoo hoo
Yeah U hoo hoo
I would do anything for you
The warmth from your eyes
Each second we spent
Each time that I called
Your name
I can still feel you near
beside me
And every bit of you
My life was brighter
just by knowing
U hoo hoo
U hoo hoo
Yeah U hoo hoo
Anything just to be with you
U hoo hoo
U hoo hoo
Yeah U hoo hoo
I would do anything for you
You were in the air I breathe
Glad I had that chance to be
With you with you with you
I wish to be
You were in the air I breathe
Glad I had that chance to be
With you with you with you
I wish to be
U hoo hoo
U hoo hoo
Yeah U hoo hoo
Anything just to be with you
U hoo hoo
U hoo hoo
Yeah U hoo hoo
I would do anything for you
U hoo hoo
U hoo hoo
U hoo hoo
U hoo hoo
U hoo hoo
U hoo hoo"
8,일레인,My Dear,"It’s okay dear
Even though I slip away
Stay strong my dear
I’ll be there to light your way
In the darkness
Realize
There are a thousand stars up high
Spirit soaring
You will find
All the things you’ve questioned why
When you feel the pain
Tied up in chains
No one to blame
When you feel in vain
And burned with shame
I’ll be your rain
It’s okay dear
I will brighten up your day
As a river when uptight
I’ll be flowing by your side
Loneliness that’s in your eyes
Hide away in tears you cry
When you feel the pain
Tied up in chains
No one to blame
When you feel in vain
And burned with shame
I’ll be your rain"
9,엑시 (우주소녀),Bloom,"어제도 오늘도
하루가 왜 이리 짧은 건지
내일은 다를까
그리던 날이 오긴 할런지
드리워진 그늘에
하늘이 보이지 않아
꽃 필 날이 내게도 올까
전부였던 꿈
그 설레임을 기억해
Don’t let it hide you
갇혀있던 날 뒤로해
Dark night blues
이겨내고 피어나
다시 나의 계절이 오면
Oh
Oh
Yeah
어둠이 내리면
홀로 삼킨 밤 외로워도
괜찮아질 거야
숱한 밤을 눈물로 새워도
눈부시게 Shine up my days 찬란히
기다렸던 계절이 오면
전부였던 꿈
그 설레임을 기억해
Don’t let it hide you
달빛은 내 맘 알 듯해
Dark night blues
이겨내고 피어나
다시 나의 계절이 오면
전부인 내 꿈
때론 바람이 불어도
Just let it hold you
물들일래 내 빛으로
Shine my bloom
곧 만나게 될 거야
언젠가 올 나만의 계절
난 나를 믿는 걸
아직 초라하대도
내겐 보이는 걸
쉽지 않다 해도
눈부시게 인사할 게 찬란히
기다렸던 계절이 오면"
