,가수,제목,가사
0,임도혁,바보같죠,"한참을 너의 흔적이
남아있는 거리를
하염없이 걷고 또 걸었어
니가 떠났던 자리 무거운 발걸음
마음이 무너진다
매일 그대 생각만 하다가
눈물이 흐른다
미안해요 그대를 잡지 못해서
미워해요 멀리 뒷모습만
바라본 나를
그대가 바라봐 주길 바라기만 했던
내가 참 바보 같죠
알아줘요 진심이 아닌 내 마음을
용서해요 너무
감정적이었던 나의 말들
바보 같은 내 모습도
사랑해 줄 순 없나요
참 바보 같죠
우연히 너와 닮은 뒷모습에
눈물만 흐른다
미안해요 그대를 잡지 못해서
미워해요 멀리 뒷모습만 바라본 나를
그대가 바라봐 주길 바라기만 했던
내가 참 바보 같죠
보고 싶어 그럴 자격은 없겠죠
잊지 마요 우리 함께했던 모든 날들을
그대가 바라봐 주길 바라기만 했던
내가 참 바보 같죠
알아줘요 진심이 아닌 내 마음을
용서해요 너무 감정적이었던 나의 말들
바보 같은 내 모습도
사랑해 줄 순 없나요 참 바보 같죠"
1,Various Artists,젊음의 노트(85년 강변가요제 대상),[가사 준비중]
2,Various Artists,사랑이 지나가면(응답하라 1988 18화),[가사 준비중]
3,Various Artists,그대 생각(1979 TBC 대학가요제 대상),[가사 준비중]
4,Various Artists,수요일에는 빨간 장미를,[가사 준비중]
5,Various Artists,눈물 한 방울로 사랑은 시작되고(84년 MBC 대학가요제 대상),[가사 준비중]
6,엄준용,개화 (Blossoming),"겨울 지나 봄이 다가올 때
새싹이 피어나듯이
모든 건 그렇게 우연처럼 불어왔어
흰 도화지에 소중하게 그려둔
아름다운 그 꽃 한 송이
햇살을 머금고 따스히 피어있네
그대도 아나요 내 안에 들어온걸
그래요 내 안에 스며 있는
한 송이 꽃잎처럼
유난히 아름다운 저 달빛이
내 눈에 가득한 모습에
따스한 그대 향기 내게 와
우연히 널 스쳤던 손끝에
사르르 떨리던 내 마음에
따스한 봄바람 불어와
바람에 흩날리는 저 벚꽃잎 바라보며
그대와 두 손을 놓지 않고
이 꽃길을 걸어갈래
유난히 아름다운 저 달빛이
내 눈에 가득한 모습에
따스한 그대 향기 내게 와
우연히 널 스쳤던 손끝에
사르르 떨리던 내 마음에
따스한 봄바람 불어와
그대와 두 눈이 마주칠 때
설레는 아이스크림 같은 순간
우리의 봄바람이 차올라
그때 달콤한 그대의 입맞춤
멈춘 것 같던 그 순간이
내 마음에 봄바람이 불어와
나 그대와 나란히 걸어갈래
구름 위로 함께 날아갈래
저 아름다운 한 송이 꽃처럼"
7,발라드가수들,바다,"나의 볼에 입을 맞춰
날 사랑한다 말하는
널보면 마음이 더불안해
가지더라도 절때 너만은 내꺼란걸
그렇게 말하고 다닐꺼야
왜 넌 내게만 만만
자꾸자꾸 커저만 가는거야
왜 넌 내게만 만만
자꾸자꾸 멀게만 느낀걸까
왜 넌 내게만 만만
자꾸자꾸 커저만 가는거야
왜 넌 내게만 만만
자꾸자꾸 멀게만 느낀걸까
울고 싶었어 내앞에 널 봤을때
너무도 커저버린 너였기에 나는
초라해 졌던거야
내손을 잡아주기를 바래
난 나를 보낼께 내게
나의바다야 나의 하늘아
나를 안고서 그렇게 잠들면돼
나의 바다야 나의 하늘아
난 너를 사랑해
언제나 나의 곁에 있는 널
왜 넌 내게만 만만
자꾸자꾸 커저만 가는거야
왜 넌 내게만 만만
자꾸자꾸 멀게만 느낀걸까
왜 넌 내게만 만만
자꾸자꾸 커저만 가는거야
왜 넌 내게만 만만
자꾸자꾸 멀게만 느낀걸까
야이야야야 야이야야야
야이야야야 야이야야야
야이야야야 야이야야야
야이야야야 야이야야야
나의 볼에 입을 맞춰
날 사랑한다 말하는
널보면 마음이 더불안해
가지더라도 절때 너만은 내꺼란걸
그렇게 말하고 다닐꺼야
난난난난 울고 싶었어
내앞에 널 봤을때
너무도 커저버린 너였기에 나는
초라해 졌던거야
내손을 잡아주기를 바래
난 나를 보낼께 내게
나의바다야 나의 하늘아
나를 안고 그렇게 잠들면돼
나의 바다야 나의 하늘아
난 너를 사랑해
언제나 나의 곁에 있는 널
나의바다야 나의 하늘아
나를 안고 그렇게 잠들면돼
나의 바다야 나의 하늘아
난 너를 사랑해
언제나 나의 곁에 있는 널
나의 바다야 나의 하늘아
난 너를 사랑해
언제나 나의 곁에 있는 널"
8,발라드가수들,날 떠나지마,"멀어지는 너의 모습은
나의 눈물 속에서 점점 더 번져가고
작아지는 널 느낄수록
내 마음 속에서 넌 커져가고
하지만 난 괜찮아
내 사랑이 떠나는 널
다시 내게 돌려줄 걸
난 알아 난 알아
날 떠나지마 가는 널 볼 수가 없어
넌 떠나지만
난 뒷모습만 보며 서있어
다시 한 번 말하지만
제발 날 떠나지마
내 사랑이 너의 오는 길을
비춰줄꺼야 Oh babe
희미해진 너를 보면서
나의 그리움들은 커져가고
하지만 난 괜찮아
내 사랑이 떠나는 널
다시 내게 돌려줄 걸
난 알아 난 알아
날 떠나지마 가는 널 볼 수가 없어
넌 떠나지만
난 뒷모습만 보며 서있어
다시 한 번 말하지만
제발 날 떠나지마
내 사랑이 너의 오는 길을
비춰줄 거야
날 떠나지마 가는 널 볼 수가 없어
넌 떠나지만
난 뒷모습만 보며 서있어
다시 한 번 말하지만
제발 날 떠나지마
내 사랑이 너의 오는 길을
비춰줄 거야 Oh babe"
9,발라드가수들,입영열차 안에서,"어색해진 짧은 머리를
보여주긴 싫었어
손흔드는 사람들속에
그댈 남겨두긴 싫어
삼년이라는 시간동안
그댄 나를 잊을까
기다리지 말라고 한건
미안했기 때문이야
그곳의 생활들이 낯설고 힘들어
그대를 그리워하기전에
잠들지도 모르지만
어느날 그대편질 받는다면
며칠동안 나는 잠도 못자겠지
이런 생각만으로 눈물 떨구네
내손에 꼭쥔 그대 사진위로
삼년이라는 시간동안
그댄 나를 잊을까
기다리지 말라고 한건
미안했기 때문이야
그곳의 생활들이 낯설고 힘들어
그대를 그리워하기전에
잠들지도 모르지만
어느날 그대편질 받는다면
며칠동안 나는 잠도 못자겠지
이런 생각만으로 눈물 떨구네
내손에 꼭쥔 그대 사진위로
이런 생각만으로 눈물 떨구네
내손에 꼭쥔 그대 사진위로"
