,가수,제목,가사
0,나겸 (NAAKYEUM),처음 느낌 그대로,"남다른 길을 가는 내게
넌 아무 말 하지 않았지
기다림에 지쳐가는 것
다 알고 있어
아직 더 가야 하는 내게
넌 아무 말 하지 않았지
그 마음이 식어가는 것
난 너무 두려워
I want you I want you
I want you I want you
어제 널 보았을 때
눈 돌리던 날 잊어줘
내가 사랑하면 사랑한단 말 대신
차갑게 대하는 걸 알잖아
오늘 널 멀리하며
혼자 있는 날 믿어줘
내가 차마 네게 할 수 없는 말 그건
사랑해 처음 느낌 그대로
아직 더 가야 하는 내게
넌 기대할 수도 없겠지
그 마음이 식어가는 것
난 너무 두려워
어제 널 보았을 때
눈 돌리던 날 잊어줘
내가 사랑하면 사랑한단 말 대신
차갑게 대하는 걸 알잖아
오늘 널 멀리하며 혼자 있는 날 믿어줘
내가 차마 네게 할 수 없는 말 그건
사랑해 처음 느낌 그대로"
1,"DANI (박혁진), Kei (러블리즈)",New York,"New York
처음 보는 이 거리에서
아무도 모르는 이곳에선
너와 단둘뿐 hmm
여러 맘들로
붐비는 이곳 타임스퀘어
왜 내 맘은 편안한지
널 안고 있을 때면
세상이 내 품 안에
안되는 걸 알면서 바래
이대로 영원토록
함께 걷고 싶어
Anywhere with you
You're the only one
that I've ever want
함께 하고 싶어
Everywhere with you
You're the only one
오래도록 날 밝혀줄 my only light
New York
별빛처럼 화려한
어떤 조명보다
더 밝게 빛난 너의 두 눈
날 향하던
그 순간을 내 맘에 담아
이대로 영원토록
함께 걷고 싶어
Anywhere with you
You're the only one
that I've ever want
함께 하고 싶어
Everywhere with you
You're the only one
오래도록 날 밝혀줄 my only light
니 손에 끌려 한 걸음씩
뒤로 남긴 발자국
하얀 눈 위에 새긴
우리의 기억들로
영원히 날 비춰줘
함께 걷고 싶어
Anywhere with you
You're the only one
that I've ever want
함께 하고 싶어
Everywhere with you
You're the only one
오래도록 날 밝혀줄 my only light"
2,하라소라,뽀뽀뽀,"그댈 안고 뽀뽀뽀
마주보고 뽀뽀뽀
구름 위를 걸으면 이런 기분일까요
내 눈앞에 그대라서
너무나 고마워요
사랑해 정말 이게 꿈은 아니죠
오 맘이 떨려
그댈 보면 내 맘 왜 이럴까
오 점점 끌려
하루만큼 사랑이 커져가
사랑한단 말 아직은
좀 어색하긴 하지만
자꾸 내맘 표현하고 싶어
그댈 안고 뽀뽀뽀
마주보고 뽀뽀뽀
구름 위를 걸으면 이런 기분일까요
내 눈앞에 그대라서
너무나 고마워요
사랑해 정말 이게 꿈은 아니죠
바라만 보아도 니가 너무 좋아
손길 닿을 때면 난 사르르 녹아
너무 눈이 부셔 환한 니 미소가
행복해요 사랑해요 그대 전부 다
I need you I love you 널 사랑해
I need you I love you 너무 사랑해
언제나 내 곁에 남아있어줘
내 사랑은 너 뿐이야
Baby yo my love
그댈 안고 뽀뽀뽀
마주보고 뽀뽀뽀
구름 위를 걸으면 이런 기분일까요
내 눈앞에 그대라서
너무나 고마워요
사랑해 정말 이게 꿈은 아니죠
나만 바라봐줘요 그대
난 이미 그대 뿐인걸요
두 손 잡고 뽀뽀뽀
끌어안고 뽀뽀뽀
하루 종일 그대에 곁에 있고만 싶어
내 눈앞에 그대라서
너무나 행복해요
사랑해 정말 oh 사랑해 정말
그대를 사랑해요"
3,윤현상,품,"서로에게 사랑이 돼 주며
항상 함께 해 왔던 우리
눈 감으면 그 때처럼 다시
또 돌아갈 수 있을까
행복했었던 시간들
모두 다 선명한데
가슴 한 켠이 허전한 것은
네가 없는 빈 자리일까
나의 품 안에 있는 너의 모습이
우리 둘만의 사소했던 공간이
다 선명한데 여기 있는데
너만 내 품으로 돌아와 주면 돼
어두웠던 시간의 그림자
잡힐 듯한 그 때의 우리
눈을 뜨면 그 날처럼 다시
또 행복할 수 있을까
나의 품 안에 있는 너의 모습이
우리 둘만의 사소했던 공간이
다 선명한데 여기 있는데
너만 내 품으로 너만 내 자리로
나의 품으로 돌아와 줄 때까지
나의 손 다시 잡아 주는 날까지
여기 있을게 널 기다릴게
너만 내 곁으로 돌아와 주면 돼"
4,신유미,Adios Amante,"넌 그저 말없이 웃고 있는 나에게
모든 걸 맡겨 버린 채
달콤한 입술로 진실을 감춘다
아무것도 잃을게 하나 없는 것처럼
끝없이 깊어지고
흔들리는 불처럼
꺼져가는 줄 모른 채
Bailemos Tango
아직 끝나지 않은 거짓된 이야기
또다시 헤어날 수 없어
이 밤 기억에 드리워
No mas tiempo
아무 말도 하지 못한 채 굳어져 버린
네 입술을 적신다
Adios Amante
끝끝내 남아있는 모든 흔적들
누구도 모르게 하나둘씩 사라져
상처만 남겨버린 채
Bailemos Tango
아직 끝나지 않은 거짓된 이야기
또다시 헤어날 수 없어
이 밤 기억에 드리워
No mas tiempo
아무 말도 하지 못한 채 굳어져 버린
네 입술을 적신다
Adios Amante
이토록 깊이 빠져 들어가는 이 순간
가리워진 듯 흐르고 흘러
그토록 바라던 결말
조각난 너를 잡는 손끝에
무너지는 밤
Bailemos Tango
아직 끝나지 않은 거짓된 이야기
또다시 헤어날 수 없어
이 밤 기억에 드리워
No mas tiempo
아무 말도 하지 못한 채 굳어져 버린
네 입술을 적신다
Adios Amante
Amante"
5,가비 퀸즈,두글자,"사랑한다면 정말 사랑했다면
다시는 내게 이러지는 마
바보같이 널 기다려야만 했던
버림 받아 울고 있는 여자야
이별할거면 나를 버릴 거라면
다시는 내게 기댈 주지마
정말 널 원했어 나를 잊지마
한번만 더 제발 돌아와
사랑이란 두 글자
이별이란 두 글자
가슴 아파 떠나 보낸 그대여
눈물의 눈물에 널 보낼 거라면
다시 한번 불러보고 싶었어
안녕이란 두 글자
헤어지잔 네 글자
떠나간 그 사람이 미워져
그대 입술에 담았던
나의 사랑이
다시 한번 기억할 수 있게
가버린다면 정말 떠날 거라면
다시는 내게 돌아오지마
바보같이 널 보내줘야만 했던
상처받아 울고 있는 여자야
잊을 거 라면
나를 지울 거 라면
남겨진 기억 모두 가져가
정말 널 원했어 나를 잊지마
한번만 더 제발 돌아와
사랑이란 두 글자
이별이란 두 글자
가슴 아파 떠나 보낸 그대여
눈물의 눈물에 널 보낼 거라면
다시 한번 불러보고 싶었어
안녕이란 두 글자
헤어지잔 네 글자
떠나간 그 사람이 미워져
그대 입술에 담았던
나의 사랑이
다시 한번 기억할 수 있게
가지 말아요 제발 가지 말아요
이렇게 널 부르고 애원하지만
사랑해줘요 그대밖에 없는 나
가슴은 널 붙잡고 울고 있어
너뿐이란 두 글자
함께하잔 네 글자
멈춰버린 기억 속에 그대여
추억의 모두가 다 거짓이라면
다시 누굴 사랑할 수 있을까
사랑한단 네 글자
보고 싶단 네 글자
너무나 그 사람이 그리워
그대 모습에 우는
내 슬픈 사랑이
다시 한번 너를 찾고 있어"
6,크라이젠,사랑이 길을 잃어서 (Feat. 신디),"알아서 어서 빨리 말해요 다 알고 있어 이미
미안하다는 말로 첨으로 되돌리긴 어려워
어떻게 고쳐볼까
부쳐도 또 부쳐도 아니라고 다 끝난 거라고
시간에 파묻힌 굳은 추억으로 난 변해가죠

돌아온다는 거짓말도
내안에 새겨둔 그 많은 약속들도
이렇게 떠날거면 또 왜 그랬어
아픈만큼 미워도 가슴이 아려도
잠시동안 사랑이 길을 잃어서
나 이렇게 홀로 둔 거라고
생각해볼게요 나 그래 볼게요


그렇게 어서 빨리 떠나요 다 소용없어 이젠
너는 바람처럼 나에겐 돌아오긴 어려워
어떻게 잊어볼까
잡아도 또 잡아도 사라지고 더 흩어진다고
잡아둔 시간에 멈춘 기억속에 나만 남겨졌어

돌아온다는 거짓말도
내안에 새겨둔 그 많은 약속들도
이렇게 떠날거면 또 왜 그랬어
아픈만큼 미워도 가슴이 아려도
잠시동안 사랑이 길을 잃어서
나 이렇게 홀로 둔 거라고
생각해볼게요 나 그래 볼게요


지웠다고 생각을 해도 귓속까지 다 너라서
세상을 다 줘도 바꿀 수 없는게 너 하나뿐인데
나 이렇게 끝내 보내지 못해요


모두 잊었단 거짓말도
이제는 비워진 내 옆에 니 자리도
그대로 남을거라 그럴걸 알아
바꾸려고 해봐도 채우려 해봐도

오랜 후에 사랑이 길을 찾아서
날 만나러 오는 그때까지
기다려볼게요

돌아온다는 거짓말도
내 안에 새겨둔 그 많은 약속들도
이렇게 떠날거면 또 왜 그랬어
아픈만큼 미워도 가슴이 아려도
잠시동안 사랑이 길을 잃어서
나 이렇게 홀로 둔 거라고
생각해볼게요 나 그래 볼게요"
7,"이진성 (먼데이 키즈), 최아인",모놀로그,"흘러라 나의 눈물아
어쩌면 소리쳐 봐도
들리지 않을 내 가슴이지만
지쳐 쓰러진
나를 잡아준 건 너잖아
울어라 나의 가슴아
어쩌면 부딪혀 봐도
소용없는 세상이라 하지만
터질 것만 같던
내 삶의 끝에서 돌아온 나잖아
숨이 차서 가슴을 다 도려내도
내 안에 한사람 너라서
살아볼게 세상이 날 밀어내도
토해낸 내 눈물이
날 돌아 볼 때까지
고마워 나의 사랑아
내 눈이 너 하나만을
가슴에 품고 살아가라잖아
이 미친 세상을
살아갈 수 있게 안아준 너잖아
숨이 차서 가슴을 다 도려내도
내안에 한사람 너라서
살아볼게 세상이 날 밀어내도
토해낸 내 눈물이 날
너를 믿지 못해서
나만 알고 살아서
바보처럼 나는 웃게 되
나 하나만이 내겐 전부였잖아
내 눈물이 나를 알아보잖아
세상이 날 내 전부를 가져가도
참을 수 없는 날 버려도
살아볼게 세상이 날 밀어내도
토해낸 내 눈물이 날
숨이 차서 가슴을 다 도려내도
내 안에 한 사람 너라서
살아볼게 세상이 날 밀어내도
토해낸 내 눈물이
날 돌아 볼 때까지"
8,"The One (더원), 김연지",꺼내지 못한 말,"두개였던 칫솔이 하나
침대 위에 남은 베개도 하나
너를 떠올리게 하던
모든 걸 버렸는데
왜 난 너를 잊지를 못하는지
두개였던 반지가 하나
신발장에 남은 신발도 하나
너를 생각나게 하던
모든걸 버렸는데
왜 난 아직도 눈물이 나는지
니가 날 잊었을까봐
너도 날 잊었을까봐
누가 먼저 쉽게
꺼내지 않는 그 말
다시 사랑하면 안돼요
다시 돌아오면 안되나요
우린 말없이 서로를 그리워해요
아침마다 날 깨우던 전화
저녁이 되도록 울리지가 않아
나를 웃음짓게 하던
니가 안보이니까
난 아직도 한겨울에 살아
니가 날 잊었을까봐
너도 날 잊었을까봐
누가 먼저 쉽게
꺼내지 않는 그말
다시 사랑하면 안돼요
다시 돌아오면 안되나요
우린 말없이 서로를 그리워해요
니가 날 잊었을까봐
니가 날 잊었을까봐
누가 먼저 꺼내지 않는 그말
사랑해 사랑해 사랑해 사랑해
왜 우린 서로 아파야 하는거죠
다시 사랑하면 안돼요
다시 돌아오면 안되나요
우린 이렇게
우린 이렇게
멀리서 바라만 보죠"
9,"티파니 (TIFFANY), 김종국, 다이나믹 듀오, 여진구, 김유정, 에디킴, 전현무",Talk About Love,"Talk about love
talk about care
talk about happiness
오늘도 정신 없이
살아가는 사람들
그 어떤 것에 관심을
가지는 것도 부담 돼
You Have to Change
하지만 상상해봐
만약 우리가
반대편에서 살아간다면
그들과 삶이 뒤바뀐다면
한번쯤 말야
이 모든 것에 감사해
한번쯤 말야
주윌 둘러봐도 괜찮아
우리에게는
너무 흔한 물 한 방울이
그들에겐 다시
살 수 있는 힘과
고통을 이길 희망
Talk about love
talk about care
talk about
what we can do for them
가슴에 안아주고 싶어
환하게 웃을 수 있게
하고 싶어
Talk about love
talk about care
talk about our happiness
운명은 찾아가는 거야
정해져 있는 것이 아냐
You have to change
세상이 인터넷 안에만
있는 것처럼
그 어떤 것에 관심을
가지지 못하는 사람들
You have to change
그렇게 의미 없는
하루하루가 누군가에겐
절박한 시간
그들과 삶이 뒤바뀐다면
한번쯤 말야
내가 가진 것에 감사해
한번쯤 말야
주윌 둘러봐도 괜찮아
우리에게는 너무 쉬운
땀 한 방울이
그들에겐 다시
살 수 있는 힘과
고통을 이길 희망
Talk about love
talk about care
talk about
what we can do for them
가슴에 안아주고 싶어
환하게 웃을 수 있게
하고 싶어
Talk about love
talk about care
talk about our happiness
운명은 찾아가는 거야
정해져 있는 것이 아냐
생각해봐 잠시 동안
가슴 속에 작은 공간
사랑이라고 채워져 있는
그 곳을 잊은 건 아닌지
no no no no
이 세상에 늦어 버린 것
따윈 없는 걸
단지 이제 더이상은
절대 미뤄버려선 안돼
Talk about love
talk about care
talk about
what we can do for them
가슴에 안아주고 싶어
환하게 웃을 수 있게
하고 싶어
Talk about love
talk about care
talk about our happiness
운명은 찾아가는 거야
정해져 있는 것이 아냐
Oh You and me
Talk about love
Oh We have to
Talk about care
Oh You and me
Talk about love
Make a better place
더 나은 세상을 위해
더 나은 내일을 위해
Oh You and me
Talk about love
Oh You and me
Talk about love
Oh You and me
Talk about love
Oh You and me
Talk about love"
