,artist_name,song_name,lyric
0,"손호영(SHY), 데니안",하루만,"잃을게 없죠 더는 그래서 울죠 나는
눈에 맺힌 그대 한방울
사랑 그 쉬운 한마디
내겐 눈물같아서
바보처럼 흘러내려
그대라서 숨쉴 수 있고
그대라서 버틸 수 있죠
오직 한 사람
하루만 내 모진 삶의 끝에 그대가
꿈처럼 머물러주길
하루만 나 산다고 해도 너야
아파도 그대
난 그저
단 하루만 맘 편히
너를 사랑하고 싶어
딱 한시간 만이라도 너만 보고싶어
사랑이란게 원래 이렇게나
또 힘든거였니
내 맘이 뜻대로 안되는 것 같아
눈물이 흘러내려와 걸렸어 턱 끝에
떨어질까봐 나 두려워 다 끔찍해
이렇게 살아도
사는게 아닌데 어떻게
그대만이 살릴 수 있어
날 좀 생각해줄래
그대라서 숨쉴 수 있고
그대라서 버틸 수 있죠
그대란 단 한 사람
하루만 내 모진삶의 끝에 그대가
꿈처럼 머물러주길
하루만 나 산다고 해도 너야
아파도 그대
다시 한번 말해줄게 너 밖에 난 안돼
그 어떤 누구도 널 대신할수 없어
절대 반대
사랑해 또 사랑한다고 외쳐봐
지금 날 향해
우리 둘만 생각해도 모자라
제발 부탁해
두눈엔 그대가 놓을 수 없는
사랑이 흘러
눈물아 제발 좀 가져가
사랑이 더 이상 아프지 않게
하루만 나 산다고 해도 너야
아파도 그대
하루만 제발 제발
너에게 닿을수 있게 하루만"
1,SUPER JUNIOR (슈퍼주니어),Islands,"길은 멀고 물은 깊었어
발은 얼고 저 바다 너먼 빛났지
흐르는 시간들이
잔잔하지 않은 날에도
내 모든 시간 함께 해 준 너
불안하게 떨리는 내 어깨 위에
수면 위로 비치는
말 없이 올리는 두 손
마음과 마음 사이를 이어주는
Unfolding road for me
얼마나 많은 강을 건너야
얼마나 넓은 바달 헤쳐야
꿈 꿔온 내 모습과 만날 수 있는지
우리의 마음들로 이어진
눈부신 다리 위를 건널 때
따뜻한 미소로 넌 그 길에 서 있어
내일로 가는 길
넓은 바다 한 가운데 난
크게 외쳐
혼자서 견디는 법을 물어
유리 창에 비치는 지난 추억은
내 가슴속에 내리는 노을이 돼
You are always there
Finding road for me
얼마나 많은 강을 건너야
얼마나 넓은 바달 헤쳐야
꿈 꿔온 내 모습과 만날 수 있는지
우리의 마음들로 이어진
눈부신 다리 위를 건널 때
따뜻한 미소로 넌 그 길에 서 있어
세상이란 파도를
또 간신히 넘고서 Yeah
약속했던 곳으로
조금씩 Closer
너에게 Closer
Closer Yeah
이름 없는 외로운 섬 하나
나에게 다시 너를 이어줘
얼마나 많은 우릴 만나야
얼마나 많은 다릴 건너야
눈부신 그 너머에 닿을 수 있는지
우리가 공유한 모든 게
매일 더 가슴 가득 물들어
같은 빛으로
우린 하나로
이어져있어 영원히
서로 마주보며 마주보며
Our bridges forever"
2,김진호 (SG워너비),새벽4시,"아직 잠들지 못한 나의
가슴속에 미련들이 차 오를때
이런 내 모습 어느새
무뎌져 버린지 오래
오늘도 술한잔 생각이 나
잘 모르겠어 나로 인한
내 불안도 내 방황도 나도 모를
외로움에 사무칠때
너에게로 나 다시 돌아가
니가 생각나 난 노래해
이 시간이 다가올 때 나도 모를
내 모습에 헤매일 때
약해빠진 나 누가 안아줘"
3,Various Artists,이별의 끝은 어디인가요,[가사 준비중]
4,이승기,사랑,"사랑
곁에 있는 것 만으로
말 없이 나의 하루를
녹여주는 온기
사랑
앞으로 가기 어려워
터벅거리는 나에게
함께 걷는 법을 알려준 날
사랑
끝없이 나를 일으켜 주던
너를 가장 아름답게 했던
모든 이유가 돼 준 그 이름
사랑 사랑
사랑
이제는 점점 잊혀질 그 기억도
아픔 섞인 시간들도 내겐
그 모든 게 사랑
사랑
전화기 넘어 들리는
너의 안부를 묻고선
그제야 잠이 들고
사랑
지우지 못한 번호와
다 하지 못한 얘기와
버릴 수 없게 된 선물에도
사랑
끝없이 나를 일으켜 주던
너를 가장 아름답게 했던
모든 이유가 돼 준 그 이름
사랑 사랑
사랑
이제는 점점 잊혀질 그 기억도
아픔 섞인 시간들도 내겐
그 모든 게 사랑
사랑
이제는 점점 잊혀질 그 기억도
아픔 섞인 시간들도 내겐
그 모든 게 사랑"
5,송하예,눈물이 별처럼,"그대를 바라볼수록
눈물이 번져 흐려질까 두려워
missing you missing you
눈물이 말해
그대는 내 모든 것을 길들여
아픈 사랑인줄 알면서
내 맘이 가슴이 그대를 찾죠
그댈 생각하면 눈물이
바보같은 사랑 가슴 아픈 사랑
그대 보고싶어 내 눈물이
흩어지는 별처럼
그대 맘을 비추죠
사랑합니다 그대
꿈꾸듯 사라질지도 모르죠
우리 신기루 같은 사랑
괜찮아 괜찮아 한번이라도
그댈 생각하면 눈물이
바보같은 사랑 가슴 아픈 사랑
그대 보고싶어 내 눈물이
흩어지는 별처럼 그대 맘을 비추죠
사랑합니다 그대
순간의 사랑 아닌 운명을
나는 느낄 수 있죠
시간이 흐르기 전에
멈추기 전에 사랑한다 말해요
사랑해서 눈물이
바라보는 사랑 가슴 아픈 사랑
너무 보고싶어 내 눈물이
흩어지는 별처럼 그대 맘을 비추죠
사랑합니다 그대 그대"
6,Various Artists,해바라기,[가사 준비중]
7,신해철,내 마음 깊은 곳의 너,"너에게 전화를 하려다
수화기를 놓았네
잠시 잊고 있었나봐
이미 그곳에는 넌 있지 않은 걸
내 마음 깊은 곳에 너
마지막 작별의 순간을
너의 눈 속에 담긴
내게 듣고 싶어 한 그 말을
난 알고 있었어
말하진 못했지
내 마음 깊은 곳에 너
너에게 내 불안한 미래를
함께 하자고 말하긴 미안했기에
내게로 돌아올 너를 또 다시
혼자이게 하지는 않을 거야
내 품에 안기어
눈을 감을 땐 널 지켜줄 거야
언제까지나 너를 기다려
내 마음 깊은 곳에 너
만남의 기쁨도
헤어짐의 슬픔도
긴 시간을 스쳐가는 순간인 것을
영원히 함께할 내일을 생각하며
안타까운 기다림도 기쁨이 되어
너에게 내 불안한 미래를
함께 하자고 말하긴 미안했기에
내게로 돌아올 너를 또 다시
혼자이게 하지는 않을 거야
내 품에 안기어 눈을 감을 땐
널 지켜줄 거야
언제까지나 너를 기다려
내 마음 깊은 곳에 너
만남의 기쁨도
헤어짐의 슬픔도
긴 시간을 스쳐가는 순간인 것을
영원히 함께할 내일을 생각하며
안타까운 기다림도 기쁨이 되어
만남의 기쁨도
헤어짐의 슬픔도
긴 시간을 스쳐가는 순간인 것을
영원히 함께할 내일을 생각하며
안타까운 기다림도 기쁨이 되어"
8,Various Artists,중독된 사랑,[가사 준비중]
9,로이킴,Remember Me,"그대를 만날 수
있다는 생각에
아이처럼 손에 땀이 나고
잠 못 들었지
그대가 내
사람이라는 마음에
세상을 다 가진 듯
난 실실 웃고 다녔지
그대가
반짝이는 걸 원했을 땐
하늘에 올라가
별을 따다 줬던 나인데
그대가
앞이 안보인다 했을 땐
내 어깨를 내줘
목마를 태워줬던 나인데
그땐 내가
어떻게 그랬을까
세상 앞에 난
더욱 작아져만 가네
Remember me
I hope I’m not the only one
that dreams about you all the time
Remember me
I surely was in love once
and I hope there’s still room for me
그대와 처음
눈이 마주쳤을 땐
그래 봄봄봄
봄이 왔다 믿었었는데
그때가 마지막일 줄은 몰랐네
추운 겨울을 지나
또 봄이 올 줄 알았지
어렸을 땐 철 좀 들라 하더니
어른이 되면
그때만을 동경하고 있네
Remember me
I hope I’m not the only one
that dreams about you all the time
Remember me
I surely was in love once
and I hope there’s still room for me
Remember me
I hope I’m not the only one
that dreams about you all the time
Remember me
yes I surely was in love once and
I hope there’s still room for me"
