,가수,제목,가사
10,오열 (OYEOL),언젠가는,"젊은 날엔 젊음을 모르고
사랑할 땐 사랑이 보이지 않았네
하지만 이제 뒤돌아보니
우린 젊고 서로 사랑을 했구나
눈물 같은 시간의 강 위로
떠내려가는 건 한 다발의 추억
그렇게 이제 뒤돌아보니
젊음도 사랑도 아주 소중했구나
언젠가는 우리 다시 만나리
어디로 가는지 아무도 모르지만
언젠가는 우리 다시 만나리
헤어진 모습 이대로
젊은 날엔 젊음을 잊었고
사랑할 땐 사랑이 흔해만 보였네
하지만 이제 생각해 보니
우린 젊고 서로 사랑을 했구나
언젠가는 우리 다시 만나리
어디로 가는지 아무도 모르지만
언젠가는 우리 다시 만나리
헤어진 모습 이대로"
11,"김효진, 류지현",어느 60대 노부부 이야기,"곱고 희던 그 손으로
넥타이를 매어주던 때
어렴풋이 생각나오
여보 그때를 기억하오
막내아들 대학시험
뜬눈으로 지내던 밤들
어렴풋이 생각나오
여보 그때를 기억하오
세월은 그렇게 흘러
여기까지 왔는데
인생은 그렇게 흘러
황혼에 기우는데
큰 딸 아이 결혼식날
흘리던 눈물 방울이
이제는 모두 말라
여보 그 눈물을 기억하오
세월은 그렇게 흘러
여기까지 왔는데
인생은 그렇게 흘러
황혼에 기우는데
여기 날 홀로 두고
왜 한 마디 말 없소
그대 그 먼길을
혼자 가려하오
어찌 혼자 나를
홀로 두고
다시 못 올 그 먼길을
가려고 하오
세월이 흘러감에
흰머리가 늘어가네
모두 다 떠난다고
여보 내 손을 꼭 잡았소
여보 안녕히 잘 가시게"
12,이승환,심장병,"손을 따 봐 내 맘에 꼭 얹힌 네가 내려 갈까봐
내 사랑도 죽은 피처럼 빠져나갈까봐
가슴이 아파 너무 아파 어떡해 어떡해
맘을 쓸수록 맘이 헤져 닮아가
이렇게도 깊었니 손 쓸 새 없이
퍼져가간 너 날 떠날 때 다 데려가지
내 안에 너까지 눈물이 나와
터져 나와 그리워 그리워
잊으려해도 잊어내지 못하니
온 세상이 다 멈추고 내 심장이 또 멎으면
널 그때라면 끝낼까
낫지 않아 난 어떡해도 낫지 않을 걸 알아
난 내안에 살아 그냥 살아 날 해쳐도 되니
내안에 살아... 그냥 살아...
나를 해쳐도... 참을거야..."
13,이지혜,내 입술 따뜻한 커피처럼,"울지마 이미 지난일이야

삶의 반칙선위에 점일뿐이야

살아가면서 누구나 겪는 일이야

어른이 되는 단지 과정일뿐야 Yo 단지 과정일 뿐야



제발 이러지말아요 끝이라는 얘기

나는 항상 시작인걸요

그댈 사랑하는 마음

점점 커져가고 있는 날 잘 알잖아요



너를 닦아주던 손은 아직 젖었는데

채마르기 전에 언제 저만큼 갔는데

이런 장면에선 비가 제법 어울리는데

채내리기 전에 언제 저만큼 갔는데

내 눈물은 아직 모르고 있는데

흐르기 전에 비가 얼른 와야할텐데

돌아서 가는 너도 분명 울고 있을텐데

그래도 너의 뒷 모습은 여전히 이쁜데




나를 많이 알잖아요 그댈 사랑하며

나를 모두 버렸다는걸

혼자 울며 걷는 나를

모르나요 그러니 제발 이러지마요




힘들었던 만큼 강해지고 싶었는데

너 아파했던 만큼 잘 해주고 싶었는데

이제 막 커피 한모금 삼켰을뿐인데

어떻게 넌 내게 벌써 이별을 말하는데

내 입술 커피는 아직 달콤한데

처음 너를 느꼈던 수줍던 키스처럼

내 입술 커피는 아직 따뜻한데

눈 감은 내게 닿았던 그대 입술처럼



너를 사랑해 아직 이렇게 사랑하는데

니가 없는 세상에 나는 죽을것만 같은데

앞으로 너 혼자 이별을 슬퍼해야 하는데

니가 힘들때는 항상 내가 곁에 있어줬는데

가지마 너를 부르고 싶은데 너를 붙잡고 싶은데

내 입술 따뜻한 커피처럼

우리 다시 예전으로 돌아가고 싶은데



꿈에서라도 싫어요 떠나지 말아요

나는 죽을지도 몰라요

이대로 행복한걸요 모르겠나요

아무것도 바라지 않아



지나간 사랑으로 날

그대의 추억속에서 살게할건가요

사랑은 계속 커져갈텐데

이대로 나를 정말 보낼건가요




너를 붙잡고 싶은데

너를 부르고 싶은데 돌아가고 싶은데



울지마 이미 지난일이야

버틸수 없을만큼 힘들겠지만

삶의 반칙선위에 점일뿐이야

어느때보다도 긴 시간이겠지만

살아가면서 누구나 겪는일이야

쉽게 받아 들일수는 없겠지만

어른이 되는 단지 과정일뿐야 Yo 단지 과정일뿐야"
14,버블 시스터즈,가시리,"이름 모를 꽃을 꺾어
내 품안에 안겨주고
서툰 설렘하나 그 웃음하나
남겨 준 사람
뜨겁게 날 안아주고
참 가벼이 떠난그대
멀리 날아가는
저 새들처럼 쉬이 가더라
내마음 결을 휘휘 돌아
세월은 흐르더라
한낱 깨어날 꿈이리라
잠시 쉬어갈 마음이라
꽃이 피고지는
계절을 닮아 변한 사랑아
그대 가시리 가시리잇고
나를 바리고 가시리잇고
걸음걸음 내맘을 밟고
이렇게 가시리
슬픈님의 노래

서러운 나의 맘이
찬란히 슬프더라
한낱 깨어날 꿈이리라
잠시 쉬어갈 마음이라
꽃이 피고지는
계절을 닮아 변한 사랑아
그대 가시리 가시리잇고
나를 바리고 가시리잇고
걸음걸음 내맘을 밟고
이렇게 가시리
기억이란 또 무엇이며
남겨진 추억이 무엇이냐
나를 위한 엘레지
사랑에 통한 노래어라
눈물 가득한 비극이라
멀리 날아가는 저 새를 닮아
떠난 사랑아
그대 가시리 가시리잇고
나를 바리고 가시리잇고
걸음걸음 내맘을 밟고
영원히 가시리
슬픈님의 노래"
15,태사비애,당신께 이노래를 불러 드릴께요,"이노래에 사랑하는 마음 담아서

당신께 불러드려요

언제나 곁에 있어줘요

말로 할수 없는

이 마음을 노래에 담아

불러 주고 싶어요

이런 내맘을 알아줘요

소중한 내 사랑아

이노랠 들어줘요

그댄 오직 한사람

자꾸 눈물이나요

이런게 행복인가봐

우린 함께 이니까

하늘에 약속해줘요

영원히 지켜 준다고

사랑을 지켜 준다고

이노래에 사랑하는 마음 담아서

당신께 불러드려요

언제나 곁에 있어줘요

말로 할수 없는

이 마음을 노래에 담아

불러 주고 싶어요

이런 내맘을 알아줘요

조용히 들려오는

이노랠 들어봐요

나의 사랑 고백을

너무나 행복해서

자꾸만 눈물이나요

너무 사랑하나봐

영원히 약속할께요

당신만 사랑한다고

이 약속 지켜 줄께요

이노래에 사랑하는 마음 담아서

당신께 불러드려요

언제나 곁에 있어줘요

말로 할수 없는

이 마음을 노래에 담아

불러 주고 싶어요

이런 내맘을 알아줘요

이노래에 사랑하는

마음 담아서

당신께 불러드려요

언제나 곁에 있어줘요

말로 할수 없는

이 마음을 노래에 담아

불러 주고 싶어요

이런 내맘을 알아줘요"
16,서영은,신부에게,"세상 모든 기쁨과 슬픔 또 사랑
함께 나눌 사람을 난 찾은 거죠
약속 할게요 더 이상의 외로움
없을 거란 걸
새하얀 드레스 수줍은 발걸음
꿈꾸는 설레임
나만을 믿고
내곁에 선 소중한 그대
차가운 시선이 우릴 막아설 땐
슬퍼도 했지만
어느새 그댄 사랑으로
날 감싸 주었죠
그대도 나도 아닌 다른 이유로
아파해야했던 날 참아준 그대
약속 할게요
더 이상의 눈물은 없을 거란 걸
눈부신 아침도 오후의 향기도
까만 밤하늘도
내 곁에 있는 그대로 인해
아름다울 수 있죠
세상 모든 기쁨과 슬픔 또 사랑
함께 나눌 사람을 난 찾은 거죠
약속 할게요
더 이상의 외로움 없을 거란 걸
힘들었던 만큼
넉넉한 행복들을 드릴 거예요
늘 지금처럼
해맑은 웃음만 지어주세요
그대도 나도 아닌
다른 이유로 아파해야했던
날 참아준 그대
약속 할게요
더 이상의 눈물은 없을 거란 걸
약속 할게요"
17,아이유,라망 (L'amant),"알아요 그대 마음에 어디에도
나는 없었다는 걸
문득 그대 흘린 비웃음 보았죠
그래요 기대 안했죠
아니 실망하고 싶지 않아서
혼자 사랑해도 된다고 믿어요
쓰디쓴 입술에 잠시 스쳐도 좋아서
무섭게 차가운 독이 서린 말해도
미친 꿈을 믿고 싶어요
아니 사랑인 걸 믿어요
날 짓밟고 사라져버려도
하지만 오늘 하루는
길에 고인 물에 비친 모습이
서러워 내 어깨를 감싸며 울어요
한 번도 그대가 날
만져주지 않아도
한 번도 그대가 날 웃음 짓게 안해도
미친 사랑 때문에
그대 사랑할 수밖에 없어요
나를 짓밟고 사라져 버려도
하지만 오늘 하루는 길을 걷다 비친
나의 모습이 초라해진 어깰 감싸며
조금 내 모습이 가여워
혹시나 달라지길 바라며 울어요"
18,임정희,미소를 띄우며 나를 보낸 그 모습처럼 (굴러온 복덩어리),"날 위해 울지 말아요
날 위해 슬퍼 말아요
그렇게 바라보지 말아요
의미를 잃어버린 그 표정
날 사랑하지 말아요
너무 늦은 얘기잖아요
애타게 기다리지 말아요
사랑은 끝났으니까
그대 왜 나를
그냥 떠나가게 했나요
이렇게 다시 후회할 줄 알았다면
아픈 시련 속에 방황하지 않았을텐데
사랑은 이제
내게 남아있지 않아요
아무런 느낌 가질 수 없어요
미소를 띄우며 나를 보낸 그 모습처럼
그대 왜 나를
그냥 떠나가게 했나요
이렇게 다시 후회할 줄 알았다면
아픈 시련 속에 방황하지 않았을텐데
사랑은 이제
내게 남아있지 않아요
아무런 느낌 가질 수 없어요
미소를 띄우며 나를 보낸 그 모습처럼
나를 보낸 그 모습처럼"
19,다비치,PET,"잘됐지 뭐
그저 너만 바라보기엔
사랑할 게 너무 많아서
바람은 따뜻한 걸
너의 입김보다 더
뭐 허전한 맘쯤
가득 담은 한잔 커피면
괜찮아 조금 쓰지만
미운 네 모습보다
충분히 달콤하니까
I'm fine 이런 느낌
사과할게
미안 너 없이도
행복해서
잘됐지 뭐
외롭기 싫어 널 만난 나
똑같이 외롭다면 난
왜 널 기다리면서
애를 태워 내가 왜
뭐가 모자라서
그저 기다리는 사랑을
더는 할 수 없어 떠나 난
그래도 기억해줘
난 너뿐이었단 걸
너만 기다리던 나는 없어
기분 좋은 오늘 이후로
난 나와 사랑을 나눌게
너와 걷던 이곳에서
어쩌면 날 닮은
사랑이 날 찾아올지도
모른다는 예감을 만나
함께 걷고 싶은 걸
I'm fine 이런 느낌
사과할게
미안 너 없이도
행복해서
잘됐지 뭐
외롭기 싫어 널 만난 나
똑같이 외롭다면 난
왜 널 기다리면서
애를 태워 내가 왜
뭐가 모자라서
그저 기다리는 사랑을
더는 할 수 없어 떠나 난
그래도 기억해줘
난 너뿐이었단 걸
네가 돌아오기만
기다리던 PET 같은
그런 나는 더 이상
거기 없어 미안해
네가 돌아오기만
기다리던 PET 같은
그런 나는 더 이상
거기 없어 미안해
네가 돌아오기만
기다리던 PET 같은
그런 나는 더 이상
거기 없어 미안해"
20,뉴이스트 W,AND I,"잠깐 우리 말 없는 꿈꿔요
혹시나 그댈 놓칠까봐
닿지않는 손을 내밀어요 Um
다른 날 먼 계절에 만났더라면
그대는 나의 품이겠죠
간절히 원하지만
더이상 돌이킬 수 없을까봐
후회 가득 할까봐
그댈 향한 눈물 또 삼켜요
And I And I
결국 다른 길을 걷겠죠
그댈 잡을 수는 없겠죠
훗날 우리 다시 만날 때
사랑 가득한 그 곳에서
good bye
그대 눈빛을 바라 볼 때면
마음이 아파
우연이라도 다시 만나길 yeah
오늘도 나눠진 갈림길 한가운데
그댈 향한 이 길을 걸어요
잊지마요
더듬어보는 기억 속에
그대가 스며들어
올려다보는 하늘 위로
지나가는 흰구름 흰구름
굳게 닫혀진 내 마음 아래
피어나는 꽃잎처럼
그대의 향기 나기에
이 자리에 이대로
이렇게 멈추기를 바래요
내 마지막 미소
오직 그대가
기억할 수 있게
And I And I
결국 다른 길을 걷겠죠
그댈 잡을 수는 없겠죠
훗날 우리 다시 만날 때
사랑 가득한 그 곳에서
good bye
너의 곁에 있던 모든 날들이
바람처럼 스쳐가
내 안에 들어와
흩날리는 많은 꽃잎들처럼
날 모른 척 지나가
이 빗물이 빗물이
그대와의 추억이
자꾸 피어올라
점점 멀어져가
And I And I
결국 다른 길을 걷겠죠
마주칠 순 없겠죠
그댈 잡을 수는 없겠죠
내 두 손에
훗날 우리 다시 만날 때
사랑 가득한 그 곳에서
See You"
21,"고영배, 프롬, 루이 (긱스)",산책,"언제든지 따스한 네 손이 난 좋아
많은 것을 담고 있는
그 미소가 난 좋아
많은 걸 못해줘서
넌 미안하단 말 해도
너를 만나고 세상은
다 천국이 됐는걸
조금 더 한 번 더
뭔가 주고 싶은 내 맘 달리
오늘도 이 어두운 거릴
어제처럼 함께 걷는 일 밖에 못해
말로는 다 못해
나의 사랑이 어떤 건지
가볍게 말로만 앞선 사랑보다
너의 영원한 마음을 원해
우리 곁을 스치는 저 많은 사람들
어디선가 부드러운 음악소리 들려와
이순간 바로 네가
내 곁에 있어서 좋아
너만 있다면 언제든
내 마음은 부자야
조금 더 한 번 더
뭔가 주고 싶은 내 맘 달리
오늘도 이 어두운 거릴
어제처럼 함께 걷는 일 밖에 못해
말로는 다 못해
나의 사랑이 어떤 건지
가볍게 말로만 앞선 사랑보다
너의 영원한 마음을 원해
쓸쓸한 밤공기 따스함이 느껴지고
까만 하늘 별빛들은
쏟아져 내리고 있어
함께한 이 길이 오늘따라
아름답고 지켜봐 우리의 행복을
마음이 예쁜 너
내가 사랑하는 이유인 걸
가난한 내 인생 속에서 무엇보다
너는 최고의 행운이야
사랑해 감사해
항상 내 맘에 쌓인 말들
말하지 않아도 너의 맘 알고 있어
영원히 변하지 않기를 바래
영원히 변하지 않기를 바래"
22,지진석,우리 만나볼래요,"나도 모르게 어느새
그대로 가득 차버린 내 머릿속
나만 이럴까 여전히
아직도 알 수가 없는 그대의 마음
널 처음 봤던 날
어떻게 잊을까
말도 제대로 못했는데
늘 곁에 머물며
지켜준 내게 선물이 되어서
오 햇살이 좋아요
그대를 닮은 모든 것이 전부
따스한 날
눈 감으면
모두 우리로만 새겨놓은
기억이 포근하다면
우리 만나볼래요
그대 모르게 어느새
그대로 가득 채워낸 내 가슴에
두근거리는 떨림이
그대로 전해질까 봐 부끄러워 난
늘 너의 뒤에서
널 지켜보다가
말도 제대로 못했는데
날 알아봐 주고
드디어 내게 선물이 되어서
오 햇살이 좋아요
그대를 닮은 모든 것이 전부
따스한 날
눈 감으면
모두 우리로만 심어놓은
마음이 피어나기를
우리 만나볼래요
많이 어색하고
곁에만 가도 어쩔 줄을 모르고
하고 싶었던 말 반도 못했지만
앞으론 다를 거야
좀 더 다가와 줘요
전해진 그대의 마음
오 햇살이 좋아요
우리를 닮은 모든 것이 전부
따스한 날
눈 감으면
모두 우리로만 새겨놓은
환하게 빛나는 순간
간직하고 싶다면 이제
우리 사랑할래요"
23,나인(NINE9),나의 사랑을 미워하지 말아요,"눈이 부시네요 서러워질 만큼
그대는 오늘도 아름답네요
맘이 서늘해요 그대라는 햇살은
나를 비춰주지 않으니까요
사람들은 그래요 너무 쉽게 말해요
나의 사랑은 완전하지 않다고 말해요
그대를 혼자서 사랑하는 일
사나운 가시 같은 마음을 안고 있는
이런 나를 아나요
남몰래 울어본 적이 있다면
그 순간을 기억한다면 나를
나의 사랑을 미워하지 말아요
나 웃어보아도 말 걸어보아도
그대는 다른 세상에 있네요
하루에 몇 번씩 내 마음을 앓다가
나 혼자서 이별하고 있네요
그대를 혼자서 사랑하는 일
사나운 가시 같은 마음을 안고 있는
이런 나를 아나요
남몰래 울어본 적이 있다면
그 순간을 기억한다면 나를
나의 사랑을 미워하지 말아요
소리 없는 고백들 몰래 했던 이별까지
내겐 이대로 소중한걸요
나만의 사랑이 아름다워서
그대가 알아주지 않아도 괜찮아요
난 후회하지 않아요
사랑에 빠져본 적이 있다면
그 순간이 찬란했다면 나를
나의 사랑을 미워하지 말아요
그대여 날 싫어하지 말아요"
