,가수,제목,가사
0,엠투엠 (M To M),덜 사랑해 좋겠다,"헤어지고 알게 됐어
얼마나 너를 아꼈는지
그게 고스란히 내 손해 같아
처음으로 니가 밉더라
두 번 다시 널 못 본다니
하늘이 난 노래지던데
잊고 살라니 행복 하라니
참 그 말이 쉽구나 너는
덜 사랑해 좋겠다 날 떠나서
그래 어디서든 나보단 잘살겠지
널 생각하다 하루가 지나도 여전히
또 이렇게 또 이렇게 너만 생각해
니 모습 그립고 그리워 더 외로워
또 외롭고 외로워 더 그리워
내일도 나는 아플 텐데
넌 괜찮아 좋겠다
이제 니 소식 못 보겠지
나는 니 친구도 아니라
나를 지우고 새 추억들을
곧 만들어 가겠지 너는
덜 사랑해 좋겠다 날 떠나서
그래 어디서든 나보단 잘살겠지
널 생각하다 하루가 지나도 여전히
또 이렇게 또 이렇게 너만 생각해
니 모습 그립고 그리워 더 외로워
또 외롭고 외로워 더 그리워
내일도 나는 아플 텐데
넌 괜찮아 좋겠다
나만큼은 아니라도 돼
가끔 생각해줄래
널 사랑해 너 없다고
금세 품에 누굴 안지는 못할 거야
혹 홧김에 딴 사람을 만나게 된다면
또 어쩌면 난 어쩌면 너 같을까 봐
내가 덜 마음을 줄까 봐 더 두려워
너 때문에 혼자인 날 안다면
조금은 미안해질 텐데
넌 모르니 좋겠다"
1,미연 ((여자)아이들),My Destiny,"시간이 참 많이 흘렀죠
그대도 나도 많이 변했네요
그대에게 배운 사랑이
늘 그대만 찾게 했는데
나의 앞에 있네요
혹시 그대 내 맘과 같다면
우리 이제 그때처럼 다시 사랑할까요
My destiny 그대 없는 시간들은
숨 쉴 의미조차 없는 날들 뿐이죠
처음 날 바라보던 그 눈빛으로 내 곁에
머무르며 영원히 사랑해요
My destiny
혹시 그대 내 맘과 같다면
우리 이제 그때처럼 다시 사랑할까요
My destiny 그대 없는 시간들은
숨 쉴 의미조차 없는 날들 뿐이죠
처음 날 바라보던 그 눈빛으로 내 곁에
머무르며 영원히 사랑해요
My destiny
시간이 참 많이 흘러도
그댈 향한 내 맘 여전하네요
그대에게 배운 사랑을
그대에게 줄 수 있어서
나는 행복합니다"
2,브라운 아이즈,루아흐,"참 많이 어렸죠
너무 어리석었죠
돌아보면 당신의 수많은
그 눈물이 나를 지켜줬던 거죠
참 많이 울었죠
그댈 원망 했었죠
이젠 알아요
내 곁엔 항상 그대가
함께 한다는 걸
나는 믿어요
귓가를 스치는 바람도
어깨를 적시는 비도 그대임을
참 좋은걸요
이렇게 그대를 느끼죠
많은 시간이 흐른 뒤에
알게 되겠죠
내 모든 시작과 끝은 그대란 걸
약속할게요
언제나 그대 편이 되어주는 것

나는 믿어요
귓가를 스치는 바람도
어깨를 적시는 비도 그대임을
참 좋은걸요
이렇게 그대를 느끼죠
많은 시간이 흐른 뒤에
알게 되겠죠
내 모든 시작과 끝은 그대란 걸
약속할게요
언제나 그대 편이 되어주는 것
나 영원히
잡아주세요
내 손을 잡아주세요
안아주세요
내 맘을 안아주세요"
3,소울스타 (SOULSTAR),300원짜리 커피,"거리거리마다 있는
커피 전문점
길을 가는 사람보다 많어
왠지 이름은
어렵고 괜히 가격은 비싸고
솔직하게 말하자면
맛도 모르지
혹시 내 입맛이
싸구련지
몇 번이나 마셔 봤자
모두 그게 그거 같아
이런 멋없는
얘기들을 꺼내는
내 곁에 있는
너에게 난 오늘도
300원짜리 커피를
손에 들고서
낡은 자판기 앞에서
데이트를 해
정말 미안해 미안해
잘 못해주는데
고마워하는 널 사랑해
하루라도 안 마시면
큰 일 나듯이
다들 손에 들고 있는 커피
많이 마시면 안 좋아
밤이 와도 잠도 못 자
돈이 아까워
주머니가 가벼워
그런 게 아니란
거짓말 해 오늘도
300원짜리 커피를
손에 들고서
낡은 자판기 앞에서
데이트를 해
정말 미안해 미안해
잘 못해주는데
고마워하는 널 사랑해
기다려 봐 나중에
조금만 더 나중에
해 줄게 못 해준 것까지
300원짜리 커피를
손에 들고서
낡은 자판기 앞에서
데이트를 해
정말 미안해 미안해
잘 못해주는데
고마워하는 널 사랑 해
내가 더 고마워 죽겠다
니가 난 이뻐서 죽겠다"
4,SHINee (샤이니),상사병 (Symptoms),"신기한 아니 뭔가 이상한 일이야
혹시 병일지 몰라
온 몸에 힘 쭉 빠진 채
가누지 못해
이 못된 증상
너를 만난 후에 생겼어
까만 밤 나 홀로 남아
네 생각 가득 찬 내 방에
아무 것도 못하고
널 그리며 종일 아파
의밀 알 수 없는 무관심한
네 표정 숨이 숨이 숨이 멈춰
차가운 눈빛에 패인
내 심장 중심 깊숙이 베인 채
이 상처를 못 고치면
죽어버릴지 당장
미쳐버릴지 어찌될지 모르겠어
날 휘감은 너란 병이 깊어 갈수록
더 지쳐 약은 너밖에 없어
갖지 못하면 죽어버릴지
당장 미쳐버릴지
어찌될지 모르겠어
약은 너밖에 없어
못 살 거야 나 널 놓치면
네 이름에 가시가
돋혀 있는 것만 같아 듣게되면
가슴이 찌릿 저려오지
장미의 가실 삼킨 듯
깊숙이 찔린 나의 맘 찔린
내 맘 파랗게 멍든 내 가슴에
손 뻗어 꼭 감싸주고
한번 기회를 주는 척
다가왔다 멀어지는
네 모습에 인형처럼 끌려 다녀도
네 앞에선 숨이 숨이 숨이 멈춰
차가운 눈빛에 패인
내 심장 중심 깊숙이 베인 채
이 상처를 못 고치면 죽어버릴지
당장 미쳐버릴지
어찌될지 모르겠어
날 휘감은 너란 병이 깊어
갈수록 더 지쳐
약은 너밖에 없어
갖지 못하면 죽어버릴지
당장 미쳐버릴지
어찌될지 모르겠어
약은 너밖에 없어
겉잡을 수 없는 열병
진정 시킬 수 없어
터질 듯 널 향하는 심장소리 들려
사막처럼 난 말라 버렸잖아
난 너란 단비가 내리길
차가운 네 눈빛에 패인
내 심장 중심 깊숙이 베인 채
이 상처를 못 고치면 죽어버릴지
당장 미쳐버릴지
어찌될지 모르겠어
날 휘감은
너란 병이 깊어 갈수록
더 지쳐 약은 너밖에 없어
갖지 못하면 죽어버릴지
당장 미쳐버릴지
어찌될지 모르겠어
약은 너밖에 없어
못 살 거야 나 널 놓치면"
5,"지아, 하트비",혼잣말,"잊혀질 만 하면 생각나니까
너의 말투 표정 떠오르니까
네 생각 안 하려 애써도
걸핏하면 네 추억이
나를 또 괴롭혀
오늘은 날 위한 네 잔소리도
사소한 말다툼도 너의 투정도
그리워진다
시간이 더 지나도
내 가슴 찢어져도 너를 못 잊어
내 마음 다쳐도
지워질 만 하면 생각나니까
나만 아껴주던 그런 너니까
이렇게 헤어진 뒤에야
죽도록 다시 보고픈 내 마음
어떻게 해요
오늘은 날 위한 네 잔소리도
사소한 말다툼도 너의 투정도
그리워진다
시간이 더 지나도
내 가슴 찢어져도 너를 못 잊어
내 마음 다쳐도
아직 늦지 않았어
우리 사랑할 시간
제발 다시 돌아와
널 사랑해
눈물로 너에게 소리치는 말
내게 말해줘
사랑한다 그렇게 아껴왔던 말
미친 것처럼 네가 보고 싶어서
이렇게 하루 종일 혼잣말을 해
돌아오라고"
6,"박정현, 송소희",나 가거든,"쓸쓸한 달빛 아래
내 그림자 하나 생기거든
그땐 말해볼까요 이 마음
들어나 주라고
문득 새벽을 알리는
그 바람 하나가 지나거든
그저 한숨 쉬듯 물어 볼까요
난 왜 살고 있는지
나 슬퍼도 살아야 하네
나 슬퍼서 살아야 하네
이 삶이 다하고 나야 알 텐데
내가 이 세상을 다녀간 그 이유
나가고 기억 하는 이
나 슬픔까지도
사랑했다 말해주길
흩어진 노을처럼
내 아픈 기억도 바래지면
그땐 웃어줄까요 이 마음
그리운 옛일로
저기 홀로 선 별 하나
나의 외로움을 아는 건지
차마 날 두고는 떠나지 못해
밤새 그 자리에만
나 슬퍼도 살아야 하네
나 슬퍼서 살아야 하네
이 삶이 다하고 나야 알 텐데
내가 이 세상을 다녀간 그 이유
나가고 기억 하는 이
내 슬픔까지도 사랑하길
나가고 슬퍼하는 이
나 슬픔 속에도
행복했다 믿게 해"
7,박보람,꿈만 같아,"기억나니 익숙해서
더 어색했던 그 순간들
시답잖은 농담마저
진지한 눈으로 바라보던 너
여전히 넌 무심한 듯
솔직한 모습이 난 좋아
아무것도 모르게
날 미소 짓게 만든 유일한 사랑
마치 꿈만 같아
너와 함께라는 게
너라서 특별했던
기억들이 날
하루에도 몇 번이나
어제 일처럼 선명해
이 시간이 영원하길
너와 나
좋았나 봐 이렇게 웃음이나
멈춰지질 않아
수줍게 미소 짓는 너
한발 더 내게 와줘
사랑해도 될까요 나
그 자리에 나 더 다가갈게요
마치 꿈만 같아
너와 함께라는 게
너라서 특별했던
기억들이 날
하루에도 몇 번이나
어제 일처럼 선명해
이 시간이 영원하길
너와 나
나는 믿을 수 없어요
너를 만난 이유를 이제 알 것 같아요
마치 꿈만 같아
나의 모든 순간이
너로 가득 차 있던
그 모든 순간
너라서 나 웃음이나
네게 기대 쉴 수 있게
매 순간 너이길 바래
너와 나"
8,우주소녀,1억개의 별,"꿈결에 들려와 너의 목소리가
참 달콤해서 조금 더 꿈을 꿔
마치 은하수를 걷는 것 같은
눈부신 빛이 감싸준
여기 어둠 속 네 맘이
날 안아주고 있어
마냥 앞만 보며 걸었던
어딘지도 모를
어떤 알 수 없는 어둠에
나 한참 동안 울었던 날에
내게 온 빛이야 나를 밝혀주는 넌
눈부신 밤이야 이젠 두렵지 않아 난
네가 있잖아 내 손을 잡아
항상 내 곁에 있어줘
1억개의 별들이 비춰준
눈부신 밤이야
하늘이 밝아도 난 느낄 수 있어
그 자리에서 날 바라보는 널
항상 날 비춰주는
끊임없이 이어지는 수만 개의 별이
내가 걸어갈 그 길들을
아름답게 만들었어
만약 이게 꿈이라 해도
눈을 뜨면 사라 져도
영원히 내 맘 속에 기억들이
꼭 머물길 바래
내게 온 빛이야 나를 밝혀주는 넌
눈부신 밤이야 이젠 두렵지 않아 난
네가 있잖아 내 손을 잡아
항상 내 곁에 있어줘
1억개의 별들이 비춰줘
내 마음만큼의 별들이 쏟아져
널 그리고 또 그리다
선명해지면 눈을 감아
눈부신 저 별을 닮은 눈빛
혼자라고 생각했던
그 날들마저 넌 비춰주고 있어
기억해 언제나 내 곁에
손을 잡아주며
다정하게 내주던 어깨
말해줄래
언제까지나 날 위해 있어줄래
저 멀리 shining lights
나를 밝혀주는 넌
눈부신 밤이야 이젠 두렵지 않아
네가 있잖아 내 손을 잡아
항상 내 곁에 있어줘
1억개의 별들이 비춰준
눈부신 밤이야"
9,장한별,마음이 별이 되어,"구름에 가려
보이지 않는
흐려진 달빛처럼
눈을 보아도
전혀 알 수 없는
여린 그대 마음
바라보던 하늘에
어둠이 밀려와
고운 네 얼굴도
젖어드는 순간에
두 눈에 맺힌 빛나던 별이
내 가슴에도 떨어지더라
참 아프더라
하염없이 다 무너지던 마음까지도 난
안아주고 싶어
눈에 담긴 슬픔 대신
날 담아 주고파
돌아봐 주기를
부디
매일 보아도
보이지 않던
마음이 별이 되어
나를 비춰도
담지 못할까 봐
두려운 못난 나
바라보던 하늘에
어둠이 밀려와
고운 네 얼굴도
젖어드는 순간에
두 눈에 맺힌 빛나던 별이
내 가슴에도 떨어지더라
참 아프더라
하염없이 다 무너지던 마음까지도 난
안아주고 싶어
눈에 담긴 슬픔 대신
날 담아 주고파
돌아봐 주기를
부디
네 눈에 맺힌 여린 그 마음
다치지 않게 내가 지켜주고파
혼자 남겨진 것 같은 세상 너의 뒤에서
널 안아 줄 거야
따스히 오늘처럼
너를"
