,artist_name,song_name,lyric
0,문형서,Half,"내 맘의 반을 줄게
내 사랑의 반을 전할게
그대 지친 하루 웃게 할게
이제는 내가
그대의 아픔 그대의 짐을
모두 나누고 싶어
나 이제서야 말할 수 있어
널 사랑한다고
눈 앞에 모든 게
한 없이 희미해
걸음을 멈추고서 하늘만 보네
이루지 못한 꿈
눈물이 될 때 마다
늘 소중하게 날 감싸주던
나의 그 단 한 사람
내 맘의 반을 줄게
내 사랑의 반을 전할게
그대 지친 하루 웃게 할게
이제는 내가
그대의 아픔 그대의 짐을
모두 나누고 싶어
나 이제서야 말할 수 있어
널 사랑한다고
늘 가까이 있어
또 벗어나고 싶던
이 철이 없는
이 부족한 날
안아준 단 한 사람
내 맘의 반을 줄게
내 사랑의 반을 전할게
그대 지친 하루 웃게 할게
이제는 내가
그대의 아픔 그대의 짐을
모두 나누고 싶어
나 이제서야 말할 수 있어
내 맘의 반을 줄게
내 사랑의 반을 전할게
그대 지친 하루 웃게 할게
이제는 내가
그대의 아픔 그대의 짐을
모두 나누고 싶어
나 이제서야 말할 수 있어
널 사랑한다고"
1,SE O (세오),다들 그런거야,"음 많이 애썼어 그래
내 뜻대로 모든 게
되지 않는 것만 같지
한심하니
내 자신이
미운 거니
이 세상이
혹시 외롭진 않니
위로가 될지는 모르겠지만
위로가 될 만한 말이
아닐 수도 있지만
다들 그런 거야
괜찮을 거야
두렵다면
괜찮아
지쳤다면
쉬어도 돼
억지로 버티지 않아도 돼
위로가 될지는 모르겠지만
위로가 될 만한 말이
아닐 수도 있지만
다들 그런 거야
괜찮을 거야
괜찮을 거야"
2,위아영 (WeAreYoung),99%,"너는 완벽한 사람
잘하는 것 밖에 없는 걸
근데 내가 보기엔
절대 못할 일이 딱 한 가지 있지
뭘까 안 알려줄래
뭔지 안 알려줄 거야
그게 뭐냐면 말야
나랑 헤어지는 거 말야
그것만 빼고 다 잘한다고
나도 좀 완벽한데
절대 못할 일이 딱 한 가지 있지
뭔지 궁금할 거야
뭐지 답답해질 거야
그게 뭐냐면 말야
너를 집에 보내는 거 말야
그것만 빼고 다 잘한다고
뭘까 궁금할거야
너도 잘 알고 있잖아
그게 뭐냐면 말야
너를 웃게 만드는 거 말야
그 중에 이걸 제일 잘한다고
그 중에 이걸 제일 잘한다고"
3,박경,밤하늘,"밤하늘에 떠 있는 별은
유난히 반짝거려
두 눈처럼 네 입술처럼
나를 설레게 해
beautiful day
이 세상은 또 아름다워
너무 따사로워
햇살처럼 저 여름처럼 눈부셔
오늘도 난 행복해
손을 뻗어서 내 손에 포개 줘
따듯한 온기가 느껴질 때
그땐 내 손을 잡으면 돼
슬며시 두 눈 감으면 돼
Girl something i have to say
I have to say
and i have something to say
something to tell
널 사랑할래 널 안을래
온 세상 듣도록 너에게 나 고백할래
and i have something to say
something to tell
널 외쳐 볼래 나 저 하늘에
너에게 말할게
난 널 사랑해
it's a beautiful day
있잖아 니 뒤에 있는
그림자가 나야
너보다는 더 조금 뒤에 서 있어
언제나 지켜 줄게
조금 다가와
내 품에 안겨 줘
보디가드처럼
지켜 줄게 널
and i have something to say
something to tell
널 사랑할래 널 안을래
온 세상 듣도록 너에게 나 고백할래
and i have something to say
something to tell
널 외쳐 볼래 나 저 하늘에
너에게 말할게
난 널 사랑해
it's a beautiful day
and i have something to say
something to tell
나 미쳐 볼래 꽉 안아 볼래
때로는 사랑에 모든걸 다 걸어 볼래
and i have something to say
something to tell
널 외쳐 볼래 나 저 하늘에
너에게 말할게
난 널 사랑해
it's a beautiful day"
4,"백지영, 장지은",잊지말아요,"우리 서로 사랑했는데
우리 이제 헤어지네요
같은 하늘 다른 곳에 있어도
부디 나를 잊지 말아요
차가운 바람이 손끝에 스치면
들려오는 그대 웃음소리
내 얼굴 비치던 그대 두 눈이
그리워 외로워 울고 또 울어요
입술이 굳어버려서
말하지 못했던 그 말
우리 서로 사랑했는데
우리 이제 헤어지네요
같은 하늘 다른 곳에 있어도
부디 나를 잊지 말아요
눈물이 입을 가려서
말하지 못했던 그 말
우리 서로 사랑했는데
우리 이제 헤어지네요
같은 하늘 다른 곳에 있어도
부디 나를 잊지 말아요
혹시 알고 있나요
뒤돌아서 가슴 치고
그댈 보내주던 그 사람
그 사람이 바로 나예요
그 사람을 사랑해줘요
같은 하늘 다른 곳에 있어도
언젠가는 돌아와 줘요
우리 서로 사랑했는데
우리 이제 헤어지네요
같은 하늘 다른 곳에 있어도
부디 나를 잊지 말아요
잊지 말아요
잊지 말아요
부디 나를 잊지 말아요
부디 나를 잊지 말아요"
5,박화요비,만 19세,"그때 많이 아파서 지금
나 안 울고 다 참을 수 있어
가끔씩 허락된 날에 끝까지
가면 잠깐 동안 어른이
날 울고 웃게 했던 게
사랑 그 사랑에 뭔 나이가 있어
하지만 헤어지는 것엔 연습도 없어
어려도 다 컸다 해도
어릴 때도 사랑을 사랑해 또 사랑해
뜨겁게 다 데어도 울어도 또 사랑해
애를 써도 맘대로 안돼
결국엔 다 내가 해야 돼 널
보고 싶어 입술을 깨무는 그 일
괜찮아질 거라고 거짓말만 늘었어
다 해선 안 될 일과의 전쟁
딱 한 가지 마음이 가는 일
그래서 이별하는 일엔 방법이 없어
그냥 다 다 아프지
눈치 없이 찾아와
그 이별은 꼭 이렇게
멍이 들게 두드려 심장을 내 가슴을
아무래도 안 해야겠어
뻔뻔하게 약속을 해도 늘
그 약속은 깨져버릴 못된 버릇
또 사랑이 날 기다려
눈물도 날 기다려
한 번도 안 했다면 시작도 없다면
세상 누구 하나 없이
방법도 전혀 모르고
사랑하진 않았어
그칠 줄 모를 눈물 덩어리
난 난 몰랐어
어릴 때도 사랑을 사랑해 또 사랑해
뜨겁게 다 데어도 울어도 또 사랑해
애를 써도 맘대로 안돼
결국엔 다 내가 해야 돼 널
보고 싶어 입술을 깨무는 그 일
괜찮아질 거라고 거짓말만 늘었어"
6,헤일,누군가의 당신을 사랑한다는 것,"나는 당신이 빙수를 먹다가도
집에 가다가도
빨래를 널다가도 생각나고
그런데 당신의 그녀는
아무것도 모르는 채
이제야 나에게 오려는 당신을
그대로 사랑하고 있겠지
내가 지금 누굴 걱정하는 거야
길 잃은 내 마음 방향도 못 잡은 채
왔던 길 따라 가야 하나
당신과 그녀든 나와 당신이든
마음 편히 사랑할 수 있을까
시작조차 못했지만
겁이 나
그냥 함께할 순 없을까
나 왜 이리 못 됐지
너무 보고 싶어 안아줬음 싶어
내가 하고 또 내가 듣는 말
왜이런 사랑을 시작했던 거야
길 잃은 내 마음 방향도 못 잡은 채
왔던 길 따라 가야하나
당신과 그녀든 나와 당신이든
마음 편히 사랑할 수 있을까
시작조차 못했지만
하나 뿐인 그대 손 끝에 누군가
내 마음이 미안해 눈물 채로 지운다"
7,엠투엠 (M To M),길어야 일년입니다 (Piano. 나원주),"별일 아니라고 말 했습니다
울먹이려는 그대 때문에
길어봐야 겨우 일 년입니다
운 좋으면 그전에도 잊죠
오늘로 우리는 마지막이죠
이제 스쳐간 사람입니다
좀처럼 고개를 들지 못하고
멈춰 서서 발끝만 보죠
내 걸음이 느려서
그댈 잡지 못 하고
뒷모습 바라만 보고 있는데
내 마음이 느려서
그댈 잊지 못 하고 그만
뒤돌아서 눈물만 훔치죠
길어야 일 년입니다
겨우 일 년입니다
미련해 뵈도 길어야 일 년입니다
하루는 길어 보여도
일 년은 금방입니다
길어봐야 일 년입니다
어차피 우리는 끝났습니다
이미 스쳐간 인연입니다
술 취해 전화도 하면 안 되죠
전화해 우는 것도 안 되죠
내 걸음이 느려서
그댈 잡지 못 하고
뒷모습 바라만 보고 있는데
내 마음이 느려서
그댈 잊지 못 하고 그만
뒤돌아서 눈물만 훔치죠
길어야 일 년입니다
겨우 일 년입니다
미련해 뵈도 길어야
일 년입니다
하루는 길어 보여도
일 년은 금방입니다
길어봐야 일 년이니까
일 년이 지나가도 변하지는 않겠죠
조금 변한거라 말하고
잊었다고 하겠죠
그래야만 그대가 편히 살겠죠
때로는 이런 내가 답답해
너무 답답해만 보여도
길어야 일 년이니까
조금만 시간을 주세요"
8,유승우,사랑해요 (Feat. Lovey),"난 그댈 위한 음악을
만들고 싶어요
그댈 나의 앞에
앉혀 놓고선
사랑해요 사랑해요
하는 그런 달콤한 노래
난 무엇이든 다해 줄
준비가 됐어요
물론 돈이 많은 건 아니에요
다가와요 내게 와요 그대
내 가슴이 뛰고 있어요
사랑해요 사랑해요
사랑하는 내 맘이 전해질까요
I love you 사랑해요 그대
기분 좋은 꿈을 꾸네요
사랑이란 건
내가 더 알면 알수록
한없이 작아지는 것만 같아요
내 모든 걸 주고 싶어
그래도 모자를 때면
어떤 감동을 선물하죠
나는 그댈 위한 음악을
만들고 있어요
이렇게 내 마음을 다 전해요
사랑해요 사랑해요 하며
이 노래에 적어 보아요
나도 그대 위한 사랑을
말하고 싶어요
조금은 서툴지만 이해해요
고마워요 행복해요 우리
예쁜 모습 그려보아요
사랑해요 사랑해요
아 그대가 행복해할까
난 가슴 졸여요
사랑해요 I love you
이 노래가 내 사랑을 다
표현해줄까요
사랑해요 사랑해요 사랑해요
아 그대와 지금 이 순간
너무 행복해요
I love you 사랑해요
이 노래가 우리 사랑을
알게 해주네요"
9,조섭,비야 (悲夜),"창밖에 비가 내려와
내 맘속에도 내려와
주르륵 주르륵
더럽혀진 마음아
상처받은 마음아
빗물아 함께 내 맘을
쓸어가 줄래
주르륵 내 마음 좀 쓸어가 줄래
주르륵 주르륵
내리는 비야 흐르는 비야
내 맘의 눈물을 달래줘
내리는 비야 흐르는 비야
눈가의 눈물을 멈춰줘 제발
방안에 홀로 누웠네
멍하니 창밖을 보니
주르륵 주르륵
상처받은 마음아
지쳐버린 마음아
흐르던 눈물이 베갤 적시는데
주르륵 내 마음 좀 쓸어가 줄래
주르륵 주르륵
내리는 비야 흐르는 비야
내 맘의 눈물을 달래줘
내리는 비야 흐르는 비야
눈가의 눈물을 멈춰줘
홀로 있는 텅 빈 방 안이
너무도 외로워
기타 소리가 내 마음을 울려와
창밖에 비가 갠 후에야
마침내 내 맘이 울다 지쳤네
내리는 비야 흐르는 비야
내 맘의 눈물을 달래줘
내리는 비야 흐르는 비야
눈가의 눈물을 멈춰줘 제발"
