,가수,제목,가사
0,양수경,인연,"먼 옛날 그대가 떠난 때를 난 기억해요
그때는 가슴이 시리도록 아파왔어요
한 동안 길가에 우뚝서서 난 생각했지요
뭔가를 느끼고 말하고 싶었는데
진정 사랑이란 걸 우린 정말 몰랐을까
어렴풋이 잊혀져 간 그대와의 만남이
진정 사랑이란 걸 우린 정말 몰랐을까
어렴풋이 잊혀져 간 그대와의 만남이
어느 길목에서 우연히
우연히 마주쳤을 때
비로소 그것이 인연이란 걸
난 난 알았지요
언제까지나 우리는 돌아서지
않을테요 않을테요
지금은 지금은
마음이 마음이 행복하니까
진정 사랑이란 걸 우린 정말 몰랐을까
어렴풋이 잊혀져 간 그대와의 만남이
진정 사랑이란 걸 우린 정말 몰랐을까
어렴풋이 잊혀져 간 그대와의 만남이
어느 길목에서 우연히
우연히 마주쳤을 때
비로소 그것이 인연이란 걸
난 난 알았지요
언제까지나 우리는 돌아서지
않을테요 않을테요
지금은 지금은
마음이 마음이 행복하니까
지금은 지금은
마음이 마음이 행복하니까"
1,"그네, 초이 (CHOI)","다음 생엔 너로 태어나, 나를 사랑해야지","다음 생이 허락된다면
나 너로 태어나고파
여민 옷깃 안에 가득한 맘
꼭 내가 알아줘야지
다음 생에 너로 태어나
나를 사랑해야지
곱고 고운 말만 가득 담고서
나에게 말해줘야지
시선을 놓지 않고
이름을 불러야지
너에게 불린 내 이름은
그제야 빛을 볼 테지
언젠가 용기 내 건넨 웃음
다음이 있다 하면
누구도 아닌 너로 태어나
그 웃음 받아줘야지
시선을 놓지 않고
이름을 불러야지
나에게 들린 네 음성은
또 나를 웃게 하겠지
언젠가 용기 내 건넨 웃음
다음이 있다 하면
누구도 아닌 너로 태어나
그 웃음 받아줘야지
애써도 안될 인연이라서
다음이 없다 해도
그렇다 하여도 여전히 널
심히 사랑하겠지
또 오래 사랑하겠지
더 깊이 사랑하겠지"
2,여은,있을 때 잘 할걸,"잘 지내니
난 아직도 잘 못 지내
밥도 잘 못 먹고 잠도 잘못 자곤 해
조금 우습지
그렇게 센척했던 난
고작 이 정도야 우리 이별 앞에 선
날카로운 말들로 상처만 남기고
괜한 자존심만 세웠던
내가 너무 후회돼
있을 때 잘할걸
더 많이 사랑해 줄걸
그땐 왜 그리도 다투고
투정만 했을까
나쁜 여자라서
이렇게 벌을 받나 봐
네가 너무 보고 싶은데
볼 수 없다는 사실이 아파
당연한 줄 알았던 너라는 존재가
얼마만큼 내게 소중했는지
그땐 몰랐어
있을 때 잘할걸
더 많이 사랑해 줄걸
그땐 왜 그리도 다투고
투정만 했을까
나쁜 여자라서
이렇게 벌을 받나 봐
네가 너무 보고 싶은데
볼 수 없다는 사실이 아파
이렇게 아파할 줄 알았더라면
사랑한다고 가지 말라고
끝까지 널 붙잡았을 텐데
사랑을 받고도
사랑인 줄도 몰랐어
이제서야 알게 됐는데
내 곁에 넌 없어
네가 떠난 뒤로
못해준 것만 생각나
네가 너무 보고 싶은데
볼 수 없다는 사실이 아파"
3,SG 워너비,세글자 (With M To M) (Live ver.),"하루 단 하루라도 좋겠어
널 잊고 살 수만 있다면
쉴 새 없는 눈물을 잠근채
나의 그리움을 꺼둔채
한 번 꼭 한 번이면 될텐데
난 참 그 말이 어려웠어
너만 보면 자꾸 바보가 돼
그림자 뒤로 숨게만 돼
내게는 이 세상 젤 슬픈 세글자
차마 너를 향해 줄 수 없던 세글자
매일 내 가슴에 눈물로 썼다가
다시 한숨으로 지우는 말
나 혼자 말하고 나 혼자 듣는 말
끝내 너의 곁엔 닿지도 못할 외로운 말
사랑해 그 세글자가 늘 나를 아프게 해
이젠 제발 좀 그만 하자고
다신 아파하지 말자고
시간으로 덮고 또 덮어도
널 가리지는 못하나봐
내게는 이 세상 젤 슬픈 세글자
차마 너를 향해 줄 수 없던 세글자
매일 내 가슴에 눈물로 썼다가
다시 한숨으로 지우는 말
나 혼자 말하고 나 혼자 듣는 말
끝내 너의 곁엔 닿지도 못할 외로운 말
사랑해 그 세글자가 늘 나를 아프게 해
내 마음 하늘 위에 쓸까
바람에게 말할까
그럼 니가 볼까 너의 곁에 전해질까
어쩌면 이 세상 젤 흔한 세글자
내겐 이렇게도 힘에 겨운 세글자
울음 부터 나서 목이 메어 와서
꺼내기도 전에 되담는 말
천 번도 만 번도 더 삼킨 한마디
아마 평생 가도 못다할 짧은 그 한마디
사랑해 그 세글자에 또 이렇게 눈물만"
4,서기,오늘,"상쾌한 이 느낌
이른 아침 공기 맛이
좀 달라
머리부터 발 끝까지
안 꾸민듯 다 꾸민 스타일링
완벽해
고백해도 될 것같아
딱 오늘인 것만 같아
솔직히 말하면
사실 나아아안 말야
널 좋아아한단 말야
다 알면서 또 모른척 하지마
혹시나아아 말야
네 맘 나와 다른거라면
오늘은 참아줘
완벽한 하루가 될 수 있게
어색한 침묵에
요란한 내 심장 소리
좀 떨려
tik tak tik tak 시간이 순간 순간 천천히
왜 자꾸
느려져
오 숨이 막힐 것 같아
장난인 척 그냥 넘어갈까
다시 말해볼까
정말 나아아안 말야
널 좋아아한단 말야
다 알면서 모른척 하지마
혹시나아아 말야
네 맘 나와 다른거라면
오늘은 참아줘
완벽한 하루가 될 수 있게
벅차오른 순간 감정 으로
너와 나 사이
끊어지면 어떡해
혹시 내 맘을 알아준다면
오늘이 더 완벽할텐데
니가 아니면 말야
싫다아아안 말야
다 알면서 또 모른척 하지마
하지마아안 말야
네 맘 나와 다른거라면
오늘은 참아줘
완벽한 하루가 될 수 있게"
5,"신효범, 유회승 (엔플라잉)",미안해요,"그대는 나만의 연인이여
보고 또 보고 싶은 나만의 사랑

그대는 나만의 등불이여
어둡고 험한 세상 밝게 비춰주네요

그대여 지금껏 그 흔한 옷 한 벌 못 해주고
어느새 거칠은 손 한 번 잡아주지 못했던
무심한 나를 용서할 수 있나요
미안해요

이 못난 날 만나
얼마나 맘고생 많았는지
그 고왔던 얼굴이
많이도 변했어요 내 맘이 아파요

그대는 나만의 연인이여
아직도 못다 한 말
그대를 사랑해요


그대의 생일날 따뜻한 밥 한 번 못 사주고
그대가 좋아한 장미꽃 한 송이조차
건네지 못했던 나를 용서할 수 있나요
미안해요

사는 게 힘들어 모든 걸 버리고 싶었지만
그대의 뜨거운 눈물이 맘에 걸려
지금껏 살아요 미안해요 미안해요


그대 / 그대
미안해요
그대를 사랑해요

그대는 / 그대는
나만의 연인이여
나만의 등불이여

아직도 못다 한 말
그대를 사랑해요
그대를 / 그대를"
6,조소정,안부 (letter),"잘 지내셨나요
그랬길 바라요
당신의 새벽이 고요하길
기도했어요
볕이 잘 드는
창가에 놓아둔
당신이 두고 간
화분에는
자라지 않는
마음 하나
봄 마음 여행 믿음
철 지난 글자를 실어 보내요
늘 그리운 나의 사랑 그대여
전하지 못했던 안부 위에
계절이 쌓여요
봄 마음 여행 믿음
철 지난 글자를 실어 보내요
늘 그리운 나의 사랑 그대여
전하지 못했던 안부 위에
계절이 쌓여요"
7,프리티브라운,봄바람을 좋아했었잖아요,"휘 불어오는 바람
봄이라 내 맘이
설레이나요 음
후 불어주지 못했던
그대의 상처는
맘에 걸려요
잘 지내 나는 이젠 괜찮나 봐요
봄바람에 살짝 웃기도 하죠
잘 지냈나요 날이 너무 좋아요
봄바람을 좋아했었잖아요
후 봄바람이 부네요
휘 불어오는 바람
누구의 따뜻한 마음 같네요 음
호 불어주던 라떼는
누구의 생각을 하게 하네요
잘 지내 나는 이젠 괜찮나 봐요
봄바람에 살짝 웃기도 하죠
잘 지냈나요 날이 너무 좋아요
봄바람을 좋아했었잖아요
다 피어나지 못하고
아직은 아물지도 못했죠
바래지고 바래지면
따뜻하게 호 불어주듯
계절을 핑계로
다시 오세요
잘 지내줘요
아무렇지 않은 듯
봄바람에 살짝 웃어주세요
오늘따라 더 날이 너무 좋아요
봄바람을 좋아했었잖아요
후 봄바람을 불어주세요
그대가 또 불어요"
8,유현국,꼬마별,"까만 하늘 끝
바라본 별 하나
서늘한 바람에 취해
문득 그대에게
건네본 수줍은 고백
그대여 나의 하늘이 되어주오
나는 그대 별이 되어 주겠소
캄캄한 밤 밝게 비춰 주겠소
수많은 별들 중 하나일지라도
영원히 그대를 비추겠소
나는 그대 별이 되어 주겠소
캄캄한 밤 밝게 비춰 주겠소
수많은 별들 중 하나일지라도
영원히 그대를 비추겠소
영원히
영원히
그댈 비추겠소"
9,투 로맨스,기억이 부르는 날엔,"기억의 조각이 가슴에 메이고
흐려진 두 눈에 눈물만 고였어
떨리던 입술이 네게 말해
그 이유가 그 이유가
스치는 바람에 남겨진 미련에
아픈 그 이름만 불러도 보지만
넌 이미 내 곁에
넌 이미 내 곁에
없다는 걸 없다는 걸
하지만 기억이 부르는 날엔
스쳐간 슬픈 영화처럼
아련한 마음 한 켠에는 남겠지
차갑게 돌아선
너의 뒷모습에 흘린 눈물은
언젠가 돌아올
널 향한 바램이야
난 잊을 수 없는데
널 지울 수 없는데
내 모자란 사랑만 아픈 가슴
가득 남아 버렸어
내게 이럴 수는 없는 거라고
내게 이럴 수는 없는 거라고
난 소리쳐 불러도
난 소리내 울어도
안타까운 내 마음만
초라하게 남아버렸어
내게 이럴 수는 없는 거라고
정말 이럴 수는 없는 거라고
돌아와줘

널 잊을 수 없어서
난 지울 수 없어서
내 못다한 사랑만 아픈 가슴
가득 안고 사는데
내게 이럴 수는 없는 거라고
내게 이럴 수는 없는 거라고
난 소리쳐 불러도
난 소리내 울어도
안타까운 내 마음만
초라하게 남아버렸지만
너의 기억속에 머문 그 날에
너의 기억이 부르는 그 날에
돌아와줘"
