,artist_name,song_name,lyric
0,SUPER JUNIOR-D&E,Sweater & Jeans,"흑백영화에서 코너를 돌아
나온 듯한 그녀
Excuse me
I'm a little lost
그 차는 마치 Classic 1957
여긴 화려한 Hollywood
눈앞에서 Marilyn을 만난 듯
너의 손목을 잡아
이대로 너와 어디라도 좋은 나
꿈이라도 좋은 나
Ah Ah 사랑이 시작되나
Ah Ah Okay
넌 화보 같은 Lifetime
그 속에서 Say hello
널 따라다닌 단어는 Beautiful
드디어 찾은 나의 신데렐라
손등 위 Kissin’
수많은 낮과 또 그보다 더 많은 밤
그 시간 속에 묻어난 편안함
My God She's 어제보다 예쁜
너는 내 Vintage Sweater And Jeans
너는 내 Vintage Sweater And Jeans
언제나 내 몸에 입혀진
나만의 Vintage Sweater And Jeans
날 취하게 했던 와인 느낌의 Perfume
별 쏟아지던 밤 선명했던 입맞춤
모든 게 낡고 또 바래도
그 속에 영원히 빛나줘 Yeah
하나하나 새겨 모든 건 기적
헤어지지 말자 떨어지지 말자
Ah Ah 시간은 우릴 스쳐가
Ah Ah Okay
넌 화보 같은 Lifetime
그 속에서 Say hello
널 따라다닌 단어는 Beautiful
드디어 찾은 나의 신데렐라
손등 위 Kissin’
수많은 낮과 또 그보다 더 많은 밤
그 시간 속에 묻어난 편안함
My God She's 어제보다 예쁜
너는 내 Vintage Sweater And Jeans
너는 내 Vintage Sweater And Jeans
이렇게 내 몸에 맞춰진
나만의 Vintage Sweater And Jeans
Oh Baby 넌 매일 숨 쉬는 사진
날 부드럽게 감싸 안아
우린 마치 한 몸 같아
모든 Scene을 완성하는 너
영원토록 Would you be my world
Be my Marilyn
I'll be your James Dean
내 꿈만 같은 Lifetime
그 속에서 넌 Hello
단둘만 아는 얘기는 비밀로
드디어 찾은 나의 신데렐라
손등 위 Kissin’
눈부신 낮과 또 그보다 더 밝은 밤
그 시간 속에 묻어난 특별함
My God She's 어제보다 예쁜
너는 내 Vintage Sweater And Jeans
너는 내 Vintage Sweater And Jeans
언제나 내 몸에 입혀진
나만의 Vintage Sweater And Jeans
너는 내 Vintage Sweater And Jeans
너는 내 Vintage Sweater And Jeans
이렇게 내 몸에 맞춰진
나만의 Vintage Sweater And Jeans
넌 Vintage Sweater And Jeans"
1,나윤권,나였으면,"늘 바라만 보네요
하루가 지나가고
또 하루가 지나도
그대 숨소리 그대 웃음소리
아직도 나를 흔들죠
또 눈물이 흐르죠
아픈 내 맘 모른 채
그댄 웃고 있네요
바보 같은 나
철없는 못난 나를
한번쯤 그대 돌아봐 줄 수 없는지
알고 있죠 내 바램들은
그대에겐 아무런 의미없단 걸
나였으면 그대 사랑하는 사람
나였으면 수 없이 많은 날을
나 기도해왔죠
푸르른 나무처럼
말없이 빛난 별처럼
또 바라만 보고 있는 나를
그댄 알고 있나요
늘 오늘까지만
혼자 연습해왔던 사랑의 고백들도
슬픈 뒷모습 그저 오늘까지만
이런 내 맘을 모른 채 살아갈 테죠
기다림이 잊혀짐보다
쉽다는 걸 슬프게 잘 알고 있죠
나였으면 그대 사랑하는 사람
나였으면 수 없이 많은 날을
나 기도해왔죠
푸르른 나무처럼
말없이 빛난 별처럼
또 바라만 보고 있는 나를
그댄 알고 있나요
묻고 싶죠 그댄 잘 지내는가요
함께하는 그 사람이
그대에게 잘해주나요
바보 같은 걱정도
부질없단 걸 알지만
눈물 없이 꼭 한번은 말하고 싶었죠
사랑한다고"
2,정미애,아름다운 강산,"하늘은 파랗게 구름은 하얗게
실바람도 불어와 부풀은 내 마음
나뭇잎 푸르게 강물도 푸르게
아름다운 이 곳에
내가 있고 네가 있네
손잡고 가보자 달려보자 저 광야로
우리들 모여서 말해보자 새 희망을
하늘은 파랗게
구름은 하얗게
실바람도 불어와 부풀은 내 마음
우리는 이 땅 위에 우리는 태어나고
아름다운 이곳에
자랑스런 이곳에 살리라
찬란하게 빛나는
붉은 태양이 비추고
파란 물결 넘치는
저 바다와 함께 있네
그 얼마나 좋은가 우리 사는 이곳에
사랑하는 그대와 노래하리
오늘도 너를 만나러 가야지
말해야지 먼 훗날에
너와 나 살고 지고
영원한 이곳에 우리의
새 꿈을 만들어 보고파
봄 여름이 지나면
가을 겨울이 온다네 아름다운 강산
너의 마음은 나의 마음
나의 마음은 너의 마음
너와 나는 한마음 너와 나
우리 영원히 영원히 사랑
영원히 영원히 우리 모두 다
모두 다 끝없이 다정해"
3,별,Remember,"거리엔 또 햇살이
기분좋은 바람이 또 불어와
너에게로 가는 길이 이렇게
설레여와 기쁘게
널 보고 싶었어
여전히 따뜻한 니 미소는
그대로여서 내가 참 고마워 정말
오랫동안 하지 못했던 그말
너를 많이 좋아했다고 아직도
do you remember
우리 처음 만났던 날 그때로
니가 부르면 어디든 네게로
숨이 차도록 뛰어갔었지
니가 있는 곳
i""ll remember
많이 보고 싶었어 너의 모든게
오늘밤 못다한
나의 얘기를 들어줘 my love
너는 모르고 있지
매일 너의 뒤에 서성이던 날
조급해진 내 마음이 망칠까
멀리서 바라보다 또 난 돌아섰지
매일 밤 잠 못 이루던 밤에
니 생각만 하다 하루가 가던 날도
지금와서 생각하면 행복해
니가 옆에 있었으니까 이렇게
do you remember
우리 처음 만났던 날 그때로
니가 부르면 어디든 네게로
숨이 차도록 뛰어갔었지 니가 있는 곳
i""ll remember
많이 보고 싶었어 너의 모든게
오늘밤 못다한
나의 얘기를 들어줘 my love
나의 첫사랑 나의 끝사랑 너야
오직 너뿐야
너를 사랑해 나의 전부인걸
영원토록 you know"
4,김동률,귀향,"난 분명 너를 본 걸까
많은 사람들 흔들리듯 사라져가고
그 어디선가 낯익은 노래
어느샌가 그 시절 그 곳으로
나 돌아가 널 기다리다가
문득 잠에서 깨면
우리 둘은 사랑했었고
오래전에 헤어져
널 이미 다른 세상에 묻기로 했으니
그래 끝없이 흘러가는 세월에 쓸려
그저 뒤돌아 본 채로
떠 밀려왔지만 나의 기쁨이라면
그래도 위안이라면
그 시절은 아름다운 채로
늘 그대로라는 것
얼마 만에 여기 온걸까
지난 세월이 영화처럼 흘러 지나고
그 어디선가 낯익은 향기
어느샌가 그 시절 그곳으로
날 데려가 널 음미하다가
문득 잠에서 깨면
우리 둘은 남이 되었고
그 흔적조차 잃은 채로
하루하루 더디게 때우고 있으니
그래 끝없이 흘러가는 세월에 쓸려
그저 뒤돌아 본채로 떠밀려 왔지만
나의 기쁨이라면 그래도 위안이라면
그 시절은 변함없다는 것
아무렇지 않은 듯
이렇게라도 날 늘 곁에서
지켜주고 있는 기억이라도
내게 남겨줬으니"
5,ROO (루),헤어질걸 알면서도 (Feat. 계범주),"그리운 만큼만 기억해
다시 널 만날 수 없게
미안해 붙잡지 않을게
비라도 내리면 좋겠어
숨죽여 미친듯 울다가
깨끗이 내려놓을 수 있게
잘지내란 그 말은
Don't let me down
Don't let me cry
다 전부 다 거짓말
남은 사랑은 먼지보다 가벼워
For you For you
늘 너만 바라봤는데
너만 사랑했는데
하루하루 너무 달콤했는데
미칠만큼
좋았었나봐 나만 그랬었나봐
바보처럼 또 헤어질걸 알면서도
그 사람 처음본 그날 밤
모든게 멈춘듯했어
어이없지 그럼 안되는데
사라져 버렸음 좋겠어
시계 바늘을 되돌려
전혀 널 모르던 그때로
함께했던 추억은
Don't let me down
Don't let me cry
다 전부 다 거짓말
너란 존재는 공기보단 무거워
For you For you
늘 너만 바라봤는데
너만 사랑했는데
하루하루 너무 달콤했는데
미칠만큼
좋았었나봐 나만 그랬었나봐
바보처럼 또 헤어질걸 알면서도
아직은 낯설어 숨을 쉬듯 아파
어린 여린 내 맘 상처로 가득해
For you For you
늘 너만 바라봤는데
너만 사랑했는데
하루하루 너무 달콤했는데
미칠만큼
좋았었나봐 나만 그랬었나봐
바보처럼 또 헤어질걸 알면서도"
6,반광옥,주말오후,"바쁘게 지냈었어
밀린 잠도 몰아서 잤어
티빌 켜고 못 봤던 것도 다 보고
약속도 잡아보고
혼자 어딜 나가려 해도
어색해서 혼자인 내가
너무 오랜만이어서
누워있고 싶어 너와
계속 쉬고 싶어 그냥
니 자리에 누워봐도
허전함만 더해져 더 그리워
벌써
치우지도 못했어 너의 물건
다시 우리집에 올 거 같아서
혹시라도 어색해 할까봐
그냥 뒀어
어서
안고 있고 싶어 너와
자다 깨고 싶어 그냥
다시 널 끌어안고
너를 집에 다시 데려다 주고
별 일 없이 살고 싶어
니가 있어야 겠어 정말
너없인 안되겠어 혼자
뭘 해도 의미가 없어
같이 웃고 싶어 마주 보면서
너와"
7,박정운,기억에 남는건 너의 젖은 눈동자,"기억에 남는건 너의 젖은 눈동자 너에게 물었지 외로우냐고
비오는 날이면 그렇게도 좋다며 티없이 웃었던 너의 얼굴 생각나
오늘도 이렇게 비는 쏟아지는데 난 무슨 생각 잠겨 있을까
이 세상 모든것이 비에 젖어 가듯이 너의 눈망울도 젖어 가겠지

그냥 스치듯이 지나버린 작은 만남속에 그 포근함 나 잊을 수 없어
언제나 빗소리가 들려오면 떠오르는 너의 얼굴 아쉬운 기억으로 남겨 두겠어
비오는 날이면 그렇게도 좋다며 티없이 웃었던 너의 얼굴 생각나

오늘도 이렇게 비는 쏟아지는데난 무슨 생각 잠겨 있을까
이세상 모든것이 비에 젖어 가듯이 너의 눈망울도 젖어가겠지

그냥 스치듯이 지나버린 작은 만남속에 그 포근함 나 잊을수 없어 잊을 수 없어
언제나 빗소리가 들려오면 떠오르는 너의 얼굴아쉬운 기억으로 남겨 둘거야"
8,쿨 (COOL),I See You (Acoustic Ver.),"I SEE YOU
눈을 감아도 멀리 있어도
난 알 수 있어
I SEE YOU
내 마음에 눈동자
한 번도 너에게서
눈을 떼지 않아
그건 너무 슬픈 얘기
나는 널 떠나지 않아
보이지 않니 내가
I SEE YOU
슬퍼하지마
OH 나의 사랑
넌 나와 함께 있어 들리지 않니
지금 이 바람 속에
I SEE YOU
눈을 감아도 멀리 있어도
나는 알 수 있어
I SEE YOU
내 마음은 한 번도
널 떠난 적이 없어
사라지지 않아
그건 너무 슬픈 얘기
우린 멀리 있지 않아
보이지 않니 내가
I SEE YOU
슬퍼하지마
OH 나의 사랑
넌 나와 함께 있어 들리지 않니
지금 이 바람 속에
멀고 먼 길을 돌아
더 멀고 긴 시간을 지나 다하여도
저 별이 심장처럼
영원히 꺼지지 않을
이 사랑
I SEE YOU
사랑
I SEE YOU
I SEE YOU
너를 위해서 나 항상 기도해
이 삶이 다하여도
OH MY LOVE FOR YOU
이건 꿈이 아니야
I SEE YOU I SEE YOU
난 너와 함께 있다는 걸
잊지마 I’M WITH YOU
I SEE YOU"
9,"김채란, 코뿔소",괜찮아 보여,"네가 괜찮아 보여
나 좋아하나봐
이젠 네가 없으면 난 허전해
힘이 풀려
이런 맘 넌 느껴져
사랑해 속삭이고 싶은 맘
넌 알고 있는지
Tell me tell me your heart
uh 나 발견 했어 뒤늦게
기다리는 건 내가
아닌 걸 알아챘네
어줍짢은 말들로 널 헷갈리게
하는 것에 대해
난 미안하게 생각해
everyday every night
and good morning
굼뜬 내 일상에
산뜻한 네 숨소리
적막한 이 도시에
너란 존재는 날 웃게 하는 멜로디
yeah 딱 너한테 멈춘 시선
그 후론 다른 일은 모두 뒷전
한마디로 너에게 미쳐 있단 거야
나 너에게 있어 네 사람이고 싶어
난 날 기다린 사람한테 잘해
걱정마 이제 친구들에게 말해
네 남자친구 있다고 uh
그게 나라고 yeah
네가 괜찮아 보여
나 좋아하나봐
이젠 네가 없으면 난 허전해
힘이 풀려
이런 맘 넌 느껴져
사랑해 속삭이고 싶은 맘
넌 알고 있는지
Tell me tell me your heart
You I love U Baby
YOU
yeah 가까이 오지 않아도 돼
그냥 내가 네 옆으로 가면 돼
조금씩 닳아 오르는 분위기
너도 날 원하는 듯한
눈빛을 또 보내지
날 봤을 땐 아무렇지 않은 척
하는 모습에 나 또
괜히 짓궂어
져 널 볼 때 마다 웃음이나
이젠 다른 곳 보지 말고
look at me now
얼마 남지 않은 결과
너와 우리 둘이 사랑
하게 된다는 건
상상이 아닌 현실
이제 두 손을 잡고
이 거리 위를 걷지
이미 내 맘은 구름 위에 떠 있어
가만히 서 있어 다가갈게 먼저
이번엔 여느 때와는 전혀 다른 느낌
숨기려 해도 보이는 간절한 그 눈빛
네가 괜찮아 보여
나 좋아하나봐
이젠 네가 없으면 난 허전해
힘이 풀려
이런 맘 넌 느껴져
사랑해 속삭이고 싶은 맘
넌 알고 있는지
Tell me tell me your heart
You I love U Baby
YOU
내 가슴 속에 살아
모든 걸 주어도 아깝지 않을 걸
어떻게 해
너와 같이 있으면
괜히 들뜨게 돼서
자꾸 미소가 번져
내 가슴이 두근거려
어떠케 나란 사람
이제는 너란 사랑
옆에서 날 바라봐줄래
Tell me tell me your heart
YOU you wanna be my baby
I love you baby"
