,가수,제목,가사
10,김범수,약속,"아직은 아닐거야 넌 행복한지
돌아올 그날은 아직
언제나 사랑은 선택이었지
또 다른 이유로 널 보내고 난 후
내 눈에 흐르던 눈물의 의미를
고개를 저으며 핏물이라고 나를 위로했지
그토록 사랑했던 너를 보낸건
약속을 할수 없는 너의 현실 때문인걸
나에게 사랑은 너 하나 뿐 인데
너는 상처로 나는 눈물로 생을 살아 갈테니
돌아온다는 너의 약속 그것만으로 살수 있어
가슴깊이 묻어둔 사랑 그 이름만으로
아주 늦어도 상관없어 너의 자리를 비워둘게
그때 돌아와 나를 안아줘
가끔은 외로움을 견딜수 없어
늦은밤 술에 취해 널 찾아 헤메이다
아직도 뜨거운 내 깊은 사랑을 부는 바람에
내리는 비에 힘껏 띄워 보내
돌아온다는 너의 약속 그것만으로 살 수 있어
가슴깊이 묻어 둔 사랑 그 이름만으로
아주 늦어도 상관없어 너의 자리를 비워 둘께
그때 돌아와 나를 안아줘
그때까지 준비할게 널 위한 모든걸
니가 다시 내게 돌아와
편히 쉴 수 있게 편히 쉴 수 있도록
돌아온다는 너의 약속 그것만으로 살수있어
가슴깊이 묻어둔 사랑 그 이름만으로 사랑해
아주 늦어도 상관없어 너의 자리를 비워둘게
그때 돌아와 나를 안아줘 사랑해사랑해..."
11,김동률,사랑하지 않으니까요 (with 하림),"연락도 없이 며칠동안 사라졌다가
아무 일도 없었다는 듯
그냥 조금 바빴다며 웃는 건
나를 사랑하지 않으니까요.
둘이 만날 때 자꾸 누굴 부르려 하고
마지못해 대꾸를 하고
딴 생각에 마냥 잠겨 있는 건
나를 사랑하지 않으니까요
늦은 밤중에 보고 싶다 전화 와서
달려나가면 그냥 나의 품에 안겨
한참 울면서 끝내 아무 말이 없다가
참 미안하다고 늘 고맙다는
그건 어쩌면
나를 사랑하지 않으니까요

몇 번씩이나 이유 없이 한숨을 쉬고
어색하게 웃음을 짓고
늘 창문 밖을 바라보고 있는 건
나를 사랑하지 않으니까요
싫어졌냐고 좋아하긴 한거냐고
몰아세울 때 그냥 나의 손을 잡고
한참 울면서 끝내 아무말이 없다가
잘 모르겠다고 왜 이러는지
그건 아마도
나를 사랑하지 않으니까요
이젠 더 이상 나를 사랑하지 않으니까요"
12,하동균,I Wish,"내맘이 보이질 않아요
아니 못본척 하나요
싫어요 거기 있지마요
왜자꾸 눈에 서성거려요
아무리 말해도 모르죠
아니 말할 수 없었죠
얼마나 나 간절히 원하는지
단한번 내 것이 되주길
그대만 바래요 다른건 없죠
내 가슴이 불타버려도 괜찮아
기다린다구요 언제라도 와요
숨가쁜 내맘이 들린다면

또 하루 철없이 웃나요
그새 눈물도 다 잊고
이렇게 바라보고만 있어도
행복한 나는 바보라서
그대만 바래요 다른건 없죠
내 가슴이 다 타버려도 괜찮아
기다린다구요 언제라도 와요
숨가쁜 내맘이 들린다면
멀어지면 안되요
그자리에 있어요
아직 말못한 날 위해

사랑이 될까요 아니 될꺼죠
내가슴이 믿어 의심치 않아요
그대의 한사람 내가 되기 위해
아파도 변하지 않을게요"
13,이수 (엠씨더맥스),기억통증,"단 한 번을 스쳐간 사람을
난 한순간도 잊을 수 없나봐
그 얼굴이 수줍은 목소리가
날 기다리고 있을까
또 전화를 걸어보지만
너무 늦어버린거야
눈물만 흘러
아무 말 못하고 있어
그 짧은 순간도
넌 환하게 웃었잖아
그 웃음이
나를 더 아프게 해
널 지우려 해도
눈물은 기억하나봐
사랑한다고
사랑한다고
사랑한다고 돌아오라고
말하려 해도
한숨이 내 입을 누르고 있어
아무 말 할 수 없어
내 가슴 속엔 아직
너의 웃음 남아
이렇게 힘든데
어떻게 너를 잊겠니
내게 돌아와
다 지울께 모두 다 잊을께
난 그 말밖에
해줄 수 없는데
내 눈물이 빛바랜 눈동자가
널 기다리고 있나봐
나 두 눈을 감아보지만
하루종일 너만 찾아
찾지도 못할 사랑에
울고만 있어
그 짧은 순간도
넌 환하게 웃었잖아
그 웃음이
나를 더 아프게 해
널 지우려 해도
눈물은 기억하나봐
사랑한다고
사랑한다고
사랑한다고 돌아오라고
말하려 해도
한숨이 내 입을 누르고 있어
아무 말 할 수 없어
내 가슴 속엔 아직
너의 웃음 남아
이렇게 힘든데
어떻게 너를 잊겠니
내게 돌아와
아무리 후회해도 눈물 흘려도
너 없는 하루 다를 게 없어
조금씩 지우면
언젠간 잊혀질꺼야
그렇게 다짐을 하지만
참아왔던 마음 같이
쉽진 않아
떠나는 널 보면
흐르는 눈물
미처 준비못한
눈물이 흘러서
사랑한다고 사랑한다고
사랑한다고 사랑한다고
맴도는 그 말
이렇게 떠나는 그댈 보면서
아무 말 할 수 없어
떠나는 몸짓 조차
사랑스런 그대 그대여 가지마
사랑해 차마
이 말을 하지 못했어
사랑한다고
사랑한다고
사랑한다고 말하려 해도
한숨이 내 입을 누르고 있어
아무 말 할 수 없어
내 가슴 속엔 아직
너의 웃음 남아
이렇게 힘든데
어떻게 너를 잊겠니
내게 돌아와"
14,테이,새벽 3시,"가슴 뛰는 소리에 깨보니
어느덧 새벽3시네요
밤새 쏟아낸 그리움이
어둔 밤 보다 진해요
은은한 불을 켜고 불빛에 기대어
그대가 잊혀지길 기다려봐요
시계바늘은 하루를 훌쩍 넘어서
또 어느새 새벽3시네요
사랑하는 사람아
그리운 내 사람아
다른 사랑에 아파 누군가 필요할 때
그 맘 아물 수 있게
내 꿈에서 울어요
내 눈 앞에 살아요
그대 아픈 날 못 견디게 아픈 날
그때 한걸음에 닿을 수 있게

바보에요 어떻게 모르죠
바늘 끝처럼 그댈 향해 있는 날
어딜 보아도 내가 보이지 않나요
이런 내 맘 보이지 않나요
사랑하는 사람아 내 눈 앞에 살아요
그대 아픈 날 못 견디게 아픈 날
그때 한 걸음에 닿을수 있게
사랑해 말하고 싶은데
너무 사랑해 그 말 못해요
내 살 가장 깊은 곳
그대란 뿌릴 잘라내도
자라는 독한 사랑이
매일 그댈 만나요
매일 가슴 아파요
목이 쉬게 불러도 숨이 멎게 울어도
내 맘 알지 못하죠
사랑하는 사람아 내 눈 앞에 살아요
그대 아픈 날 못 견디게 아픈 날
그때 한 걸음에 닿을 수 있게
다친 그댈 안을 수 있게"
15,김종국,먼지가 되어,"바하의 선율에 젖은 날이면
잊었던 기억들이 피어 나네요
바람에 날려간 나의 노래도
휘파람 소리로 돌아 오네요
내 조그만 공간 속에 추억만 쌓이고
까닥 모를 눈물 만이 아른거리네
작은 가슴을 모두 모두 어
시를 써봐도 모자란 당신
먼지가 되어
날아가야지
바람에 날려 당신 곁으로

작은 가슴을 모두 모두 어
시를 써봐도 모자란 당신
먼지가 되어
날아가야지
바람에 날려 당신 곁으로"
16,돈 스파이크,Hello (With 나얼),"이미 알고 있던 것처럼 Hello
아무일도 없는 것처럼 Hello
널 만날 준비를 하고 있어
반갑게 맞아줄 수 있겠니
기다린 널 가진 것처럼 Hello
무거운 날 버린 것처럼 Hello
널 오래 잊고 있었어
바보처럼
오랜만야 날 기억 하겠니
바라던 널 잡은 것처럼
오랜 시간을
그리던 널 만난 것처럼
차가운 날 녹인 것처럼 Hello
니가 와서 정말 다행이야
아무렇지 않은 것처럼
이제와도 되는 것 처럼 Hello
우리 이제 다시 시작이야
정말 고마워 내게 와줘서
그래야만 했던 것처럼
많은 시간을
헤매인 날 즐긴 것처럼
사라진 널 반긴 것처럼 Hello
Hello Hello Hello Hello Hello
이미 알고 있던 것처럼
아무일도 없던 것처럼 Hello
널 만날 준비를 하고 있어
거짓말처럼 다시 여기야"
17,준호 (2PM),너에게 가는 길 (Feat. 택연),"영원히 너를 사랑해 너의 곁으로
가는 길 아무 말 못해도
힘이 되어줄께 내가 지켜줄께
난 널 사랑해
지치고 많이 힘들 땐 언제라도
내게 기대도 돼 영원히 내겐
너뿐인걸
난 언제나 너의 곁에 Forever
with you
사랑해 너에게로 가는 길
고마워 All that I so wanna
give you
I love you 한 줄 두 줄 널
생각해 써내려갈 사랑이란 편지
너를 향한 I Do I Sayah
what can i do널 보면 미치겠어
나는 어떡해도 너밖에 안 보이는데
난 어쩌라고 더욱 크게 부풀어가
너를 향한 사랑이 반지 장미
보다 더욱 화사하고
세상 존재하는 무엇보다 나는
내게 감사해
I love you I need you
I want you
널 생각하면 할수록 두근대는걸
난 너를 원해 널 바래 내게 올래
널 향한 나의 맘 이젠 보여줄께
너와 나 이세상 끝까지 우린
함께해
영원히 너를 사랑해 너의
곁으로 가는 길 아무 말 못해도
힘이 되어줄께 내가 지켜줄께
난 널 사랑해
지치고 많이 힘들땐 언제라도
내게 기대도 돼 영원히 내겐
너뿐인걸
난 언제나 너의 곁에
Forever with you
너무나도 따사로운 햇살 같은
당신은 별빛보다 밝은 빛을
내 곁에서 비추고
얼어붙은 내 가슴을 따뜻이도
녹이죠 그댈 향한 내 마음은
한없이 커져가죠
오늘보다 내일 내일보다 내일이
너로 인해 밝아지는 내인생의 하루는
너무나도 짧기에 서서 눈을 맞춘
그대 앞에 잠들어 지금 너에게로
가는 길
영원히 너만 사랑해 너의 곁으로
가는 길 아무 말 못해도
힘이 되어줄께 내가 지켜줄께
난 널 사랑해
지치고 많이 힘들땐 언제라도
내게 기대도 돼 영원히 내겐
너뿐인걸
난 언제나 너의 곁에
Forever with you
First love 너에게 가는 길"
18,지아,나쁜 소문,"너의 소문을 듣고서 난
그저 할 말을 잃었었지
널 끝까지 믿어보려고 했었던
노력은 한 순간 물거품이 되고
요즘 생각이 복잡하단 말
그 말을 그대로 난 믿었어
딴 사람 생긴 줄 모르고
왜 그랬어 너 그럴 거면서 왜
마음에도 없는 소릴 하며
나를 떠난거니
귀를 막아도 들리는 얘기
하루하루가 지옥 같았어
세상 모두 등 돌린 것처럼 왜 넌
시간 달란 그 뻔한 변명을 난
바보처럼 그냥 믿었던 거야
그게 끝인 줄 모르고 l know I know
이별이란 걸 이제야 알았어
왜 나쁜 소식은 이렇게 빠른지
널 잊는 건 왜 이리 또 느린 건지
니가 내 곁을 떠나간 후에
나는 내 삶을 잃어버렸어
진짜 이별인지 모르고
왜 그랬어 너 그럴 거면서 왜
끝까지 착한 척을 하면서
나를 떠난거니
귀를 막아도 들리는 얘기
하루 하루가 지옥 같았어
세상 모두가 등을 돌렸어
나만 두고 날 비웃어 전부
단 한 순간이라도
단 한 번이라도
내 생각은 못했니
내 소식을 내 사는 얘기를 넌
아무렇지도 않게
무심히 전해들었겠지
나는 아직도 너무 아픈데
여긴 아직도 지옥 같은데
너만 다른 세상 사람처럼 왜 넌
웃고 있어 그 착한 얼굴로 넌
또 다른 누군갈 상처 주겠지
헤어진 게 더 잘 됐어 l know I know
그래 차라리 잘 됐어 l know I know"
19,케이윌,사랑만들기,"사랑을 망설인 이유 알아
지나간 사랑 탓인 걸
내 깊은 마음을 솔직히 말해도
넌 내 맘 믿지 않잖아
떠나간 사랑을 알아
지켜봐 그애와 난 다를 거야
믿어 봐 후회 않을 거야
원한다면 나 완전히
남자다운 사람처럼
너와 나의 짜릿한 그 밤엔
영화 속의 남자처럼
나 하날 니가 가진 걸로
행복할 거야
널 슬프게 했던 다른 사람들과
나는 다를 거야
떨리는 맘으로 고백을 해 봐도
넌 그냥 흘려듣잖아
준비된 사랑인 거야
다시 봐 니 앞에 선 나의 모습
믿어 봐 후회 않을 거야
원한다면 나 완전히
남자다운 사람처럼
너와 나의 짜릿한 그 밤엔
영화 속의 남자처럼
나 하날 니가 가진 걸로
행복할 거야
널 슬프게 했던 다른 사람들과
원한다면 나 완전히
남자다운 사람처럼
너와 나의 짜릿한 그 밤엔
영화 속의 남자처럼
나 하날 니가 가진 걸로
행복할 거야
널 슬프게 널 아프게 널 힘들게
했던 사람관 다를 거야
우울한 땐 니 친구로
실수할 땐 오빠처럼
특별한 날 섹시한 애인이
때론 어린 아이처럼
이별로 끝난 사랑조차
다행인 거야
날 만나기 위한 행운이었다고
꼭 웃게 할 거야"
20,러비 (LOVEY),짐,"기댈 곳 없이 휘청거리다
나도 내가 무거워 주저앉았네
내 사람들을 웃음 짓게 하고
자랑이던 나는
아마 내가 할 수 있는 건
더는 무겁지 않게
시간에 묻어가는 것
나도 언젠가 필요한
사람이겠거니 하고
여전히 무겁기만 한 몸을 뉘인다
오늘의 난
기댈 곳 없이 비틀거리다
나도 내가 싫어져 숨어버렸네
내 사람들을 부담이게 하고
헤매이던 나는
아마 내가 할 수 있는 건
더는 무겁지 않게
시간에 묻어가는 것
나도 언젠가 필요한
사람이겠거니 하고
여전히 무겁기만 한 몸을 뉘인다
오늘의 난"
21,고유진 (플라워),제자리 걸음,"웃는다
어색한듯 고갤 돌리며 또 웃는다
눈을 마주치질 않아
마치 등을 맞댄 듯
왜 다른 곳을 보며 서 있는 걸까
울린다 잊으라는 말로 나를
돌아선다
그저 바라본 너의 뒷모습
한 걸음 한 걸음 조금씩 멀어져
점점 작아지는 너의 그림자
걷다 길을 잃으면
다시 돌아올까봐
난 또 제자리 걸음만
걷는다
이 길의 끝에서
마주하길 기도한다
만날 수 없는 너와 난
마치 해와 달처럼
다가갈 수록 멀리 사라진다
한 걸음 한 걸음 조금씩 멀어져
점점 작아지는 너의 그림자
걷다 길을 잃으면
다시 돌아올까봐
난 또 제자리 걸음만
하루 이틀 작아지는 내 기대가
널 잊어 버릴까 난 두려워
한걸음 한걸음 이렇게 걸어가
잠시 멈춰버린 우리 사이가
다시 하루지나면 너 돌아올까봐
난 또 제자리 걸음만
난 또 제자리 걸음만"
22,Various Artists,담다디,[가사 준비중]
23,바이브,About Me,"Don't worry about me
내 걱정 말아요
Don't worry about me
미안해 말아요
Don't worry about me
아프긴 하지만
날 위로하려 애쓰지 말아요
돌아보지 말고 떠나
나를 잊고 멀리 떠나
Good bye Good bye
Wherever you go Anywhere
I remember you I remember you
Wherever you go I'll be there
기억할게 Always you
사랑할게 Always you
Don't worry about me
내 걱정 말아요
날 위로하려 애쓰지 말아요
Don't worry about me
난 힘들겠지만
돌아오려 애쓰지 말아요
기다리지 말고 떠나
미련 없이 멀리 떠나
Good bye Good bye
Wherever you go Anywhere
I remember you I remember you
Wherever you go I'll be there
기억할게 Always you
사랑할게 Always you
난 아직 사랑해
Don't worry about me
널 아직 기억해
Don't worry about me
그래서 미안해
Don't worry about me
널 놓지 못한 날 용서해
Don't worry about me
내 걱정한 적 없겠지만
Don't worry about me
이젠 나를 잊고 살아
Good bye Good bye
Wherever you go Anywhere
I'll love you I'll love you
Wherever you go I'll be there
기억할게 Always you
사랑할게 Always you
Don't worry about me
날 잊고 살아요
Don't worry about me
애쓰지 말아요"
24,반광옥,살기 위해서,"내가 이렇게도 가슴이 뛰는 건
그대가 내 마음에 다녀 갔었나 봐
우리사랑은 또 스쳐가지만
세상에서 가장 그리운 사람
내가 어느새 그대 이름을 불러
원합니다 내가 살기 위해서
그 사랑이 아파도
기다릴게 여기서
사랑이란 멀리 있어도
언젠간 만날 테니까
니가 없으면 죽을 것 같아서
살기 위해서
왜 이유 없이 눈물이 났는지
그렇게 가슴 아파야 했는지
지금 달려가 꼭 말해주고 싶어
원합니다 내가 살기 위해서
그 사랑이 아파도
기다릴게 여기서
사랑이란 멀리 있어도
언젠간 만날 테니까
니가 없으면 죽을 것 같아서
널 사랑해서
두 번 다신 못 보게 될 까봐
연기처럼 니가 사라질까봐
난 두려워
원합니다 내가 살기 위해서
날 살게 해준 사람
바로 그대입니다
눈물마저 고맙습니다
그대가 준 것이니까
그리움 조차 나는 행복해서
살기 위해서 널 사랑해"
25,로시 (Rothy),꽃은 따라서 (Prod. 로코베리),"저 푸른 하늘 아래서
우리 함께 걸으면 그게 여행일거야
오 아름다워 자연스레 부르는
오래 전 그 노래가 그때를 추억하네
기억하니 언젠가 우리 서로 꼭
같이 오자 했던 곳
꽃은 따라서 피어나
바람에 흩어지는 곳
지금 바로 여기잖아
내 방 안 가득 창문에
들어 오는 햇살에
또 잠을 깨어본다
오 불어오네
기분 좋은 바람이
내 얼굴을 스치네
꿈만 같은 이곳에
기억하니 언젠가 우리 서로 꼭
같이 오자 했던 곳
꽃은 따라서 피어나
바람에 흩어지는 곳
지금 바로 여기잖아
나 나 나 나나나
나 나 나 나 나 나 나"
