,가수,제목,가사
0,XIA (준수),돌고 돌아도,"따스히 드리운 햇살에
너를 그려 본다
스치듯 불어 온 바람에
너를 느껴본다
익숙한 향기에 이끌려 난 지금
어디론가 바람이 멈춘 그 자리에
그 곳에 서있는 너 처음 만난 그 날
운명처럼 그대란 걸 난 알았죠
길고 긴 시간을 돌고 돌아와
그댈 다시 찾은거죠
라랄랄라라라라
랄랄라라라라라
랄랄라라랄랄라라라라
랄랄라라라라라랄랄라
내 앞에 있는 그대 모습
정말 꿈은 아니죠
꽃잎이 비처럼 내려 와
우릴 감싸 주네요
시간이 흘러도
오늘 처럼 행복하길 기도하죠
먼 훗날 다시 긴 잠이 들때도
함께 같은 꿈을 꿔요
새들이 잠들고
고요한 구름 하늘이 낯설때도
어둠은 걷히고 태양은 또 다시
눈부시게 빛나죠
처음 만난 그 날 운명처럼
그대란걸 난 알았죠
길고 긴시간을 돌고돌아와
우린다시만난거죠
Lovely lovely love love
Lovely lovely love love
오늘도 내일도
행복하길 기도하죠
라랄랄라라라라
랄랄라라라라라
랄랄라라랄랄라라라라
랄랄라라라라라랄랄라"
1,태연 (TAEYEON),BYE,"아무 준비도 하지 못한 채
떠나려는 너의 눈앞에 서서
그 어떤 말조차 하지 못해
그저 손만 흔들어
잘 가 손 흔들어 반짝이는
너를 향해
안녕 내 사랑 내 소중한 사람아
햇살처럼 뜨겁게만 날
안아준 그대여
두 눈 가득히 널 보며 안녕
조금 더 널 보며 안녕
부디 행복하길
언제나 그댄 늘 빛이 나는
사람이기를
미소로 안녕 조금 더 힘을
내 이제는 안녕 잘 가
우리 이제
안녕 내 사랑 내 소중한 사람아
햇살처럼 뜨겁게만 날
안아준 그대여
두 눈 가득히 널 보며 안녕
환하게 웃으며 Oh
안녕 잘 가 소중한 사람아
아름답게 반짝이며 날
비춰준 그대여
안녕 내 사랑 널 보며
안녕 조금 더 널 보며 안녕"
2,S.M. THE BALLAD,"좋았던 건, 아팠던 건 (When I Was... When U Were...) (Sung by f (KRYSTAL) & CHEN (EXO))","많은 걸 바란 건 아냐
늘 곁에 있었던 건
너의 말투 미소가 날 웃게
만들었지 언제나
그런 네가 싫지 않았어
그랬니 나는 몰랐어
항상 귀찮은 듯 웃어서
내 눈을 바라봐 진심이니
가끔은 나도 모르게 무뚝뚝한
네가 떠올라
이런 내 맘 설레는
내가 이상해 Woo
한 계절 두 계절 지나
1년이 다 돼가도
잊혀지지가 않는 건
늘 재잘거리던 날 보면서
새어 나온 네 웃음소리
그랬니 나는 몰랐어 언제나
답답해 했잖아
늘 뾰로통한 너 귀여웠지
가끔은 나도 모르게 귓가에
네 목소리 들려
귀를 막아보아도 소용없는걸 Woo
어떻게 지내 내가 먼저 물을게
난 너무 잘 지내
거짓말 마 나 다 알 수는
없겠지만 서로를
난 말야 좋았었어
너와 나 서로 아꼈던
난 말야 아플거야
계절이 수없이 지나가도
그래도 괜찮아
그래도 괜찮아
그래도 괜찮아
그래도 괜찮아
그래도 난 괜찮아"
3,김성규,Alive,"만일 내게 단 한 번의 기적 같은
순간이 있었다면
그건 아마도 널 처음 만난 그때
만일 내게 잊고 싶은
지옥 같은 순간 있었다면
그건 아마도 널 떠나 보낸 그때
아무것도 할 수가 없어
내 모든 공간을 전부 너로
다 채워버려서
조금만 움직여도
난 너에게 부딪혀
조금씩 널 비워내야지
그래 그렇게 지워가야지
입술을 깨물고
다짐을 해봐도
시작조차 못하겠어
만일 내게 꿈보다 더 꿈같았던
순간이 있었다면
그건 아마도 널 처음 만난 그때
만일 내게 죽을 만큼
괴로웠던 순간이 있었다면
그건 아마도 널 떠나 보낸 그때
아무것도 할 수가 없어
내 모든 공간을 전부 너로
다 채워버려서
조금만 움직여도
난 너에게 부딪혀
조금씩 널 비워내야지
그래 그렇게 지워가야지
입술을 깨물고
다짐을 해봐도
시작조차 못하겠어
널 잊고 싶은 건지 아님
바래진 추억으로라도
널 안고 싶은 건지
그것도 아니면
다 거짓말처럼
다시 내게로 돌아올지도
모른다는 그 미련이
돌아온 곳에 내가 없으면
안 된다는 그 착각이
날 집어삼킨 건지
그래 버린 건지
아무것도 할 수가 없어
내 모든 공간을 전부 너로
다 채워버려서
조금만 움직여도
난 너에게 부딪혀
조금씩 널 비워내야지
그래 그렇게 지워가야지
입술을 깨물고
다짐을 해봐도
시작조차 못하겠어
한 걸음도 뗄 수가 없어
이 도시가 온통 전부
너로 다 채워져 있어
내 발길 닿는 곳마다
너의 흔적들이 눈에 밟혀
차라리 그리워해야지
그래 그럴 수밖에 없겠지
내 눈을 가리고 두 귀를 막아도
내겐 네가 보이고
너의 소리가 들려"
4,규현 (KYUHYUN),안녕의 방식 (Ways to Say Goodbye),"비가 온 자리 꽃들이 피고
별이 진 곳엔 햇살 번져도
그대 떠난 자리엔
나의 눈물만으로 넘쳐
살고 싶어서
이렇게 난 기다리는 거죠
이런 말 우스운가요
바보 같지만
마음은 마음대로 안돼요
사랑했어요 겁이 날 만큼
반쯤 미쳐있던 그 울고 웃던 날들을
내가 어떻게 잊나요
잘 있지 마요 어두워져야
반짝이는 걸 볼 수 있듯이
내가 그리워 다시 돌아와야 해요
바람은 온 몸을 던져도 흘러가죠
이별 피할 수 없어서 비틀거리며
그대의 세상 속에 살아요
사랑했어요 겁이 날 만큼
반쯤 미쳐있던 그 울고 웃던 날들을
내가 어떻게 잊나요
잘 있지 마요 어두워져야
반짝이는 걸 볼 수 있듯이
내가 그리워 다시 돌아와야 해요
고마웠어요 가장 빛났던 날들이었죠
내겐 버거운 세상 속에 그대 있어
웃을 수가 있었죠
기억해줘요 부디
지친 그대 마음 기댈 곳 없다면
내게 와 줘요 나는 아직 여기예요"
5,TWICE (트와이스),ONE IN A MILLION,"You gotta know
that you’re one in a million
짜증이 계속되는 날이면
날 찾아와봐요
행복으로 가득한 날에도
나를 찾아와줘요
그대 괴롭히는 모든 것들
그대를 아프고 지치게 하는 것들
다 나에게로 가져와
내게 맡겨봐요 yeah
One in a million
믿어봐요 그댄 특별한걸
One in a million
세상에 단 한 사람 뿐인걸
그대는 masterpiece
있는 그대로도 완벽한걸요
One in a million
믿어요 그댄 특별한걸요
아무 소용없죠 화내고
기분을 망치는 일
생각한대로 풀리지 않을 땐
잠시 take a deep breath
그 누가 뭐래도 흔들리지 말고
큰 소리로 외쳐봐 세상
단 하나뿐인 목소리로 yeah
One in a million
믿어봐요 그댄 특별한걸
One in a million
세상에 단 한 사람 뿐인걸
그대는 masterpiece
있는 그대로도 완벽한걸요
One in a million
믿어요 그댄 특별한걸요
You gotta know
that you’re one in a million
아주 특별한 존재가 되어
살아간다는 게 어떤 의미일까
그 누가 뭐래도 흔들리지 말고
큰 소리로 외쳐봐 세상
단 하나뿐인 목소리로 oh
One in a million
믿어봐요 그댄 특별한걸
One in a million
세상에 단 한 사람 뿐인걸
그대는 masterpiece
있는 그대로도 완벽한걸요
One in a million
믿어요 그댄 특별한걸요
You gotta know
that you’re one in a million
You gotta know
that you’re one in a million
You gotta know
that you’re one in a million
You gotta know
that you’re one in a million
그댄 아주 특별한 걸요
You gotta know
that you’re one in a million"
6,SHINee (샤이니),한마디 (Beautiful Life),"알람이 울리지 않아
오늘도 혼자야
내 옆에 너의 모습
다시 볼 순 없을까
빛나는 날씨와 같던
너의 모습
화창한 얼굴도
오래돼버린 기억
소원 있단 한마디
탁자 위에 놓여진
사진 속의 한 켠엔
너는 웃고 있는데
매일 입을 맞추고
함께 하던 시간도
조금씩 잊혀져
내게 한마디 한마디만
한마디 한마디
화내고 토라져도 좋아
한마디만
돌아갈 수 있다면
뒤돌아 보지 않게
네 손잡아 줄 텐데
제발 한순간만
한마디 한마디 한마디만
한마디 한마디 한마디만
내 무릎을 베고 누워
참 아름답다던
불빛들이 내 머릿속을
떠날 생각이 없는 걸
많은 사람들 속에
네가 제일 빛났고
모두 널 쳐다봤지
붉은 입술에 한 Kiss
따뜻했던 네 손과 발은
떨어지지 않아
내게 한마디 한마디만
한마디 한마디
화내고 토라져도 좋아
한마디만
돌아갈 수 있다면
뒤돌아 보지 않게
네 손잡아 줄 텐데
제발 한순간만
한마디 한마디 한마디만
한마디 한마디 한마디만
바람에 실려온 네 향기가
어루만진 너의 뺨이 너무 차가워
믿을 수 없어 이런 모습으로
또 만나게 됐어
It's a beautiful Beautiful Life
Oh oh It's a beautiful
내게 한마디 한마디만
한마디 한마디
화내고 토라져도 좋아
한마디만
돌아갈 수 있다면
다신 떠나지 않게
다시는
네 손잡아 줄 텐데
제발 한순간만
Beautiful Beautiful Beautiful Life
Beautiful Beautiful Beautiful Life
Beautiful Beautiful Beautiful Life
Beautiful Beautiful Beautiful Life"
7,태연 (TAEYEON),The Magic of Christmas Time,"Tonight while the world
is sleeping
And all of the children
are dreaming
Snowflakes will softly be bringing
The Magic of Christmas Time
Red cotton stockings all lined up
Tinsel and lights on the tree top
Everywhere it’s all around us
The Magic of Christmas Time
Angels on high hear them calling
Wishes like stardust are falling
Hold on hold tight
to The Magic of Christmas Time
Downstairs the fire is swaying
To songs about reindeer
and sleighing
Old holiday records are playing
The Magic of Christmas Time
This time of year brings
laughter and love
When all of the celebration
is done
In our hearts it lives on
It can last all year long
Angels on high hear them calling
Wishes like stardust are falling
Hold on hold tight
to The Magic of Christmas Time
Come and rejoice for the night is
Alive with the spirit of kindness
If you believe you will find it
The Magic of Christmas Time
Yes if you believe
you will find it
The Magic of Christmas Time"
8,Sondia,Maybe,"Maybe your smile
is the only thing
that I want for now
In the end I’m gonna
want something more I know
Just the two of us we walk along
and staring into the eyes
Maybe it’s the only thing
that we need for now
Underneath the moonlight
a full of silvery light
Can you take me there
if it’s okay with you
A part of my mind
whispers to your heart
Now this is the moment to realize
Just say everything
you want from me
I’ll still be here
Just say everything
you want from me
Maybe your smile
is the only thing
that I want for now
In the end I’m gonna
want something more I know
Just the two of us we walk along
and staring into the eyes
Maybe it’s the only thing
that we need for now
Underneath the moonlight
a full of silvery light
Can you take me there
if it’s okay with you
A part of my mind
whispers to your heart
Now this is the moment to realize
Just say everything
you want from me
I’ll stay here always
Just say everything
what you real want for me
Part of my mind
whisper to your heart
Now this is the moment to realize
Just say everything
you want from me
I’ll still be here
Just say everything
you want from me
Just say everything
you want from me"
9,이문세,Solo예찬,"오 또 밤이 찾아와
내 슬픈 눈을 가리고
사랑 찾아 떠나라고 내 등을 밀어
저 산이 저 태양이 나를 보고 웃네
네 사랑 네 젊음은 어데로 갔냐고
저 하늘 저 새들도
나를 보고 비웃네
수많은 연인들은 더 웃네
나도 내가 미워요
내 사랑 찾아 떠나요
내 가슴 채워 줄 그녀
어디쯤 숨어 있나요
제발 손들어 봐요
밤새워 춤춰 줄 그녀
언젠가 내 곁에 나타날거라고
난 믿어 의심치 않아
이젠 나도 지쳐요
내 사랑 찾아 주세요
내 심장 멎게 할 그녀
단 한번 사랑이예요
내게 손짓한다면
저 하늘 저 구름들도
언젠가 내 앞에 무릎 꿇거라고
난 믿어 의심치 않아
나도 내가 미워요
내 짝을 찾아 떠나요
내 인생 책임질 그녀
어디쯤 가고 있나요
제발 손짓해 봐요
밤새워 안아줄 그녀
언젠가 내 곁에 나타날거라고
난 믿어 의심치 않아
내 앞에 나타날거라고
난 믿어 의심치 않아"
