,가수,제목,가사
0,김형섭,사랑해요,"이쯤에서 널 사랑해도 되니
아주 조금의 니품에서
날 남겨두고 떠나간다면
내 맘 아픈거 잘 알잖아

사랑해요 다시 시작해요
힘들게만 했던 그대지만
I love my friend 너 아니면 안돼
우리 사랑은 정해져버린 운명인걸

널 힘들게 한 눈물까지도
이젠 내가 전부 갚을께요
내가 기쁜 건 너의 그 웃음이
지금 날 닮아 있다는 것

사랑해요 다시 시작해요
힘들게만 했던 그대지만
I love my friend 너 아니면 안돼
우리 사랑은 정해져 버린 운명인걸

지금처럼만 사랑해요 다시 시작해요
힘들게만 했던 그대지만
I love my friend 너아니면 안돼
모든 걸 잊고 행복하게만 해줄께

사랑해요 다시 시작해요
힘들게만 했던 그대지만
I love my friend 너 아니면 안돼
우리사랑은 정해져 버린 운명이야 -"
1,조성모,눈물이 나요,"난 눈물이 나요 그대 목소리
아직도 내 귀가 다 잊어 내질 못해서
난 눈물이 나요 그대의 왼손이
익숙한 내 오른손이 안쓰러워

보이나요 눈이 시도록
맘이 닳도록 그립지 않은날 없어
견딜 수 없을 땐 난 미친 듯 달려도 봐요
가슴 찬 슬픔까지 흘려보려고

환하게 웃어본게 언젠지
행복한 날이 있긴 했는지
이젠 기억을 뒤져봐도 생각이 않나
그대가 없던 날에 내가
살기는 했었나요
흘린 눈물만큼 다시 그댈 사랑해요

괜찮나요 그대의 아침
그대의 밤이 나를 찾지나 않나요
그대의 입술과 또 따스한 그대 숨결도
모두 나 없이도 참 잘 지내나요
 
환하게 웃어본 게 언젠지
행복한 날이 있긴 했는지
이젠 기억을 뒤져봐도 생각이 않나
그대가 없던 날에 내가
살기는 했었나요
흘린 눈물만큼 다시
그댈 난 사랑하는데

추억이 같은 우린데
멀어지나요 왜 그대의
눈물은 자꾸 날 지워만 가나요-
왜 늘 미련은 이렇게도 미련한건지
더 많이 사랑한 사람이
벌 받게 되나봐요
오지 않을 그대를 알면서 난 기다려요-

 "
2,숙희,천상 여자 (Feat. PK 헤만),"야 내가 힘들거라고 했잖아
왜 나를 나쁜 사람을 만들어
아무 이유 없어
나 이젠 그냥 니가 싫어
정말 사랑했어 난 너밖에 없어
니가 떠나간 이후로 난 울기만했어
매일 술에 취해 너란 남자
잊으려고 노력했지만
술에 취할수록 니가 더 생각나
나 역시 정말 사랑했어
남들 다 얘기하잖아
너만은 특별하게 해주고 싶었다고
나도 그랬어 그래서 그랬어
아픈거 알면서도
그냥 견디어 주기를 원했어
언젠가는 내가 받은 사랑
돌려줄거니까
이렇게 힘들어도 나
너만은 지켰으니까
알아줄거라 믿었어
알고 있을줄 알았어 이런 날
정말 사랑했어 난 너밖에 없어
니가 떠나간 이후로 난 울기만했어
매일 술에 취해 너란 남자
잊으려고 노력했지만
술에 취할수록 니가 더 생각나
우린 다 끝난거니까
구차해지지 말자
우린 다 끝났으니까
기억하지도 말자
비겁한 술기운으로
연락하지도 말자
유치한 드라마처럼
다시 만나진 말자
내가 시작한 사랑이라서
내가 끝내는거야
헤어질때는 괜찮다더니
지금은 왜 이러는거야
넌 자존심도 없어 제발 그만해
너 자꾸 이럴수록 니가 더 싫어져
남자때문에 사랑때문에
다시는 울지 않을래
너무 아프니까
이렇게 미치게 만드니까 사랑은
너무 보고싶어 미칠것만 같아
너를 잊어야 하는데 그래야 사는데
나도 어쩔 수 없는 여자야
아무리 강한 척 해봐도
사랑에 목메는 그런 여잔가봐
넌 다른 사람의 유치한 얘기에는
미소짓지 못할거야
다른 사람과 입 맞출 때도
넌 날 잊지는 못할거야
누굴 만나도 이만큼
너는 사랑 받지는 못할거야
죽을 만큼 힘들더라도
돌아가지 않을거야"
3,이승철,그런 사람 또 없습니다,"천번이고 다시 태어난데도
그런 사람 또 없을테죠
슬픈 내 삶을 따뜻하게 해준
참 고마운 사람입니다
그런 그댈 위해서
나의 심장쯤이야
얼마든 아파도 좋은데
사랑이란 그 말은 못해도
먼 곳에서 이렇게
바라만 보아도
모든걸 줄 수 있어서
사랑할 수 있어서
난 슬퍼도 행복합니다

나 태어나 처음가슴 떨리는
이런 사랑 또 없을테죠
몰래 감춰둔 오랜 기억속에
단 하나의 사랑입니다
그런 그댈 위해서
아픈 눈물쯤이야
얼마든 참을 수 있는데
사랑이란 그 말은 못해도
먼 곳에서 이렇게 바라만 보아도
모든걸 줄 수 있어서
사랑할 수 있어서
난 슬퍼도 행복합니다
아무것도 바라지 않아도
그대 웃어준다면 난 행복할텐데
사랑은 주는거니까
그저 주는거니까
난 슬퍼도 행복합니다"
4,S.M. THE BALLAD,하루 (A Day Without You) (Sung By 종현 (샤이니) & CHEN (EXO)),"빨리 걸어도 좋아 네게
맞출 필요 없이
날 위한 옷을 사러 가고
너의 사진 대신에 거울
속의 나를 봐
또 너와 반대인 사람 그게
내 조건이 되고
난 네가 싫어했던 내 습관들을
또 다시 꺼내지 네가 싫어하도록
문젠 네가 떠나가고 그 모든
이유가 너란 걸
I can't believe Yes it's true
네가 곁에 없어서 모든 게
너로 끝나버려
벗어나려 할수록 너에게
지배된 하루
친구를 만나도 여자들을
만날 때도
이유는 내 머리 속 너를
비워내려고 딴 생각을 하고
근데 문제는 자꾸만
네 목소리가 듣고 싶어
I can't believe Yes it's true
네가 곁에 없어서 모든 게
너로 끝나버려
벗어나려 할수록 너에게
지배된 하루
너무 오랫동안 익숙한 손길 No
내 손끝에 깊이 베인 네 향기
손을 씻고 향수를 뿌려
벗어나려고 몸부림치고 이젠
넌 다른 너 라고 해
I can't believe Yes it's true
네가 곁에 없어서 모든 게
너로 끝나버려
벗어나려 할수록 너에게
지배된 하루
I can't believe Yes it's true
네가 곁에 없어서 모든 게
너로 끝나버려
벗어나려 할수록 너에게
지배된 하루"
5,빌리어코스티,보통의 겨울,"반가운 인사에
모두 고개를 돌려
넌 여전히 그대로구나
잠시 잊고 있던
익숙한 투정과 변명을
다 받아 주고서
그러지 좀 말자고
굳게 다짐했는데
또 한동안 연락 못 했던
미안한 마음과
반가운 마음들이 서려
우린 여기 남아
잊지 못할 추억들과
다시는 떠올리기 힘든 시절도
한 해가 더해갈수록
그때가 참 좋았더라고
저물어 가는 하루를 아쉬워하며
오늘이 더해진 추억에
고된 날들 우린 버텨 가겠지
기대할 수 없었던
너의 결혼 소식에
축제는 다시 시작되고
어느덧 우리도
어른이 되어버린 걸까
묘한 기분 속에
잊지 못할 추억들과
다시는 떠올리기 힘든 시절들도
한 해가 더 해갈 수록
그때가 참 좋았더라고
저물어 가는 하루를 아쉬워하며
오늘이 더해진 추억에
고된 날들 우린 버텨 가겠지
철없던 시절 함께였던
길고 긴 나날들과
또다시 선명하게 찾아드는
기억 속에
어디를 둘러봐도
환한 너희들의 모습이 보여서
잊지 못할 추억들과
다시는 떠올리기 힘든 시절들도
한 해가 더 해갈 수록
그때가 참 좋았더라고
저물어 가는 하룰 아쉬워하며
오늘이 더해진 추억에
지쳐가는 나를 달래고
고된 내일을 우린 버텨가겠지"
6,"이예준, 지세희",사랑 한 번 쯤은,"웃고있지만 외로웠던 사람
덩그러니 혼자 남은 내가 보여
누굴 만나도 항상 변하는 사랑에
익숙해져버린 매번 아픈 나
끝이 많이 힘들거야 매일 주저앉고
고갤 숙이면 걷는 날도 많겠지
사랑 한 번 쯤은 괜찮을 법 한데
지겹도록 아프기만
또다시 울고만 있어
사랑 한 번 쯤은 좋을 법도 한데
왜 매번 이렇게 아파
내겐 사랑따윈 사치인가봐
니가 지쳐할까 우는 맘을 숨겨
어떡해야 달라질까
이미 상처 받은 니 맘
오래전에 어두워진 마음에
익숙해져버린 가장 아픈 너
끝이 많이 힘들거야 매일 주저앉고
고갤 숙이며 걷는 날도 많겠지
사랑 한 번 쯤은 괜찮을 법 한데
지겹도록 아프기만
또다시 울고만 있어
사랑 한 번 쯤은 좋을 법도 한데
왜 매번 이렇게 아파
사랑따윈 사치인가봐
이렇게 있어줘
미치도록 아파도 니가 있어 살겠지
사랑 하나 갖기가 힘들어
지겹도록 아프기만
또다시 울고만 있어
사랑 한 번 받기가 힘들어
이렇게 아파해
사랑따윈 내겐 없나봐"
7,임연,Lost,"얼마나 지났을까
날 기억 하나요
어지럽게 놓여진
시간 위를 거닐죠
우연이란 순간의
기적을 믿어요
그 안에 웃음들과
아픔들을 끌어안죠
계절들은 바삐지나
풍경들을 바꿔도
기억만은 새겨져서
다시 우릴
나는 알 수 없어요
그대를 마주보면
어느새
난 길을 잃어버리고
긴 꿈에서 깨어나듯
마음이 먹먹해져
그댄 내 눈물로 일렁이죠
우연이란 순간의
기적을 믿어요
그 안에 웃음들과
아픔들을 끌어안죠
계절들은 바삐지나
풍경들을 바꿔도
기억만은 새겨져서
다시 우릴
나는 알 수 없어요
그대를 마주보면
어느새
난 길을 잃어버리고
긴 꿈에서 깨어나듯
마음이 먹먹해져
그댄 내 눈물로 일렁이죠
나는 알 수 없어요
그대를 마주보면
어느새
난 길을 잃어버리고
긴 꿈에서 깨어나듯
마음이 먹먹해져
그댄 내 눈물로 일렁이죠"
8,알라리깡숑,굳이 진부하자면,"친구들이 그래
네 가사는 너무 어려워
그건 나도 알아
진부한 말들을
굳이 하기는 싫었어
그냥 그랬어
뭔가 특별하게 말 하고 싶었어
편지 한 장도 종일 쓰는 걸
사실 특별해서 주저한 걸지도
벌써 진부하다
사랑해 널
사랑해 널
눈을 감아봐
여긴 그때 그 다리야
넌 어딘지 알겠지
눈을 한번 떠봐
여긴 우리의 거리야
자주 커피를 사 마시던
뭔가 특별하던 일들만 우리의
사진첩 속에 둘 순 없는 걸
사실 특별한 건 아 글쎄 그거 있잖아
굳이 진부하자면
사랑해 널
사랑해 널
사랑해 널
사랑해 널"
9,린,알아요,"햇살처럼 눈부시게 다가와
언제나 그렇듯 날 감싸주었죠
그대가 웃어 준다면 나도 웃게 되죠
언제부턴가 그대는 내게 사랑인 거죠
날 기억해 줄래요
혹시 우리가 헤어진다 해도
알아요 나에겐
허락되지 않은 하나가 있죠
가질 수도 없는 사랑
그대인 걸 잘 알아요
알아요 하늘이
세상을 다 준다 해도그대에게
나는 안 되는 걸 나도 알고 있어요
그게 운명이란 걸
우린
나 때문에 아파하진 마요
언제나 그랬듯 날 걱정하겠죠
그대가 힘들어하면 난 죽을 것 같아
언제부턴가 그대는 내게 사랑인 거죠
날 잊지는 말아요
혹시 인연의 끈이 끊어져도
알아요 나에겐
허락되지 않은 하나가 있죠
가질 수도 없는 사랑
그대인 걸 잘 알아요
알아요 하늘이 세상을 다 준다 해도
그대에게 안 된다는 걸
이젠
나 그대의 모든 걸
내 마음에 새겨 둘게요
들려요 나에겐 메아리쳐
돌아온 사랑이죠
혼자서만 하는 사랑
그댄 아마 모르겠죠
보여요 어둠이
내 두 눈을 가려 버려도
그대만은
이런 운명이겠죠
아픈 인연이겠죠
그런 사랑이겠죠
우린"
