,artist_name,song_name,lyric
0,서제이,사랑이 참 어려워서,"우연히 만난 그사람
이젠 나만의 그사람
소중해서 자꾸만 멀어질 것만 같죠
조금씩 내 맘속에는
그대 가득차 버렸는데
자꾸만 겁이 나는가봐요
조금은 힘겹던 사랑에
많이 아파도 봤었는데
매번 같은 자리에 서서
그댈 바라만봐요
사랑이 참 어려워서
그래요 너무 내맘같지 않아서
마음과 다른 내말들이
너무 바보같아 그래요
사랑이 참 어려워서
그래요 누구의 잘못이 아니라
이런 나를 안아주세요
힘겹던 내 하루속에
그대 내곁에 다가왔죠
사랑을 알게 해준 그대죠
조금은 힘겹던 사랑에
많이 아파도 봤었는데
매번 같은 자리에 서서
그댈 바라만봐요
사랑이 참 어려워서
그래요 너무 내맘같지 않아서
마음과 다른 내말들이
너무 바보같아 그래요
사랑이 참 어려워서
그래요 누구의 잘못이 아니라
이런 나를 안아주세요
언제나 내 곁에만 있어줄래요
약속해요 잡은 손 놓지않고 걸어가요
그대에게 사랑을 다 줄게요
이젠 눈물은 없죠
사랑하는데 왜 우리가
서로 아프게만 했었죠
사랑이 참 어려워서
그래요 누구의 잘못이 아니라
이제 우리 아프지말아요"
1,최성욱(ACE),나랑 만나보지 않을래 (will you choose me?),"찬 바람이 스며드는 날엔
따스히 너를 내 품에 안고 거닐고 싶어
작은 너의 손잡고 예쁜 널 내 폰에 담으며
서롤 바라본채로 함께 하고 싶어
주말엔 뭐하니
혹시 피곤하단 이유로 나를
멀리 할까봐 덜컥 또 겁이나
이제는 내가 너의 시간을
가득 채우고싶어
너만 괜찮다면
나랑 만나보지 않을래
니 생각에 나는 어때
너의 퇴근길에는 항상 내가 늘 서있을게
연락 기다리고 있을게
넌 맘 편히 나오면 돼
너 나랑 만나볼래
오랜 시간을 그저 서성이며 친구인 채로
멀리서 너를 지켜봐오던 그런 내가 널
나 아닌 우리란 말로 깊이 새기고싶어
너만 괜찮다면
나랑 만나보지 않을래
니 생각에 나는 어때
너의 퇴근길에는 항상 내가 늘 서있을게
연락 기다리고 있을게
넌 맘 편히 나오면 돼
너 나랑 만나볼래
하루하루 다 너의 기억들만 남아
딴 사람이 널 훔칠까봐 더 못디겠어
지금 어디에 있니 내가 그쪽으로 갈게
10분이면 도착할수 있어
날 받아줄수는 없겠니
너무 조급해서 미안해 떨리는 맘으로
만약 이게 부담이래도 물러서진 않을래
다른 생각은 안해도 돼
더는 친구는 안할래
너 나랑 만나볼래
널 내게 맡겨볼래"
2,김희석,안녕이라고 말하지마,"안녕이라고 말하지마
우린 아직
우린 아직 이별이 뭔지 몰라
소리내지마
우리 사랑이 날아가버려
움직이지마
우리 사랑이 약해지잖아
얘기하지마
우리 사랑을 누가 듣잖아
다가오지마
우리 사랑이 멀어지잖아
안녕이라고 말하지마 나는
너를 보고 있잖아
그러나 자꾸 눈물이 나서
널 볼 수가 없어
안녕이라고 말하지마
우린 아직 이별이 뭔지 몰라
소리내지마
우리 사랑이 날아가버려
움직이지마
우리 사랑이 멀어지잖아
안녕이라고 말하지마 나는
너를 보고 있잖아
그러나 자꾸 눈물이 나서
널 볼 수가 없어
안녕이라고 말하지마
우린 아직 이별이 뭔지 몰라
안녕이라고 말하지마
우린 아직 이별이 뭔지 몰라
안녕이라고 말하지마
우린 아직 이별이 뭔지 몰라"
3,더 라임,사랑하는 나의 한사람,"지쳐있던 나의 하루 속에서
손 잡아주던 그대가
내 곁에서 있어서
하루하루를 살 수 있던 나에요
그대와 나 같이 걸어갔죠
사랑한다는 말론 표현이 안되죠
내 마음을 보여주고 싶은데
사랑하는 나의 한 사람
그대만 바라보면
나도 몰래 눈물이 흐르고
가슴이 벅차와요
나의 곁에 그대 있어서
지쳐있던 나의 하루 속에서
손 잡아주던 그대가
내 곁에서 있어서
하루하루를 살 수 있던 나에요
그대와 나 같이 걸어갔죠
사랑한다는 말론 표현이 안되죠
내 마음을 보여주고 싶은데
사랑하는 나의 한 사람
그대만 바라보면
나도 몰래 눈물이 흐르고
가슴이 벅차와요
나의 곁에 그대 있어서
서로를 바라보는 지금
더는 바랄 것도 없어
나의 한 사람
사랑하는 나의 한 사람
그대만 바라보면
나도 몰래 눈물이 흐르고
가슴이 벅차와요
나의 곁에 그대 있어서
나의 맘에 오직 한 사람"
4,OMEGA X (오메가엑스),간직해줘(LOVE),"사랑이란 건
내겐 너무 먼 이야기였어
널 만나기 전 느낄 수 없고
뭔지 몰랐어
조금 바보 같지만 woo yeah
사랑한단 건
혼자만의 끌림이 아닌
우릴 감싼 따스한 아침 따스한 아침
you want me and I want you girl
사랑해 사랑해 사랑해 라는
그 말 그 말
설레임에 잠 못 이루었던
너의 목소리로 속삭여줘
같은 하늘 다른 우리 서로에게
별이 돼 비추고 지새우면
너는 나를 찾아와주길 ay oh oh
사랑한 그날
언젠가 우리 마주한 그날
그 밤까지 그 밤까지
너 없음 안될 거 같은데
Please say you won't let go
지금 이대로
Please say you won't let go
사랑한다고
추억 고이 고이 고이
간직해줘
my everything girl
예쁜 별 하나 내 눈에 담아
세상을 보는 거 같애
너와 난 하나가 되고 있는 중
잠깐만 눈을 감고
우릴 느껴봐 it's true
우리 다시 하나가 되는 이 시간
매일 우리 전화 했던 지난밤
각자 일상 속에서 서롤 그렸었던
흰색 도화지를 채워 가고 있네
하루에도 수백 번 네 사진을
그리고 그리다 깊어지면
달콤한 꿈을 꾸죠
사랑한 그날
언젠가 우리 마주한 그날
그 밤까지 그 밤까지
너 없음 안될 거 같은데
Please say you won't let go
지금 이대로
Please say you won't let go
사랑한다고
추억 고이 고이 고이
간직해줘
my everything girl
많은 시련들이 널 괴롭혀도
이거 하나만은 기억해줘요
그댈 아프게 한 시간도
이제 나와 함께면 전부 잊혀지겠죠
Just close your eyes
ay oh oh
너라서 좋다 아파도
그게 너라면 좋다
날 안아줘 날 안아줘
더 세게 끌어안아 줄게
Please say you won't let go
내 손 잡아요
Please say you won't let go
이 손 놓지 마요
추억 고이 고이 고이
간직해줘
my everything yeah yeah yeah"
5,에델 라인클랑 (Edel Reinklang),작은 위로,"밤하늘 어둠의 그 끝
이유가 뭐든 괜찮아 이젠 나와요
누구나 두려워요
그럴 때는 잠시 숨을 고르고 와요
수많은 이유들 중에서
진실은
그대를 위한
작은 위로가 되어 줄 거예요
슬픈 마음 잠든 마음
깊은 그곳으로 눈을 감아요
이젠 알게 될 거예요 당신만의
가장 소중한 것 바꿀 수 없는
단 하나를
이젠 정말 믿게 될 거예요
당신이라는 존재를 믿게 될 거예요
저 멀리 들리던 목소리
세상은
그대를 위한
작은 위로가 되어 줄 거예요
아픔으로 상처받은
마음 그곳으로 잠시 쉬어요
이젠 알게 될 거예요 당신만의
가장 소중한 것 바꿀 수 없는
단 하나를
이젠 정말 믿게 될 거예요
당신이라는 존재를
이젠 알게 될 거예요 당신만의
가장 소중한 것 바꿀 수 없는
단 하나를
이젠 정말 믿게 될 거예요
당신이라는 존재를 믿게 될 거예요
유일한 그댈"
6,최문성,이별 후에,"이별 후에 비로서 알게 되는 것
하루가 너무 길단걸 난 알게 되었어
너와 있는 그때는 하루가 말야
남들보다 빠르게 흐르는 것 같았어
주변을 둘러봐도 이제 넌 없지만
왠지 멀지 않은 곳에 있을 것 같아
여전히 남아있는 너의 잔상들에
내 마음은 휘청거리는데
아직도 난 너를 놓지 못해서
비틀거리는 내 맘을
가눌수가 없었나봐
얼마나 지나야 잊을 수 있나
모든걸 놓친후에야 뒤늦게 더 아파와
한번쯤 우연히 널 스치게 된다면
그땐 가장 좋은 모습으로 널 만나
고맙다 짧은 인사 건낼 수 있다면
난 그걸로 충분할 것 같아
아직도 난 너를 놓지 못해서
비틀거리는 내 맘을
가눌수가 없었나봐
얼마나 지나야 잊을 수 있나
모든걸 놓친후에야 뒤늦게 더 아파와
버틴다고 외면하며 애써보려고 해도
하지만 결국 너를 못잊어 제자리야
조금더 흘러야 나아지겠지
아직은 시린 내 맘에 시간이 필요해
아픔의 상처가 사라질 때 쯤
좋았던 기억만 남아 추억으로 남아줘"
7,어리,백일홍,"달이 사라지는 새벽에 태어나
해가 지는 저녁 무렵에 돌아갔네
무엇을 마음속에 새기고 가는가
물어보니 해 질 녘
하늘이 참 예뻤었네
어둠이 하늘에 가까이 왔을 때
차마 고개를 들어 널 보지 못했다
위로하는 법을 알지 못하여서
조용한 위로 네 웃음소리가 들렸다
백 일 안에 세상의 모든 계절이 있고
그 안에 홀로 지지 않는 네가 있었다
부디 그 미소를 계속 내게 보여주오
저녁노을을 닮은 너의 그
어둠이 내 눈꺼풀 사이 머물고
너처럼 웃을 수 없다 느꼈을 때
내가 아는 모든 색을 담은
하늘이 펼쳐지자
생각할 틈도 없이
피어나길 잘했어"
8,양바다,바다의 일기 (feat.비맞은 구피),"하루하루 익숙한 시간을 살며
점점 비운 인생을 살며 음
거울속에 내 모습 어색 하지만
이젠 자신을 꺼내어 본다
나는 어떤 사람 나는 누굴까
다시 태어날 수 있을까
조각난 기억들이 모여 보석이 되어
세상에 날 환히 비출테니
사랑도 인생도 잊혀진 기억도
이 세상은 어제 같이 흘러 가지만
바람에 날리는 푸르른 들꽃처럼
빛나는 별처럼 다시 난 떠오를테니
어제와 똑같아도 나는 괜찮아
그래도 내일 있을테니 음
삶이란건 여전히 서툴기만해
이젠 자신을 치유해 본다
여긴 어디일까 어디로 갈까
다시 날아 갈 수 있을까
조각난 흔적들이 모여 가슴이 되어
세상에 사랑받는 나 될테니
사랑도 인생도 잊혀진 기억도
이 세상은 어제 같이 흘러 가지만
바람에 날리는 푸르른 들꽃처럼
빛나는 별처럼 다시 난 떠오를테니
사랑도 인생도 잊혀진 기억도
이 세상은 어제 같이 흘러 가지만
바람에 날리는 푸르른 들꽃처럼
빛나는 별처럼 다시 난 떠오를테니"
9,김현지,Flower (Prod.김영민),"언제나 널 기다리다
니가 떠올라
보고싶어져
다시 널 보고싶어도
만날 수 없어
볼 수 없어서
너를 잊어보려해도
잊을수는 없잖아
마지막 너의 한마디
이렇게 쉽게 떠나가는거니
my Flower
너무 보고싶어
너의 향기까지도
너무 그리워서
my Flower
다시 듣고싶어
사랑한다 말하는
너의 목소리가
시간이 지나
잊어갈때쯤
그땐 좋았다고
후회해봐도
널 찾아봐도
우린 끝난걸까
다시 지워보려해도
지울수도없는데
이제는 나에게 다시
사랑한다고 해줄순 없니 Oh
my Flower
너무 보고싶어
너의 향기까지도
너무 그리워서
my Flower
다시 듣고싶어
사랑한다 말하는
너의 목소리가"
