,가수,제목,가사
0,Various Artists,걸음이 느린아이,[가사 준비중]
1,크리스티나,Can You Feel The Love Tonight (Elton John),"There's calm surrender
To the rush of day
When the heat of the rolling wind
Can be turned away
An enchanted moment
And it sees me through
It's enough for this
restless warrior
Just to be with you
can you feel the love tonight
It is where we are
It's enough for this
wide eyed wanderer
That we got this far
And can you feel the love tonight
How it's laid to rest
It's enough to make kings
and vagabonds
Believe the very best
There's a time for everyone
If they only learn
That the twisting kaleidoscope
Move us all in turn
There's rhyme and reason
To the wild out door
When the heart of this
star crossed voyager
Beats in time with yours
And can you feel the love tonight
It is where we are
It's enough for this
wide eyed wanderer
That we got this far
And can you feel the love tonight
How it's laid to rest
It's enough to make kings
and vagabonds
Believe the very best
It's enough to make kings
and vagabonds
Believe the very best"
2,이건율,Part Time Lover (Stevie Wonder),"Call up ring once
hang up the phone
To let me know you made it home
Don't want nothing to be wrong
with part time lover
If she's with me
I'll blink the lights
To let you know
tonight's the night
For me and you
my part time lover
We are undercover passion
on the run
Chasing love up against the sun
We are strangers by day
lovers by night
Knowing it's so wrong
feeling so right
If I'm with friends
and we should meet
Just pass me by don't even speak
Know the word's discreet
when part time lovers
But if there's some emergency
Have a male friend to ask for me
So then she won't peek
its you my part time lover
We are undercover passion
on the run
Chasing love up against the sun
We are strangers by day
lovers by night
Knowing it's so wrong
Feeling so right
I've got something that
I must tell
Last night someone
rang our doorbell
And it was not you
my part time lover
And then a man called our exchange
But didn't want to leave his name
I guess two play the game
Of part time lovers
You and me part time lovers
But she and he part time lovers"
3,김현중,나는 네 남자야,"네 생각 뿐이야
온통 네 생각 뿐이야
너는 왜 내 맘도 모르니
나는 너밖에 모르는 바보
잠시 뿐 일 거라고 스쳐가게 된다고
넌 그렇게 늘 그렇게
진심어린 내 마음 장난처럼 넘겨
시간은 흘러가고
널 향한 내 마음을
들어봐 이젠 네게 고백할게
나는 네 남자야
너 밖에 모르는 남자야
나만 사랑한다 말해줘 해줘
열번을 불러 봐도 사랑스런
나는 네 남자야
I Love You, Love You,
Love You, Baby Woo
나를 바라봐 줄래
나를 믿어봐 줄래
나는 네 남자야
왜 아직도 모르니
왜 여태 그런 눈빛이니
이렇게 떨리는데
이렇게 설레는데
자꾸 너는 웃고 있기만 하니
시간이 흘러가고
커버린 내 마음을
들어봐 지금 네게 말할거야
나는 네 남자야
너밖에 모르는 남자야
나만 사랑한다 말해줘 해줘
열번을 불러 봐도 사랑스런
나는 네 남자야
I Love You, Love You, Love You,
Baby Woo
나를 바라봐 줄래
나를 믿어봐 줄래
Loving You, Loving You,
Loving You
난 너 하나만 Loving You
Loving You
오직 너만 사랑해
너는 내 여자야
영원히 너는 내 여자야
지금 이 순간만 기억해 줘요
천번을 불러봐도 사랑스런 내 사랑아
I Love You, Love You, Love You,
Baby Woo
나만 바라봐 줘요
나만 사랑해 줘요
나는 네 남자야
나만 사랑해 줘요
나랑 결혼해 줘요
나는 네 남자야"
4,김현중,U,"난 마법속에 빠졌나봐
지금 내 안에 너 라는 심장이 뛰어
너 라는 공기를 마셔
Oh 네가 몰래 내 마음 뺐었나봐
바보처럼 난 너만 보면 행복해
이런게 사랑인가봐
드디어 찾은거야
U U U 날 웃게 해 줄 사람
U U U 너만을 아껴줄게
Boo Boo Boo 날 믿어
내 마음은 이대로 변하지 않아
U U U 내 삶에 단 한사람
U U U 너만을 지켜줄게
Boo Boo Boo
약속해 널 위해
난 뭐든지 다 할게
자다가도 웃음이 나
내 눈엔 온통 너로 보여
매일 내 마음속에 햇살이 쏟아져
숨을 쉴 때 마다 나는 행복해져
넌 내가 사는 이유야
내가 가진 전부야
세상 무엇과도 너를
비교 할 수 없는걸
기적보다 더한 선물
드디어 찾은거야
U U U 날 웃게 해 줄 사람
U U U 너만을 아껴줄게
Boo Boo Boo 날 믿어
내 마음은 이대로 변하지 않아
U U U 내 삶에 단 한사람
U U U 너만을 지켜줄게
Boo Boo Boo 약속해 널 위해
난 뭐든지 다 해줄거야
To You Woo Woo
오랫동안 꿈 꿔 왔던
너 라는 걸 이제야 찾은거야
U U U 내 하나 뿐인 사람
U U U 내 사랑을 믿어 줘
Boo Boo Boo
처음부터 난 너만의 남자로
태어났는 걸
U U U 세상 끝난다 해도
U U U 네 곁에 있을거야
Boo Boo Boo 약속해
난 영원히 너만을 사랑해"
5,이바디,Morning Call (Remix Ver.),"괜히 눈 뜨면 오늘도
그대 나에게 남겨둔 그 흔적들
잠에 취한 내 귓가에 들리는
그대의 노랫소리
졸린 두 눈을 비비면
어느새 내게 다가온 그대 향기
같은 아침 같은 하늘 아래서
여전한 얼굴로
너와 함께 들려온 세상의
모든 소리가 내게 남아
이렇게 벅차게 빛나는
사랑이었음을 알죠
아직 게으른 열 두 시
왠지 때늦게 비치는 오후 햇살
달콤하게 내 귓가에 흐르던
그 날의 속삭임
너와 함께 들려온 세상의
모든 소리가 내게 남아
이렇게 벅차게 빛나는
사랑이었음을 이젠
기억하지 않을 먼 발자욱이라도
타는 노을 메아리처럼
내 노래가 널 부르네
너와 함께 들려온 세상의
모든 소리가 내게 남아
이렇게 벅차게 빛나는
사랑이었음을 알죠"
6,신서우,너 정말 예쁘다,"사랑이 찾아온 걸까
너의 하루가 자꾸 궁금해
또 전화를 해볼 까
조금만 참을 까 늘 망설여지는 걸
나도 참 낯설어
좀 무뚝뚝한 나였었는데
어느새 바보처럼
이 말 밖엔 할 줄 몰라
너 정말 예쁘다
달콤한 나의 사랑아
착한 말투도 예쁜 눈웃음도
모두가 내겐 감동이야
너 정말 예쁘다
가슴에 맺힌 한마디
널 사랑해 말하고 싶은데
너만 보면 난 얼어붙고 입술이 멈춰
사랑이란 게 이럴까
아이처럼 난 너만 찾게 돼
다 지우고 지워도 잊으려
애써도 점점 더 커지는 맘
가끔은 이상해
참 똑똑했던 나였었는데
어떡해 바보처럼
이 말밖에 안 떠올라
너 정말 예쁘다
달콤한 나의 사랑아
착한 말투도 예쁜 눈웃음도
모두가 내겐 감동이야
너 정말 예쁘다
가슴에 맺힌 한마디
널 사랑해 말하고 싶은데
너만 보면 난 얼어붙고 입술이 멈춰
멀리 그대가 보인다
내게 웃으며 꿈처럼 온다
숨겨왔던 맘도 준비했던 말도
묻어둔 채 한 마디만
너 정말 예쁘다
달콤한 나의 천국은
오직 너뿐이야 너만이 전부야
날 웃게 하는 단 한 사람
널 정말 사랑해
입 속에 맴도는 그 말
널 사랑해 너무나 사랑해
터질 것 같은 내 마음을 전하고 싶어"
7,서영은,그게 너라서,"후 한숨을 쏟아내듯이
부는 차가운 바람소리가
가슴에 얹혀 소리도 못 지를 만큼
꼭꼭 숨어서 귀를 막아 봐도
축 늘어진 마른 꽃처럼
나의 영혼도 시든 것 같아
숨은 쉬어도 억지 숨은 쉬어도
사랑은 내 가슴에서 죽은 거야
널 보고 싶다고
네가 보고 싶다고
백만 번쯤 소리쳐보면
너에게 들릴까
아파도 그게 너라서
나 아파도 그게 너라서
한사람만 그리고 그립니다
널 데려간 그날 그 때로
다시 돌아갈 수는 없을까
누가 말해줘 제발 누가 말해줘
모든 걸 바쳐서라도 가고 싶어
널 보고 싶다고
네가 보고 싶다고
백만 번쯤 소리쳐보면
너에게 들릴까
아파도 그게 너라서
나 아파도 그게 너라서
한사람만 그리고 그립니다
여기에 내가 있는데
아직 널 기다리는데
너는 나를 잊은 것 같아
널 사랑한다고
내가 사랑한다고
천만 번쯤 소리쳐보면
하늘에 닿을까
아파도 그게 너라서
나 아파도 그게 너라서
한사람만 그리고 그립니다"
8,유키스,SOMEDAY (New Ver.),"때론 hit 때론 miss 그런 거지 뭐
내일은 안 틀리면 돼
고작 실수일 뿐인데
때론 밑 때론 위 때론 Number 1
뭐 1등 해 봤자
내려갈 길밖에 없을 뿐인데
없으면 그냥 없는대로
사는 거지 뭐
가지기 전엔 몰랐던
욕심들 일 뿐인데 oh
지금 너 힘들다는 건
곧 노력했단 증거일 뿐이야
Everybody knows you tried
Everybody knows it's alright
You get some right
you get some wrong
조금 힘들어도 웃는 날이 올꺼야
When you fall down
when you get up
조금 힘들어도 웃는 날이 와
결국 웃는 날이 올꺼야
이별이라면 그냥 그녈 놓아 줘
거짓된 눈물 보여도
인연이 아니겠지 뭐
떠날 사람은 떠나가는 거지 뭐
그래 그 옆에 있어봤자
언젠간 그랬겠지 oh
지금 너 힘들다는 건
곧 사랑했단 증거일 뿐이야
Everybody knows you tried
Everybody knows it's alright
You get some right
you get some wrong
조금 힘들어도 웃는 날이 올꺼야
When you fall down
when you get up
조금 힘들어도 웃는 날이 와
결국 웃는 날이 올꺼야
The past is the past is the past
지난 기억은 이제 그만
It's the past
오랜 시간동안 매일 아프기만 했던
The Past is the past is the past
너를 있게 한 날들인 걸
Everybody wins sometimes
Everybody knows you lose some
You get some right
you get some wrong
조금 힘들어도 웃는 날이 올꺼야
When you fall down
when you get up
조금 힘들어도 웃는 날이 와
결국 웃는 날이 와
결국 웃는 날이 올꺼야"
9,정재욱,지나가네요,"사랑이 지나가네요
내가 이렇게 여기있는데
예전부터 아무도없던것처럼
고개숙인날 지나가네요
기억은 흩어질까요
모른척 그저 떠나버리면
행복했던 우리의 지난얘기들
이제 여기서 끝난거겠죠
한움큼의 눈물로
다시 당신을 볼수있다면
너무 울어 눈이 멀텐데
너무 익숙했던
그대향기 조차 그리워서
이렇게 슬픈 하루를
난 참아가겠죠
이제야 알거같아요
얼마나 내가 바보였는지
비참함에 가늘게떠진 눈으로
이미 지나간 그댈보아요
한 움큼의 눈물로
다시 당신을 볼 수 있다면
너무 울어 눈이 멀텐데
너무 익숙했던
그대 향기조차 그리워서
이렇게 슬픈 하루를 난 참아
늙어 다른이의 사람으로
서롤 보게되면
없던 일 처럼 꿈인듯
지나가 버리겠죠"
