,가수,제목,가사
0,황치열,어찌 잊으오,"누군가 물었소
무얼 그리 찾는지
황량한 이 들판에
찾는 이라도 있소
그댄 본 적 있소
세상이 다 밝아질
어떤 이의 웃음을
나는 본 적 있소
그 누군가의 마음도
어느 누구의 눈물도
모두 씻어내줄
아름다운 미소를
알고 있소
어찌 그댈 잊으오
어찌 그대를 잊소
매일같이 불어오는 바람마다
당신의 이름이 들려오는데
어찌 잊으오
어찌 잊으오
숨을 쉬는 모든 순간에 난 매일
그대 이름 부르리
You are the shine in my whole life
그댄 생각 나오
깊은 밤의 소리들
그대의 노랫소리
내가 웃는 소리
끝없이 행복하던 날
달보다 빛나던 순간
그때의 기억을 메고
하루하루 조금씩
걸어가죠
어찌 그댈 잊으오
어찌 그대를 잊소
매일같이 불어오는 바람마다
당신의 이름이 들려오는데
어찌 잊으오
어찌 잊으오
숨을 쉬는 모든 순간에 난 매일
그대 이름 부르리
바람도 한 점 없는
조용한 이곳에서
그대만이 나직이 부네요
매일같이 불어오는 바람마다
당신의 이름이 들려오는데
어찌 잊으오
어찌 잊으오
숨을 쉬는 모든 순간에 난 매일
그대 이름 부르리
You are the shine in my whole life"
1,초아,Yesterday,"그냥 잡을 걸 그랬어 널
이렇게 후회할 거면
매일매일이 아파
내 맘도 고장 났나 봐
내게 점점 퍼져가잖아 like poison
밀려오는 감정들
전부 내 탓만 같아 어떡해 어떡해
생각해 보니
난 받기만 한 것 같아
바보같이 난
늦게 알아 버렸어
보고 싶다 말하고 싶어 I miss you
이제 너는 없지만
니가 없는 하루가 더 길어 더 길어
하루가 길게 느껴져 너 없이
I wish we were
like yesterday yesterday
아침부터 입 맞추고
눈뜨던 우린 없는걸
Tear Falling down
Falling down now
Down Down Down
한참 멍하니 시계를 쳐다보다가
오늘 하루도 의미 없이 흘러갔어
이게 현실이란 게 안 믿겨 정말
나는 어떡해야 해
네가 없는 하루가 더 아파 더 아파
하루가 길게 느껴져 너 없이
I wish we were
like yesterday yesterday
아침부터 입 맞추고
눈뜨던 우린 없는걸
Tear Falling down
Falling down now
Down Down Down
Falling down Falling down now
Down Down Down
아직 내 안에 네가 남아
네 흔적들이 남아
Tear Falling down
Falling down now
아직 내 안에 네가 남아
네 흔적들이 남아
Tear Falling down
Falling down
You are the one
내 마음속 only one
I wish we were
like yesterday yesterday
아침부터 입 맞추고
눈뜨던 우린 없는걸
Tear Falling down Falling down now
Down Down Down
Falling down Falling down now
Down Down Down
Falling down now"
2,Esther,송애(送愛),"그렇게 힘들었니 나에게
홀로 남겨두고 떠난단 말이
아무런 말없이 창백한 얼굴로
마지막 미소를 보였었니
사랑하는 많은 사람들이
많은 이유로 또 아파하지만
살아가는 동안 널 다신
볼 수 없단것이 나를 아프게 하네
이 시간이 흐르면 괜찮을거라
애써 위로하던 너의 모습
자신보다 날 감싸며 떠나던
너를 이젠 지워야만 하나
할수 없어 나 널 사랑한 만큼
아픔 커지겠지만
너를 위해 나 살아갈수 있어
너 날 사랑했기에 잊어 달라고
말하지만 난 할수 없어

이 시간이 흐르면 괜찮을거라
애써 위로하던 너의 모습
자신보다 날 감싸며 떠나던
너를 이젠 지워야만 하나
할수 없어 나 널 사랑한 만큼
아픔 커지겠지만
너를 위해 나 살아갈수 있어
너 날 사랑했기에 잊어 달라고
말하지만 난 할수 없어"
3,김세정,만에 하나,"긴 꿈을 꾸다
깨어난 걸까
내가 널 알아본 순간
이름도 없던 내 사랑은
시작된 건지도 몰라
널 알기 전 저 하늘도
늘 이렇게 눈부셨던 걸까
만에 하나
우리 사랑이 된다면
만에 하나
너와 시작될 수 있다면
아껴 왔던 마음과
끝을 모를 사랑을
널 위해 쓸 거야
내 모든 순간을 다
너에게
난 너와 보고
또 너와 듣고
너와 숨 쉬는 모든 게
버릴 거 없이 행복해서
네 옆에 멈추고 싶어
널 알기 전 흐릿했던
내 모든 게 기억나질 않아
만에 하나
우리 사랑이 된다면
만에 하나
너와 시작될 수 있다면
아껴 왔던 마음과
끝을 모를 사랑을
널 위해 쓸 거야
내 모든 순간을 다
너에게
기억해 기억해
이곳에 있을게
영원히 영원히
이렇게 네 곁에
단 하루만
내게 허락된다 해도
단 하루만
너와 사랑할 수 있다면
잊지 못할 오늘과
변치 않을 기억들
내가 가진 사랑을 모두 다
널 위해 쓸 거야
마지막 숨까지 다
너에게"
4,제이세라,내 마음 별이되어,"사랑해요 그댈
두번 다시 볼 수 없지만
세상 그 무엇보다 고마운 한 사람
이젠 내가 곁에서
그대만의 별이 되어
그대를 비춰줄게요
my love 그대가 힘이 들 때
따뜻한 말 한마디
하지 못한 내가 후회가 되요
my love 많이 아플 때에도
안아주지 못한 게 자꾸 눈물이 되요
사랑은 그렇게 말없이 떠나가지만
내 맘은 변하지가 않아요
사랑해요 그댈 두번
다시 볼 수 없지만
세상 그 무엇보다 고마운 한 사람
이젠 내가 곁에서
그대만의 별이 되어
그대를 비춰줄게요
my love 그대 보고 싶을 때
너무 보고 싶을 때
그땐 어떻게 하죠
그대가 보던 모든게 다 변해가지만
내 맘은 변하지가 않아요
사랑해요 그댈 두번
다시 볼 수 없지만
세상 그 무엇보다 고마운 한사람
이젠 내가 곁에서
그대만의 별이 되어
그대를 비춰줄게요
비가 내리는 날마다
그대의 눈물일까봐
나도 따라 울었어
들리나요 내 눈물을
지금 듣고 있나요
세월이 지나도 그댈 잊지 않을게
그대의 가슴속에 하나뿐인 별이 되어
그대를 비춰줄게요
사랑해요 그댈 두번
다시 볼 수 없지만
세상 그 무엇보다 고마운 한사람
이젠 내가 곁에서
그대만의 별이 되어
그대를 비춰줄게요
그대의 별이 될게요"
5,"곽진언, 김필",사랑하기 때문에,"처음 느낀 그대 눈빛은
혼자만의 오해였던가요
해맑은 미소로 나를
바보로 만들었소
내곁을 떠나가던 날
가슴에 품었던
분홍빛의 수많은 추억들이
푸르게 바래졌소
어제는 떠난 그대를
잊지 못하는 내가 미웠죠
하지만 이제 깨달아요
그대만의 나였음을
다시 돌아올 그댈 위해
내 모든 것 드릴테요
우리 이대로 영원히
헤어지지 않으리
나 오직 그대만을
사랑하기 때문에
커다란 그대를 향해
작아져만 가는 나이기에
그 무슨 뜻이라 해도
조용히 따르리오
어제는 지난 추억을
잊지 못하는 내가 미웠죠
하지만 이제 깨달아요
그대만의 나였음을
다시 돌아올 그댈 위해
내 모든 것 드릴테요
우리 이대로 영원히
헤어지지 않으리
나 오직 그대만을
사랑하기 때문에
사랑하기 때문에"
6,태연 (TAEYEON),Fine,"찢어진 종잇조각에
담아낸 나의 진심에
선명해져
somethin' bout you
Yeah 나를 많이 닮은 듯 다른
넌 혹시 나와 같을까 지금
괜한 기대를 해
하루 한 달 일 년쯤 되면
서로 다른 일상을 살아가
나는 아니야
쉽지 않을 것 같아
여전하게도 넌 내 하루하루를 채우고
아직은 아니야
바보처럼 되뇌는 나
입가에 맴도는 말을 삼킬 수 없어
It's not fine
Ah Ah Ah Ah It's not fine
머릴 질끈 묶은 채
어지러운 방을 정리해
찾고 있어 somethin' new
가끔 이렇게 감당할 수 없는
뭐라도 해야 할 것만 같은 기분에
괜히 움직이곤 해
하루 한 달 일 년 그쯤이면
웃으며 추억할 거라 했지만
나는 아니야
쉽지 않을 것 같아
여전하게도 넌 내 하루하루를 채우고
아직은 아니야
바보처럼 되뇌는 나
입가에 맴도는 말을 삼킬 수 없어
It's not fine
Ah Ah Ah Ah It's not fine
의미 없는 농담 주고받는 대화
사람들 틈에 난 아무렇지 않아 보여
무딘 척 웃음을 지어 보이며
너란 그늘을 애써 외면해보지만
우리 마지막
그 순간이 자꾸 떠올라
잘 지내란 말이 전부였던 담담한 이별
아직은 아니야
바보처럼 되뇌는 그 말
입가에 맴도는 말을 삼킬 수 없어
It's not fine
Ah Ah Ah It's not fine Oh
Ah Ah Ah It's not fine"
7,청하,그 끝에 그대,"다가서면 멀어지는 저 꿈결처럼
그댄 어디로 가나요
내 맘속에 살고 있는 그대란 사람
오늘도 그리워
사라져가는 저 별빛 사이로
감출 순 없나요
커져버린 마음
love you love you
여기있을게요
더 이상 나 숨지 않을래요
love you love you
그댈 사랑해요
꿈처럼 빛나는 사랑
한걸음씩 다가가요
조금 천천히 그대 향해 갈 거에요
힘들어도 괜찮아요
지금처럼만 볼 수만 있다면
희미해지는 저 달빛 사이로
감추기만 했던 내 마음 말할게요
love you love you
여기있을게요
더 이상 나 숨지 않을래요
love you love you
그댈 사랑해요
꿈처럼 빛나는 사랑
우우우우우우
돌아봐줘요
그대 기다린단 말이에요
우우우우우우
나에게 사랑이라는 말 그 끝에 그대"
8,하동균,처음 그대를 사랑했었던,"누군가를 사랑한다는 건
흐릿해진 기억조차 놓지 않는 것
그 날까지
조금 더 일찍 알았더라면
뒤늦은 아쉬움도 남겨두지
않았을 텐데
수 많은 밤 수 많은 날들이
어제가 내일 이길 바래도
점점 멀어져
그리워 지는 그대 모습을
난 붙잡고 싶죠
저 멀리 떠나가네요
우리의 날들이
부서져 버린 파도처럼 흩어지네요
난 다시 돌아가네요
처음 그대를 사랑했었던
내 시간이 멈춰버렸던 그 날로
긴 바램은
흐려져 가는데
그대 기억들이 짙어져요
모든 순간은
그대라는 세상으로 이렇게
물들었는데
저 멀리 떠나가네요
우리의 날들이
부서져 버린 파도처럼 흩어지네요
난 다시 돌아가네요
처음 그대를 사랑했었던
내 시간이 멈춰버렸던 그 날로
조각난 기억들은
긴 후회로 남아
조금 더 옆에 머물러 함께 있었다면
기억은 반대로
흘러만 가네요
그 날을 향해
저 멀리 떠나가세요
우리의 아픔이
부서져 버린 파도처럼 흩어지도록
난 다시 돌아갈게요
처음 그대를 사랑했었던
내 세상이 멈춰버렸던 그 날로"
9,임영웅,우린 제법 잘 어울려요,"저기 그대가 보이네요
오늘도 같은 시간이죠
언제나 조금 젖은 머리로 날 스쳐가죠
살짝 미소지은 건가요
혹시 날 알아 챈 건가요
아침을 닮은 그대 향기가 날 사로잡죠
난 궁금한 게 많죠
그대 이름 그대의 목소리
온 종일 상상해요 그대 곁에 날
정말 서두르진 않을 거예요
한 걸음 한 걸음씩 그대가 나를 느끼게
사랑을 시작할까요 내일 아침 어쩌면
말할지도 모르죠
우리 한 번 만나 볼래요
물기 어린 나무 사이로
햇살이 부서지는 거리
투명한 그대 얼굴이 왠지 좋아 보여요
기분 좋은 일이 있나요
가벼워 보이는 발걸음
살며시 부는 바람을 타고 난 다가가죠
참 망설였었지만
오늘은 꼭 얘기할래요
눈이 참 예쁘다고 좋아한다고
조금 서투르고 어색하지만
천천히 알아가요 그렇게 시작해봐요
거 봐요 웃을 거면서 내 마음을 알면서
잘 해낼 수 있겠죠
우린 제법 잘 어울려요
정말 서두르진 않을 거예요
한 걸음 한 걸음씩 그대가 나를 느끼게
사랑을 시작할까요 그대 곁엔 언제나
내가 있어줄게요 변치 않을 거예요
우린 제법 잘 어울려요"
