,가수,제목,가사
0,안예은,바람이 불어와도,"내 앞에 다가오는 저 빛은 뭘까
피하려 해보지만 이내 날 감싸네
어느새 익숙해져 마치 피부처럼
내 속에 감기네 가득히 안기네
차디찬 얼음 위를 걸어 가는 것처럼
어쩌면 위태로워 보일 지 몰라도
소중한 한 사람이 내게 파고들어
또 다른 날 꺼내 새롭게 만드네
바람이 불어와도
그 어떤 고난이 다가와도
절대 한 걸음도 물러 서지 않아
폭풍이 내리쳐도
그 누가 날 흔들려 한대도
넘어지지 않아 나에겐 니가 있으니까
볼 수는 있지만 날 만질 순 없어
그 무얼 준다 해도 가질 수는 없어
내 주위의 모든 것이 모두 거짓 같아
또 다른 날 꺼내 새롭게 만들래
바람이 불어와도
그 어떤 고난이 다가와도
절대 한 걸음도 물러 서지 않아
폭풍이 내리쳐도
그 누가 날 흔들려 한대도
넘어지지 않아 나에겐 니가 있으니까"
1,이솔로몬,엄마의 일기,"너그럽게 웃으시는 당신에게서
따뜻한 사랑을 배웠죠
철이 없는 나를 항상 지켜주시는
하늘처럼 커보인 당신
우연히 서랍속에 숨겨둔
당신의 일기를 봤어요
나이가 먹을수록 사는게
자꾸 힘에 겨워지신다고
술에 취한 아버지와 다투시던날
잠드신줄 알았었는데
불이꺼진 부엌에서 나는 봤어요
혼자울고 계신 당신을
알아요 내앞에선 뭐든지
할 수 있는 강한 분인걸
느껴요 하지만 당신도
마음 약한 여자라는걸
알아요 내앞에선 뭐든지
할 수 있는 강한 분인걸
느껴요 하지만 당신도
마음 약한 여자라는걸
나나나나나나 나나나나나나
알아요 당신맘을
모두다 이해해요
믿어요 아름다운
당신을 사랑해요
이세상에 하나뿐인 소중한 당신
당신 모습 닮아갈래요"
2,박연,계절이 바뀔 때쯤 (우연히 봄 X 박연),"하루도 그대를 잊지 못해
내 맘속 깊숙이 머물러서
멀어져 가는 너와의 기억의 조각들
붙잡고만 싶은걸
언제부턴지 나도 잘 모르겠어
네가 보고 싶어서 잠 못 드는 밤이면
괜히 마음이 소란해져 너를 그리다가
그렇게 겨우 잠이 든다
마음이 가는 대로 해도 될까
마지막 내 모습 어땠을까
스치는 바람에 내 소식 전할 수 있다면
소리쳐 외칠 텐데
언제부턴지 나도 잘 모르겠어
네가 보고 싶어서 잠 못 드는 밤이면
괜히 마음이 소란해져 너를 그리다가
그렇게 겨우 잠이 든다
네가 없는 게 상상이 안돼
그저 마음이 움직이는 대로
계절이 바뀔 때쯤 너도 알게 되겠지
꽃이 피면 내 마음도 닿을 거야
언제부턴지 나도 잘 모르겠어
네가 보고 싶어서 잠 못 드는 밤이면
괜히 마음이 소란해져 너를 그리다가
그렇게 겨우 잠이 든다"
3,우일,너무아파,"오늘 넌 또 내 맘에 찾아와
이렇게 나 힘들게만 해
눈물은 내 온몸 흘러내려
자꾸만 널 기억 나게 해
더 이상 볼 수 없는 너
늘 만지던 내 손만 외로워져
맘에 박힌 추억 하날 집어 드네
오늘 넌 또 내 꿈에 찾아와
이렇게 나 떨리게 하네
나를 보며 웃던 그날처럼
환한 미소 지어주는데
꿈에서 깨어나 보면 빈방에 나 홀로
덩그러니 남아 맘이 아파
Can't you hear my love
채울 수 없어 내 맘
너의 빈자리 긴 여행을 떠난
너를 기억해
매일 너를 보고 매일 너를 찾고
네 안엔 내가 있는데
언젠가 너 내게 돌아 오는 날
내 맘 너의 빈자리로 와도
익숙해 편안해
지난 우리 모든 시간들
니가 느끼게
오늘 또 넌 내 눈 에 찾아와
눈 비벼 너 사라져 버려
다시 눈을 감아 너 떠올려
금새 넌 사라져 버리고
널 볼 수 있단 생각에
내 눈은 널 찾아
기억 속에 날 가둬두네
Can't you hear my love
채울 수 없어 내 맘
너의 빈자리 긴 여행을 떠난
너를 기억해
매일 너를 보고 매일 너를 찾고
네 안엔 내가 있는데
언젠가 너 내게 돌아 오는 날
내 맘 너의 빈자리로 와도
익숙해 편안해
지난 우리 모든 시간들
니가 느끼게
여기 나 남겨둔 니가
왜 이리 미워지는지
떠나가 버린 잊을 수 없는 니가
난 너무나 싫어 미워
자꾸만 너를 못 잊어
나 맘이 너무 아파 미칠 것 같아
내 맘 내 꿈에 내 눈 속에
너 사라져가
채울 수 없어 내 맘
너의 빈자리 긴 여행을 떠난
너를 기억해
매일 너를 보고 매일 너를 찾고
네 안엔 내가 있는데
언젠가 너 내게 돌아 오는 날
내 맘 너의 빈자리로 와도
익숙해 편안해
지난 우리 모든 시간들
니가 느끼게"
4,MJ (써니사이드),같은이별 다른온도 (Feat. 후아유),"넌 그렇게 살면 안돼
네가 다 망친 거야
아무리 생각해도 no no
괜히 애쓰게 하지 마
너 땜에 쏟은 눈물
지금도 후회가 돼 이젠
한 번쯤 날 사랑하긴 했니
왜 아무 말도 못해 아아아파
전부다 지울 거야
no way no way
on the street
한참 동안 말없이 걷고있는 남녀
Whos gonna tell'em me
오래된 침묵 넘어간 달력
우린 너무도 가까웠나봐
셀 수 없던 마찰 속
헤지고 빛바랜 것들 붙들고만 있어
uh 지겨워 난 너와 관련된 삶
습관처럼 늘어놔 빌어먹을 한숨
이별을 만들 레시피
알다시피 완벽한 spin off
집중해서 듣길
이미 다 끝난 거잖아 goin' on
날 원망하지 마
넌 그렇게 살면 안돼
네가 다 망친 거야
아무리 생각해도 no no
괜히 애쓰게 하지 마
너 땜에 쏟은 눈물
지금도 후회가 돼 이젠
한 번쯤 날 사랑하긴 했니
왜 아무 말도 못해 아아아파
전부다 지울 거야
no way no way
합의된 이별 뭣대로 매도 하지마
이건 나 혼자서 벌린 일이 아냐
네 기분이 만들어낸 환영
그 착각 불쾌해 마녀사냥
oh sick
왜 나까지 이상하게 만들어
넌 달라진 게 없잖아 전혀
늘 매번 똑같은 이유로
우린 계속 부딪쳐 no no
이미 다 끝난 일 끄집어내지마
집어치워 no more
난 누명 쓰고 있어
진심을 다했던 죄
지금은 아니지만 한때
전부였던 바로 너 때문에
도대체 뭐 땜에 이렇게 힘들게 해
좋았던 추억도 아프잖아
어떤 것도 위로가 될 수 없어 나는
한 걸음도 못 떼잖아
한 번쯤 날 사랑 하긴 했니
왜 아무 말도 못해
아아아파 전부다 지울 거야
no way no way
널
먹먹한 마음이지만
이 선택에 큰 책임을 지려해
잊지 못할까 봐
달라질 건 없어 그어떤
오해와 미련이 남아도
never mind we fail
뭐 땜에 날 사랑했던 거니
왜 아무 말도 못해 아아아파
제발 좀 그러지마 더는
한 번쯤 날 사랑하긴 했니
왜 아무 말도 못해 아아아파
전부다 지울 거야
no way no way"
5,뉴이스트 W,지금까지 행복했어요 (BAEKHO SOLO),"아무것도 듣지 않아도 돼요
그대에겐 좋은 것만 드릴게요
그동안 내가 어땠는 진
중요하지가 않아요
그대 곁에서
위로받고
또 행복했죠
난 혼자가 아닌 걸요
내 걱정은 정말 하지 않아도 돼요
내가 그대 마음 전부 알아요
내가 그대 마음 이해할게요
말만 죽어라 한다고
어떻게 그래요
그댄 나를 이해하지 않아도 돼요
그대 곁이라서
지금까지 행복했어요
마냥 어린애 같은 나라서
모질게 그댈 울린 적은 없나요
이전까지 날 사랑해 준
그대 비해서 난 너무 모자라죠
언제나 그대 옆에서
위로받고
또 행복했죠
난 혼자가 아닌걸요
내 걱정은 정말 하지 않아도 돼요
내가 그대 마음 전부 알아요
내가 그대 마음 이해 할게요
말만 죽어라 한다고
어떻게 그래요
그댄 나를 이해하지 않아도 돼요
그대 곁이라서
지금까지 행복했어요
그대 곁이라서
그대 곁이라서
내겐 정말 당연하지 않았던
내겐 너무 기적과도 같았던
그 많았던 날들
지금까지 너무나 행복해서
슬픔을 감싸 안을 수가 있죠
내게 행복이라는 걸 가르쳐 주었던
그댈 보며 난 항상 웃을 수가 있죠
그대 곁이라서
지금까지 행복했어요"
6,문명진,안녕이라고 말하지마 (춤추고 노래해 한마리 새처럼~ 블랙스완),"안녕이라고 말하지마
우린 아직
우린 아직 이별이 뭔지 몰라
소리내지마
우리 사랑이 날아가버려
움직이지마
우리 사랑이 약해지잖아
얘기하지마
우리 사랑을 누가 듣잖아
다가오지마
우리 사랑이 멀어지잖아
안녕이라고 말하지마 나는
너를 보고 있잖아
그러나 자꾸 눈물이 나서
널 볼 수가 없어
안녕이라고 말하지마
우린 아직 이별이 뭔지 몰라
소리내지마
우리 사랑이 날아가버려
움직이지마
우리 사랑이 멀어지잖아
안녕이라고 말하지마 나는
너를 보고 있잖아
그러나 자꾸 눈물이 나서
널 볼 수가 없어
안녕이라고 말하지마
우린 아직 이별이 뭔지 몰라
말하지마
안녕이라고 말하지마
우린 아직 이별이 뭔지 몰라
안녕이라고 말하지마
우린 아직 이별이 뭔지 몰라"
7,정동원,언제쯤일까,"어쩔 수 없나봐
오늘도 네 사진을 봤어
사랑이 끝난 게
벌써 몇 개월 전 일인데
어쩔 수 없나봐
오늘도 네 생각을 했어
대답 없는 네 사진
마지막 대화를 읽어
언제쯤일까
너를 자유롭게 해줄 날
그 때 쯤에는 좋아했던 것
다시 꺼내볼 수 있을까
언제쯤일까
네가 편하게 기억될 날
그 때 쯤엔 난 정말
너 없이 행복해질까
그게 언제일까
우리 살면서 가능할까
우리는 어디쯤부터
무엇이 잘못된 걸까
언제쯤일까
나를 자유롭게 해줄 날
그 때 쯤에는 좋아했던 것
다시 꺼내볼 수 있을까
언제쯤일까
네가 편하게 기억될 날
그 때 쯤엔 난 정말
너 없이 행복해질까
우린 만나지 말아야 했을까
처음부터 몹쓸 인연일까
시간을 다시 되돌릴 수만 있다면
그 때 널 지나치고 싶은데
언제쯤일까
너를 다시 만나게 될 날
어쩌면 그건 다음 생일까
그때는 우리 행복할까
그럴 수 있을까
워어어어어 우우우우우우
그 때 우리는 정말
행복한 시간이었네"
8,진영 (GOT7),달이 될게,"그댄 어젯밤도 선잠에 들었나요
그대 가는 길의 그 끝에 서있나요
두 눈을 감고서 내 품에 안겨요
다 괜찮아요
그 어떤 말로도 표현할 수가 없어
비 오는 날 뒤에 한 줄기 빛처럼 날
행복한 기억만 전해주는 넌
천사인 것 같아요 나
하루는 너를 품에 꼭 안고
우리가 원했던 곳으로 떠나
꽃 구름에 물들여진 빛깔
그 찬란함 속 그대 미소가
영원히 지지 않는 밤
나 너만을 위한 달이 돼줄게
내 안에서 네가 숨 쉴 수 있게
어둠과 외로움은 온통
존재하지는 않을 거야
Cause you’re my star
어떤 밤이 와도 널 비출게
달빛의 포근함에 잠들 수 있게
Cause you are my star
Cause You are my life
I’m just shining on your night
나 너를 만나 기적처럼
사랑을 알게 되었어
그런 네가 울 때면 내 모든 게 무너져
I'll give you all my light
나 너만을 위한 달이 돼줄게
내 안에서 네가 숨 쉴 수 있게
어둠과 외로움은 온통
존재하지는 않을 거야
Cause you’re my star
어떤 밤이 와도 널 비출게
달빛의 포근함에 잠들 수 있게
Cause you are my star
Cause you are my life
I’ll shining on your night
I'm just shining on your night"
9,페이지,마지막 너를 보내며 (Woman),"너의 창백한 하얀 얼굴 위로
흐르는 네 눈물의 의미를 알기에
보내줘야 해 생각하면서
마지막일 것 같은
널 붙잡고 있어
날 위해 울지마
너는 내게 잘못 하지는 않았어
너를 사랑했어
아무 것도 지켜주지 못한
날 용서해
얘기해봐 왜 나의 곁을
떠나려는지
사랑했기 때문이라는 말은
하지마
살아있는 동안에 너를
잊을 수는 없어
내 기억 속에서 넌 언제나 부디
행복해야해

날 위해 울지마
너는 내게 잘못 하지는 않았어
너를 사랑했어
아무 것도 지켜주지 못한
날 용서해
얘기해봐 왜 나의 곁을
떠나려는지
사랑했기 때문이라는 말은
하지마
살아있는 동안에 너를
잊을 수는 없어
내 기억 속에서 넌 언제나
행복해야해
이젠 너의 환한 웃음을
다신 볼 순 없겠지
행복했던 그 순간들을
쉽게 잊지는 마
너와 함께 할 수 없었던
우리의 슬픈 이별이
우리의 운명이라 해도
널 사랑할거야
아냐 네가 원한 그 자리에
내가 서 있을께
아직 늦지 않았어
다시 내게 돌아와
이젠 혼자 걸어 가야 할
낯익은 거리도
내겐 이겨내기 힘든 슬픔이야"
