,artist_name,song_name,lyric
0,"소수빈, 소희 (SOHEE)",좋다,"그대 생각이 든 김에
두 눈을 감아 봅니다
선명한 그대 모습에
살며시 웃어봅니다
고개를 숙여봐도
터진 이 미소를
감출 수 없잖아요
매일 똑같던 햇살이
유난히 따스하네요
거리로 나서볼까
괜한 상상해볼까
내일도 모레도
다르지 않겠지만
그대가 있잖아요
이 거리를 함께 걷고 싶어
이 느낌을 알게 하고 싶어
닿을 듯한 작은 목소리로
네게 들려주고 싶어
이 거리를 함께 걷고 싶어
이 느낌을 알게 하고 싶어
닿을 듯한 작은 목소리로
네게 들려주고 싶어
조금씩 가까워져 가는데 너와 나
이젠 함께 걷는 같은 길
오늘도 오늘도 그렇게
내일도
그대 생각이 든 김에
귀를 기울여 봅니다
간지러운 그대 소리에
살며시 웃어봅니다
아마도 내일이면
커질듯한 이 마음을
나도 잘 모르지만
그대도 모르지요
좋아할 것 같아요
그래서 좋다"
1,바다 (BADA),그대로 채워가요 (I'm in love),"따뜻한 눈으로 날 바라볼때면
지친 내 마음이 눈녹듯 사라져
아무 이유 없이 날 아껴주는
그댄 나의 one love
운명같은 만남 멈춰버린 시간
전부인걸 알았던
i'm in love i'm in love
사랑은 이렇게 모든 걸
달라지게 하나 봐
내 하루의 전불
그대 생각으로 채워가게 만드네요
그대로
진실한 맘으로 날 감싸줄때면
내 아픈 상처도 나을것만같아
지난 시간보다 다가올
내일을 꿈꾸게 하네요
운명 같은 만남 멈춰버린 시간
전부인걸 알았던
i'm in love i'm in love
사랑은 이렇게 모든 걸
달라지게 하나 봐
내 하루의 전불
그대 생각으로 채워가게 만드네요
그대로
서로가 조금씩 노력을 해요
이별이 없도록 마지막 사랑이기를
i'm in love i'm in love
그댈 사랑해요 영원히 머물러줘요
내 하루의 전불
그대 생각으로 채워가게 만드네요
그대로
그대로"
2,하우어바웃유,위로 (Feat. 이하늘),"뒤로 걷는 것만 같은 날
잘 견뎌오다가 울컥하는 날
그럴 때가 있지
아무도 내 편이 없는 그런 날
그댈 기다리는 까만 밤
그 누구 하나도 없는 작은 방
그 속에 숨어서
세상에 들키지 않는
편안한 밤을 보내요
그 무거운 짐을 내려 놓아요
그대 아픈 마음이 위로 받도록
잘 견뎌냈어 그 누구에게도
듣지 못했던 말
늘 바라던 어른이 되었는데
혼자서는 하루도 자신이 없을 때
내게 기대 울어
언제나 그대 곁에 있을게
잠이 오지 않는 어둔 밤
그 누구 하나도 없는 작은 방
그 속에 숨어서
세상에 들키지 않는
편안한 밤을 보내요
그 무거운 짐을 내려 놓아요
그대 아픈 마음이 위로 받도록
잘 견뎌냈어 그 누구에게도
듣지 못했던 말
늘 바라던 어른이 되었는데
혼자서는 하루도 자신이 없을 때
내게 기대 울어
언제나 그대 곁에 있을게
늘 바라던 어른이 되었는데
약해지는 마음에 자신이 없을 때
내게 기대 울어
언제나 그대 곁에 있을게"
3,신준섭,I Promise,"어느 날 내게로
바람처럼 다가와
나를 감싸준 그대
내 모든 건 달라졌고
난 영원을 꿈꾸게 됐어
우리는 가끔 무너질 수도
있겠지만 그럴 때마다
서로의 손을 꼭 붙잡고서
어떤 길이라도 함께 가겠다고
I Promise
그대를 놓지 않겠다고
영원히 네 곁엔 내가 있겠다고
I Promise 언젠가
서로를 믿지 못할 때
그때 내가 먼저 널 잡겠다고
어느 날 너에게
햇살처럼 다가가
너를 안아줄 그때
내 모든 건 너에게로
가득하게 쏟아질 거야
우리는 언젠가 지칠 수도
있겠지만 그럴 때마다
서로의 손을 꼭 붙잡고서
어떤 길이라도 함께 가겠다고
I Promise
그대를 놓지 않겠다고
영원히 네 곁엔 내가 있겠다고
I Promise 언젠가
서로를 믿지 못할 때
그때 내가 먼저 널 잡겠다고
눈을 감으면
떠오르는 한 사람이
나였으면
네가 기댈 수 있게
늘 여기 서 있을게
I Promise
그대가 놓지 않는다면
영원히 네 곁에 내가 있겠다고
I Promise 언젠가
서로를 믿지 못할 때
그때 내가 먼저 널 잡겠다고"
4,윤언니,오늘따라 더 보고싶어,"하루 온종일 널 떠올려
매일 꿈속에 너와 만나고
내 머릿속은 온통 너로 가득 가득해
맛있는 걸 먹고 있으면
좋은 곳에 가면 바로 생각나
너와 함께 하고 싶은 그런 마음뿐야
오늘따라 더 보고싶어
매일 매일 만나고 싶어
이런 내 맘 아는지 정말 모르는 건지
그래도 난 니가 좋아
누구가를 좋아하는 게
이렇게도 행복한 일인거니
사랑해 널 사랑해 나의 사랑 그대여
오늘따라 설렘 가득해
두근두근 내 맘 터질 것 같아
발걸음도 가벼워져 이런 나를 아니
오늘따라 더 보고싶어
매일 매일 만나고 싶어
이런 내 맘 아는지 정말 모르는 건지
그래도 난 니가 좋아
누구가를 좋아하는 게
이렇게도 행복한 일인거니
사랑해 널 사랑해 나의 사랑 그대여"
5,펀치 (Punch),거짓말처럼,"그대 눈빛은 다시 나의 두 눈에
붉은 빛으로 살아가겠죠
그저 미소로 다시 눈물 보이면
우리의 힘든 인연을 생각하죠
세상에 모든 꽃들은 다시 시들어
그 빛을 잃기도 해
절망이 오는 그때에
거짓말처럼 난 또 한 번
나의 사랑을 기다리죠
봄이 지나면 다시 여름이 오듯
아픈 기억은 잊혀지겠죠
처음 만났던 그때 그 모습처럼
오늘도 나의 사랑은 아름답죠
언젠가 모든 것들은 다시 시작해
아무 일 없는 듯이
그때가 되면 그대의
사랑이 오겠죠 다시 한번
내 사랑을 기다리죠
너무 걱정 말아요 나 그래도
삶을 위해 힘을 낼 테니
그대여 이 지독히도 아픈 사랑
그래도 잊지 말고 기억해 줘요
세상에 모든 꽃들은 다시 시들어
그 빛을 잃기도 해
절망이 오는 그때에
거짓말처럼 난 또 한 번
나의 사랑을 기다리죠
절망이 오는 그때에
거짓말처럼 난 또 한 번
그대 사랑을 기다리죠"
6,겸 (GYE0M),불안향[不安向],"소리 없이 뒤척이던
어스름한 새벽들은
서로의 슬픔을 쥔 채
모른척하곤 아침만 기다리다
아아아 우린 뭘 나눴던 걸까
아아아 우린 뭘 바랬던 걸까
어둠에 무너지던 불안을 잠재우며
사랑을 흉내 내던 이기적인 맘들은
세자릿수 정도의 믿음밖에 없었고
햇살에 무너지는 하루를 남겼지
불안에 잠 못 들면 읽어주던 책들도
떠나지 않을 거라던 너의 거짓말도
다 잊혀지겠지
우린 기억되지 말아야 해
아아아 우린 왜 못 버틴 걸까
아아아 너는 뭘 바랬던 걸까"
7,위아영 (WeAreYoung),너로 가득한 하루,"이른 아침 눈을 떴는데
나도 모를 미소를 입가에 짓네
배게 속에 얼굴 묻고 웃어
꿈이라면 지금 이대로 멈춰
다시 잠에 들어야 해
원 투 쓰리
전화 걸어 너에게
떨 리 는 맘으로
아무렇지도 않게 전활 받는 너에게
보고 싶다고 또 말해버렸어
안녕
조금 어색한 인사와
너를 보고 싶단 내 고백에
피식 웃으며
오늘 만날래 묻는 너
태연한 척 했었지만
너무 좋아
네가 오길 기다리는데
나도 모르게 미소를 입가에 짓네
거울 속에 나를 보고 웃어
꿈이라면 지금 이대로 멈춰
다시 잠에 들어야 해
원 투 쓰리
전화 걸어 너에게
떨 리 는 맘으로
전화 벨이 울리고 발걸음 소리 들려
빨개진 얼굴이 보이지 않게
손으로 가린 채
안녕
조금 어색한 인사와
오늘 예쁘다는 내 고백에
피식 웃으며
우리 뭐할래 묻는 너
두 손을 꼭 잡은 채로 좀 걸을까
평소보다 빠르게 저물어가
함께했던 하루가 끝나가고
너의 집 앞에 서서
날 봐
좋아한다고 말해줘
네가 꿈이 아닐 수 있도록
너도 나처럼
환희 웃어줘 별처럼
언제나 널 바라볼게 꼭 안아줘"
8,탄(매드몬스터),오로라,"너에게 말도 없이 혼자서 떠났잖아
그땐 어딘가 살짝 고장이 났나 봐
내가 미안해
오로라를 함께 봤던
그 짧았던 순간도
내 몸에 흉터처럼 따끔하게 남아서
여길 또 찾았어
아이슬란드의 저 오로라처럼
푸른 빛으로 나는 물들어
널 잊고 살다가
영영 널 잃고 살아가다
떠올리지 않고 살아갈 자신 있니
저 오로라처럼
이젠 만나기 어려운 너를
찾아갈 수도 없어 찾아도 볼 수 없어
이렇게 아픈데도 네가 떠오르는 건
나만 그런 게 아니길 간절하게도
신께 빌고 빌었어
여기에 없는 넌 또 어떤 색으로
바뀌었을까 저 오로라처럼
널 잊고 살다가
영영 널 잃고 살아가다
떠올리지 않고 살아갈 자신 있니
저 오로라처럼
이젠 만나기 어려운 너를
찾아갈 수도 없어 찾아도 볼 수 없어
나 혼자
끝내지 못한 사랑인가봐
모든 게 아름다웠는데
그때처럼 난 같은 자리에 서서
달라진 건 없는데 아름답지가 않아
널 잃고 살다가
영영 널 잃고 살아가다
오 널 떠올리지 않고
살아갈 자신 없어
오로라보다 더 찬란하게 빛나던 너를
찾아갈 수도 없어 찾아도 볼 수 없어
난 계속 여행을 할 뿐
어딨니"
9,초승 (CHOSNG),짝사랑,"혹시 하는 마음에 적어내는 말 들
아마도 이 말들은 못 전하겠지요
언젠가 꺼내려고 예쁘게 담아놓은
소중하게 아낀 맘 여기에 있어요
그대라는 말들은 커지고 커져서
아주 많이 그대를 좋아합니다
오늘이 지나고 많은 날
지나고 또 지나도
잊지 않아요 내 맘속엔 그대뿐이죠
다 변한다 해도
먼 훗날 지치고 힘들어도
언제나 늘 이대로 이 마음
영원히 곁에 머물게요
감추려고 애쓰고 아니라 해봐도
여전한 그리움만 계속 쌓여가네요
꼭 필요한 말들만 추리고 추려서
오늘만은 그대에게 전할게요
오늘이 지나고 많은 날
지나고 또 지나도
잊지 않아요 내 맘속엔 그대뿐이죠
다 변한다 해도 먼 훗날
지치고 힘들어도
언제나 늘 이대로 이 마음
영원히 곁에 머물게요
오늘이 지나고 많은 날
지나고 또 지나도
잊지 않아요 내 맘속엔 그대뿐이죠
다 변한다 해도 먼 훗날
지치고 힘들어도
언제나 늘 이대로 이 마음
영원히곁에 머물게요"
