,artist_name,song_name,lyric
0,강민희,걸음마,"서툴던 날도 있었지
바로 앞도 너무 멀게 느껴지고
처음엔 발도 뗄 수 없었지
일어설 힘도 없었지
하지만 하나 둘씩
걸음을 옮기다 보면
언젠가 나도 달릴 수 있을 거라
난 믿고 있어 나 할 수 있다고
몇 번을 넘어지고 일어서고
다시 넘어지고 일어서다 보면
느낄 수가 있어
더디던 걸음들이 점점 빨라져 가고
이곳을 자유롭게 달릴 수 있어
또 넘어지고 일어서고
다시 넘어지고 일어서다 보면
이해할 수 있어
서툴던 시간들이 차곡히 모여서
언젠간 저 끝까지
닿게 될 수 있다는 걸
그만하면 됐어 내려놓으라고
위로라며 건넨 그 말 다 견뎌내
꼭 믿고 있어 정말 할 수 있다고
몇 번을 넘어지고 일어서고
다시 넘어지고 일어서다 보면
느낄 수가 있어
더디던 걸음들이 점점 빨라져 가고
언젠간 저 끝까지
닿게 될 수 있다는 걸
같은 곳 같은 자리에
머물러 있는 게 쉬울지 몰라
아픔 같은 건 없겠지
하지만 멈출 수 없어
뒷걸음칠 수 없어
난 끝내 해낼 거라고 믿고 있기에
몇 번을 넘어지고 일어서고
다시 넘어지고 또 일어서다 보면
느낄 수가 있어
더디던 걸음들이 점점 빨라져 가고
이곳을 자유롭게 달릴 수 있어
또 넘어지고 일어서고
다시 넘어지고 또 일어서다 보면
이해할 수 있어
서툴던 시간들이 차곡히 모여서
언젠간 저 끝까지
닿게 될 수 있다는 걸
그래 잘 하고 있어"
1,폴킴,"모든 날, 모든 순간 (Every day, Every Moment) (Inst.)",[가사 준비중]
2,멜로디데이 (MelodyDay),잠은 안 오고,"벌써 새벽 두 시 잠도 안 오고
이 긴 밤은 널 떠올리게 해
언제쯤 잠들 수 있을런지
오늘따라 니 생각이 멈추질 않아
만약 내가 더 솔직했더라면
더 이해했더라면 너와 난
같은 곳을 볼 수 있었을까
너와 내가 다르단 게 믿어지지 않아
너만 알고 살던 나
여전히 너를 따라 이 밤은 또 흐르고
아무리 애를 써도 니가 너무 그립고
이 밤 흐르고
너 없이 잠이 들지 못하는 내가 싫고
아무리 기다려도 내 옆에 너는 없고
잠은 또 안 오고
벌써 며칠째야 잠을 못 이루는 게
벌써 몇 시간째야
번호를 썼다 지운 게
이 불면증도 너를 잊는 과정이라면
그만 잠들고 싶어 꿈에서라도 잊게
넌 카페인 끊을 수도
잠들 수도 없게 yay
이렇게 난 아침 해를 볼 거 같아
그러기 싫은데
주고받은 문잘 계속 보며 밤새
니 생각에 잠은 또 안 오지
나빴던 기억은 다 잊혀지고
따스한 기억이 날 힘들게 해
그날 너를 그렇게
보내는 게 아니었는데
그깟 자존심이 뭐라고
널 잡지 못했을까
다시 볼 수 없다는 게 믿어지지 않아
너만 알고 살던 나
여전히 너를 따라 이 밤은 또 흐르고
아무리 애를 써도 니가 너무 그립고
이 밤 흐르고
너 없이 잠이 들지 못하는 내가 싫고
아무리 기다려도 내 옆에 너는 없고
잠은 또 안 오고
언제쯤 널 다 잊고서
나 편히 잠들 수 있을까
이런 날은 어쩔 수 없어
그냥 아침이 오길 기다려
여전히 너를 따라 이 밤은 또 흐르고
아무리 애를 써도 니가 너무 그립고
이 밤 흐르고
너 없이 잠이 들지 못하는 내가 싫고
아무리 기다려도 내 옆에 너는 없고
잠은 또 안 오고"
3,노르웨이 숲,사람이 사람을 좋아하는 건 (Duet With 이츠),"사람이 사람을 좋아하는 건
나를 버리고 네가 되는 것
항상 옆에서 기대줄 너라는 위로가
내겐 모든 게 감사했어
운다고 달라지진 않겠지만
상처가 아문다면 울어도 좋아
내 안에 미움이 아직 남아있어
하루가 견디기 힘들어
여느 때와 다름없이
햇살은 내게 비추고
너의 헤어짐이 내 맘을 흐리게 해
우리가 남이 된 다음은 없을 거야
사람이 사람을 좋아하는 건
내게는 어려운 일이야
아무것도 손에 잡히지 않아
아무것도 하기 싫어 나 힘들어
항상 옆에서 기대준 너라는 위로도
이젠 모든 게 꿈이었어
여느 때와 다름없이
보통의 날을 보내고
나의 헤어짐도 그렇게 잊혀졌어
우리가 남이 된 다음에야 알겠더라
사람이 사람을 좋아하는 건
너무나 어려워
우리가 걸었던 이 길의 끝이지만
눈물로 서롤 잊기로 해 잘 지냈음 해
우리가 남이 된 다음은 없을 거야
사람이 사람을 좋아하는 건
내게는 어려운 일야
사람이 사람을 좋아하는 건
어려운 일야"
4,봉구,Get away,"어느 곳으로 가려나
힘없는 내 맘 그곳에
나는 이대로 머물러
그리운 그 곳 아득히
떠밀려만 가네
어디로 흘러 흘러
자꾸만 멀어 지네
다시 만나길 바래
이미 지나친 시간 속에
많은 것들이 변해 가고
여기 무심히 남겨진 채
갈 곳을 잃고 헤매이네
I can't get away
get away get away
돌아갈 수가 없어
I can't get away
get away get away
떠나가려 하지만
길을 찾을 수 없어
어느 곳으로 가려나
힘없는 내 맘 그곳에
나는 이대로 머물러
그리운 그곳 아득히
이미 지나친 시간 속에
많은 것들이 변해 가고
여기 무심히 남겨진 채
갈 곳을 잃고 헤매이네
I can't get away
get away get away
돌아갈 수가 없어
I can't get away
get away get away
떠나가려 하지만
길을 찾을 수 없어
어느 곳으로 가려나
힘없는 내 맘 그곳에"
5,박원,kiss me in the night,"kiss me in the night
네 입술 색깔처럼
내 얼굴은 빨개지고 했던 날
kiss me in the night
For now I’m getting lonely
시간이 난 참 많은데
내일 널 또 만날 텐데 그대
kiss me in the night
kiss me in the night
kiss me in the night
kiss me I feel lonely
and now kiss me in the night
항상 오는 이 밤이
너무나 아름답고
물론 넌 더 아름다워 그래
kiss me in the night
kiss me in the night
kiss me in the night
kiss me I feel lonely
Why don’t you kiss me in the night
kiss me in the night"
6,"KCM, 임정희",슬픔을 먹고 사는 사람,"난 길을 잃어버렸어 지금
난 길을 잃어버렸어 지금
갈 길이 너무 멀기에 너무나 힘들어
언젠가 세상의 등불이 될게 나
그냥 오늘 내가 나를 버렸어
사랑이라 말하면서 스쳐가는 인연에
상처받은 모습만을 기억해
굳은 믿음 줄 거라고 난
내게 약속 하면서 잊어버려
내 슬픔을 먹고 사는 사람이
나란 사람 작은 행복조차 없는 사람
내 사랑을 먹고 사는 내가 되기를
불쌍한 사람 불쌍한 사람
그게 당신일 뿐 야
난 너를 잃어버렸어 오늘
현실이 너무 두려워 너무나 어두워
언젠가 세상에 묻히지 않게 나
그냥 오늘 내가 나를 버렸어
약한 나를 감추려고
사람 속에 강한 척
오늘도 난 죽은 모습 보면서
작은 사랑받을 거라 난
헛된 기대하면서 잊어버려
내 슬픔을 먹고 사는 사람이
나란 사람 작은 행복조차 없는 사람
내 사랑을 먹고 사는 내가 되기를
불쌍한 사람 불쌍한 사람
그게 당신일 뿐 야
세상이 아무리 뭐라 해도
그들의 기준 속에
당신의 사랑이 없어져도
그들의 시각 속에
언젠가는 언젠가는
언젠가는 언젠가는
언젠가는 언젠가는 언젠가는
언젠가는 작은 행복 찾아서
언젠가는 나의 작은 행복 가져도 돼
내 사랑을 먹고 사는 내가 되기를
행복한 사람 행복한 사람
그게 당신일 뿐 야"
7,김나영,miss u,"하루 이틀 시간은 또 그렇게 가는데
끝내지도 만나지도 못하고 멍하기만 해
그저 흘러가기만 바라고 있는 내가 보이면
또 후회하고 그러다 널 생각하고

나 이렇게 I miss you, I miss you, I miss you 그리워
I love you, I love you, I love you 하는 말
I miss you, I miss you, I miss you, I miss you
I love you, I love you, I love you
또 후회하고 생각하고

아무런 생각도 하지 않으면 될 거라고
문득 드는 너의 생각도 떨쳐내면 된다고
근데 자꾸 너의 사진들만 보게 되잖아
또 추억하고 아니 널 잡고 싶어서

나 이렇게 I miss you, I miss you, I miss you 그리워
I love you, I love you, I love you 하는 말
I miss you, I miss you, I miss you, I miss you
I love you, I love you, I love you
또 후회하고 아니 널 잡고 싶어서

이 기다림이 내 맘대로 안 되는걸
이미 익숙해져 버린 너의 생각이
매일 흔들어 지친 내 맘이
그래도 너를 보고 싶어만 하잖아

나 이렇게 I miss you, I miss you, I miss you 그리워
한번도 너에게 전하지 못한 말
I miss you, I miss you, I miss you, I miss you
I love you, I love you, I love you
I miss you, I miss you

Miss you, I miss you"
8,Apink (에이핑크),기억 더하기,"문득 쓸쓸한 밤이 나를 찾아온
지친 하루의 끝쯤에서
매일같이 걸어가는 바쁜 시간 속
나와 같이 발을 맞춰주는 너
가끔 흔들리고
무거운 날이 올 때마다
넌 언제나 내 곁에서 날 감싸주네
왠지 모르게 울컥 눈물이 나려 해
너무 자연스럽게 내게 들어온 너
이 순간 속에서
기억 하나를 더한다는 건
마치 영화 같은 걸 난 이제야 알았어
수많은 사람 속에 나를 찾아낸 너
어떻게 알았을까 너무 알고 싶어
설명할 수 없는 거 말이야
감정은 보이지 않잖아
이 물음표 나를 웃게 하는 걸
가끔 흔들릴 때마다
너를 떠올리게 돼
내 곁에서 이대로만
계속 있어 줄래 Oh
왠지 모르게 울컥 눈물이 나려 해
너무 자연스럽게 내게 들어온 너
이 순간 속에서
기억 하나를 더한다는 건
마치 영화 같은 걸 난 이제야 알았어
혹시 네게 밤이 온다면
내가 너를 비춰줄게
네가 내게 해줬었던 것처럼
너무나도 달랐던 너와 내가 만난 건
우연은 아닐 거야
왠지 모르게 울컥 눈물이 나려 해
너무 자연스럽게 내게 들어온 너
이 순간 속에서
기억 하나를 더한다는 건
마치 영화 같은 걸 난 이제야 알았어
이제야 알았어
난 이제야 알았어
놓지 않을 거야 우리"
9,백아연,그대여야만 해요,"또 긴 하루가
시작되려고 하네요
어제보다 더딘 오늘이
그리워진 만큼 내 맘에
커져버린 그대만큼
더디게 가는 오늘이
이렇게 다가간다면
낯설게 보일지라도
그냥 내 마음 그대로
그대에게 가고 있을게요
그 언제라도 내가 보고 싶을 때
나에게 말해요
한 순간도 그대
나 없이는 안될 거잖아요
어디서라도 그대
나의 모습 볼 수 있게
나 여기에 서있겠어요
이젠 망설이지 않아요
내 곁에 있어요
난 그대여야만 해요
날 보고 싶다 말하면
난 사랑한다 말할게요
날 그리워할 틈 없이
지금처럼 옆에 있을게요
그 언제라도 내가 보고 싶을 때
나에게 말해요
한 순간도 그대
나 없이는 안될 거잖아요
어디서라도 그대
나의 모습 볼 수 있게
나 여기에 서 있겠어요
이젠 망설이지 않아요
내 곁에 있어요
난 그대여야만 해요
긴 시간이 흐르고 또 흘러
나의 모든 것 다 사라진대도
내 곁에 있어 준다면
내 손을 잡아준다면
다시는 놓치지 않을 텐데
그 언제라도 내가 보고 싶을 때
나에게 말해요
한 순간도 그대
나 없이는 안될 거잖아요
어디서라도 그대
나의 모습 볼 수 있게
나 여기에 서 있겠어요
이젠 망설이지 않아요
내 곁에 있어요
난 그대여야만 해요"
