,가수,제목,가사
10,Apink (에이핑크),SUNDAY MONDAY,"어제도 오늘도
보고 또 봐도 자꾸 보고 싶어
내일도 똑같애
일주일 내내 너만 생각하네
무심코 달력을 넘겨 세어봤어
우리 시간들 둘만의 추억들
하루도 빼놓지 않고 널 만났어
You know what I'm saying
사랑해 SUNDAY MONDAY
또 SUNDAY MONDAY EVERYDAY
하루 또 하루 매일 만나도 부족해
이렇게 SUNDAY MONDAY
언제나 너와 EVERYDAY
시간이 다 멈춘 듯이 안아줄래
단둘이 있을 땐 시간이
날아가듯 빨리 가네
별 볼일 없었던 나의 일기장은
너로 가득해 소중한 기억들
온통 우리 얘기들로
적어놓고 네게 보여줄래
사랑해 SUNDAY MONDAY
또 SUNDAY MONDAY EVERYDAY
하루 또 하루 매일 만나도 부족해
이렇게 SUNDAY MONDAY
언제나 너와 EVERYDAY
시간이 다 멈춘 듯이 안아줄래
늘 지금처럼만 곁에 있어줘
그렇게 웃어줘 내가 널 지킬게
네 옆에 날 봐 내 손을 잡아줘
사랑해 SUNDAY MONDAY
또 SUNDAY MONDAY EVERYDAY
이렇게 우리 둘이 OH
사랑해 SUNDAY MONDAY
또 SUNDAY MONDAY EVERYDAY
하루 또 하루 매일 만나도 부족해
이렇게 SUNDAY MONDAY
언제나 너와 EVERYDAY
시간이 다 멈춘 듯이 안아줄래
사랑해 SUNDAY MONDAY
또 SUNDAY MONDAY EVERYDAY
하루 또 하루 매일 만나도 부족해
이렇게 SUNDAY MONDAY
언제나 너와 EVERYDAY
시간이 다 멈춘 듯이 안아줄래"
11,성유진 (더 씨야),낯선 길,"여기는 또 어딘지 누가 좀
말해 줄래요
기댈 곳 하나 보이지 않고
눈 뜰 때 마다 불빛 하나 없는데
힘겹게 한걸음 떼보고
어떻게든 또 살아보려 해
너를 만나기 전까지 쉬지 않고
걸어가 기다려
이 길의 끝에서 낯선 길의
끝에서 나를 찾으며 넌 울고 있겠지
빛 바래 녹슬어버린 사랑하나
넌 기다리겠지
이 길의 끝에서 이 낯선 곳에서
나를 부르며 숨어있을
널 찾아갈 거야
어디에 있던지 조금만 기다려
네 이름 불러도 답 없는
메아리소리
옅은 기억 속 발자욱 따라 네가
있던 길목 주위를 서성인다
힘겹게 한걸음 떼보고
어떻게든 또 살아보려 해
너를 만나기 전까지 미친 듯 찾아
다닐게 기다려
이 길의 끝에서 낯선 길의
끝에서 나를 찾으며 넌 울고 있겠지
빛 바래 녹슬어버린 사랑하나
넌 기다리겠지
이 길의 끝에서 이 낯선 곳에서
나를 부르며 숨어있을 널 찾아
갈 거야 어디에 있던지 조금만
기다려
이 낯선 곳에서 나를 부르며
숨어있을 널 찾아 갈 거야 어디에
있던지 조금만 기다려"
12,디셈버,시집와줄래,"햇살 가득 눈부신 날에
하얀 웨딩드레스
곱게 차려 입고서
오오 한걸음씩 내게 다가온
너를 상상해봤어
부디 꿈이 아니길
잠에서 깨어나보면
내 품속에 안겨있는
너의 잠든 모습을 그려보면
미칠듯이 설레는 걸
I love you 수백번 수천번
셀 수 없이 외쳐도 baby
I love you 다시 한 번
네게 하고 싶은 말
이렇게 용기 내볼게
너에게 나 고백할게
사랑해 영원히 내게 시집 와 줄래
오오 왼쪽팔엔 예쁜 공주님
오른팔엔 왕자님
팔베개 해주고파
어릴적 소꿉놀이에
너는 엄마 나는 아빠
아무것도 몰랐던 그 장난이
우리 앞에 보이는 걸
I love you 수백번 수천번
셀 수 없이 외쳐도 baby
I love you 다시 한 번
네게 하고 싶은 말
이렇게 용기 내볼게
너에게 나 고백할게
사랑해 영원히 내게 시집 와 줄래
이렇게 약속해줄게
평생 너만 바라볼게
사랑해 영원히 내게 시집 와 줄래"
13,서현 (SEOHYUN),Hello (Feat. 에릭남),"이른 아침부터 다시 잠이 들 때까지
꿈을 넘나들 듯 난 널 만나
널 만나
모든 게 새로워 널 바라볼 때면
다음 얘긴 미처 난 잊고 마는 걸
눈빛 네 표정 그 향기 네 말투
다 사랑스러 미소 짓게 돼
이렇게 너와 함께 있는 것만으로 Romance
심장이 터질 것 같아
1초도 아까워
꼭 붙어 있어줘
너만을 사랑해
말해줘요 Hello
Hello hello hello hello hello
Hello hello
말해줘요 Hello
안부 전화부터
가끔 작은 선물까지
나를 웃게 하는 너의 모든 것
다들 날 부러워 놀리는 순간도
수줍지만 그저 난 싫지 않은 걸
눈빛 네 표정 그 향기 네 말투
다 사랑스러 미소 짓게 돼
이렇게 너와 함께 있는 것만으로 Romance
너에게 빠져버렸어
갈수록 좋아져
내 곁에 있어줘
너만을 사랑해
말해줘요 Hello
Hello hello hello hello hello
Hello hello hello hello
너만 보면 웃음이 나
이게 사랑인 걸까
oh
너도 같은 마음 on and on and on
너만 보면 안고 싶어
널 안고 싶어
이게 사랑인 걸까
사랑일까
너도 같은 마음 on and on and on
yeah
이렇게 너와 함께 있는 것만으로 Romance
심장이 터질 것 같아
1초도 아까워
꼭 붙어 있어줘
너만을 사랑해
말해줘요 Hello
Hello hello hello hello hello
Hello hello
말해줘요 Hello
Hello hello hello hello hello
baby you got me
Hello
ah
영원히 사랑해
말해줘요 Hello"
14,유성은,낭만에 대하여 (파티여왕 베짱이),"궂은 비 내리는 날
그야말로 옛날식 다방에 앉아
도라지 위스키 한 잔에다
짙은 색소폰 소릴 들어보렴
새빨간 립스틱에
나름대로 멋을 부린 마담에게
실없이 던지는 농담 사이로
짙은 색소폰 소릴 들어보렴
이제와 새삼 이 나이에
실연의 달콤함이야 있겠냐만은
왠지 한 곳이 비어있는 내 가슴이
잃어버린 것에 대하여
밤 늦은 항구에서
그야말로 연락선 선창가에서
돌아올 사람은 없을지라도
슬픈 뱃고동 소릴 들어보렴
이제와 새삼 이 나이에
청춘의 미련이야 있겠냐만은
왠지 한 곳이 비어있는 내 가슴에
이제와 새삼 이 나이에
청춘의 미련이야 있겠냐만은
왠지 한 곳이 비어있는 내 가슴에
다시 못올 것에 대하여
낭만에 대하여"
15,이해리 (다비치),종이별의 꿈,"따뜻하고 투명한 유리병 속에
날 담곤 별이라 불러주던 엄마
세상 어떤 별보다 눈부시다며
참 흐뭇하게 날 바라보던 엄마
언젠가 밤하늘에 저 별들처럼
나도 밝게 빛나는 날이 오냐며
묻는 어린 내게
미안한 듯 고개
끄덕이던 엄마
나는 잊지 못해
병 속에 담긴 작은 종이별이지만
그래도 별은 별인 거니까
괜찮아 언젠간 저 하늘에 내가
빛날 자리도 있을지 몰라
응 그러니까 엄마 자꾸 미안해하지 마
그래도 별은 별인 거니까
이렇게 예쁘게 날 접어줬음 된 거야
이 다음 세상에 다시 태어나도
엄마가 따뜻한 두 손으로 접은
별 이길
너무 가고 싶었던 저 별자리에
난 갈 수 없음을 깨달았던 날 밤
그저 난 작은 종이별이라는 걸
너무 인정하기가 싫었던 나는
하늘인 척 마요
원망하는 내게
끄덕이던 엄마
나는 잊지 못해
병 속에 담긴 작은 종이별이지만
그래도 별은 별인 거니까
괜찮아 언젠간 저 하늘에 내가
빛날 자리도 있을지 몰라 그래
언젠가는 엄마도
깊은 잠에 들면서
힘없이 툭 이 유리병을 놓치겠지
흩어진 나는 바람 따라 헤매면서
험한 세상 살아가야 하겠지
그래도 엄마 자꾸 미안해하지 마
그래도 별은 별인 거니까
이렇게 예쁘게 날 접어줬음 된 거야
이 다음 세상에 다시 태어나도
엄마가 따뜻한 두 손으로 접은
별 이길"
16,1041,우리헤어지자 (With 손주희),"우리 헤어지자
좋았던 추억도 기억도 잊자
우리 믿지 못해 이제 그만 끝내자
사랑 하긴 했니
뭐라고 말하면 대답이 될까
너무 아픈 사랑은
사랑이 아니래 그만하자
나를 미워하란 말은 하지 않을래
너와 행복했단 말도 하지 않을래
아무런 미련도 없이 기억에서 지워줘
너라면 잘할 것 같아 헤어지자
사랑 이긴 할까
네 마음 끝까지 알 수 없어
이제 너를 놓을게
너도 이별을 예감했잖아
그대 잘 지내란 말은 하지 않을래
나 없이 행복 하란 말도 하지 않을래
잠시 미워하다가 기억에서 지울래
생각보다 많이 지쳐있나 봐
나를 미워하란 말은 하지 않을래
너와 행복했단 말도 하지 않을래
아무런 미련도 없이 기억에서 지워줘
너라면 잘할 것 같아
이제 마지막이 되어줘
이제 연락하지 말아줘
우리의 끝을 알잖아
그대 잘 지내란 말은 하지 않을래
나 없이 행복 하란 말도 하지 않을래
잠시 미워하다가 기억에서 지울래
생각보다 많이 지쳐있나 봐
나를 미워하란 말은 하지 않을래
너와 행복했단 말도 하지 않을래
아무런 미련도 없이 기억에서 지워줘
너라면 잘할 것 같아 헤어지자"
17,제이세라,그사람,"그 사람 날 웃게 한 사람
그 사람 날 울게 한 사람
그 사람 따뜻한 입술로 내게
내 심장을 찾아준 사람
그 사랑 지울 수 없는데
그 사랑 잊을 수 없는데
그 사람 내 숨 같은 사람
그런 사람이 떠나가네요
그 사람아 사랑아 아픈 가슴아
아무것도 모르는 사람아
사랑했고 또 사랑해서
보낼 수 밖에 없는 사람아
내 사랑아
내 가슴 너덜 거린데도
그 추억 날을 세워 찔러도
그 사람 흘릴 눈물이
나를 더욱더 아프게 하네요
그 사람아 사랑아 아픈 가슴아
아무것도 모르는 사람아
눈물 대신 슬픔 대신
나를 잊고 행복하게 살아줘
내 사랑아
우리 삶이 다해서 우리 두 눈 감을 때
그때 한번 기억해
그 사람아 사랑아 아픈 가슴아
아무것도 모르는 사람아
사랑했고 또 사랑해서
보낼 수 밖에 없는 사람아
내 사랑아 내 사랑아
내 사랑아"
18,임창정,나란놈이란 (2018),"그대를 잊는다는 거
지금의 나로선 좀 힘들 것 같아
아무리 원망을 해도
어느새 흐르는 눈물
나도 모르게
그리워 그 목소리
보고 싶어 일어설 수도 없어
시간은 잊으라 하는데
오히려 선명해진 얼굴
그 날은 그대 모습이
떠난다는 말을 하려던 것 같아
초라한 나의 어깨에
차마 말을 못 했었나 봐
그랬나 봐
그리워 그 목소리
가끔은 힘들던 잔소리마저
잔인한 이별이 있던 날
그 날조차 이젠 그리워
잘 지내라는 행복하라는
그 흔한 이별의 위로마저도 없이
마지막 인사도 못 했던 우리의 이별
나를 떠난 그 이유마저
그대가 두고 떠난
그대 인생의 절반은 나란 말
이제는 잊어야 할 텐데
오히려 선명해진 그 말
여전히 선명한 목소리"
19,나윤권,어쩌죠,"그렇죠 내가 바보였어요
그렇게 그댈 많이 울렸단 걸
까마득히 잊어버리고
그대 내게 다시 온다고 믿었죠
꼭 돌아온다고
맞아요 나는 못된 남자죠
이제와 농담처럼 그댄 말해도
알아요 그대 내 곁에서
혼자 흘린 눈물
이젠 다 내 몫이 됐는 걸
차라리 다시 울어줘요
나를 붙잡고 밀고 때리고
예전처럼 내게 안겨요
어쩌죠 여전히도 나는 못됐나 봐요
그대는 웃고 있는데
다 잊고 행복하단 그대 앞에서
자꾸 눈물이 나요
나 어쩌죠 이제야 그대 사랑에
겨우 난 눈을 떴는데
모르죠 끝내 모르겠죠
그대 떠나고 하루 한 번도
웃어본적 없던 나란 걸
어쩌죠 여전히도 나는 못됐나 봐요
그대는 웃고 있는데
다 잊고 행복하단 그대 앞에서
자꾸 눈물이 나요
나 어쩌죠 이제야 그대 사랑에
겨우 난 눈을 떴는데
아니라고 말해요
나를 못 잊겠다고 너무 그리웠다고
내가 없는 하루가 마치 일년 같아서
그대 역시 나처럼
늘 아팠다고 말해요
어쩌죠 여전히도 나는 못됐나봐요
행복한 그대가 밉죠
어떻게 내가 없이
행복 하냐고 소리치고 싶은데
어떡하죠
목 끝에 눈물이 걸려
그만 암말 못하죠"
