,가수,제목,가사
0,숙희,천상 여자 (Feat. PK 헤만),"야 내가 힘들거라고 했잖아
왜 나를 나쁜 사람을 만들어
아무 이유 없어
나 이젠 그냥 니가 싫어
정말 사랑했어 난 너밖에 없어
니가 떠나간 이후로 난 울기만했어
매일 술에 취해 너란 남자
잊으려고 노력했지만
술에 취할수록 니가 더 생각나
나 역시 정말 사랑했어
남들 다 얘기하잖아
너만은 특별하게 해주고 싶었다고
나도 그랬어 그래서 그랬어
아픈거 알면서도
그냥 견디어 주기를 원했어
언젠가는 내가 받은 사랑
돌려줄거니까
이렇게 힘들어도 나
너만은 지켰으니까
알아줄거라 믿었어
알고 있을줄 알았어 이런 날
정말 사랑했어 난 너밖에 없어
니가 떠나간 이후로 난 울기만했어
매일 술에 취해 너란 남자
잊으려고 노력했지만
술에 취할수록 니가 더 생각나
우린 다 끝난거니까
구차해지지 말자
우린 다 끝났으니까
기억하지도 말자
비겁한 술기운으로
연락하지도 말자
유치한 드라마처럼
다시 만나진 말자
내가 시작한 사랑이라서
내가 끝내는거야
헤어질때는 괜찮다더니
지금은 왜 이러는거야
넌 자존심도 없어 제발 그만해
너 자꾸 이럴수록 니가 더 싫어져
남자때문에 사랑때문에
다시는 울지 않을래
너무 아프니까
이렇게 미치게 만드니까 사랑은
너무 보고싶어 미칠것만 같아
너를 잊어야 하는데 그래야 사는데
나도 어쩔 수 없는 여자야
아무리 강한 척 해봐도
사랑에 목메는 그런 여잔가봐
넌 다른 사람의 유치한 얘기에는
미소짓지 못할거야
다른 사람과 입 맞출 때도
넌 날 잊지는 못할거야
누굴 만나도 이만큼
너는 사랑 받지는 못할거야
죽을 만큼 힘들더라도
돌아가지 않을거야"
1,정준영,응급실,"후회 하고 있어요
우리 다투던 그 날
괜한 자존심 때문에
끝내자고 말을 해버린거야
금방 볼 줄 알았어
날 찾길 바랬어
허나 며칠이 지나도
아무 소식조차 없어
항상 내게 너무 잘해줘서
쉽게 생각했나봐
이젠 알아 내 고집때문에
힘들었던 너를
이 바보야 진짜 아니야
아직도 나를 그렇게 몰라
너를 가진 사랑 나밖엔 없는데
제발 나를 떠나가지마
언제라도 내 편이 되준 너
고마운 줄 모르고
철없이 나 멋대로한거
용서할 수 없니
이 바보야 진짜 아니야
아직도 나를 그렇게 몰라
너를 가진 사랑 나 밖엔 없는데
제발 떠나가지마
너 하나만 사랑하는데
이대로 나를 두고 가지마
나를 버리지마 그냥 날 안아줘
다시 사랑하게 돌아와
다시 사랑하게 돌아와"
2,"투앤비 (2NB), 시하, 진혁, by me, 옐로우 벤치 (Yellow Bench)",안 괜찮아도 괜찮아,"아무도 날 알아 주지 않을 때
노력해도 뜻대로 되지 않을 때
알 수 없는 미래에
혼자서 길을 잃고 헤매도
괜찮아 안 괜찮아도 괜찮아
잘 될 거란 말도 와닿지 않고
별거 아닌 말들에 상처받아도
더딘 내 발걸음이
남보다 조금 뒤처진대도
괜찮아 안 괜찮아도 괜찮아
모두 잠든 캄캄한 밤 창 너머로
나처럼 잠 못 드는 여린 불빛들
힘들 때면 소리 내 조금 울어도 좋아
영원한 슬픔은 없는 거니까
곁에 있을게 힘이 돼줄게
언제든 손을 내밀어
혼자란 생각하지 마
어둠이 짙을수록
별이 환하게 빛나듯
밝게 빛나는 그런 날이 꼭 올 거야
소중한 건 늘 가까이에 있는데
왜 항상 남들과 날 비교했을까
바람 불면 애쓰지 말고 흔들려도 돼
시간이 흐르면 멈출 거니까
곁에 있을게 힘이 돼줄게
언제든 손을 내밀어
혼자란 생각하지 마
어둠이 짙을수록
별이 환하게 빛나듯
밝게 빛나는 그런 날이 꼭 올 거야
밝게 빛나는 그런 날이 꼭 올 거야"
3,지진석,우리 만나볼래요,"나도 모르게 어느새
그대로 가득 차버린 내 머릿속
나만 이럴까 여전히
아직도 알 수가 없는 그대의 마음
널 처음 봤던 날
어떻게 잊을까
말도 제대로 못했는데
늘 곁에 머물며
지켜준 내게 선물이 되어서
오 햇살이 좋아요
그대를 닮은 모든 것이 전부
따스한 날
눈 감으면
모두 우리로만 새겨놓은
기억이 포근하다면
우리 만나볼래요
그대 모르게 어느새
그대로 가득 채워낸 내 가슴에
두근거리는 떨림이
그대로 전해질까 봐 부끄러워 난
늘 너의 뒤에서
널 지켜보다가
말도 제대로 못했는데
날 알아봐 주고
드디어 내게 선물이 되어서
오 햇살이 좋아요
그대를 닮은 모든 것이 전부
따스한 날
눈 감으면
모두 우리로만 심어놓은
마음이 피어나기를
우리 만나볼래요
많이 어색하고
곁에만 가도 어쩔 줄을 모르고
하고 싶었던 말 반도 못했지만
앞으론 다를 거야
좀 더 다가와 줘요
전해진 그대의 마음
오 햇살이 좋아요
우리를 닮은 모든 것이 전부
따스한 날
눈 감으면
모두 우리로만 새겨놓은
환하게 빛나는 순간
간직하고 싶다면 이제
우리 사랑할래요"
4,다린,덧칠,"난 언젠가 지워질까 봐 겁이 나서
흐릿해지는 더
이어갈 수 없는 날들을
서둘러 선명히 남기곤 했었지
참 오랫동안 나를 흔들던 그대 이름
더는 서글퍼할 이유
없다는 걸 알면서
어쩌면 영영 사라질까 덧붙여간다
그려온 시간에 상처뿐이었대도
굳어버린 우리 마음 위로 또다시
덮어갈 수 있는 사랑을 생각해
한참을 이미 헝클어진
그 모습 끝으로 해진
기억들이 내겐 버거워
다시 또렷하게 너를 그려본다
참 오랫동안 내게 머물던 그대 이름
바랜 시간에 붙들려있다는 걸 알면서
어쩌면 영영 사라질까 덧붙여간다
그려온 시간에 상처뿐이었대도
굳어버린 우리 마음 위로 또다시
덮어갈 수 있는 사랑을 생각해
한참을 이미 헝클어진
그 모습 끝으로 해진
기억들이 내겐 버거워
다시 또렷하게 너를 그려본다"
5,다비치,슬픈 사랑의 노래,"미안한게 참 많아
하지 못한 말도 많아
지금 돌아선 너에게
줄껀 눈물 뿐인데
솔직히 참 서운해
이유조차 모르고
너와 헤어져야 한다는게
너무나 속상해
사실은 사실은
나 지금 울고있어
겉으론 애써 웃어보여도
사랑해 사랑해
내가 다 잘못했어
화내도 괜찮아 욕해도 괜찮아
그러니까 제발 나를 떠나지마
가지마 나 사랑 안해도 돼
내가 더 많이 사랑하면 되니까

오늘만 오늘만 참아주면 안되니
이대로 널 못 보낼것 같아
사랑해 사랑해
내가 다 잘못했어
화내도 괜찮아 욕해도 괜찮아
그러니까 제발 나를 떠나지마
가지마 나 사랑 안해도 돼
내가 더 많이 사랑하면 되니까
처음으로 돌려놔
네가 나를 사랑했던 때로
다 돌려놔
미안해 미안해
나 그런줄 모르고
마음이 떠난걸
내가 싫어진걸
정말 모르고 지냈어
어떡해도 뭘해도
마음이 떠났으면
옆에 있어도 사랑이 아니잖아
곁에 있을 자격도 없는
나 잖아"
6,태원,나쁜 남자 (Feat. JB),"나는 나쁜남자야
너도 알잖아 알고있잖아
눈물은 고이지만
그냥 돌아서 떠나가버려
아니야 거짓말이야
조금만 더 참아내면되
널 위해 떠나는거야
바보처럼 왜 몰라
난 너무 운이없어서
내곁에 있으면 불행해져
아름다운 내 사랑
처음으로 많이 사랑했어
너 하나만 약속해줘
내가 없어도 울지 않을거라고

보고싶다는 그 말
하고싶지만 할 수가 없어
내게 너무 귀해서
가질수조차 없는 너라서
가슴이 터질것처럼
나 역시 널 보고싶지만
널 위해 떠나는거야
바보처럼 왜 몰라
난 너무 운이없어서
내곁에 있으면 불행해져
아름다운 내 사랑
처음으로 많이 사랑했어
너 하나만 약속해줘
내가 없어도 울지 않을거라고
다시 돌아온다고
단 한마디 할 수 없었어
정말 니가 행복하기를 바라니까

널 사랑하니까"
7,홍민정,아마도 그건 (영화 '과속 스캔들'),"아마도 그건 사랑이였을거야
희미하게 떠오르는 기억이
이제야 그 마음을 알아버렸네
그대 눈에 비친 나의 모습을
아마도 그건 사랑이였을거야
돌아보면 아쉬운 그날들이
자꾸만 아픔으로 내게 찾아와
떨리는 가슴 나를 슬프게 하네
차가운 내 마음에 남은 너의 뒷모습
열린 문 틈으로 너는
내게 다가올 것 같아
한참을 멍하니 문만 바라보다
아침 햇살에 눈을 뜨고 말았네
사랑 그것은 엇갈린
너와 나의 시간들
스산한 바람처럼 지나쳐갔네
사랑 그것은 알수없는 너의 그리움
남아있는 나의 깊은 미련들

차가운 내 마음에 남은 너의 뒷모습
열린 문 틈으로 너는
내게 다가올 것 같아
한참을 멍하니 문만 바라보다
아침 햇살에 눈을 뜨고 말았네
사랑 그것은 엇갈린
너와 나의 시간들
스산한 바람처럼 지나쳐갔네
사랑 그것은 알수없는 너의 그리움
남아있는 나의 깊은 미련들
사랑 그것은 엇갈린
너와 나의 시간들
스산한 바람처럼 지나쳐갔네
사랑 그것은 알수없는 너의 그리움
남아있는 나의 깊은 미련들"
8,별,Sweet Love (Feat. 라임버스),"remember that
나는 언제나 너의 man
또 너의 fan 널 맴도는 boomerang
때론 힘들때 울적하고 슬플때
그럴땐 내게 전화해
언제까지라도 너를 지켜줄께
내 곁에 있어줘 늘 함께 할께
나와 잡은 손 절대 놓지말구
잠들때까지 나만 생각해줘 girl
너를 사랑해
everyday 널 생각해 what
너를 사랑해
You N me 항상 이렇게
사랑해라고 말해줄래
너만한 애 또 있을까 싶어
so 말하건대 넌 나의 princess
이 세상 전부 널 위한 노랠 부를께
내 이름 걸구
널 사랑해 널 사랑해
누구보다 널 사랑해
세상에 나보다 너를 더 좋아하는
사람은 아마 없을걸
온종일 널 그리고 매일 떠올려도
이상해 지겨워지질 않아
너는 그런 사람인가봐
go shawty It'z your birthday
내 눈엔 오직 너밖에 보이질 않아
너를 원해 baby you
should be my girlfriend
내 모든 걸 가져가
그래 난 오직 너밖엔 몰라
믿을수가 없어 난 니가 없는 하루가
상상이 되질 않아 baby I'm so Blind
너를 사랑해
baby girl 알지 you so fine
너를 사랑해
모두 알듯이 I'm so fly
우린 딱 맞는 couple
넌 내겐 선물 쫌 이기적인 것 뿐
흠 잡을데가 없지 다 아는걸
넌 the most beautiful girl
in this world
널 사랑해 널 사랑해
누구보다 널 사랑해
세상에 나보다 너를 더 좋아하는
사람은 아마 없을걸
온종일 나는 너만 생각하고
매일 상상을 해
둘이서 너와 나 단둘이서
사랑을 속삭여 Love you
얼마나 많은 날을 기다렸는지
내맘을 다 줄 한사람
이제야 너를 찾았어
사랑해 널 사랑해 누구보다 널 사랑해
세상에 나보다 너를 더 좋아하는
사람은 아마 없을걸
온종일 나는 너만 생각하고
매일 상상을 해
둘이서 너와 나 단둘이서
사랑을 속삭여 I love you

Love you"
9,이석훈,사랑하면 안돼요,"바보처럼 난 아이처럼
또 울먹이며
그대 등 뒤에 서 있죠
잘 지냈니
그 한마디조차 못해요
자꾸 목이 메어서
보고싶어 너무 그리워
난 쉴새없이 외쳤던 그대 이름도
그대 앞에선 혼잣말로도
난 감히 소리낼수가 없어요
돌아보면 안돼요
나를 절대 용서하면 안돼요
나를
내게 마음쓰지 말아요
그대를 울게 하는 일 밖에
아픈 것 밖에 난 못 주니까
어렸었고 어리석었던
지난 시간에 그 자리에 멈춰있죠
거울 앞에 선 내 두 눈속에서
그대의 눈물이 흘러요
돌아보면 안돼요
나를 절대 용서하면 안돼요
나를
내게 마음쓰지 말아요
그대를 울게 하는 일 밖에
아픈 것 밖에 난 못 주니까
내 말대로 해줘요
그댈 위해 추억으로만 남아
어쩌다 한번 평생에라도
한번 기억하면 되죠
사랑하면 안돼요 우리
서로 미련두지 말아요 우리
난 비겁하게 날 속여요
하고싶은 말 단 한마디인데
사랑해
돌아갈 순 없나요
우리 다신 돌이킬 수 없나요 우리
단 한번만 딱 한번만 제발"
