,제목,가수,가사
10,흉터,먼데이 키즈 (Monday Kiz),"멍들었나봐 심장이 아파하잖아
달려오는 사랑에
너무나 세게 부딪혀
피할수가 없었어 돌아서려 해도
사방에 네가 있었으니까
너를 사랑해 매일 멍이 들어도
상처만이 남아도
너라면 난 괜찮아
영원토록 내게 남겨질 네가
다녀간 흔적이니까
아름다운 흉터니까
갈라졌나봐 마음이 시려 오잖아
날카로운 사랑에
너무나 깊게 베어져
막을수가 없었어
손끝보다 항상 마음이
먼저 앞섰으니까
너를 사랑해 매일 멍이 들어도
상처만이 남아도
너라면 난 괜찮아
영원토록 내게 남겨진 네가
다녀간 흔적이니까
아름다운 흉터니까
내 지난날 사랑하며 아팠던 일도
이별하며 슬펐던 일도
먼훗날 아마 웃으며
말할수 있을꺼야
그땐 행복했다고 아무 후회없다고
난널 기억해 많은 시간이 가도
오랜세월이 가도
잊지 못할것 같아
마음속에 남은 흉터가
너를 얼마나 사랑했는지
내게 다 가르쳐 줄테니
보고싶을 때마다 그리워 질 때마다
꺼내볼수 있도록
고스란히 간직해둘께
눈물속에도 나를 웃게 할
아름다운 내상처
아름다운 내사랑"
11,Dear Moon,제휘,"Dear moon my moon
가까워지지 않아
잰 걸음으로 따라가도
닿지 않는 달처럼
Oh moon like moon
왜 사라지지 않아
뒤돌아 등지고 도망쳐 봐도
따라오는 저 달처럼
넌
우연일까
눈 맞추던 순간
나에게 말을 걸어오는
낮은 목소리가 들린 것 같아
답을 한다
망설이던 대답
아스라이 거기 너를
왜인지 난 다 알 것 같다고
Oh moon
My moon
안으려는 게 아냐
내 품에 안기엔
턱없이 커다란 걸 알아
Oh moon
My moon
가지려는 게 아냐
네가 나에게 이리 눈 부신 건
내가 너무나
짙은 밤이기 때문인 걸
우연일까
하얀 얼굴 어딘가
너에겐 어울리지 않는
그늘진 얼룩을 본 것만 같아
손을 흔든다
널 부르는 수화
여기 너와 몹시 닮은
외톨이의 존재가 있다고
잘 살아지지 않아
My only moon
가 닿지 않을 만큼
깊어진 밤까지
하얀 빛을 그 고요를
오늘 밤도 잠들지 않을게"
12,꿈,이무진,"머나먼 길을 찾아 여기에
꿈을 찾아 여기에
괴롭고도 험한 이 길을 왔는데
화려한 도시를
그리며 찾아왔네
그곳은 춥고도 험한 곳
여기저기 헤매다
초라한 문턱에서
뜨거운 눈물을 먹는다
머나먼 길을 찾아 여기에
꿈을 찾아 여기에
괴롭고도 험한 이 길을 왔는데
이 세상 어디가 숲인지
어디가 늪인지
그 누구도 말을 않네
빌딩 속을 헤매다
초라한 문턱에서
뜨거운 눈물을 먹는다
저기 저 별은 나의 마음 알까
나의 꿈을 알까
괴로울 땐 슬픈 노래를 부른다
슬퍼질 땐 차라리 나 홀로
눈을 감고 싶어
고향의 향기 들으면서
이 세상 어디가 숲인지
어디가 늪인지
그 누구도 말을
그 누구도 말을 않네
머나먼 길을 찾아 여기에
꿈을 찾아 여기에
괴로울 땐 슬픈 노래를 부른다
이 세상 어디가 숲인지
어디가 또 늪인지
그 누구도 말을 않네"
13,나를 사랑하지 않는 그대에게,이소라,"난 너에게 편지를 써
내 모든걸 말하겠어
변함없는 마음을 적어주겠어

난 저 별에게 다짐했어
내 모든걸 다 걸겠어
끝도 없는 사랑을 보여주겠어

더 외로워 너를 이렇게 안으면
너를 내 꿈에 안으면 깨워줘
이렇게 그리운 건 울고 싶은건
 
난 괴로워 니가 나 아니라
다른 사람 에게만
웃고 사랑을 말하고
또 그렇게 싫어해 날-

난 욕심이 너무 깊어
더 많은 걸 갖고싶어
너의 마음을 가질수없는 난 슬퍼

다 외로워 너를 이렇게 안으면
너를 내 꿈에 안으면 깨워줘
이렇게 그리운건  울고 싶은건
 
난 괴로워 니가 나 아니라
다른 사람에게만
웃고 사랑을 말하고
또 그렇게 날 싫어해 날-
 
너에게 편지를 써
내 모든걸 말하겠어

 "
14,그 사람이 나를 사랑해요,씨야,"나만을 바라보는데
내곁에 다른 한 사람
내겐 정말 좋은 남자죠
그대만 바라보는데
이미 날 떠난 그대를
정말 안되는건데
참 많이 미워해봐도
잊으려 노력해봐도
나도 내맘을 이길 수가 없죠
내 옆에 그 사람까지
모두 다 버리려 할 만큼
그댈 사랑해도
이젠 돌아서야 하죠
그 사람이 나를 사랑해요
그대가 사랑한 것보다
밤새 뒤척이며 나 하나만
기다리고 있죠
다시는 아프지 않도록
다시는 울지도 않도록
날 사랑해주는데
많이 아껴주는데
이제 그댈 내 맘에서
비워낼 만큼
어떻게 살아가는지
날 걱정하긴 했나요
너무 늦어버렸죠
참 못된 그대란 사람
이제야 지워가는데
그대 웃으며 인사를 건네죠
내 옆에 그 사람까지
모두 다 버리려 할 만큼
그댈 사랑해도
이젠 돌아서야 하죠
그 사람이 나를 사랑해요
그대가 사랑한 것보다
밤새 뒤척이며 나 하나만
기다리고 있죠
다시는 아프지 않도록
다시는 울지도 않도록
날 사랑해주는데
많이 아껴주는데
이제 그댈 내 맘에서
비워낼 만큼
정말 안되잖아요
우린 사랑해도
모르는 척 살아가야죠
왜 내 맘을 흔들어 놓나요
그 사람 아프게 하나요
나만 바라보고 지켜 줄
내 사랑이 있는데
그대도 날 잊고 살아요
다시는 만나지 말아요
날 사랑한 것처럼
좋은 사람 만나요
그대 안에 나란 사람
비워낼 만큼
나도 그 사람과 행복하려해"
15,길,김윤아,"아무도 가르쳐 주지 않아
이 길이 옳은지
다른 길로 가야 할지
난 저길 저 끝에
다 다르면 멈추겠지
끝이라며
가로막힌 미로 앞에 서 있어
내 길을 물어도
대답 없는 메아리
어제와 똑같은
이 길에 머물지 몰라
저 거미줄 끝에
꼭 매달린 것처럼
세상 어딘가
저 길 가장 구석에
갈 길을 잃은 나를 찾아야만 해
저 해를 삼킨 어둠이 오기 전에
긴 벽에 갇힌
나의 길을 찾아야만 하겠지
가르쳐줘 내 가려진 두려움
이 길이 끝나면
다른 길이 있는지
두 발에 뒤엉킨
이 매듭 끝을 풀기엔
내 무뎌진 손이
더 아프게 조여와
세상 어딘가
저 길 가장 구석에
갈 길을 잃은 나를 찾아야만 해
저 해를 삼킨 어둠이 오기 전에
긴 벽에 갇힌
나의 길을 찾아야만 하겠지"
16,어때,진민호,"잘 있다며 잘못 들은 줄 알았어
좀처럼 힘든 내색 안 한다고
다행이네 웃을 때가 예쁜 너니까
괜한 미안에 마음 쓸 거 없어
어때 내가 없으니까
더는 화낼 일도
널 울릴 사람도 사라졌겠지
어때 혼자인 하루가
낯설진 않을지 쓸데없는 걱정에
눈을 감아
힘들었지 무심한 날 만나느라
그깟 여행 한 번을 못 가보고
투정 하나 귀담아서 듣지 못했던
내 잘못들이 이제 떠올라서
어때 내가 없으니까
더는 화낼 일도
널 울릴 사람도 사라졌겠지
어때 혼자인 하루가
낯설진 않을지 쓸데없는 걱정에
눈을 감아
아니길 바랬어
적당히 그리워하다
못 견디고 돌아올 줄 알았어
왜 왜 안 힘든 건데
왜 너만 잘 살아
사랑했으면 아픈 게 맞잖아
뭐 어때 그래 남이니까
널 원망해볼게
미워도 해볼게
어차피 하지도 못할 거"
17,기억은 추억이 된다,적재,"꽃은 지고 하루는 또 가고
겨울은 또 오고
정처 없이 걷고 또 걸어도
결국 끝은 있기에
날 비춰주던
작고 아득한 불빛도
걷다보면 만나게 되겠지
눈부시게 빛나던
다시 오지 않을 시간도
눈물 훔치며 걸어온
기나긴 날들도
사랑한다 모두 다
여기 그대와 나 있음에
기억은 추억이 된다
끝도 없이 어두운 밤에도
곧 해는 뜨기에
잘 모르겠어
어느 무엇이 그대를
내 곁으로 데려와 준 건지
눈부시게 빛나던
다시 오지 않을 시간도
눈물 훔치며 걸어온
기나긴 날들도
사랑한다 모두 다
여기 그대와 나 있음에
기억은 추억이 된다
바보처럼
사랑을 잊고 지나던 계절에 그댄
내 곁에 있었다
따스하게 날 향해
활짝 피운 그대 웃음도
차마 보일 수 없었던
서글픈 마음도
사랑한다 모두 다
오늘 그대 내게 있음에
기억은 추억이 된다
사랑한다 모두 다
여기 그대와 나 있음에
기억은 추억이 된다"
18,보고 싶었어 가을 (금혼령 X 한동근),한동근,"갑자기 차가워진 바람이 불면
그때의 너에게로 데려가 줘서
가로수 은행잎 떨어지는
그 길을 함께 걷던
익숙한 거리 골목을 걷다 보니
어느새 추억 속에 빠져서
보고 싶었어 가을이 오면
네 생각이 나서
우리의 추억이 사는 계절이
너의 흔적들이 남아
내내 기다렸나 봐
네가 제일 좋아하던 계절이
난 혹시라도 네가 서 있을까 하며
뒤를 계속 돌아봐
가로등 불빛 하나 둘 켜지도록
오랫동안 계속 이 자리에 서서
보고 싶었어 가을이 오면
네 생각이 나서
우리의 추억이 사는 계절이
너의 흔적들이 남아
내내 기다렸나 봐
네가 제일 좋아하던 계절이
이 거리는 아직 변한 게 하나 없어
예전의 우리 모습처럼
가을이 오면
네가 그리워서
너의 기억들이 가득 넘쳐서
가을이 오면 네가 더
너무 보고 싶어져
네가 제일 좋아하던 가을이"
19,애원,코요태,"Baby let it go
너의 사랑도 잊고 싶은
작은 추억 너머로 아직
서롤 더 알지 못한채
난 마지막 아픈 기억 속으로
슬픈건 알지만

반지의 약속도 시간이 지나도
내게는 오직 남은 건 너뿐이라고
하지만 너무도 다른 너와 나 아직 넌 몰라
Baby don't wanna make you cry

사랑 하지마 이해 하지마
나에게 너는 어울리지 않아
파랗게 멍든 내 삶에 무게로
지쳐가게 될거야

다를 거라고 기대하지마
널 아프게 한 다른 사람들과
너는 감당할 수 없는
내 모습 끝이 보이는 듯해

모두 가진 너를 보면 자꾸 욕심이 나
다시 날 살고 싶게 해 사랑하고 싶게 해

날 내버려둬 날 그만 놓아줘
난 어차피 가질 수 없는 너인걸
어서 달아나 애원하기 전에
내 눈물로 머물러 주길

힘이 들겠지 많이 울겠지
널 미치도록 그리워하겠지
길지 않은 너와의 그 추억이
내겐 전부 일테니

밝게 웃는 너를 보면 자꾸 행복해져
다시 날 살고 싶게 해 사랑하고 싶게해

날 내버려둬 날 그만 놓아줘
난 어차피 가질 수 없는 너 인걸
어서 달아나 애원 하기전에
내 눈물로 머물러 주길

널 사랑할 자격이 없어
날 더 이상 사랑하지마

가끔씩 떠올라 너의 그 밝은 미소
때로는 죽도록 네가 보고 싶고
비가 내리고 내 맘을 달래도
너무나 널 사랑한 나 마저도

가슴속에 깊이 너가 있지
하지만 곁엔 다가갈 수 없지
너를 사랑함으로 내게 남긴 상처
너와 나의 기억 그저 추억에 남겨

나를 보내줘 추억 저 너머로
니 가슴에 영원히 살수있도록
돌아가고픈 그리운 시절에
아름답던 사랑이라고

날 내버려둬 날 그만 놓아줘
난 어차피 가질 수 없는 너인걸
어서 달아나 애원하기 전에
내 눈물로 머물러 주길

lovin you baby
from night go moming
wanting you and the beat is
going on and

멀리서 너를 바라 보면서
너와 나의 기억 그저 추억에 남겨

lovin you baby
from night go moming
wanting you and the beat is
going on and

멀리서 너를 바라 보면서
너와 나의 기억 그저 -"
