,제목,가수,가사
0,한 (恨),얀,"나를 바라보는
너의 마음을 알아
숨길 수록 아픈 눈빛
느낄 수 있고
술취한 내 눈엔
너의 얼굴이 흔들려
눈물로 널 보내며
가슴이 져 밀어
보고픔에 힘들 때
꼭 한 번만
그리운 널 볼 수 있다면
영원히 죽는 날 그때까지도
네 모습 맘에 담아 가도록
너를 두고 살 순 없어
그렇게 남처럼
너와 내가 살 수 있니
가지마 날 두지마
너 아닌 딴 곳에
나를 두고 떠나가지마

그대가 온다고
다시 내게 있다고
그 착각과
평생 함께 할 수 있다면
하늘도 울어 줄 내 큰 슬픔을
조금은 참아 버틸 수 있어
아름답게 소중하게
모든 걸 걸어서
사랑한 내 하나 그대
잊지 마 날 잊지 마
기억해 그토록 아껴온
내 하나 사랑을
추억속에 날 묻지 마
그대여 다시 내게 와
너를 두고 살 순 없어
그렇게 남처럼
너와 내가 살 수 있니
잊지 마 날 잊지 마
기억해 그토록 아껴온
내 하나 사랑
돌아와"
1,거짓말이라도 해서 널 보고싶어,박장현 (VROMANCE),"내가 미안해
이렇게 아플 줄도 모르고
너에게 모질게도 대했던 바보야
후회에 맘을 담아 봤자
이미 끝난 걸
이제 다시는
너를 볼 수 없잖아
거짓말이라도
해서 널 보고싶어
줄게 남아있다고
억지를 부리곤
한번 더 너를 보고싶어
나 많이 구차하지만
네 맘을 돌릴 수 있다면
다시 날 사랑하게 할 수 있다면
내가 그대를 기다릴게요
어제는 하루 종일 펑펑 울었어
아직까지도 너의 온기가
내 맘을 감싸 안아서
내 맘을 왜 몰라주냐며
슬프게 울고 있던 너를
그저 바라보기만 했었던 나야
거짓말이라도 해서 널 보고싶어
줄게 남아있다고
억지를 부리곤
한번 더 너를 보고싶어
나 많이 구차하지만
네 맘을 돌릴 수 있다면
다시 날 사랑하게 할 수 있다면
내가 그대를 기다릴게요
나를 버리지마
내가 잘못했어
잠시 동안 내가 미쳤었나봐
가슴이 찢어질듯이 아파
제발 가지마
내게 잘 지내라고 말하지마
거짓말이었어
확인받고 싶어서
사랑받고 싶어서
네 맘을 찢어놓고
이기적인 사랑을 했었나봐
내가 미친 게 맞아
이제 와서 후회가 돼
그렇게 잘해줬던 너였는데
내가 그대를 놓친 거예요
내가 미친 게 맞아
이제 와서 후회가 돼
그렇게 잘해줬던 너였는데
내가 그대를 놓친 거예요
나 같은 사람 만나지마요"
2,X (걸어온 길에 꽃밭 따윈 없었죠),청하,"어디선가 넌 나를 지켜보겠지
지키지 못한 약속 모두 다 잊은 채
이제야 나는 제자리를 찾아온 것 같아
닫혔던 문들이 날 향해 모두 열리고
날 두드리는 불빛
보랏빛 떨림들
날 뚫어지게 쳐다보는 눈들이 날
꿈꾸게 만들어
이 자리가 날 만든 게 아냐
걸어온 길에 꽃밭 따윈 없었죠
그대가 놓아 버린 내 손은
You know you messed up boy
이제는 안녕 인사가 되어
흔들리며 사라져 가요
닿을 수 없는 곳으로
You should’ve loved me at my worst
Now you just watch me
on your TV screen
드디어 지금이 내 시간이라면
달콤한 속삭임은 다 거둬주세요
온 세상이 날 버리고 떠나갈 때
그대는 선명하고 가깝게 있어줘요
날 두드리는 불빛
보랏빛 떨림들
날 뚫어지게 쳐다보는 눈들이 날
꿈꾸게 만들어
이 자리가 날 만든 게 아냐
걸어온 길에 꽃밭 따윈 없었죠
그대가 놓아 버린 내 손은
You know you messed up boy
이제는 안녕 인사가 되어
흔들리며 사라져 가요
닿을 수 없는 곳으로
내가 들어갈 자리가 없던 그림을 난
오랫동안 바라보기만 했었지
그때는 맞출 수가 없던
슬픈 조각들이
날카로운 칼날이 되었네
갈고 갈은 칼로 유령처럼
날 따라다니던 네 흔적을 모두 잘라내
새살이 돋아 깨끗해져 가
마치 아무 일도 없었던 것처럼
이 자리가 날 만든 게 아냐
걸어온 길에 꽃밭 따윈 없었죠
그대가 놓아 버린 내 손은
You know you messed up boy
이제는 안녕 인사가 되어
흔들리며 사라져 가요
닿을 수 없는 곳으로
You gotta love me at my worst
If you want me at my best
and you had it all
I gave my all to you
I gave my all to you
You gotta love me at my worst
If you want me at my best
and you had it all
I gave my all to you
I gave my all to you
You should’ve loved me at my worst
Now you just watch me
on your TV screen"
3,아! 옛날이여,김유하,"이젠 내 곁을 떠나간
아쉬운 그대이기에
마음속의 그대를
못 잊어 그려본다
달빛 물든 속삭임
별빛 속의 그 밀어
안개처럼 밀려와
파도처럼 꺼져간다아
옛날이여
지난 시절 다시 올 수 없나
그날아니야
이제는 잊어야지아름다운 사연들
구름 속에 묻으리모두 다 꿈이라고
아
옛날이여
지난 시절 다시 올 수 없나
그날아
옛날이여
지난 시절 다시 올 수 없나
그날
아
옛날이여
지난 시절 다시 올 수 없나
그날
그날이여"
4,All With You,태연 (TAEYEON),"내가 그대 곁에 있어서
행복합니다
내가 그대 곁에 있어서
꿈을 꿉니다
내가 그대 곁에 있어서
웃을 수 있습니다
내 사람이길 또 기도합니다
내 맘이 보여서
내 진심이 느껴진다면
내 맘이 보여서
내게 오는 길 찾는다면
나의 모든 마음 주고 싶어
나의 곁에 그대
영원토록 있는다면
그대 나의 곁에 있어서
고맙습니다
그대 나의 곁에 있어서
따뜻합니다
그대 나의 곁에 있어서
다시 힘을 냅니다
바라만봐도 눈물이 납니다
내 맘이 보여서
내 진심이 느껴진다면
내 맘이 보여서
내게 오는 길 찾는다면
나의 모든 마음 주고 싶어
나의 곁에 그대
영원토록 있는다면
세상에 지쳐가도
우리 서로 곁에 항상
옆에 잡은 그 손 놓지마
마지막 사랑을
그댈 위해 쓰고 싶은데
마지막 운명이
그대라면 행복할텐데
나의 모든 마음 주고 싶어
나의 곁에 그대
영원토록 있는다면
All With You All With You"
5,첫눈처럼 너에게 가겠다,김동현&박장현,"널 품기 전 알지 못했다
내 머문 세상
이토록 찬란한 것을
작은 숨결로 닿은 사람
겁 없이 나를 불러준 사랑

몹시도 좋았다
너를 지켜보고 설레고
우습게 질투도 했던
평범한 모든 순간들이

캄캄한 영원
그 오랜 기다림 속으로
햇살처럼 니가 내렸다

널 놓기 전 알지 못했다
내 머문 세상
이토록 쓸쓸한 것을
고운 꽃이 피고 진 이 곳
다시는 없을 너라는 계절

욕심이 생겼다
너와 함께 살고 늙어가
주름진 손을 맞잡고
내 삶은 따뜻했었다고

단 한 번 축복
그 짧은 마주침이 지나
빗물처럼 너는 울었다

한 번쯤은 행복하고 싶었던 바람
너까지 울게 만들었을까

모두 잊고 살아가라
내가 널 찾을 테니
니 숨결 (니 숨결)
다시 나를
부를 때

잊지 않겠다
너를 지켜보고 설레고
우습게 질투도 했던
니가 준 모든 순간들을

언젠가 만날
우리 가장 행복할 그날
첫눈처럼 내가 가겠다

너에게 내가 가겠다"
6,아름다운 이별,이병찬,"눈물이 흘러
이별인 걸 알았어
힘없이 돌아서던
너의 뒷모습을 바라보며
나만큼 너도
슬프다는 걸 알아
하지만 견뎌야 해
추억이 아름답도록
그 짧았던 만남도
슬픈 우리의 사랑도
이젠 눈물로 지워야할
상처뿐인데
내 맘 깊은 곳엔 언제나
너를 남겨둘 거야
슬픈 사랑은 너 하나로
내겐 충분하니까
하지만 시간은 추억 속에
너를 잊으라며 모두 지워가지만
한동안 난
가끔 울 것만 같아
두 눈을 감고
지난날을 돌아봐
그 속엔 너와 나의
숨겨둔 사랑이 있어
언제나 나는
너의 마음속에서
느낄 수 있을 거야
추억에 가려진 채로
긴 이별은 나에게
널 잊으라 하지만
슬픈 사랑은 눈물 속의
널 보고 있어
내 맘 깊은 곳엔 언제나
너를 남겨둘 거야
슬픈 사랑은 너 하나로
내겐 충분하니까
하지만 시간은 추억 속에
너를 잊으라며 모두 지워가지만
한동안 난
가끔 울 것만 같아"
7,슬픈 사랑의 노래 (Duet With 이소라),이문세,"너를 스쳐갈 수 있었다면
지금 더 행복할 수 있을까
너를 모르고 살던 세상이
마음은 더 편했을 텐데
인연이 아닌 사람이었어
사랑할 수 없다 생각했지
우린 둘이 같이 서 있어도
아무런 의미도 없는 걸
새하얀 저 거리에서
쌓이던 첫눈 같은 사랑
너를 안고 숨을 쉬면
세상에 너 밖에 없는데
너는 내 곁에 있어야 만해
세상이 조금 더 아플지라도
너를 볼 수 있는 밤이 오면
슬픔은 다신 없을 거야

인연이 아닌 사람이었어
사랑할 수 없다 생각했지
우린 둘이 같이 서 있어도
아무런 의미도 없는 걸
새하얀 저 거리에서
쌓이던 첫 눈 같은 사랑
너를 안고 숨을 쉬면
세상에 너 밖에 없는데
우린 서로 사랑하고 있어
세상이 조금 더 아플지라도
너를 볼 수 있는 밤이 오면
슬픔은 다신 없을거야
슬픔은 다신"
8,우리들의 꽃말,성휘,"너와 있을 때 난 웃으며 생각에 잠겨
어제보다 더 좋아하나 봐
수많은 별 들이 빛난 눈부신 하늘을
마주하며 기억하고
있단 말야 따스하게 늘 말없이
나 하나만 바라봐 준 너야
많이 모질던 내 맘이 문득 떠올라
내가 잡아줄게요
포근했던 니 마음속은 바다 같았어
서늘했던 그날의 온기를 난 기억해
익숙했던 미소를 지으며 내게 말했지
불안해하지 마 우리 영원히 사랑할 거야
기억하니 우리 널 처음 봤을 때
너 때문에 나는 얼마나 떨렸는지 몰라
너로 물든 계절에 꽃이 피어 나와
이렇게 또 널 많이 좋아하나 봐
포근했던 니 마음속은 바다 같았어
서늘했던 그날의 온기를 난 기억해
익숙했던 미소를 지으며 내게 말했지
불안해하지 마 우리 영원히 사랑할 거야
나 애틋한 그대 아래
잠잠히 붉게 물들어가
수줍게 널 바라보며 말했어
천천히 함께 걸어가자
오랫동안 걸어와줘서 나 많이 고마워
서툴렀던 모자란 내 맘을 다 받아줘서
차가웠던 우리의 아픔도 다 안아줘서
찬란한 이날에 우리 영원히 사랑할 거야
포근했던 니 마음속은 바다 같았어
서늘했던 그날의 온기를 난 기억해
익숙했던 미소를 지으며 내게 말했지
불안해하지 마 우리 영원히 사랑할 거야"
9,한강을 걷다가,최도영(CANDO),"넌 잘 지내고 있는 것 같아
저 건너편에서 빛나고 있어
요즘엔 난 한강에 자주 가
혹시 남은 그리움
흘려보낼 수 있을까
흘러간 물처럼
멀어져버린 너지만 다시
한번만 더 안고 싶은데
한강을 걷다가 니 모습이 떠올라
이건 아닌데 정말 아닌데 하면서도
한강을 걷다가
달빛에 차오르는 니가보여
오늘도 멍하니 난 바라만 봐
잔잔하게 흘렀던 그리움
이 바람 한 점에 다시 일렁이네
나도 모르게 매일 한강에 와
자주 왔던 이 곳 남은
추억이라도 주워보려고
흘러간 물처럼
멀어져버린 너지만 다시
한번만 더 안고 싶은데
한강을 걷다가 니 모습이 떠올라
이건 아닌데 정말 아닌데 하면서도
한강을 걷다가
달빛에 차오르는 니가 보여
오늘도 멍하니 난 바라만 봐
널 떠나보내길 참 잘한 것 같아
그렇게 울던 너 이젠 웃고있어
저기 멀리서 더 빛나고 있는
너를 볼 수 밖에
한강을 걷다가 니 모습이 떠올라
이건 아닌데 정말 아닌데 하면서도
한강을 걷다가
달빛에 차오르는 니가보여
오늘도 멍하니 난 바라만봐"
