,가수,제목,가사
0,솔비,그대를 그리다,"나 그대를 기다릴게요
그대가 내게 오기를
간절히 바래 볼게요
조금 남겨진 추억들을 난
하나씩 꺼내보면서
행복했던 기억들
지금도 함께 하길 바래요
그댄 나 없이 행복할 수 있나요
이제라도 잊을 수 있게
내게도 알려줘요
그대를 그리다 난 울었고
그대를 그리다 잠이 들고
또 하루가 지나 또 이틀이 지나
기나긴 날이 가죠
그대를 그리다 난 또 울고
지나간 추억 속에 갇혀 있어
나는 오늘도 기다리고 있어요
가끔 그때가 생각이 나요
좋았던 일만 가득한 추억에
아파하네요
너무 달라진 우리의 시간
이상하게 지쳐만 가
서툴렀던 이별만
아직도 선명하게 남아요
하루 몇 번씩 스쳐가는 그대가
왜 이렇게 눈물이 나죠
내게도 알려줘요
그대를 그리다 난 울었고
그대를 그리다 잠이 들고
또 하루가 지나 또 이틀이 지나
기나긴 날이 가죠
그대를 그리다 난 또 울고
지나간 추억 속에 갇혀 있어
나는 오늘도 기다리고 있어요
이젠 볼 수도 네게 달려갈 수도 없어
헤어져도 반대로 사는 나
그리워하다가 미워하고
널 보고 싶다가 보기 싫고
넌 나라는 삶에 맘대로 들어와
왜 날 불행하게 만들고 갔어
혼자 남겨진 밤
한 번 더 떠오른 네 얼굴에
나는 오늘도 기다리고 있어요"
1,지애,매일 매일 매일 매일,"매일 전화해도 돼

매일 연락해도 돼

forever you nothing better

and I love you

매일 문자해도 돼

매일매일 봐도 돼

forever you nothing better

my love my love my love baby

know know 이 세상 에서

know know 달콤한 첫사랑

너 하나고 너 뿐이라

baby only one for you

랄랄 너무 좋아서

나난 너를 사랑해서

하루하루 매일매일 행복하게 웃어요

step by step by step

조금씩 조금씩 점점

day by day by day

하루하루 다가가서

매일 전화해도 돼

매일 연락해도 돼

forever you nothing better

and I love you

매일 문자해도 돼

매일매일 봐도 돼

forever you nothing better

my love my love my love baby

know know 이 세상 에서

know know 달콤한 첫사랑

너 하나고 너 뿐이라

baby only one for you

랄랄 너무 좋아서

나난 너를 사랑해서

하루하루 매일매일 행복하게 웃어요

step by step by step

조금씩 조금씩 점점

day by day by day

하루하루 다가가서

매일 전화해도 돼

매일 연락해도 돼

forever you nothing better

and I love you

매일 문자해도 돼

매일매일 봐도 돼

forever you nothing better

my love my love my love baby

step by step by step

and I love you

day by day by day my love

my love my love baby

달콤한 솜사탕 그대와 나만의kiss

사랑을 속삭이는

그대와 나만의 sweet

그 어떤 달콤함 보다

그 어떤 포근함 보다

ma baby sweet my boy forever

매일 전화해도 돼

매일 연락해도 돼

forever you nothing better

and I love you

매일 문자해도 돼

매일매일 봐도 돼

forever you nothing better

my love my love my love baby"
2,"휘성 (Realslow), Steve Barakatt",You Are Not Alone,"Another day has gone

I'n still all alone

How could this be

You're not here with me

You never said goodbye

Someone tell me why

Did you have to go

And leave my world so cold

Everyday I sit and ask myself

How did love slip away

Something whispers

in my ear and says

You are not alone

For I am here with you

Though you're far away

I am here to stay

You are not alone

For I am here with you

Though we're far apart

You're always in my heart

You are not alone



Just the other night

I thought I heard you cry

Asking me to come

And hold you in my arms

I can hear your prayers

Your burdens I will bear

But first I need your hand

Then forever can begin

Everyday I sit and ask myself

How did love slip away

Something whispers

in my ear and says

You are not alone

For I am here with you

Though you're far away

I am here to stay

You are not alone

For I am here with you

Though we're far apart

You're always in my heart

You are not alone

whisper three words

and I'll come runnin

And girl you know

that I'll be there

I'll be there

You are not alone

I am here with you

Though you're far away

I am here to stay

But you are not alone

For I am here with you

Though we're far apart

You're always in my heart

You are not alone

I am here with you

Though you're far away

I am here to stay

you are not alone

For I am here with you

Though we're far apart

You're always in my heart

you are not alone"
3,이정석,첫눈이 온다구요 (Feat. Sunday 2PM),"슬퍼하지 마세요

하얀 첫 눈이 온다구요

그때 옛말은 아득하게

지워지고 없겠지요



(Repeat)

함박눈이 온다구요

뚜렷했었던 발자욱도

모두 지워져 없잖아요

눈사람 눈덩이도



아스라이 사라진 기억들

너무도 그리워 너무도 그리워

옛날 옛날 포근한 추억이

고드름 녹이 듯 눈시울 적시네



(Rap)

눈시울을 적시네, 내 기억력이 날. 지우고 싶은데 떠오르기만 해 밤새 뒤척거린다.

포근했던 추억이 이젠 날 춥게해. 창밖에 오는 첫 눈에게.

그녀의 발자국을 지워달라고 말하면서도 밖을 내다 보게되.



꽤 아련해진 기억들이 겨울의 찬바람을 타고 날 스칠때

가슴은 시린데 두눈은 뜨거워지는 나를 느끼네

그리움이란 어딘가 따갑지만 딱 털어내긴 아쉬워

바보처럼 끌어안고 뒤척이며 밤을새 곱씹어"
4,뮤직 쿠키,사랑안해,[가사 준비중]
5,프로젝트 Friends,I'm Your Friend,"이유 없이 울고 싶을 때

세상에 혼자라고 느낄 때

너무 걱정하지마

내가 옆에 있어줄게

네 손 꼭 잡아줄게

I'm your friend


힘드니 아프니

자꾸만 그 애가 보고싶니

다시 돌아오지 않을 걸 알면서

매일매일 기다리고 있니

사는게 힘드니

가끔씩 다 포기하고 싶니

함께 울어줄 친구가 필요하니

내가 있잖아 내게로 와

이유 없이 울고 싶을 때

세상에 혼자라고 느낄 때

너무 걱정하지마

내가 옆에 있어줄게

네 손 꼭 잡아줄게

I'm your friend

바쁘게 움직이는 사람들 속에

너도 따라 괜히 바빠지니

잠깐 기대어 쉴 어깨가 필요하니

내가 있잖아 내게 전화해

이유 없이 울고 싶을 때

세상에 혼자라고 느낄 때

너무 걱정하지마

내가 옆에 있어줄게

네 손 꼭 잡아줄게

I'm your friend



잘될거야 I'm your friend

걱정하지마 I'm your friend

내가 있잖아 I'm your friend

이젠 웃어봐 Yes I'm your friend

라라 라라 라라라

라라 라라 라라라

라라 라라 라라 라라라라

라라 라라 I'm your friend

I'm your friend

라라 라라 라라라

라라 라라 라라라

라라 라라 라라 라라라라

라라 라라 I'm your friend"
6,김성집,늦은후회,"말해봐요 아니라고
이해해요 내가 너무 철없이 굴었었죠.
이제라도 잘 해볼께요 그대가 너무 편했나봐요
우리 어렵게 시작한걸 한번이라도 기억해요
참 좋았었던 우리의 아름답던 지난날들을 위해서
날 놓지말아요

이해해요.내가 너무 철없이 굴었었죠.
이제라도 잘 해볼께요.그대가 너무 편했나봐요.
우리 어렵게 시작한걸 한번이라도 기억해요.
참 좋았었던 우리의 아름답던 지난날들을 위해서
날 놓지말아요.
내가 너무나 어린가요. 그래서 부담이 됐나요
늘 함께 한다 했었던 우리들의 소중했었던 약속을
다 소용없나요. 다 소용없나요."
7,이승철,Over Ture,[가사 준비중]
8,HUS (허밍어반스테레오),난 그날,"어느 날 네가 문득 생각이 났던
5월 4일 10시 23분
조금은 네가 싫어했던
까만 셔츠 입고 나갔었던 그날에
난 그날 조금 야위었고
난 그날 울먹이며
난 그날 너를 안으면서
난 그날 헤어졌지
난 그날 수염이 자랐었고
난 그날 술을 마시고
난 그날 네게 키스한 뒤
난 그날 도망쳤지
너와 갔던 그 자리
다른 사람에게 프러포즈
사랑해 지금 내 사랑
울먹인 거짓말
홀로 올랐던 5층
내게도 이런 계단이 있다면 있다면
네게 다시 가도 돼
난 그날 조금 야위었고
난 그날 울먹이며
난 그날 너를 안으면서
난 그날 헤어졌지
난 그날 수염이 자랐었고
난 그날 술을 마시고
난 그날 네게 키스한 뒤
난 그날
너와 같이 고른 고동색 스웨터
옷이 아닌 사랑을 입었던 나
따뜻한 품이 그리워 사 먹은 호빵
내 마음도 레인지에 같이 데워졌으면
난 그날 조금 야위었고
난 그날 울먹이며
난 그날 너를 안으면서
난 그날 헤어졌지
난 그날 수염이 자랐었고
난 그날 술을 마시고
난 그날 네게 키스한 뒤
난 그날
울어줘서 너무 고마워
잔인하지만 예뻐보였어
난 그날 너무나 못나서
막차도 놓치고 너도 놓쳐버렸어
아니 버렸었지"
9,The One (더원),My Love Song (Drama Ver.),"바람이 불어오네요

난 생각할 힘도 없는데

하늘만 바라보면서

그대를 불러보네요

그대 그림잘 쫓네요

세상이 나를 버린다 해도

나 그대가 모른 척 하지만 않으면

모두가 미쳤다 해도

나보고 바보라 해도

그대만 생각합니다



기억이 바래질수록

웃음을 잃어 갈텐데 그대여

세상이 변하고 눈물이 말라도

그대만 생각합니다



기억이 바래져가고

웃음이 지워진대도 그대여 Oh baby

눈물이 슬퍼도 마음이 아파도

나 그대는 놓지 않으리

모든 게 변해만 가네요

난 점점 이상해져 가네요

무릎이 꺾어진 채로 거릴 헤메죠

이런 날 세상이 외면한다 해도



혹시나 그댈 만날까

어디서 마주칠까봐 사랑이여

내 기억이 슬퍼도

내 심장이 멎어도

나 그대의 그림자가 되어

그대만 생각합니다

영원토록



사랑이여"
